Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Dec 02 00:00,-3.8,0,0,20,19,0,360,0,19.11603865,26.263863,73.008957
Year 1 Dec 02 01:00,-4.4,0,0,19.2,19,0,360,0,18.57423314,26.263863,73.008957
Year 1 Dec 02 02:00,-5,0,0,18.4,19,0,360,0,17.88512057,26.263863,73.008957
Year 1 Dec 02 03:00,-5.3,0,0,17.2,20,0,360,0,17.42627743,26.263863,73.008957
Year 1 Dec 02 04:00,-5.5,0,0,16.9,21,0,360,0,16.57428001,26.263863,73.008957
Year 1 Dec 02 05:00,-8.5,0,0,11.4,23,0,360,0,16.2651118,26.263863,73.008957
Year 1 Dec 02 06:00,-5,0,0,15.4,24,0,360,0,15.86421712,26.263863,73.008957
Year 1 Dec 02 07:00,-4.5,0,0,15.4,25,0,360,0,15.70150388,26.263863,73.008957
Year 1 Dec 02 08:00,-4,42,318,15.4,26,0,360,0,15.79058129,26.263863,73.008957
Year 1 Dec 02 09:00,0.9,66,636,17.2,34,0,360,0,17.24899684,26.263863,73.008957
Year 1 Dec 02 10:00,2.6,82,838,20.7,30,0,360,0,19.53917667,26.263863,73.008957
Year 1 Dec 02 11:00,3.4,90,930,23.4,27,0,360,0,21.48970439,26.263863,73.008957
Year 1 Dec 02 12:00,3.5,78,1029,26.2,23,0,360,0,23.41787211,26.263863,73.008957
Year 1 Dec 02 13:00,-0.3,84,1023,27.7,16,0,360,0,27.11289501,26.263863,73.008957
Year 1 Dec 02 14:00,-1.1,88,990,27.7,15,0,360,0,34.2746545,26.263863,73.008957
Year 1 Dec 02 15:00,-1.6,93,910,28.2,14,0,360,0,38.06459265,26.263863,73.008957
Year 1 Dec 02 16:00,-2.5,85,804,28.2,13,1,360,0,35.50580434,26.263863,73.008957
Year 1 Dec 02 17:00,-3.2,74,506,27.2,13,3,360,0,36.70404764,26.263863,73.008957
Year 1 Dec 02 18:00,-3.7,12,146,23,16,5,360,0,28.18641639,26.263863,73.008957
Year 1 Dec 02 19:00,3.9,0,0,20.7,33,6,360,0,25.95653803,26.263863,73.008957
Year 1 Dec 02 20:00,-0.3,0,0,19.7,26,7,360,0,23.7525056,26.263863,73.008957
Year 1 Dec 02 21:00,-1.4,0,0,20.2,23,7,360,0,22.52224196,26.263863,73.008957
Year 1 Dec 02 22:00,-2.3,0,0,19,23,6,360,0,21.31131249,26.263863,73.008957
Year 1 Dec 02 23:00,-2.9,0,0,18.2,23,4,360,0,20.11901481,26.263863,73.008957
Year 1 Dec 03 00:00,-2.7,0,0,18.4,23,1,360,0,19.38294038,26.263863,73.008957
Year 1 Dec 03 01:00,-2.9,0,0,18.2,23,0,360,0,18.91291797,26.263863,73.008957
Year 1 Dec 03 02:00,-2.9,0,0,18.2,23,0,360,0,18.03267072,26.263863,73.008957
Year 1 Dec 03 03:00,-4,0,0,16.7,24,0,360,0,17.54938444,26.263863,73.008957
Year 1 Dec 03 04:00,-4.2,0,0,15.7,25,0,360,0.2,16.95638213,26.263863,73.008957
Year 1 Dec 03 05:00,-4.1,0,0,15.2,26,0,360,0.5,16.58896162,26.263863,73.008957
Year 1 Dec 03 06:00,-4.1,0,0,14.7,26,0,50,0.8,16.29293142,26.263863,73.008957
Year 1 Dec 03 07:00,-3.8,0,0,14.5,27,0,50,0.8,15.75256153,26.263863,73.008957
Year 1 Dec 03 08:00,-3.6,34,275,14.2,28,1,50,0.5,15.59752384,26.263863,73.008957
Year 1 Dec 03 09:00,-1.3,74,551,15.6,31,2,50,0.2,17.24188339,26.263863,73.008957
Year 1 Dec 03 10:00,0.9,96,762,19.3,29,2,50,0,19.4738476,26.263863,73.008957
Year 1 Dec 03 11:00,1.8,104,871,22.1,26,2,50,0,21.57655159,26.263863,73.008957
Year 1 Dec 03 12:00,1.6,92,977,24.6,22,2,50,0,23.51862176,26.263863,73.008957
Year 1 Dec 03 13:00,1.8,101,962,25.6,21,1,50,0,27.36130686,26.263863,73.008957
Year 1 Dec 03 14:00,0.5,93,973,26.6,18,1,50,0,33.74971266,26.263863,73.008957
Year 1 Dec 03 15:00,-0.4,88,930,27.6,16,1,50,0,34.53229937,26.263863,73.008957
Year 1 Dec 03 16:00,-0.6,73,870,27.3,16,0,50,0,37.75523218,26.263863,73.008957
Year 1 Dec 03 17:00,-0.8,60,641,27.1,16,0,50,0,35.46590943,26.263863,73.008957
Year 1 Dec 03 18:00,0,10,312,22.1,23,0,50,0,29.22498357,26.263863,73.008957
Year 1 Dec 03 19:00,0.6,0,0,20,28,0,50,0,25.18339993,26.263863,73.008957
Year 1 Dec 03 20:00,1.7,0,0,18.6,33,0,50,0,23.33313363,26.263863,73.008957
Year 1 Dec 03 21:00,1.6,0,0,17.1,36,0,50,0,21.7656442,26.263863,73.008957
Year 1 Dec 03 22:00,1.1,0,0,16,37,0,50,0,20.63119114,26.263863,73.008957
Year 1 Dec 03 23:00,0.8,0,0,16.6,35,0,50,0,19.6504413,26.263863,73.008957
Year 1 Dec 04 00:00,0.9,0,0,15.8,37,0,50,0,18.83161357,26.263863,73.008957
Year 1 Dec 04 01:00,0.8,0,0,15.3,38,0,50,0,18.09873108,26.263863,73.008957
Year 1 Dec 04 02:00,0.1,0,0,14.2,38,0,50,0,17.45695107,26.263863,73.008957
Year 1 Dec 04 03:00,0,0,0,12.9,41,0,50,0,17.1147354,26.263863,73.008957
Year 1 Dec 04 04:00,-0.3,0,0,12.6,41,0,50,0,16.70088692,26.263863,73.008957
Year 1 Dec 04 05:00,-0.3,0,0,12.6,41,0,50,0,16.47188812,26.263863,73.008957
Year 1 Dec 04 06:00,-0.4,0,0,12.8,40,0,50,0,15.823028,26.263863,73.008957
Year 1 Dec 04 07:00,-0.6,0,0,12.6,40,1,50,0,15.10229965,26.263863,73.008957
Year 1 Dec 04 08:00,-0.6,35,169,12.6,40,4,50,0,14.92302308,26.263863,73.008957
Year 1 Dec 04 09:00,3,93,339,15.4,44,6,50,0,16.51614339,26.263863,73.008957
Year 1 Dec 04 10:00,4.2,160,401,18.4,39,7,50,0,19.20198071,26.263863,73.008957
