Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Jan 01 01:00,4.6,0,0,11.6,62,4,180,0,17.17216595,26.263863,73.008957
Year 1 Jan 01 02:00,4,0,0,10.9,63,4,180,0,15.30095618,26.263863,73.008957
Year 1 Jan 01 03:00,3.9,0,0,10.6,63,4,180,0,14.50183686,26.263863,73.008957
Year 1 Jan 01 04:00,4.1,0,0,10.1,67,3,180,0,14.08605138,26.263863,73.008957
Year 1 Jan 01 05:00,4.4,0,0,9.6,70,2,180,0,14.40957088,26.263863,73.008957
Year 1 Jan 01 06:00,4.6,0,0,9.8,70,0,180,0,14.30569597,26.263863,73.008957
Year 1 Jan 01 07:00,4.5,0,0,9.7,70,1,180,0,13.98941346,26.263863,73.008957
Year 1 Jan 01 08:00,4.4,14,104,9.4,71,4,180,0,14.07408857,26.263863,73.008957
Year 1 Jan 01 09:00,5.3,79,209,10.3,71,6,180,0,15.5734615,26.263863,73.008957
Year 1 Jan 01 10:00,6.7,148,351,14.6,59,7,180,0,18.21537288,26.263863,73.008957
Year 1 Jan 01 11:00,6.3,172,548,19.9,41,7,180,0,20.76655741,26.263863,73.008957
Year 1 Jan 01 12:00,3.9,158,726,21.7,31,6,180,0,23.71636452,26.263863,73.008957
Year 1 Jan 01 13:00,2.6,140,823,23.1,26,5,180,0,26.42483796,26.263863,73.008957
Year 1 Jan 01 14:00,2.7,155,757,23.8,25,5,180,0,32.04742701,26.263863,73.008957
Year 1 Jan 01 15:00,2.3,127,788,23.4,25,4,180,0,36.81579109,26.263863,73.008957
Year 1 Jan 01 16:00,1.9,103,745,23.5,24,3,180,0,37.83146808,26.263863,73.008957
Year 1 Jan 01 17:00,2.2,76,593,23.2,25,2,180,0,34.60380615,26.263863,73.008957
Year 1 Jan 01 18:00,3.3,30,203,20.5,32,0,180,0,27.80592387,26.263863,73.008957
Year 1 Jan 01 19:00,4.4,0,0,17,43,0,180,0,25.38319709,26.263863,73.008957
Year 1 Jan 01 20:00,5.2,0,0,14.9,52,0,180,0,23.69459765,26.263863,73.008957
Year 1 Jan 01 21:00,5.5,0,0,13.6,58,0,180,0,22.22550277,26.263863,73.008957
Year 1 Jan 01 22:00,5.8,0,0,12.9,62,0,180,0,20.82396388,26.263863,73.008957
Year 1 Jan 01 23:00,6.1,0,0,12,67,0,180,0,20.08066699,26.263863,73.008957
Year 1 Jan 02 00:00,6.7,0,0,11.1,74,0,180,0,19.43039513,26.263863,73.008957
Year 1 Jan 02 01:00,5.6,0,0,10.4,72,0,180,0.1,18.78274286,26.263863,73.008957
Year 1 Jan 02 02:00,5.3,0,0,10.1,72,0,180,0.3,18.15875135,26.263863,73.008957
Year 1 Jan 02 03:00,3.8,0,0,11,61,0,180,0.4,17.36098973,26.263863,73.008957
Year 1 Jan 02 04:00,3.6,0,0,10.8,61,0,180,0.6,16.81847895,26.263863,73.008957
Year 1 Jan 02 05:00,3.8,0,0,10.7,63,0,180,0.8,15.47586596,26.263863,73.008957
Year 1 Jan 02 06:00,4.4,0,0,10.4,67,0,50,0.9,14.07533483,26.263863,73.008957
Year 1 Jan 02 07:00,5.1,0,0,10.1,71,0,50,0.8,13.75405153,26.263863,73.008957
Year 1 Jan 02 08:00,5.8,10,240,10,75,1,50,0.5,14.39890363,26.263863,73.008957
Year 1 Jan 02 09:00,7.7,63,481,12.2,74,2,50,0.2,16.13682901,26.263863,73.008957
Year 1 Jan 02 10:00,9.4,84,765,16,65,2,50,0,18.70644479,26.263863,73.008957
Year 1 Jan 02 11:00,7,102,850,17.8,49,1,50,0,20.72110065,26.263863,73.008957
Year 1 Jan 02 12:00,5.9,90,977,21.6,36,0,50,0,22.69769414,26.263863,73.008957
Year 1 Jan 02 13:00,4,90,998,22.9,29,0,50,0.1,25.17215844,26.263863,73.008957
Year 1 Jan 02 14:00,1.5,63,1091,24.5,22,2,50,0.3,31.79540945,26.263863,73.008957
Year 1 Jan 02 15:00,0.6,97,910,24.2,21,3,50,0.4,37.68985752,26.263863,73.008957
Year 1 Jan 02 16:00,0.4,101,759,24.7,20,4,50,0.6,39.68716915,26.263863,73.008957
Year 1 Jan 02 17:00,0.5,102,354,24.1,21,6,50,0.8,37.25438027,26.263863,73.008957
Year 1 Jan 02 18:00,2.5,26,43,22.3,27,7,360,0.9,31.7290305,26.263863,73.008957
Year 1 Jan 02 19:00,1.7,0,0,20.2,29,7,360,1.2,26.90340831,26.263863,73.008957
Year 1 Jan 02 20:00,2.6,0,0,20.2,31,7,360,1.6,24.85718386,26.263863,73.008957
Year 1 Jan 02 21:00,8.2,0,0,18.5,51,6,50,1.9,23.10428624,26.263863,73.008957
Year 1 Jan 02 22:00,8.3,0,0,17.1,56,5,50,2.2,21.70877901,26.263863,73.008957
Year 1 Jan 02 23:00,8.2,0,0,16.2,59,5,50,2.4,20.72727157,26.263863,73.008957
Year 1 Jan 03 00:00,7.8,0,0,15.3,61,5,50,2.5,19.55068146,26.263863,73.008957
Year 1 Jan 03 01:00,7.2,0,0,14.1,63,5,50,2.7,18.21585865,26.263863,73.008957
Year 1 Jan 03 02:00,6.8,0,0,13.2,65,5,50,2.9,17.30070248,26.263863,73.008957
Year 1 Jan 03 03:00,6.3,0,0,12.7,65,5,360,3,16.21193383,26.263863,73.008957
Year 1 Jan 03 04:00,6.8,0,0,12.5,68,4,360,3,15.31774737,26.263863,73.008957
Year 1 Jan 03 05:00,6.6,0,0,11.5,72,4,360,2.9,15.36912116,26.263863,73.008957
Year 1 Jan 03 06:00,6.4,0,0,10.2,77,4,360,2.7,15.05471299,26.263863,73.008957
Year 1 Jan 03 07:00,5.7,0,0,9.5,77,3,360,2.4,14.95933699,26.263863,73.008957
Year 1 Jan 03 08:00,7,11,183,10.9,77,2,360,2,15.23118184,26.263863,73.008957
Year 1 Jan 03 09:00,7.7,71,366,8.5,95,0,360,1.7,16.69954318,26.263863,73.008957
Year 1 Jan 03 10:00,8,116,567,10.4,85,0,360,1.5,19.09032047,26.263863,73.008957
Year 1 Jan 03 11:00,8.2,156,618,14.2,67,1,360,1.5,21.47386091,26.263863,73.008957
Year 1 Jan 03 12:00,7.1,132,822,15.6,57,1,360,1.5,23.61391335,26.263863,73.008957
Year 1 Jan 03 13:00,6.9,102,957,18.1,48,2,360,1.5,26.22414585,26.263863,73.008957
Year 1 Jan 03 14:00,6.6,95,971,19.9,42,3,360,1.5,32.30318167,26.263863,73.008957
Year 1 Jan 03 15:00,5.3,78,993,20.5,37,3,20,1.5,36.97372356,26.263863,73.008957
Year 1 Jan 03 16:00,5.1,99,770,20.7,36,4,20,1.4,39.34644005,26.263863,73.008957
Year 1 Jan 03 17:00,5.5,92,461,20.7,37,5,20,1.3,40.22576237,26.263863,73.008957
Year 1 Jan 03 18:00,5,31,126,19.7,38,5,360,1.1,31.09980068,26.263863,73.008957
Year 1 Jan 03 19:00,4.1,0,0,18.2,39,5,360,1.1,27.14750556,26.263863,73.008957
Year 1 Jan 03 20:00,5.7,0,0,17.4,46,3,360,1.3,24.94853712,26.263863,73.008957
Year 1 Jan 03 21:00,5.8,0,0,16.5,49,1,50,1.4,23.64795105,26.263863,73.008957
Year 1 Jan 03 22:00,5.7,0,0,16.4,49,0,50,1.5,22.5322623,26.263863,73.008957
Year 1 Jan 03 23:00,5.6,0,0,15.4,52,2,50,1.5,21.92277134,26.263863,73.008957
Year 1 Jan 04 00:00,5.4,0,0,13.5,58,3,360,1.5,20.84856852,26.263863,73.008957
Year 1 Jan 04 01:00,5.4,0,0,12.7,61,4,360,1.6,20.0721424,26.263863,73.008957
Year 1 Jan 04 02:00,5.6,0,0,12,65,4,360,1.8,19.15557092,26.263863,73.008957
Year 1 Jan 04 03:00,5.9,0,0,11.8,67,4,350,2,18.15269011,26.263863,73.008957
Year 1 Jan 04 04:00,5.9,0,0,11.4,69,3,350,1.9,17.19767355,26.263863,73.008957
Year 1 Jan 04 05:00,6.2,0,0,11,72,3,350,1.6,17.05273676,26.263863,73.008957
Year 1 Jan 04 06:00,6.2,0,0,10.8,73,3,360,1.2,16.71779185,26.263863,73.008957
Year 1 Jan 04 07:00,6.4,0,0,10.2,77,3,360,1,16.30940908,26.263863,73.008957
Year 1 Jan 04 08:00,6.3,14,88,10.1,77,5,360,1,16.50476914,26.263863,73.008957
Year 1 Jan 04 09:00,6.2,78,176,12.1,67,7,50,1,17.3347768,26.263863,73.008957
Year 1 Jan 04 10:00,6.7,161,204,13.4,64,8,50,1.4,19.60239097,26.263863,73.008957
Year 1 Jan 04 11:00,4.5,218,321,17.5,42,8,50,2,21.58915149,26.263863,73.008957
Year 1 Jan 04 12:00,4.4,249,391,20.8,34,8,90,2.8,23.54022549,26.263863,73.008957
Year 1 Jan 04 13:00,2.8,241,488,21.5,29,8,90,2.9,25.14975237,26.263863,73.008957
Year 1 Jan 04 14:00,0.1,225,521,22.9,22,8,90,2.6,29.72089753,26.263863,73.008957
Year 1 Jan 04 15:00,-1.1,218,427,22.9,20,8,90,2.3,33.15311487,26.263863,73.008957
Year 1 Jan 04 16:00,-3.5,172,382,23.3,16,8,90,2.1,36.70178496,26.263863,73.008957
Year 1 Jan 04 17:00,-3,108,300,22.9,17,7,90,2.1,35.72371726,26.263863,73.008957
Year 1 Jan 04 18:00,-4.1,32,121,20.5,18,5,70,2.1,30.3969064,26.263863,73.008957
Year 1 Jan 04 19:00,-3.6,0,0,17.9,23,5,70,2,25.15159964,26.263863,73.008957
Year 1 Jan 04 20:00,1.3,0,0,17.7,33,6,70,1.8,23.50667959,26.263863,73.008957
Year 1 Jan 04 21:00,0.7,0,0,17.5,32,7,50,1.6,21.96287657,26.263863,73.008957
Year 1 Jan 04 22:00,0.6,0,0,17.3,33,8,50,1.6,20.75649261,26.263863,73.008957
Year 1 Jan 04 23:00,-0.7,0,0,15.9,32,8,50,1.8,19.96227333,26.263863,73.008957
Year 1 Jan 05 00:00,-1.4,0,0,15,32,8,50,2,18.96125731,26.263863,73.008957
Year 1 Jan 05 01:00,-1.6,0,0,14.7,32,8,50,2.1,18.24627637,26.263863,73.008957
Year 1 Jan 05 02:00,-2.2,0,0,13.9,33,8,50,2.1,17.62777354,26.263863,73.008957
Year 1 Jan 05 03:00,-1,0,0,13.7,36,8,50,2.1,17.36145491,26.263863,73.008957
Year 1 Jan 05 04:00,0.2,0,0,13.9,39,8,50,2.1,16.82645692,26.263863,73.008957
Year 1 Jan 05 05:00,0.4,0,0,13.2,42,8,50,2.1,15.25702489,26.263863,73.008957
Year 1 Jan 05 06:00,1.3,0,0,12.8,46,8,50,2.1,14.55164255,26.263863,73.008957
Year 1 Jan 05 07:00,1.5,0,0,12.7,47,9,50,2.1,14.3438516,26.263863,73.008957
Year 1 Jan 05 08:00,1.6,10,35,12.2,49,9,50,2.1,14.42089328,26.263863,73.008957
Year 1 Jan 05 09:00,3.7,72,69,13.6,51,9,50,2.1,15.55831568,26.263863,73.008957
Year 1 Jan 05 10:00,5.5,162,184,17.2,46,9,50,2.2,17.70764714,26.263863,73.008957
Year 1 Jan 05 11:00,5.3,233,208,19.2,40,9,50,2.4,19.777477,26.263863,73.008957
Year 1 Jan 05 12:00,3.8,286,180,19.6,35,9,90,2.5,21.49854083,26.263863,73.008957
Year 1 Jan 05 13:00,2.9,283,329,21.6,29,8,90,2.9,23.7223648,26.263863,73.008957
Year 1 Jan 05 14:00,-1.1,187,657,22.1,21,6,90,3.3,28.44480985,26.263863,73.008957
Year 1 Jan 05 15:00,-0.5,107,877,22.1,22,4,90,3.8,33.55001242,26.263863,73.008957
Year 1 Jan 05 16:00,-1.1,108,733,22.1,21,4,90,3.8,34.3485162,26.263863,73.008957
Year 1 Jan 05 17:00,-1.2,84,552,22,21,4,90,3.3,32.20834341,26.263863,73.008957
Year 1 Jan 05 18:00,-2.8,34,168,19.8,21,4,90,2.8,26.86679645,26.263863,73.008957
Year 1 Jan 05 19:00,-3.7,0,0,18.5,22,3,90,2.4,22.31528292,26.263863,73.008957
Year 1 Jan 05 20:00,-4.4,0,0,16.9,22,2,90,2,20.63770369,26.263863,73.008957
Year 1 Jan 05 21:00,-4.1,0,0,15.9,25,0,50,1.7,19.1034061,26.263863,73.008957
Year 1 Jan 05 22:00,-3.8,0,0,15,27,0,50,1.5,18.10824446,26.263863,73.008957
Year 1 Jan 05 23:00,-3.6,0,0,14.1,29,0,50,1.5,17.20287248,26.263863,73.008957
Year 1 Jan 06 00:00,-3.4,0,0,13.3,31,0,70,1.5,16.35246788,26.263863,73.008957
Year 1 Jan 06 01:00,-3.6,0,0,13.1,31,0,70,1.5,15.95714301,26.263863,73.008957
Year 1 Jan 06 02:00,-3.8,0,0,12.9,30,0,70,1.5,15.45949109,26.263863,73.008957
Year 1 Jan 06 03:00,-3.2,0,0,12.6,33,0,70,1.5,14.91901476,26.263863,73.008957
Year 1 Jan 06 04:00,-2.9,0,0,11.6,36,0,70,1.5,14.22702606,26.263863,73.008957
Year 1 Jan 06 05:00,-1.8,0,0,11,41,0,70,1.5,13.65120676,26.263863,73.008957
Year 1 Jan 06 06:00,-1.6,0,0,10.2,44,0,50,1.5,12.75396654,26.263863,73.008957
Year 1 Jan 06 07:00,-1.4,0,0,10.4,44,0,50,1.4,12.05104684,26.263863,73.008957
Year 1 Jan 06 08:00,-1.7,0,602,10.1,43,0,50,1.3,11.76562282,26.263863,73.008957
Year 1 Jan 06 09:00,-0.4,52,604,12,43,0,360,1.1,12.7125338,26.263863,73.008957
Year 1 Jan 06 10:00,0.4,81,784,14,40,0,360,1.2,14.95669567,26.263863,73.008957
Year 1 Jan 06 11:00,2.9,80,951,18.6,35,0,360,1.6,17.39090823,26.263863,73.008957
Year 1 Jan 06 12:00,-2.2,85,995,20.6,21,0,50,1.9,20.01621315,26.263863,73.008957
Year 1 Jan 06 13:00,-8,67,1089,21.6,12,0,50,2.3,22.25003975,26.263863,73.008957
Year 1 Jan 06 14:00,-7.5,56,1124,23.8,11,0,50,2.6,28.04211592,26.263863,73.008957
Year 1 Jan 06 15:00,-6.1,53,1104,24.3,12,0,50,2.9,33.45720483,26.263863,73.008957
Year 1 Jan 06 16:00,-6.2,56,1006,24.2,12,0,50,3.1,35.25642761,26.263863,73.008957
Year 1 Jan 06 17:00,-7.4,68,692,23.9,11,2,50,3.1,32.93994203,26.263863,73.008957
Year 1 Jan 06 18:00,-6.9,35,180,21.9,13,4,50,3.1,25.38079831,26.263863,73.008957
Year 1 Jan 06 19:00,-5.8,0,0,20,16,4,50,2.8,21.8480585,26.263863,73.008957
Year 1 Jan 06 20:00,-4,0,0,18.2,21,4,50,2.3,19.87946029,26.263863,73.008957
Year 1 Jan 06 21:00,-3.1,0,0,18.6,22,4,50,1.8,18.39430957,26.263863,73.008957
Year 1 Jan 06 22:00,-3.8,0,0,17.7,22,3,50,1.6,17.38109847,26.263863,73.008957
Year 1 Jan 06 23:00,-2.5,0,0,16.8,26,3,50,1.8,16.71632965,26.263863,73.008957
Year 1 Jan 07 00:00,-0.7,0,0,15.9,32,3,50,2,16.00202752,26.263863,73.008957
Year 1 Jan 07 01:00,1.3,0,0,15,40,3,50,2.1,15.49365348,26.263863,73.008957
Year 1 Jan 07 02:00,0.7,0,0,14,41,3,50,2.1,14.98405398,26.263863,73.008957
Year 1 Jan 07 03:00,3.5,0,0,13.1,52,3,50,2.1,14.55123153,26.263863,73.008957
Year 1 Jan 07 04:00,3.9,0,0,12.6,56,3,50,2.2,14.0173641,26.263863,73.008957
Year 1 Jan 07 05:00,4.4,0,0,11.6,61,3,50,2.4,13.51567176,26.263863,73.008957
Year 1 Jan 07 06:00,4.8,0,0,11.1,65,3,50,2.5,12.79911678,26.263863,73.008957
Year 1 Jan 07 07:00,4.9,0,0,11,66,2,50,2.6,12.49193085,26.263863,73.008957
Year 1 Jan 07 08:00,5.8,8,274,10.8,71,1,50,2.6,12.69164615,26.263863,73.008957
Year 1 Jan 07 09:00,7.2,57,549,12.1,72,0,50,2.6,14.17455436,26.263863,73.008957
Year 1 Jan 07 10:00,7.5,76,814,14.4,63,0,50,2.5,16.55949318,26.263863,73.008957
Year 1 Jan 07 11:00,4.9,80,951,18,42,0,50,2.4,18.95399671,26.263863,73.008957
Year 1 Jan 07 12:00,3.7,79,1021,20.5,33,0,50,2.2,21.41365033,26.263863,73.008957
Year 1 Jan 07 13:00,2.6,77,1048,21.8,28,0,50,2.2,24.45961633,26.263863,73.008957
Year 1 Jan 07 14:00,1,78,1039,22.5,24,0,50,2.4,28.86427505,26.263863,73.008957
Year 1 Jan 07 15:00,-0.1,80,990,23.5,21,0,50,2.5,29.71555031,26.263863,73.008957
Year 1 Jan 07 16:00,-0.6,79,889,23.5,20,0,50,2.4,29.66953748,26.263863,73.008957
Year 1 Jan 07 17:00,-0.1,69,695,23.4,21,0,50,2,32.30942408,26.263863,73.008957
Year 1 Jan 07 18:00,-1.7,32,367,21.3,21,0,50,1.7,27.64901394,26.263863,73.008957
Year 1 Jan 07 19:00,-1.6,0,0,18,26,0,50,1.5,22.9262745,26.263863,73.008957
Year 1 Jan 07 20:00,-0.8,0,0,17.8,28,0,50,1.5,20.98400117,26.263863,73.008957
Year 1 Jan 07 21:00,0,0,0,17.3,31,0,50,1.5,19.61241272,26.263863,73.008957
Year 1 Jan 07 22:00,0.4,0,0,17.1,33,0,50,1.5,18.38058782,26.263863,73.008957
Year 1 Jan 07 23:00,0.7,0,0,17,34,0,50,1.5,17.57908671,26.263863,73.008957
Year 1 Jan 08 00:00,0.6,0,0,15.5,37,0,50,1.5,16.82973072,26.263863,73.008957
Year 1 Jan 08 01:00,0.5,0,0,15.4,37,0,50,1.4,15.98555739,26.263863,73.008957
Year 1 Jan 08 02:00,0.9,0,0,15,39,0,50,1.3,15.19063709,26.263863,73.008957
Year 1 Jan 08 03:00,1.4,0,0,14.8,41,0,50,1.1,14.73573021,26.263863,73.008957
Year 1 Jan 08 04:00,1.2,0,0,13.8,43,0,50,1.1,14.03325216,26.263863,73.008957
Year 1 Jan 08 05:00,1.4,0,0,13,46,0,50,1.3,14.78310949,26.263863,73.008957
Year 1 Jan 08 06:00,1.9,0,0,12.5,49,0,50,1.4,14.92664848,26.263863,73.008957
Year 1 Jan 08 07:00,2.4,0,0,12.5,50,0,50,1.4,14.87510579,26.263863,73.008957
Year 1 Jan 08 08:00,2.6,9,260,12.1,53,1,50,1.3,15.36026646,26.263863,73.008957
Year 1 Jan 08 09:00,4.1,59,521,14,52,2,50,1.1,16.77518267,26.263863,73.008957
Year 1 Jan 08 10:00,4.7,102,656,16,47,3,50,1.1,19.12160217,26.263863,73.008957
Year 1 Jan 08 11:00,5.8,132,727,19.8,40,4,50,1.3,21.36052197,26.263863,73.008957
Year 1 Jan 08 12:00,3.9,177,667,21.7,31,5,50,1.4,23.71825902,26.263863,73.008957
Year 1 Jan 08 13:00,3.1,181,696,23.6,26,6,50,1.4,26.0064168,26.263863,73.008957
Year 1 Jan 08 14:00,1.2,211,580,24.1,22,7,50,1.3,30.94554336,26.263863,73.008957
Year 1 Jan 08 15:00,0,190,559,24.4,20,7,50,1.1,34.92295837,26.263863,73.008957
Year 1 Jan 08 16:00,-0.5,185,329,24.6,19,8,50,0.8,37.08403574,26.263863,73.008957
Year 1 Jan 08 17:00,-0.1,118,198,24.2,20,8,50,0.5,34.48226486,26.263863,73.008957
Year 1 Jan 08 18:00,1.2,26,21,21.4,26,8,50,0.2,27.99921909,26.263863,73.008957
Year 1 Jan 08 19:00,2.3,0,0,17.9,35,7,50,0,23.73896154,26.263863,73.008957
Year 1 Jan 08 20:00,2.3,0,0,17.9,35,6,50,0,21.94603624,26.263863,73.008957
Year 1 Jan 08 21:00,1.7,0,0,17.7,34,5,50,0,20.37498719,26.263863,73.008957
Year 1 Jan 08 22:00,1.9,0,0,17.4,36,4,50,0,19.19342523,26.263863,73.008957
Year 1 Jan 08 23:00,0.9,0,0,16.3,36,4,50,0.1,18.5029698,26.263863,73.008957
Year 1 Jan 09 00:00,0.9,0,0,16.3,36,4,50,0.1,17.88646586,26.263863,73.008957
Year 1 Jan 09 01:00,1.1,0,0,14.8,40,4,50,0.1,17.50534411,26.263863,73.008957
Year 1 Jan 09 02:00,1.6,0,0,14.2,43,4,50,0.2,17.25541143,26.263863,73.008957
Year 1 Jan 09 03:00,1.8,0,0,14.1,44,4,50,0.2,16.91262544,26.263863,73.008957
Year 1 Jan 09 04:00,2.1,0,0,14.1,45,4,50,0.3,16.42561751,26.263863,73.008957
Year 1 Jan 09 05:00,2.4,0,0,14.1,45,4,50,0.3,16.39779285,26.263863,73.008957
Year 1 Jan 09 06:00,2.7,0,0,13.1,50,4,50,0.4,16.59616957,26.263863,73.008957
Year 1 Jan 09 07:00,3.3,0,0,13.1,52,4,50,0.4,16.6829204,26.263863,73.008957
Year 1 Jan 09 08:00,3.6,9,197,12.9,53,4,50,0.4,16.94761314,26.263863,73.008957
Year 1 Jan 09 09:00,4.5,68,393,14.2,52,4,50,0.5,17.08453717,26.263863,73.008957
Year 1 Jan 09 10:00,5.6,94,701,17.6,45,3,50,0.6,17.59809074,26.263863,73.008957
Year 1 Jan 09 11:00,5.5,121,774,20.2,38,3,50,0.8,17.8148153,26.263863,73.008957
Year 1 Jan 09 12:00,5.5,120,868,23.1,32,3,50,0.9,18.73801598,26.263863,73.008957
Year 1 Jan 09 13:00,3.6,115,918,23.6,27,2,50,1.1,19.66722962,26.263863,73.008957
Year 1 Jan 09 14:00,2.2,72,1064,25.3,22,1,50,1.3,24.0368279,26.263863,73.008957
Year 1 Jan 09 15:00,1.6,68,1044,26.2,20,0,50,1.4,26.70462419,26.263863,73.008957
Year 1 Jan 09 16:00,0.8,73,923,25.2,20,0,50,1.3,26.65570616,26.263863,73.008957
Year 1 Jan 09 17:00,0.1,81,606,24.5,20,2,50,0.8,25.21794929,26.263863,73.008957
Year 1 Jan 09 18:00,2.5,37,128,22.3,27,4,50,0.3,21.07282051,26.263863,73.008957
Year 1 Jan 09 19:00,2.6,0,0,18.7,34,4,50,0,18.6420835,26.263863,73.008957
Year 1 Jan 09 20:00,3.5,0,0,16.4,42,4,50,0,17.52054617,26.263863,73.008957
Year 1 Jan 09 21:00,4.6,0,0,16.2,46,4,50,0,16.47213849,26.263863,73.008957
Year 1 Jan 09 22:00,4.1,0,0,15,48,3,50,0,15.59858592,26.263863,73.008957
Year 1 Jan 09 23:00,4.8,0,0,15.1,50,3,50,0,14.91774875,26.263863,73.008957
Year 1 Jan 10 00:00,4,0,0,14.2,51,3,50,0,14.78152282,26.263863,73.008957
Year 1 Jan 10 01:00,2.7,0,0,12.8,51,2,50,0.2,15.05093966,26.263863,73.008957
Year 1 Jan 10 02:00,2.7,0,0,12.2,53,1,50,0.5,15.51367976,26.263863,73.008957
Year 1 Jan 10 03:00,3.8,0,0,11.7,59,0,50,0.8,15.78805374,26.263863,73.008957
Year 1 Jan 10 04:00,4.5,0,0,11.7,62,0,50,0.9,16.02957922,26.263863,73.008957
Year 1 Jan 10 05:00,4.3,0,0,11.5,61,0,50,0.8,15.225421,26.263863,73.008957
Year 1 Jan 10 06:00,4.3,0,0,11.5,61,0,50,0.6,14.57924803,26.263863,73.008957
Year 1 Jan 10 07:00,4.2,0,0,11.7,60,0,50,0.6,14.36629084,26.263863,73.008957
Year 1 Jan 10 08:00,4.3,0,574,12,59,0,50,0.8,14.47521395,26.263863,73.008957
Year 1 Jan 10 09:00,5.2,50,626,14.4,54,0,50,0.9,15.337288,26.263863,73.008957
Year 1 Jan 10 10:00,5.4,67,866,17.4,45,0,50,1.1,17.50225306,26.263863,73.008957
Year 1 Jan 10 11:00,6.4,70,997,21.7,37,0,50,1.3,19.82440202,26.263863,73.008957
Year 1 Jan 10 12:00,5,79,1023,24.1,29,0,50,1.4,21.65236334,26.263863,73.008957
Year 1 Jan 10 13:00,3,56,1132,26.3,22,0,50,3,23.17491169,26.263863,73.008957
Year 1 Jan 10 14:00,2.2,66,1088,26.1,21,1,50,5.9,25.23629965,26.263863,73.008957
Year 1 Jan 10 15:00,1.3,74,1019,25.9,20,2,50,8.8,25.78601313,26.263863,73.008957
Year 1 Jan 10 16:00,1,90,839,26.4,19,3,50,8.6,27.08132954,26.263863,73.008957
Year 1 Jan 10 17:00,1.7,97,477,25.5,21,5,50,5.2,26.80442044,26.263863,73.008957
Year 1 Jan 10 18:00,5.2,34,53,23.2,31,7,50,1.7,21.98602772,26.263863,73.008957
Year 1 Jan 10 19:00,4.7,0,0,18.5,40,7,50,0,19.15596992,26.263863,73.008957
Year 1 Jan 10 20:00,5.2,0,0,16.8,46,7,50,0,17.6434044,26.263863,73.008957
Year 1 Jan 10 21:00,5.3,0,0,15.7,50,6,50,0,16.91149311,26.263863,73.008957
Year 1 Jan 10 22:00,6.7,0,0,14.9,58,5,50,0,16.3925776,26.263863,73.008957
Year 1 Jan 10 23:00,6.2,0,0,14.1,59,5,50,0,16.04908893,26.263863,73.008957
Year 1 Jan 11 00:00,5.5,0,0,14.1,56,4,50,0,15.41868699,26.263863,73.008957
Year 1 Jan 11 01:00,4.8,0,0,14.5,52,4,50,0,15.31822168,26.263863,73.008957
Year 1 Jan 11 02:00,4.6,0,0,13.4,55,5,50,0,14.84606694,26.263863,73.008957
Year 1 Jan 11 03:00,4.5,0,0,12.8,57,5,50,0,14.70026272,26.263863,73.008957
Year 1 Jan 11 04:00,4.6,0,0,12.9,57,6,50,0.2,14.70304462,26.263863,73.008957
Year 1 Jan 11 05:00,4.7,0,0,13,57,6,50,0.5,13.54425451,26.263863,73.008957
Year 1 Jan 11 06:00,4.3,0,0,12.5,58,6,50,0.8,12.85668329,26.263863,73.008957
Year 1 Jan 11 07:00,4.2,0,0,13,55,5,50,0.8,12.56151798,26.263863,73.008957
Year 1 Jan 11 08:00,4.5,8,255,12.5,58,4,50,0.5,12.25532245,26.263863,73.008957
Year 1 Jan 11 09:00,6,60,510,15.2,54,3,50,0.2,12.55350142,26.263863,73.008957
Year 1 Jan 11 10:00,6.3,81,785,18.4,45,2,50,0,14.11941219,26.263863,73.008957
Year 1 Jan 11 11:00,7,71,992,22.8,36,1,50,0,15.96340431,26.263863,73.008957
Year 1 Jan 11 12:00,6,79,1024,25.3,29,0,50,0,17.94223568,26.263863,73.008957
Year 1 Jan 11 13:00,3.7,75,1061,26.4,23,0,50,0.2,20.21147149,26.263863,73.008957
Year 1 Jan 11 14:00,2.6,85,1018,26.6,21,0,50,0.5,25.22771628,26.263863,73.008957
Year 1 Jan 11 15:00,1.3,77,1009,27.7,18,0,320,0.8,29.20032224,26.263863,73.008957
Year 1 Jan 11 16:00,0.4,79,900,27.5,17,0,320,0.9,31.20458731,26.263863,73.008957
Year 1 Jan 11 17:00,0,68,725,27.1,17,0,320,0.8,28.13067034,26.263863,73.008957
Year 1 Jan 11 18:00,1.7,38,279,24.8,22,0,340,0.6,22.73252066,26.263863,73.008957
Year 1 Jan 11 19:00,3.8,0,0,20.6,33,0,340,0.4,19.28943566,26.263863,73.008957
Year 1 Jan 11 20:00,5.6,0,0,18.8,42,0,340,0.3,17.56931825,26.263863,73.008957
Year 1 Jan 11 21:00,7,0,0,17.9,49,0,340,0.1,16.22085529,26.263863,73.008957
Year 1 Jan 11 22:00,7.2,0,0,16.8,53,0,340,0,15.59205902,26.263863,73.008957
Year 1 Jan 11 23:00,6.3,0,0,15.8,53,0,340,0,15.18275768,26.263863,73.008957
Year 1 Jan 12 00:00,6.1,0,0,15.6,53,0,340,0,14.88456521,26.263863,73.008957
