Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 01:00,0,0,10.025,16.225,-86.37204358,134.5566433,1,16.40120501,270,22.7196,75.8577,17.4,0,68,0,6,0
Year 1 Jan 01 02:00,0,0,12.2,17.7,-72.77293702,94.94877639,0.2,16.93453484,270,22.7196,75.8577,17.8,0,71,0,3,0
Year 1 Jan 01 03:00,0,0,11.9,17.5,-59.01720087,97.40669354,0,16.86022034,270,22.7196,75.8577,17.4,0,69,0,1,0
Year 1 Jan 01 04:00,0,0,11.4,16.65,-45.35030576,100.4516971,0,16.48436378,270,22.7196,75.8577,16.4,0,72,0,0,0
Year 1 Jan 01 05:00,0,0,6.8,11.9,-31.82809726,103.9375935,2.925,14.43623533,270,22.7196,75.8577,10.4,0,70,0,0,0
Year 1 Jan 01 06:00,0,0,5.375,9.8,-18.52634002,107.9730355,2.325,13.23092646,270,22.7196,75.8577,9.6,0,75,0,0,0
Year 1 Jan 01 07:00,0,0,5.4,9.825,-5.556165217,112.7756476,1.275,13.03655942,270,22.7196,75.8577,9.9,0,73,0,0,0
Year 1 Jan 01 08:00,11.75,86.5,5.475,11.025,6.909846885,118.6864899,0.275,13.25018153,270,22.7196,75.8577,11.4,0,67,0,0,0
Year 1 Jan 01 09:00,52.75,431,5.5,13.05,18.59138834,126.2202956,1.05,14.78917542,270,22.7196,75.8577,13.6,107,58,346,0,47
Year 1 Jan 01 10:00,62.5,767.75,5.65,15.475,29.02162221,136.10957,1.85,16.77151248,270,22.7196,75.8577,16.1,321,50,686,0,70
Year 1 Jan 01 11:00,45.5,1003.25,5.925,17.675,37.43964681,149.2019111,2.975,18.50453015,270,22.7196,75.8577,18.2,569,45,1013,0,40
Year 1 Jan 01 12:00,75,937.25,6.675,19.475,42.75743033,165.8499932,2.475,20.36727308,270,22.7196,75.8577,19.9,679,43,974,0,62
Year 1 Jan 01 13:00,126,789.25,7.35,20.725,43.90257057,184.7240335,1.825,23.14316655,270,22.7196,75.8577,21,685,42,827,0,114
Year 1 Jan 01 14:00,166,646.75,8.025,21.6,40.58906367,202.8025196,0.425,30.07156163,270,22.7196,75.8577,21.8,628,42,676,0,162
Year 1 Jan 01 15:00,185.75,461.5,8.2,22.025,33.58705615,217.7239219,0.375,34.10360535,270,22.7196,75.8577,22.1,532,41,559,0,178
Year 1 Jan 01 16:00,189,155,8.275,21.95,24.05590068,229.1327482,0.425,32.37864523,270,22.7196,75.8577,21.9,297,42,169,0,209
Year 1 Jan 01 17:00,106.25,90,8.075,21.225,12.932231,237.7515583,1.375,29.94145708,270,22.7196,75.8577,21,170,43,113,0,129
Year 1 Jan 01 18:00,19,10.5,7.925,19.725,0.818045816,244.4046595,1.175,24.93817468,270,22.7196,75.8577,19.3,41,48,21,0,38
Year 1 Jan 01 19:00,0,0,7.525,17.575,-11.92438378,249.7149428,1.15,21.43853727,270,22.7196,75.8577,17,0,53,0,0,0
Year 1 Jan 01 20:00,0,0,7.25,15.2,-25.07560242,254.1038709,0.3,19.83976711,270,22.7196,75.8577,14.6,0,61,0,0,0
Year 1 Jan 01 21:00,0,0,6.675,13.1,-38.4976935,257.8466121,0.45,18.10776195,270,22.7196,75.8577,12.6,0,66,0,0,0
Year 1 Jan 01 22:00,0,0,6.35,11.925,-52.09944464,261.1089525,0.45,16.83021995,270,22.7196,75.8577,11.7,0,70,0,0,0
Year 1 Jan 01 23:00,0,0,6.075,11.775,-65.81651281,263.9193897,1.375,15.70108427,270,22.7196,75.8577,11.8,0,68,0,0,0
Year 1 Jan 02 00:00,0,0,6.15,12.475,-79.59768353,265.5009003,1.625,15.427156,270,22.7196,75.8577,12.7,0,65,0,0,0
Year 1 Jan 02 01:00,0,0,6.275,13.45,-86.45185911,123.8509692,2.425,15.30163128,270,22.7196,75.8577,13.7,0,61,0,0,0
Year 1 Jan 02 02:00,0,0,6.45,13.925,-72.87604767,94.64330542,2.775,15.1818812,270,22.7196,75.8577,14,0,60,0,0,0
Year 1 Jan 02 03:00,0,0,6.2,13.475,-59.11466057,97.22339353,3.85,14.78676617,270,22.7196,75.8577,13.3,0,61,0,0,0
Year 1 Jan 02 04:00,0,0,5.8,12.25,-45.44194343,100.31009,3.975,13.9271802,270,22.7196,75.8577,11.9,0,66,0,0,0
Year 1 Jan 02 05:00,0,0,4.8,8.825,-31.91312976,103.8139806,0.975,12.83093694,270,22.7196,75.8577,7.8,0,80,0,0,0
Year 1 Jan 02 06:00,0,0,5.55,7.575,-18.60351044,107.8561327,0,11.9735921,270,22.7196,75.8577,7.5,0,90,0,2,0
Year 1 Jan 02 07:00,0,0,7.175,8.175,-5.623590444,112.6581051,0,11.82653716,270,22.7196,75.8577,8.4,0,95,0,5,0
Year 1 Jan 02 08:00,14,45.75,8.8,9.6,6.854980518,118.5622218,0,12.3075796,270,22.7196,75.8577,10,0,95,0,7,0
Year 1 Jan 02 09:00,75.25,175.75,10.475,12.025,18.55329114,126.0836496,0.825,14.06923249,270,22.7196,75.8577,12.7,88,89,183,7,56
Year 1 Jan 02 10:00,131.5,267.75,11.8,14.65,29.00642221,135.9562376,1.55,16.48470338,270,22.7196,75.8577,15.3,189,81,154,6,133
Year 1 Jan 02 11:00,124.75,648.25,12.55,17.325,37.4552573,149.0333429,2.525,18.4506232,270,22.7196,75.8577,18,445,71,609,3,127
Year 1 Jan 02 12:00,117.5,779.5,12.7,19.275,42.81074271,165.6818025,2.8,20.28376783,270,22.7196,75.8577,19.7,603,64,766,2,118
Year 1 Jan 02 13:00,139.5,746.75,12.7,20.675,43.99303375,184.5858538,3.1,22.69803485,270,22.7196,75.8577,21,683,59,820,2,116
Year 1 Jan 02 14:00,225,460.25,12.625,21.3,40.70609939,202.7147581,2.9,27.66030476,270,22.7196,75.8577,21.4,575,57,527,2,210
Year 1 Jan 02 15:00,255,237.5,12.825,21.7,33.71741495,217.6829651,3.1,29.34514967,270,22.7196,75.8577,21.8,435,57,260,1,270
Year 1 Jan 02 16:00,188,147.25,13.125,21.5,24.19048698,229.124662,3.05,28.93967368,270,22.7196,75.8577,21.4,299,60,170,1,210
Year 1 Jan 02 17:00,98.25,61,13.35,20.95,13.06642001,237.7650438,3.225,26.22926465,270,22.7196,75.8577,20.8,151,63,79,0,122
Year 1 Jan 02 18:00,13.5,3.5,13.25,19.6,0.949792447,244.4335223,3,21.89036217,270,22.7196,75.8577,19.2,29,68,7,0,27
Year 1 Jan 02 19:00,0,0,12.825,17.925,-11.79592379,249.7570538,2.975,20.01057286,270,22.7196,75.8577,17.5,0,74,0,0,0
Year 1 Jan 02 20:00,0,0,12.175,15.925,-24.95076861,254.1604577,2.85,18.30497662,270,22.7196,75.8577,15.4,0,80,0,0,0
Year 1 Jan 02 21:00,0,0,11.625,14.275,-38.37664506,257.923017,3.25,16.8111125,270,22.7196,75.8577,13.9,0,85,0,0,0
Year 1 Jan 02 22:00,0,0,10.9,12.85,-51.98232956,261.2188269,3.325,15.5702831,270,22.7196,75.8577,12.5,0,89,0,0,0
Year 1 Jan 02 23:00,0,0,10.175,11.975,-65.7036432,264.1034773,3.3,14.6809262,270,22.7196,75.8577,11.8,0,89,0,0,0
Year 1 Jan 03 00:00,0,0,8.95,11.2,-79.49059885,266.0129078,2.4,13.90236822,270,22.7196,75.8577,11,0,85,0,1,0
Year 1 Jan 03 01:00,0,0,7.55,10.7,-86.50725842,110.9730008,1.5,13.72411958,270,22.7196,75.8577,10.6,0,79,0,0,0
Year 1 Jan 03 02:00,0,0,5.925,10,-72.97725057,94.30750971,0.325,13.3358763,270,22.7196,75.8577,9.8,0,74,0,0,0
Year 1 Jan 03 03:00,0,0,4.6,9.35,-59.20996663,97.02454429,0,12.60688007,270,22.7196,75.8577,9.2,0,71,0,0,0
Year 1 Jan 03 04:00,0,0,3.925,8.525,-45.53108155,100.1576869,0,12.099657,270,22.7196,75.8577,8.3,0,73,0,0,0
Year 1 Jan 03 05:00,0,0,7.1,8.825,-31.99526375,103.6818191,0,11.93140956,270,22.7196,75.8577,9,0,95,0,0,0
Year 1 Jan 03 06:00,0,0,7.975,8.325,-18.6773302,107.7319165,0.075,11.3813762,270,22.7196,75.8577,8.1,0,99,0,0,0
Year 1 Jan 03 07:00,0,0,7.075,7.95,-5.687148183,112.5339832,0.025,11.10790409,270,22.7196,75.8577,7.9,0,93,0,0,0
Year 1 Jan 03 08:00,4.75,0.5,7.175,8.275,6.80457909,118.4318563,0,10.88813548,270,22.7196,75.8577,8.4,0,93,0,0,0
Year 1 Jan 03 09:00,44.25,20.5,9.025,9.825,18.52035022,125.9413329,0.075,12.00848411,270,22.7196,75.8577,10.3,19,95,2,0,19
Year 1 Jan 03 10:00,112.5,249.75,10.35,12.4,28.99715431,135.7978689,0.7,14.62411823,270,22.7196,75.8577,13.1,147,85,76,0,120
Year 1 Jan 03 11:00,84.25,817.5,11.8,15.725,37.47757635,148.8610043,1.5,17.01720913,270,22.7196,75.8577,16.6,492,76,771,0,90
Year 1 Jan 03 12:00,98.25,863.5,12.8,19,42.87130047,165.5122099,2.525,19.36153734,270,22.7196,75.8577,19.8,673,65,957,0,67
Year 1 Jan 03 13:00,202.5,551.25,13.45,21.75,44.09067912,184.449557,3.175,22.90543719,270,22.7196,75.8577,22.4,596,58,583,1,192
Year 1 Jan 03 14:00,214.75,500.25,13.375,23.45,40.82953682,202.6317967,3.3,28.64273588,270,22.7196,75.8577,23.8,550,52,456,1,234
Year 1 Jan 03 15:00,166.25,498,13.225,24.175,33.85300748,217.648414,2.55,33.39486356,270,22.7196,75.8577,24.3,560,50,633,2,157
Year 1 Jan 03 16:00,179.25,121.5,12.75,23.85,24.32913579,229.1235518,1.475,30.63053833,270,22.7196,75.8577,23.7,243,50,93,3,194
Year 1 Jan 03 17:00,101.25,155.25,12.45,23.025,13.20366293,237.7856516,0.3,31.45569703,270,22.7196,75.8577,22.8,212,52,207,3,135
Year 1 Jan 03 18:00,0,0,12.1,21.75,1.083763289,244.4696221,0,24.45468205,270,22.7196,75.8577,21.4,0,55,0,2,0
Year 1 Jan 03 19:00,0,0,12.225,20.5,-11.6659215,249.8066958,0,22.64066735,270,22.7196,75.8577,20.2,0,61,0,2,0
Year 1 Jan 03 20:00,0,0,12.45,19.15,-24.8249615,254.2252121,0,21.29471747,270,22.7196,75.8577,18.8,0,67,0,2,0
Year 1 Jan 03 21:00,0,0,13.025,17.9,-38.25510599,258.0088124,0.075,20.1187246,270,22.7196,75.8577,17.6,0,75,0,3,0
Year 1 Jan 03 22:00,0,0,13.05,16.625,-51.86513423,261.3404527,0.25,18.99989843,270,22.7196,75.8577,16.3,0,81,0,3,0
Year 1 Jan 03 23:00,0,0,12.7,15.325,-65.59101752,264.3045122,0.075,17.97071277,270,22.7196,75.8577,15,0,86,0,5,0
Year 1 Jan 04 00:00,0,0,11.775,13.95,-79.38374753,266.5576849,0,16.93689712,270,22.7196,75.8577,13.6,0,87,0,3,0
Year 1 Jan 04 01:00,0,0,10.675,12.775,-86.53497565,99.23220884,0,16.24114535,270,22.7196,75.8577,12.5,0,87,0,2,0
Year 1 Jan 04 02:00,0,0,9.5,11.675,-73.07631664,93.94107004,0,15.28377802,270,22.7196,75.8577,11.4,0,86,0,0,0
Year 1 Jan 04 03:00,0,0,8.825,10.875,-59.30295936,96.81014224,0,14.57920324,270,22.7196,75.8577,10.7,0,87,0,0,0
Year 1 Jan 04 04:00,0,0,8.4,10.025,-45.61758954,99.99453131,0.15,13.845042,270,22.7196,75.8577,9.8,0,90,0,0,0
Year 1 Jan 04 05:00,0,0,10.325,11,-32.074388,103.541167,0.875,13.68545599,270,22.7196,75.8577,11.4,0,98,0,0,0
Year 1 Jan 04 06:00,0,0,10.7,11.55,-18.74770435,107.6004527,0.95,13.67352277,270,22.7196,75.8577,11.6,0,94,0,1,0
Year 1 Jan 04 07:00,0,0,12.1,12.725,-5.746759362,112.4033536,1.575,13.73280259,270,22.7196,75.8577,13.1,0,97,0,2,0
Year 1 Jan 04 08:00,14.5,70.5,13.425,14.525,6.758704794,118.2954707,2.1,14.54588301,270,22.7196,75.8577,15,0,92,0,3,0
Year 1 Jan 04 09:00,71.75,314,14.15,17.475,18.492609,125.7934271,3.625,16.86625636,270,22.7196,75.8577,18.3,107,78,282,5,58
Year 1 Jan 04 10:00,90.5,582.5,14.825,20.55,28.99384118,135.634546,4.7,19.84689796,270,22.7196,75.8577,21.3,262,68,410,5,113
Year 1 Jan 04 11:00,59,974,15.075,23.625,37.50660543,148.6849728,5.8,22.37139593,270,22.7196,75.8577,24.4,603,56,1100,3,23
Year 1 Jan 04 12:00,148.5,671.25,15.1,25.6,42.9390856,165.3412905,5.575,24.94513428,270,22.7196,75.8577,26,545,51,596,3,167
Year 1 Jan 04 13:00,106.5,854.25,14.575,26.825,44.19546897,184.315231,5.175,27.06610463,270,22.7196,75.8577,27.1,715,46,897,3,93
Year 1 Jan 04 14:00,166.5,646.25,14.025,27.025,40.95931483,202.5537352,4.2,32.01603767,270,22.7196,75.8577,27,651,45,726,3,147
Year 1 Jan 04 15:00,221.5,345.25,13.375,27,33.99375078,217.620356,4.125,34.31500797,270,22.7196,75.8577,27,485,43,407,3,225
Year 1 Jan 04 16:00,188.25,207.75,13.125,26.4,24.47175013,229.1294782,4.125,34.02930139,270,22.7196,75.8577,26.2,296,44,160,3,211
Year 1 Jan 04 17:00,94.25,263.5,13.025,25.6,13.34385683,237.8134146,4.775,34.38684842,270,22.7196,75.8577,25.4,251,46,351,2,120
Year 1 Jan 04 18:00,8.5,0.5,13.3,24.05,1.219855236,244.5129678,4.7,26.38050771,270,22.7196,75.8577,23.6,17,53,1,1,17
Year 1 Jan 04 19:00,0,0,13.4,22.4,-11.53447614,249.8638553,4.675,24.09116505,270,22.7196,75.8577,22,0,58,0,0,0
Year 1 Jan 04 20:00,0,0,13.1,20.35,-24.69827315,254.2980965,4.1,22.27883486,270,22.7196,75.8577,19.8,0,65,0,0,0
Year 1 Jan 04 21:00,0,0,12.1,18.675,-38.13315737,258.1039275,4.05,20.71676402,270,22.7196,75.8577,18.3,0,66,0,0,0
Year 1 Jan 04 22:00,0,0,10.9,16.95,-51.74792232,261.473699,3.575,19.30600341,270,22.7196,75.8577,16.5,0,68,0,2,0
Year 1 Jan 04 23:00,0,0,9.7,15.675,-65.47866601,264.5222041,3.325,18.16994931,270,22.7196,75.8577,15.4,0,67,0,3,0
Year 1 Jan 05 00:00,0,0,9.325,14.2,-79.27704791,267.1339501,2.25,17.26856339,270,22.7196,75.8577,13.8,0,74,0,5,0
Year 1 Jan 05 01:00,0,0,9.3,13.125,-86.54124606,90.52760213,1.375,16.52940241,270,22.7196,75.8577,12.9,0,79,0,6,0
Year 1 Jan 05 02:00,0,0,9.825,12.075,-73.17300619,93.54370975,0.3,15.92750625,270,22.7196,75.8577,11.8,0,89,0,5,0
Year 1 Jan 05 03:00,0,0,10.15,11.575,-59.39347571,96.58019972,0.3,15.30452552,270,22.7196,75.8577,11.5,0,92,0,2,0
Year 1 Jan 05 04:00,0,0,10.575,11.2,-45.70133588,99.82067581,0.325,14.94415649,270,22.7196,75.8577,11.1,0,98,0,1,0
Year 1 Jan 05 05:00,0,0,8.75,11.625,-32.15039172,103.3920885,2.55,14.17153688,270,22.7196,75.8577,11.8,0,78,0,0,0
Year 1 Jan 05 06:00,0,0,7.95,11.95,-18.81453939,107.4618111,2.85,13.73647855,270,22.7196,75.8577,12,0,76,0,0,0
Year 1 Jan 05 07:00,0,0,7.15,12.675,-5.802347056,112.2662908,2.55,13.9485927,270,22.7196,75.8577,12.9,0,67,0,0,0
Year 1 Jan 05 08:00,13.5,58.25,6.675,14.325,6.717417095,118.1531441,2.725,14.70409029,270,22.7196,75.8577,14.8,0,58,0,1,0
Year 1 Jan 05 09:00,48.5,414.5,5.175,16.15,18.47010772,125.6400146,3.175,16.4892757,270,22.7196,75.8577,16.6,93,45,233,1,54
Year 1 Jan 05 10:00,58.75,858.5,3.875,18.25,28.9965021,135.466351,3.45,18.54288057,270,22.7196,75.8577,18.8,381,36,959,2,32
Year 1 Jan 05 11:00,115,682,2.1,20.15,37.54234269,148.5053248,3.35,20.74039784,270,22.7196,75.8577,20.6,430,28,557,1,139
Year 1 Jan 05 12:00,48,1043.75,1.975,22.1,43.01407709,165.1691182,2.775,22.05260134,270,22.7196,75.8577,22.6,714,26,1057,0,43
Year 1 Jan 05 13:00,87,925.5,2.55,23.575,44.30736268,184.182964,2.15,24.79686873,270,22.7196,75.8577,23.9,760,25,1004,0,63
Year 1 Jan 05 14:00,188,574.75,4.125,24.725,41.09536925,202.480674,1.775,30.7436031,270,22.7196,75.8577,25,639,27,690,0,159
Year 1 Jan 05 15:00,242,310.25,4.9,24.925,34.13955897,217.5988783,2,33.47884469,270,22.7196,75.8577,24.9,422,28,229,0,275
Year 1 Jan 05 16:00,141.75,457,6.05,24.45,24.61823071,229.1424997,2.55,37.49754848,270,22.7196,75.8577,24.3,436,32,554,1,143
Year 1 Jan 05 17:00,117.5,144.25,6.1,23.025,13.48689729,237.8483627,3.15,32.29415675,270,22.7196,75.8577,22.6,200,34,166,1,138
Year 1 Jan 05 18:00,28,39.5,6.6,21.25,1.357964666,244.5635645,3.225,27.59084401,270,22.7196,75.8577,20.8,70,40,79,1,56
Year 1 Jan 05 19:00,0,0,6.275,19.15,-11.40168654,249.9285152,2.675,22.81058656,270,22.7196,75.8577,18.6,0,44,0,0,0
Year 1 Jan 05 20:00,0,0,6.175,17.4,-24.57079421,254.3790696,1.45,21.07015471,270,22.7196,75.8577,17,0,49,0,0,0
Year 1 Jan 05 21:00,0,0,5.375,15.95,-38.01087777,258.208288,0.275,19.94748619,270,22.7196,75.8577,15.6,0,49,0,0,0
Year 1 Jan 05 22:00,0,0,5.325,15.375,-51.63075368,261.6184318,0,19.13131791,270,22.7196,75.8577,15.3,0,52,0,0,0
Year 1 Jan 05 23:00,0,0,5.625,15.225,-65.36661319,264.7562631,0,18.52796331,270,22.7196,75.8577,15.2,0,53,0,1,0
Year 1 Jan 06 00:00,0,0,7.2,15.575,-79.17040988,267.7404621,0.9,17.93724867,270,22.7196,75.8577,15.7,0,59,0,2,0
Year 1 Jan 06 01:00,0,0,8.675,15.625,-86.53340116,84.3667642,2.4,17.5569,270,22.7196,75.8577,15.6,0,65,0,3,0
Year 1 Jan 06 02:00,0,0,9.975,15.3,-73.26706918,93.1152012,3.625,17.01518266,270,22.7196,75.8577,15.2,0,73,0,3,0
Year 1 Jan 06 03:00,0,0,9.925,14.225,-59.48134951,96.33474588,4.275,16.10304111,270,22.7196,75.8577,13.9,0,77,0,2,0
Year 1 Jan 06 04:00,0,0,9.5,13.075,-45.78218834,99.63618234,4.1,15.11936033,270,22.7196,75.8577,12.8,0,80,0,1,0
Year 1 Jan 06 05:00,0,0,6.775,11.15,-32.22316475,103.2346539,1,14.30862724,270,22.7196,75.8577,10.6,0,73,0,3,0
Year 1 Jan 06 06:00,0,0,5.675,10.075,-18.87774333,107.3160661,0,13.64348432,270,22.7196,75.8577,9.9,0,74,0,3,0
Year 1 Jan 06 07:00,0,0,5.75,10.35,-5.853836581,112.1228727,0,13.66347978,270,22.7196,75.8577,10.5,0,73,0,3,0
Year 1 Jan 06 08:00,12,80.25,6.1,11.625,6.680772665,118.0049577,0,14.10360148,270,22.7196,75.8577,12,0,68,0,3,0
Year 1 Jan 06 09:00,64,343,7.55,13.95,18.45288346,125.4811787,0.825,15.76135164,270,22.7196,75.8577,14.6,102,65,321,2,48
Year 1 Jan 06 10:00,108.25,492.25,8.9,16.475,29.00515301,135.2933656,1.55,18.03393758,270,22.7196,75.8577,17.1,261,60,409,1,112
Year 1 Jan 06 11:00,94,778.75,10.25,18.825,37.58478302,148.3221357,2.525,20.09150326,270,22.7196,75.8577,19.4,484,57,742,0,97
Year 1 Jan 06 12:00,97.5,857.5,10.375,20.3,43.09625088,164.9957661,2.725,21.5365939,270,22.7196,75.8577,20.6,649,52,889,0,85
Year 1 Jan 06 13:00,151.5,713,9.925,21.2,44.42631673,184.0528443,3,23.72188567,270,22.7196,75.8577,21.4,665,48,763,0,135
Year 1 Jan 06 14:00,200,548.25,8.75,21.55,41.23763291,202.4127142,2.875,28.82780406,270,22.7196,75.8577,21.6,593,43,563,1,201
Year 1 Jan 06 15:00,197.75,461.25,8.1,21.9,34.2903433,217.5840676,3.25,32.68816195,270,22.7196,75.8577,22,521,41,504,1,197
Year 1 Jan 06 16:00,180.5,337,7.625,21.85,24.76847597,229.1626732,3.4,33.89748215,270,22.7196,75.8577,21.8,378,40,333,1,200
Year 1 Jan 06 17:00,105,277.75,7.95,21.5,13.63267854,237.8905229,3.775,33.36200564,270,22.7196,75.8577,21.4,254,42,349,1,122
Year 1 Jan 06 18:00,27,32,7.875,20.275,1.49798753,244.6214143,3.45,26.72893048,270,22.7196,75.8577,19.9,66,46,64,1,54
Year 1 Jan 06 19:00,0,0,8.025,18.55,-11.26765097,250.0006549,3.3,22.08815705,270,22.7196,75.8577,18.1,0,52,0,1,0
Year 1 Jan 06 20:00,0,0,7.875,16.375,-24.44261386,254.4680865,2.925,19.978782,270,22.7196,75.8577,15.8,0,59,0,1,0
Year 1 Jan 06 21:00,0,0,7.95,14.6,-37.88834327,258.321816,3.175,18.28836091,270,22.7196,75.8577,14.2,0,66,0,0,0
Year 1 Jan 06 22:00,0,0,7.7,13.3,-51.51368437,261.7745141,3.225,17.04207037,270,22.7196,75.8577,13,0,70,0,0,0
Year 1 Jan 06 23:00,0,0,7.45,13,-65.25487797,265.0063994,3.275,16.08938955,270,22.7196,75.8577,13,0,69,0,0,0
Year 1 Jan 07 00:00,0,0,6.65,13.15,-79.06373556,268.3760133,2.475,15.5795176,270,22.7196,75.8577,13.2,0,63,0,1,0
Year 1 Jan 07 01:00,0,0,6.1,13.5,-86.51573877,79.82253254,1.6,15.54878498,270,22.7196,75.8577,13.6,0,60,0,2,0
Year 1 Jan 07 02:00,0,0,5.475,13.45,-73.35824555,92.6553726,0.35,15.60055151,270,22.7196,75.8577,13.4,0,58,0,3,0
Year 1 Jan 07 03:00,0,0,5.525,13.025,-59.56641173,96.07382756,0,15.30507166,270,22.7196,75.8577,12.9,0,61,0,3,0
Year 1 Jan 07 04:00,0,0,5.6,11.925,-45.86001419,99.44112229,0,14.7800821,270,22.7196,75.8577,11.6,0,66,0,3,0
Year 1 Jan 07 05:00,0,0,6.65,10.7,-32.29259771,103.0689396,1.65,13.61629895,270,22.7196,75.8577,10.4,0,79,0,0,0
Year 1 Jan 07 06:00,0,0,6.925,9.95,-18.93722584,107.1632961,1.9,13.04099384,270,22.7196,75.8577,9.8,0,82,0,0,0
Year 1 Jan 07 07:00,0,0,7.125,10.25,-5.901155592,111.97318,1.65,12.75094513,270,22.7196,75.8577,10.4,0,80,0,0,0
Year 1 Jan 07 08:00,13.5,52,7.425,11.3,6.64882532,117.8509945,1.675,13.17367237,270,22.7196,75.8577,11.6,0,76,0,0,0
Year 1 Jan 07 09:00,52.75,363.75,8.175,14.075,18.44097006,125.3170036,2.075,15.15240807,270,22.7196,75.8577,14.9,89,65,208,0,54
Year 1 Jan 07 10:00,40.25,898.25,9.225,17.525,29.01980645,135.1156713,2.575,17.66199575,270,22.7196,75.8577,18.4,351,56,831,0,49
Year 1 Jan 07 11:00,13.5,1100,10.4,21.4,37.63391802,148.1354796,3.15,20.07592246,270,22.7196,75.8577,22.4,627,48,1100,0,14
Year 1 Jan 07 12:00,16,1100,11.15,24.125,43.18557995,164.8213062,3.6,22.25064306,270,22.7196,75.8577,24.7,786,43,1100,0,12
Year 1 Jan 07 13:00,47.5,1039.75,11.225,25.9,44.55228474,183.9249606,3.85,25.40826144,270,22.7196,75.8577,26.3,824,39,1100,1,28
Year 1 Jan 07 14:00,115.5,815.75,10.675,26.15,41.38603567,202.3499578,3.9,31.76902872,270,22.7196,75.8577,26.1,707,38,859,1,106
Year 1 Jan 07 15:00,156.75,536,9.9,25.95,34.44601223,217.5760101,3.9,35.08920748,270,22.7196,75.8577,25.9,586,36,686,1,144
Year 1 Jan 07 16:00,181,119.75,9.1,25,24.92238221,229.1900533,3.675,31.39382692,270,22.7196,75.8577,24.7,241,37,86,1,195
Year 1 Jan 07 17:00,113.5,169.25,8.825,24.025,13.78109354,237.9399197,3.375,32.19686296,270,22.7196,75.8577,23.8,223,38,221,1,139
Year 1 Jan 07 18:00,18.5,7,8.5,22.525,1.639819446,244.6865158,2.925,25.87135644,270,22.7196,75.8577,22.1,39,41,14,1,37
Year 1 Jan 07 19:00,0,0,8.55,21.125,-11.13246712,250.0802502,2.35,23.42775087,270,22.7196,75.8577,20.8,0,46,0,0,0
Year 1 Jan 07 20:00,0,0,8.45,19.45,-24.31381973,254.5650987,1.825,21.62963927,270,22.7196,75.8577,19,0,50,0,0,0
Year 1 Jan 07 21:00,0,0,8.475,18.175,-37.76562738,258.4444301,1.475,20.27347715,270,22.7196,75.8577,17.9,0,54,0,0,0
Year 1 Jan 07 22:00,0,0,8.2,16.625,-51.39676671,261.9418064,1.4,19.21707672,270,22.7196,75.8577,16.2,0,59,0,0,0
Year 1 Jan 07 23:00,0,0,7.8,15.3,-65.14347379,265.2723239,1.625,18.32282613,270,22.7196,75.8577,15,0,62,0,0,0
Year 1 Jan 08 00:00,0,0,7.25,13.575,-78.9569199,269.0394242,2,16.97433282,270,22.7196,75.8577,13.1,0,67,0,0,0
Year 1 Jan 08 01:00,0,0,7.025,12.35,-86.49029535,76.25703025,2.4,15.74033744,270,22.7196,75.8577,12.1,0,71,0,0,0
Year 1 Jan 08 02:00,0,0,6.85,11.275,-73.4462657,92.16411522,2.725,14.80709369,270,22.7196,75.8577,11,0,75,0,0,0
Year 1 Jan 08 03:00,0,0,6.8,11,-59.64849081,95.79751012,2.875,14.05443666,270,22.7196,75.8577,11,0,75,0,0,0
Year 1 Jan 08 04:00,0,0,6.95,10.55,-45.9346804,99.23557672,2.675,13.3744923,270,22.7196,75.8577,10.4,0,79,0,0,0
Year 1 Jan 08 05:00,0,0,6.475,9.95,-32.35858217,102.8950281,1.475,13.2004566,270,22.7196,75.8577,9.8,0,79,0,0,0
Year 1 Jan 08 06:00,0,0,6.225,9.725,-18.99289841,107.003584,0.725,12.8657216,270,22.7196,75.8577,9.7,0,79,0,0,0
Year 1 Jan 08 07:00,0,0,6.65,10.525,-5.944234179,111.8172962,0.45,12.76401174,270,22.7196,75.8577,10.8,0,76,0,1,0
Year 1 Jan 08 08:00,12.5,71.25,7.325,12,6.621625952,117.6913393,0.1,13.241792,270,22.7196,75.8577,12.4,0,72,0,1,0
Year 1 Jan 08 09:00,55.5,381.5,8.7,14.575,18.43439811,125.1475742,0.075,15.234568,270,22.7196,75.8577,15.3,98,66,285,1,50
Year 1 Jan 08 10:00,64.5,754.75,9.775,17.55,29.04047158,134.9333495,0.025,17.8622482,270,22.7196,75.8577,18.3,316,59,671,1,72
Year 1 Jan 08 11:00,81.25,877.5,10.525,20.625,37.68973603,147.9454296,0,20.29418138,270,22.7196,75.8577,21.4,568,50,1006,1,42
Year 1 Jan 08 12:00,186.75,549,9.95,22.9,43.2820343,164.6458095,0,23.10011485,270,22.7196,75.8577,23.4,512,42,492,1,199
