Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 21 20:00,0,0,7.7,32.925,-13.20889705,288.853137,3.15,38.50062555,270,22.7196,75.8577,32.4,0,22,0,3,0
Year 1 Apr 21 21:00,0,0,6.875,31.275,-25.9680593,296.6194052,3.525,35.93349829,270,22.7196,75.8577,30.9,0,22,0,2,0
Year 1 Apr 21 22:00,0,0,6.15,30.525,-37.73106008,307.0464368,3.9,34.25346874,270,22.7196,75.8577,30.4,0,22,0,1,0
Year 1 Apr 21 23:00,0,0,5.625,30.4,-47.6311556,321.9210411,4.3,33.39137234,270,22.7196,75.8577,30.4,0,21,0,0,0
Year 1 Apr 22 00:00,0,0,5.875,30.4,-54.08526889,342.9310161,4.925,32.84209625,270,22.7196,75.8577,30.4,0,22,0,0,0
Year 1 Apr 22 01:00,0,0,6.15,29.875,-54.82023708,8.258620938,5.25,31.95346259,270,22.7196,75.8577,29.7,0,23,0,0,0
Year 1 Apr 22 02:00,0,0,6.8,28.425,-50.11193428,31.13573485,5.075,30.71188415,270,22.7196,75.8577,28,0,26,0,0,0
Year 1 Apr 22 03:00,0,0,6.7,26.275,-41.26039207,48.00218988,4.175,29.44382821,270,22.7196,75.8577,25.7,0,29,0,0,0
Year 1 Apr 22 04:00,0,0,6.525,24.35,-30.06943233,59.76174807,3,28.11356982,270,22.7196,75.8577,23.9,0,33,0,0,0
Year 1 Apr 22 05:00,0,0,6.05,23.825,-17.62873633,68.31154837,0.675,28.08522663,270,22.7196,75.8577,23.8,0,31,0,1,0
Year 1 Apr 22 06:00,0,0,6.05,25.225,-4.499829924,75.01393289,0.525,28.16716959,270,22.7196,75.8577,25.7,0,28,0,1,0
Year 1 Apr 22 07:00,11.5,150.25,6.325,27.5,9.020534371,80.74028959,1.9,28.99072468,270,22.7196,75.8577,28.1,0,25,0,1,0
Year 1 Apr 22 08:00,34.75,725.75,6.25,30.725,22.75711273,86.12928756,3.875,31.50155846,270,22.7196,75.8577,31.6,176,20,601,1,46
Year 1 Apr 22 09:00,1,1100,6.125,33.25,36.58076468,91.83793391,5.225,33.2815843,270,22.7196,75.8577,33.8,582,18,1100,2,1
Year 1 Apr 22 10:00,14.5,1094.25,6.025,35.45,50.34434267,98.95663813,5.5,35.30986816,270,22.7196,75.8577,36,856,16,1100,1,1
Year 1 Apr 22 11:00,59,1075.5,5.85,36.6,63.72634603,110.4071592,4.3,37.2067999,270,22.7196,75.8577,36.8,925,15,1077,1,55
Year 1 Apr 22 12:00,98.25,1014.75,5.875,37.925,75.29002208,138.2123798,2.55,38.90561281,270,22.7196,75.8577,38.3,1056,14,1071,0,71
Year 1 Apr 22 13:00,189.75,825.5,5.9,38.75,77.80748956,202.3319785,0.825,42.42019172,270,22.7196,75.8577,38.9,1006,13,846,1,180
Year 1 Apr 22 14:00,274.75,648.25,6.275,39.725,68.14402159,243.0240415,0.1,50.26303406,270,22.7196,75.8577,40,961,13,764,1,219
Year 1 Apr 22 15:00,422.5,278.5,6.625,39.775,55.09428884,257.809648,0.45,53.47443426,270,22.7196,75.8577,39.7,714,14,301,3,442
Year 1 Apr 22 16:00,336.75,196,6.625,39.55,41.40794368,265.9191523,1.875,53.17388017,270,22.7196,75.8577,39.5,529,14,211,5,364
Year 1 Apr 22 17:00,218.75,241,6.525,38.375,27.58499033,271.9521418,3.5,52.32229048,270,22.7196,75.8577,38,347,15,151,6,255
Year 1 Apr 22 18:00,97,435.5,6.425,37.175,13.80393736,277.3683728,4.875,54.36163917,270,22.7196,75.8577,36.9,319,15,511,5,110
Year 1 Apr 22 19:00,29,104.5,6.4,35.325,0.1916847,282.9089032,5.35,45.23960739,270,22.7196,75.8577,34.8,95,17,209,2,58
Year 1 Apr 22 20:00,0,0,6.325,33.75,-13.09947835,289.1882072,5.1,38.46443038,270,22.7196,75.8577,33.4,0,18,0,0,0
Year 1 Apr 22 21:00,0,0,6.3,31.825,-25.82677391,296.9680999,4.325,35.97195227,270,22.7196,75.8577,31.3,0,21,0,0,0
Year 1 Apr 22 22:00,0,0,6.375,30.625,-37.54444654,307.4108501,3.95,34.29693711,270,22.7196,75.8577,30.4,0,22,0,0,0
Year 1 Apr 22 23:00,0,0,6.25,29.65,-47.38386633,322.2723097,3.9,33.27265004,270,22.7196,75.8577,29.4,0,23,0,0,0
Year 1 Apr 23 00:00,0,0,5.9,29.475,-53.77384328,343.1700813,4.35,32.53338252,270,22.7196,75.8577,29.5,0,22,0,0,0
Year 1 Apr 23 01:00,0,0,5.425,28.825,-54.48186425,8.26423992,4.5,31.5098839,270,22.7196,75.8577,28.6,0,23,0,0,0
Year 1 Apr 23 02:00,0,0,5.075,28,-49.79499599,30.94945154,4.05,30.49655966,270,22.7196,75.8577,27.8,0,23,0,0,0
Year 1 Apr 23 03:00,0,0,5.075,26.15,-40.98595569,47.736494,2.7,29.77818635,270,22.7196,75.8577,25.6,0,27,0,0,0
Year 1 Apr 23 04:00,0,0,5.325,24.775,-29.83405963,59.47823577,1.25,28.96742474,270,22.7196,75.8577,24.5,0,29,0,0,0
Year 1 Apr 23 05:00,0,0,4.5,25.625,-17.42332004,68.02684056,4.8,28.22748118,270,22.7196,75.8577,26,0,24,0,7,0
Year 1 Apr 23 06:00,0,0,3.45,26.45,-4.316116637,74.72632091,5.575,28.05357518,270,22.7196,75.8577,26.6,0,22,0,8,0
Year 1 Apr 23 07:00,10.5,164.25,2.6,27.65,9.189344704,80.44060173,4.95,28.84025976,270,22.7196,75.8577,28,0,19,0,10,0
Year 1 Apr 23 08:00,35.25,767.75,2.325,29.65,22.91721374,85.80276438,4.125,30.91073383,270,22.7196,75.8577,30.2,186,17,657,8,42
Year 1 Apr 23 09:00,14,1100,2.3,31.85,36.73919987,91.46121622,4.05,32.65362749,270,22.7196,75.8577,32.4,523,15,1100,7,15
