Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jun 22 16:00,349,302.75,18.525,35.125,45.00192776,281.0500483,245.5,4.125,40.67516873,0,22.7196,75.8577,35.1,605,38,263,6,388
Year 1 Jun 22 17:00,217.75,391,18.425,34.725,31.50837305,284.4583423,247.25,3.975,40.72965262,0,22.7196,75.8577,34.6,513,38,422,5,232
Year 1 Jun 22 18:00,153,279.75,18.4,33.625,18.24029878,288.4634361,245.75,5.1,39.48856682,0,22.7196,75.8577,33.3,316,42,298,5,175
Year 1 Jun 22 19:00,65.25,168.75,18.625,32.1,5.311476228,293.2661358,246.5,5.875,37.29030053,0,22.7196,75.8577,31.7,146,46,225,3,87
Year 1 Jun 22 20:00,0,0,19,30.425,-7.101716209,299.2016676,247.75,6.9,32.6408473,0,22.7196,75.8577,30,0,52,0,3,0
Year 1 Jun 22 21:00,0,0,19.55,29.025,-18.71340073,306.7820888,253.25,6.6,31.01904468,0,22.7196,75.8577,28.7,0,58,0,3,0
Year 1 Jun 22 22:00,0,0,20,28.025,-29.049343,316.7329885,259.5,6.625,29.99497561,0,22.7196,75.8577,27.8,0,63,0,2,0
Year 1 Jun 22 23:00,0,0,20.25,27.5,-37.34240192,329.876706,267.75,6.25,29.03125273,0,22.7196,75.8577,27.4,0,65,0,2,0
Year 1 Jun 23 00:00,0,0,20.3,27.1,-42.51041812,346.5085238,271.5,7.225,28.39501254,0,22.7196,75.8577,27,0,67,0,2,0
Year 1 Jun 23 01:00,0,0,20.375,26.7,-43.52072459,5.180135038,273.5,8.05,27.81097298,0,22.7196,75.8577,26.6,0,69,0,2,0
Year 1 Jun 23 02:00,0,0,20.325,26.15,-40.12351219,23.05957936,271,9.1,27.16604596,0,22.7196,75.8577,26,0,71,0,2,0
Year 1 Jun 23 03:00,0,0,20.375,25.55,-33.08646199,37.80712747,270.75,8.725,26.56948841,0,22.7196,75.8577,25.4,0,74,0,2,0
Year 1 Jun 23 04:00,0,0,20.775,24.875,-23.55126689,49.09826575,268.75,8.425,26.02220964,0,22.7196,75.8577,24.7,0,79,0,2,0
Year 1 Jun 23 05:00,0,0,20.675,24.625,-12.43801019,57.64110473,253,7.5,25.64464951,0,22.7196,75.8577,24.6,0,79,0,3,0
Year 1 Jun 23 06:00,0,0,21.125,25.05,-0.339807146,64.23929017,245.75,7.35,25.7610101,0,22.7196,75.8577,25.2,0,79,0,6,0
Year 1 Jun 23 07:00,16.75,131,21.15,25.95,12.38488824,69.49994391,246.5,7.175,27.30145614,0,22.7196,75.8577,26.2,0,74,0,6,0
Year 1 Jun 23 08:00,77,554.5,21.175,27.25,25.51801625,73.83127187,247.75,7.625,31.83857917,0,22.7196,75.8577,27.6,209,68,524,7,67
Year 1 Jun 23 09:00,134.25,606,20.375,28.65,38.92196211,77.49129802,253.25,8.25,33.48156708,0,22.7196,75.8577,29,419,59,646,6,107
Year 1 Jun 23 10:00,172.5,639.5,19.5,30.05,52.50518807,80.60971416,259.5,9.6,33.99547414,0,22.7196,75.8577,30.4,543,52,486,6,216
Year 1 Jun 23 11:00,47.25,1099,18.325,31.3,66.20204084,83.09452625,267.75,10.75,33.97289755,0,22.7196,75.8577,31.6,977,45,1100,5,42
Year 1 Jun 23 12:00,60.75,1097,17.7,32.5,79.9520191,83.18272708,271.5,11.75,34.39226472,0,22.7196,75.8577,32.8,1090,41,1096,6,63
