Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Mar 02 22:00,0,0,16.1,18,-40.29096951,279.6538429,294.75,2.55,21.24249897,90,23.242,69.6669,17.9,0,89,0,1,0
Year 1 Mar 02 23:00,0,0,15.1,17.975,-53.70801585,289.2374383,276,2.725,20.53881837,90,23.242,69.6669,18,0,82,0,1,0
Year 1 Mar 03 00:00,0,0,13.75,18,-65.99431079,306.5297868,209.25,2.2,20.43850319,90,23.242,69.6669,18,0,75,0,1,0
Year 1 Mar 03 01:00,0,0,11.9,17.625,-73.69481211,14.94944622,120.75,1.475,20.20649047,90,23.242,69.6669,17.5,0,68,0,1,0
Year 1 Mar 03 02:00,0,0,10.425,16.375,-71.22778983,34.52336543,24.5,0.325,19.58092447,90,23.242,69.6669,16,0,68,0,0,0
Year 1 Mar 03 03:00,0,0,9.125,14.5,-60.78393616,61.74152687,0,0,18.63541782,90,23.242,69.6669,14,0,71,0,0,0
Year 1 Mar 03 04:00,0,0,8.575,12.35,-47.89642769,74.86374293,0,0,17.59407658,90,23.242,69.6669,11.8,0,80,0,0,0
Year 1 Mar 03 05:00,0,0,10.75,12.1,-34.30157381,83.01953154,0,1.05,16.97295484,90,23.242,69.6669,12.2,0,96,0,0,0
Year 1 Mar 03 06:00,0,0,11.125,11.6,-20.48211059,89.29562454,0,1.025,16.28219244,90,23.242,69.6669,11.4,0,98,0,0,0
Year 1 Mar 03 07:00,0,0,10.775,11.85,-6.640400229,94.95391174,48.75,1.65,15.74037981,90,23.242,69.6669,12,0,92,0,1,0
Year 1 Mar 03 08:00,12.75,84,11.15,13.05,7.082035554,100.7433894,101,1.75,18.72377097,90,23.242,69.6669,13.4,0,87,0,1,0
Year 1 Mar 03 09:00,56.25,435.25,12.125,15.575,20.52137028,107.3621543,238.25,2.825,29.94121434,90,23.242,69.6669,16.3,112,78,0,1,51
Year 1 Mar 03 10:00,77.5,755.75,13.75,18.475,33.4099986,115.7698773,310,3.125,38.65768916,90,23.242,69.6669,19.2,368,73,0,1,72
Year 1 Mar 03 11:00,113,793,15.475,21.6,45.21708152,127.5935145,170,3.475,39.83191839,90,23.242,69.6669,22.4,584,67,0,1,94
Year 1 Mar 03 12:00,161.75,740.25,17.025,23.9,54.79285721,145.5157754,246.75,2.325,38.49228555,90,23.242,69.6669,24.4,690,65,0,1,170
