Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,77.93,270,12.6,0,0,13.2,96,0,31,1.5,13.558258285306828
Year 1 Jan 01 02:00,23.31,77.93,270,12.1,0,0,12.6,97,0,28,1.5,13.495338887858239
Year 1 Jan 01 03:00,23.31,77.93,270,11.4,0,0,11.9,97,0,27,1.4,13.034747989713994
Year 1 Jan 01 04:00,23.31,77.93,270,10.9,0,0,11.2,98,0,27,1.3,12.511159041574997
Year 1 Jan 01 05:00,23.31,77.93,270,10.4,0,0,10.7,98,0,30,1.2,12.013525069316256
Year 1 Jan 01 06:00,23.31,77.93,270,9.8,0,0,10.1,98,0,32,1.2,11.51120951316398
Year 1 Jan 01 07:00,23.31,77.93,270,9.4,0,0,9.7,98,0,35,1.1,11.047066133173708
Year 1 Jan 01 08:00,23.31,77.93,270,10.1,44,70,10.7,96,0,38,1.1,11.939906176125746
Year 1 Jan 01 09:00,23.31,77.93,270,12.3,126,336,13.7,91,0,40,1.5,14.116320039079483
Year 1 Jan 01 10:00,23.31,77.93,270,13.6,172,514,16.1,85,0,37,1.8,16.333367700777818
Year 1 Jan 01 11:00,23.31,77.93,270,14.5,196,616,18.2,79,0,29,1.6,18.324282938674217
Year 1 Jan 01 12:00,23.31,77.93,270,14.3,208,665,20.4,68,0,19,1.9,20.081779477922504
Year 1 Jan 01 13:00,23.31,77.93,270,13.2,209,684,21.5,59,0,7,2,23.037330330669819
Year 1 Jan 01 14:00,23.31,77.93,270,12,201,670,22,53,0,358,1.9,29.351346493661738
Year 1 Jan 01 15:00,23.31,77.93,270,10.4,183,620,21.9,48,0,353,1.9,34.280396934463869
Year 1 Jan 01 16:00,23.31,77.93,270,8.7,152,523,21.4,44,0,350,1.9,36.257451517455667
Year 1 Jan 01 17:00,23.31,77.93,270,6.7,102,324,20.4,41,0,350,1.8,32.602767985246369
Year 1 Jan 01 18:00,23.31,77.93,270,5.2,20,31,17.9,43,0,349,1.2,23.692668065607927
Year 1 Jan 01 19:00,23.31,77.93,270,4.1,0,0,15.7,46,0,348,1.2,20.00333386338478
Year 1 Jan 01 20:00,23.31,77.93,270,3.4,0,0,14.3,48,0,349,1.2,17.96871687368793
Year 1 Jan 01 21:00,23.31,77.93,270,3.6,0,0,13.2,52,0,353,1.2,16.471662596897127
Year 1 Jan 01 22:00,23.31,77.93,270,4.3,0,0,12.1,59,0,1,1.1,15.25342178756441
Year 1 Jan 01 23:00,23.31,77.93,270,5.5,0,0,11.2,68,0,13,1,14.227488300451194
Year 1 Jan 02 00:00,23.31,77.93,270,6.4,0,0,10.3,77,0,26,0.9,13.32905077798853
Year 1 Jan 02 01:00,23.31,77.93,270,6.9,0,0,9.5,84,0,35,0.8,12.559946062230776
Year 1 Jan 02 02:00,23.31,77.93,270,7.2,0,0,8.9,89,0,37,0.7,11.886643697575805
Year 1 Jan 02 03:00,23.31,77.93,270,6.9,0,0,8.1,92,0,36,0.6,11.238015994540027
Year 1 Jan 02 04:00,23.31,77.93,270,6.6,0,0,7.5,94,0,40,0.5,10.644498344992833
Year 1 Jan 02 05:00,23.31,77.93,270,6.4,0,0,7,96,0,56,0.5,10.090273956887664
Year 1 Jan 02 06:00,23.31,77.93,270,6,0,0,6.4,97,0,76,0.5,9.529748615965822
Year 1 Jan 02 07:00,23.31,77.93,270,5.7,0,0,6,98,0,98,0.5,9.017961875
Year 1 Jan 02 08:00,23.31,77.93,270,7.1,45,77,7.5,97,0,125,0.4,9.998559374
Year 1 Jan 02 09:00,23.31,77.93,270,9.9,122,371,11.1,92,0,169,0.3,12.355865029277977
Year 1 Jan 02 10:00,23.31,77.93,270,12.4,165,547,15.5,82,0,121,0.3,14.899714149012727
Year 1 Jan 02 11:00,23.31,77.93,270,12.5,189,643,17.6,72,0,63,0.4,17.164576722693825
Year 1 Jan 02 12:00,23.31,77.93,270,11.4,201,690,19.4,60,0,23,0.7,18.866766499776057
Year 1 Jan 02 13:00,23.31,77.93,270,10.2,203,705,20.7,51,0,10,1,22.06493291376477
Year 1 Jan 02 14:00,23.31,77.93,270,8.8,197,685,21.6,44,0,4,1.3,28.908824344729277
Year 1 Jan 02 15:00,23.31,77.93,270,7.9,182,627,21.7,41,0,2,1.4,34.117929335204568
Year 1 Jan 02 16:00,23.31,77.93,270,7.3,153,522,21.4,40,0,360,1.4,36.27027866167985
Year 1 Jan 02 17:00,23.31,77.93,270,6.4,103,323,20.4,40,0,359,1.3,32.69163847977662
Year 1 Jan 02 18:00,23.31,77.93,270,4.9,21,32,17.6,43,0,356,0.9,23.613213453308423
Year 1 Jan 02 19:00,23.31,77.93,270,3.9,0,0,15.1,47,0,354,0.8,19.80421246340505
