Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,82,270,7.2,0,0,7.8,96,3.1,64,0.6,12.643892915442425
Year 1 Jan 01 02:00,23.31,82,270,6.9,0,0,7.6,95,4.1,64,0.6,11.683809312128068
Year 1 Jan 01 03:00,23.31,82,270,6.9,0,0,7.8,94,5,58,0.7,11.306617210063618
Year 1 Jan 01 04:00,23.31,82,270,6.9,0,0,8.1,92,6,48,0.8,11.12238926569442
Year 1 Jan 01 05:00,23.31,82,270,7.2,0,0,8.4,92,4,36,0.8,10.863813312876858
Year 1 Jan 01 06:00,23.31,82,270,7.3,0,0,8.2,94,2,37,0.7,10.466776092848873
Year 1 Jan 01 07:00,23.31,82,270,7.1,1,1,7.9,95,0,45,0.7,10.201208832987192
Year 1 Jan 01 08:00,23.31,82,270,8.4,65,140,9.6,92,3.3,53,0.7,11.649399299265636
Year 1 Jan 01 09:00,23.31,82,270,9.7,152,140,11.6,88,6.7,63,0.7,13.73326231982457
Year 1 Jan 01 10:00,23.31,82,270,10.9,161,21,13,87,10,69,0.9,15.123077043762665
Year 1 Jan 01 11:00,23.31,82,270,11.4,187,18,14.1,84,6.8,63,1,16.569774139357834
Year 1 Jan 01 12:00,23.31,82,270,12.7,305,101,16.8,77,3.7,48,0.9,18.85667462218803
Year 1 Jan 01 13:00,23.31,82,270,14.2,288,362,18.9,74,0.5,43,0.8,22.477769421127787
Year 1 Jan 01 14:00,23.31,82,270,14.9,255,410,19.9,73,2.6,50,0.8,26.985824211058266
Year 1 Jan 01 15:00,23.31,82,270,14.9,246,168,19.2,76,4.6,45,0.8,26.96765841994103
Year 1 Jan 01 16:00,23.31,82,270,14.7,150,56,18.4,79,6.7,36,0.8,24.146190731519626
Year 1 Jan 01 17:00,23.31,82,270,14.2,53,19,17.3,82,7.8,23,0.8,21.195720637391003
Year 1 Jan 01 18:00,23.31,82,270,13.8,3,2,16.1,86,8.9,8,0.8,18.874844489272925
Year 1 Jan 01 19:00,23.31,82,270,13.6,0,0,14.7,93,10,4,0.8,17.84526296292512
Year 1 Jan 01 20:00,23.31,82,270,12.9,0,0,13.4,97,10,13,0.8,16.892680561273907
Year 1 Jan 01 21:00,23.31,82,270,12.6,0,0,12.8,99,10,32,0.8,16.105138036728165
Year 1 Jan 01 22:00,23.31,82,270,12.3,0,0,12.5,99,10,50,0.8,15.528345297680483
