Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.47,69.79,0,6,0,0,20,40,0,40,2.5,19.05543968
Year 1 Jan 01 02:00,23.47,69.79,0,5.8,0,0,19.4,41,0,38,2.5,18.78309902
Year 1 Jan 01 03:00,23.47,69.79,0,5.4,0,0,18.9,41,0,38,2.5,18.39179016
Year 1 Jan 01 04:00,23.47,69.79,0,5.4,0,0,18.5,42,0,42,2.6,18.02131433
Year 1 Jan 01 05:00,23.47,69.79,0,4.3,0,0,18.1,40,0,46,2.8,17.67552954
Year 1 Jan 01 06:00,23.47,69.79,0,3.3,0,0,17.8,38,0,49,2.9,17.35485429
Year 1 Jan 01 07:00,23.47,69.79,0,2.6,0,0,17.4,37,0,52,3,17.02196006
Year 1 Jan 01 08:00,23.47,69.79,0,2.7,6,9,17.5,37,0,55,3.1,17.08728472
Year 1 Jan 01 09:00,23.47,69.79,0,3.2,85,159,19.9,33,0,55,3.4,18.84664067
Year 1 Jan 01 10:00,23.47,69.79,0,2.8,159,371,22.2,28,0,57,4.4,21.21686687
Year 1 Jan 01 11:00,23.47,69.79,0,3,203,495,23.6,26,0,54,4.1,23.17848847
Year 1 Jan 01 12:00,23.47,69.79,0,3.3,229,559,25.3,24,0,51,3.8,24.86364539
Year 1 Jan 01 13:00,23.47,69.79,0,3.7,239,594,27.3,22,0,48,3.7,26.42624637
Year 1 Jan 01 14:00,23.47,69.79,0,4.7,236,595,28.5,22,0,48,3.8,27.58791212
Year 1 Jan 01 15:00,23.47,69.79,0,5.1,222,561,28.9,22,0,41,3.7,28.1350285
Year 1 Jan 01 16:00,23.47,69.79,0,6.4,192,495,29,24,0,35,3.7,28.0901413
Year 1 Jan 01 17:00,23.47,69.79,0,7.1,145,363,28.5,26,0,30,3.4,27.22698895
Year 1 Jan 01 18:00,23.47,69.79,0,6.7,66,140,26.1,29,0,23,2.3,25.20427668
Year 1 Jan 01 19:00,23.47,69.79,0,6.8,1,1,23.6,34,0,17,2.1,23.13521693
Year 1 Jan 01 20:00,23.47,69.79,0,6.6,0,0,22.4,36,0,19,2.3,21.98832684
Year 1 Jan 01 21:00,23.47,69.79,0,6.3,0,0,21.6,37,0,23,2.5,21.1717288
Year 1 Jan 01 22:00,23.47,69.79,0,5.9,0,0,20.7,38,0,27,2.5,20.44533784
Year 1 Jan 01 23:00,23.47,69.79,0,5.6,0,0,20,39,0,31,2.4,19.79180987
Year 1 Jan 02 00:00,23.47,69.79,0,5.1,0,0,19.4,39,0,35,2.4,19.2206913
Year 1 Jan 02 01:00,23.47,69.79,0,4.6,0,0,18.8,39,0,40,2.5,18.68325288
Year 1 Jan 02 02:00,23.47,69.79,0,3.9,0,0,18.5,38,0,44,2.7,18.24377675
Year 1 Jan 02 03:00,23.47,69.79,0,3.1,0,0,18,37,0,46,2.8,17.82430518
Year 1 Jan 02 04:00,23.47,69.79,0,2.8,0,0,17.7,37,0,49,2.9,17.4443901
Year 1 Jan 02 05:00,23.47,69.79,0,2.5,0,0,17.3,37,0,51,2.9,17.07883941
Year 1 Jan 02 06:00,23.47,69.79,0,2.1,0,0,16.9,37,0,53,2.9,16.71512792
Year 1 Jan 02 07:00,23.47,69.79,0,2.1,0,0,16.5,38,0,55,2.9,16.34891205
Year 1 Jan 02 08:00,23.47,69.79,0,2.9,6,9,16.5,40,0,57,2.9,16.38100747
Year 1 Jan 02 09:00,23.47,69.79,0,4.1,85,159,19.1,37,0,60,3.2,18.17602433
Year 1 Jan 02 10:00,23.47,69.79,0,5.5,160,363,21.6,35,0,66,4.2,20.6337123
Year 1 Jan 02 11:00,23.47,69.79,0,6.8,206,479,23.1,35,0,68,3.8,22.70124099
Year 1 Jan 02 12:00,23.47,69.79,0,8.7,234,541,24.8,36,0,67,3.4,24.45207241
Year 1 Jan 02 13:00,23.47,69.79,0,10,245,574,26.7,35,0,63,3,26.02582137
Year 1 Jan 02 14:00,23.47,69.79,0,11.1,243,573,28,35,0,63,2.8,27.21691359
Year 1 Jan 02 15:00,23.47,69.79,0,11.6,229,538,28.5,35,0,56,2.6,27.82624263
Year 1 Jan 02 16:00,23.47,69.79,0,11.5,198,472,28.9,34,0,44,2.5,27.84879352
Year 1 Jan 02 17:00,23.47,69.79,0,10.8,148,346,28.6,33,0,37,2.5,27.08670433
Year 1 Jan 02 18:00,23.47,69.79,0,10.5,67,136,26.3,37,0,30,1.8,25.16064132
Year 1 Jan 02 19:00,23.47,69.79,0,9.6,1,1,23.6,41,0,21,1.6,23.10996864
Year 1 Jan 02 20:00,23.47,69.79,0,9.2,0,0,22.4,43,0,18,1.7,21.98207939
Year 1 Jan 02 21:00,23.47,69.79,0,8.7,0,0,21.5,44,0,17,1.8,21.15096904
Year 1 Jan 02 22:00,23.47,69.79,0,8.2,0,0,20.5,45,0,19,1.8,20.40331215
Year 1 Jan 02 23:00,23.47,69.79,0,7.4,0,0,19.6,45,0,25,1.7,19.69413089
Year 1 Jan 03 00:00,23.47,69.79,0,6.3,0,0,18.8,44,0,31,1.7,19.03255967
Year 1 Jan 03 01:00,23.47,69.79,0,5.3,0,0,18.1,43,0,37,1.8,18.41558245
Year 1 Jan 03 02:00,23.47,69.79,0,4.3,0,0,17.7,41,0,44,1.8,17.90585105
Year 1 Jan 03 03:00,23.47,69.79,0,3.8,0,0,17.1,41,0,50,1.8,17.40680515
Year 1 Jan 03 04:00,23.47,69.79,0,3.2,0,0,16.5,41,0,51,1.8,16.90708277
