Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,86.07,90,14.1,0,0,14.3,99,0,163,0.2,19.51981818194909
Year 1 Jan 01 02:00,23.44,86.07,90,13.7,0,0,13.9,99,0,160,0.2,18.51399461849426
Year 1 Jan 01 03:00,23.44,86.07,90,13.3,0,0,13.5,99,0,153,0.2,17.90136122175049
Year 1 Jan 01 04:00,23.44,86.07,90,12.8,0,0,13.1,98,0,142,0.2,17.37261588180731
Year 1 Jan 01 05:00,23.44,86.07,90,12.8,0,0,13.1,98,0.4,156,0.3,16.958878237564176
Year 1 Jan 01 06:00,23.44,86.07,90,12.7,0,0,13,98,0.8,170,0.3,16.609687356681787
Year 1 Jan 01 07:00,23.44,86.07,90,13.1,10,15,13.4,98,1.2,172,0.3,18.908509740989979
Year 1 Jan 01 08:00,23.44,86.07,90,14.4,95,155,15.4,94,1,172,0.4,26.236259574070858
Year 1 Jan 01 09:00,23.44,86.07,90,15.7,173,329,18.1,86,0.8,164,0.4,32.50931003569264
Year 1 Jan 01 10:00,23.44,86.07,90,15.6,216,458,20.2,75,0.6,165,0.6,35.54245449564998
Year 1 Jan 01 11:00,23.44,86.07,90,16.4,237,533,21.2,74,0.4,169,0.4,34.641641351218769
Year 1 Jan 01 12:00,23.44,86.07,90,17.4,249,556,22.5,73,0.2,160,0.3,31.420325104340777
Year 1 Jan 01 13:00,23.44,86.07,90,18.5,238,565,23.9,72,0,124,0.3,30.399964769947169
Year 1 Jan 01 14:00,23.44,86.07,90,19.2,253,403,25.1,70,3.3,55,0.3,30.41593170295645
Year 1 Jan 01 15:00,23.44,86.07,90,20,229,163,25,74,6.7,36,0.4,29.754626540978039
Year 1 Jan 01 16:00,23.44,86.07,90,21,128,51,24.3,82,10,64,0.4,28.213678558339056
Year 1 Jan 01 17:00,23.44,86.07,90,19.5,34,15,23.3,79,8.9,78,0.5,26.316826781623847
Year 1 Jan 01 18:00,23.44,86.07,90,18.8,0,0,22.2,81,7.7,82,0.5,24.868384182319138
Year 1 Jan 01 19:00,23.44,86.07,90,18.1,0,0,20.9,84,6.6,85,0.5,23.80355476097605
Year 1 Jan 01 20:00,23.44,86.07,90,17.7,0,0,20.1,86,7.7,94,0.5,22.98453808340311
Year 1 Jan 01 21:00,23.44,86.07,90,17.2,0,0,19.4,87,8.9,103,0.4,22.33522056584505
Year 1 Jan 01 22:00,23.44,86.07,90,16.8,0,0,18.8,88,10,111,0.3,21.78232703648616
Year 1 Jan 01 23:00,23.44,86.07,90,16.6,0,0,18.3,90,10,109,0.3,21.295985895835224
Year 1 Jan 02 00:00,23.44,86.07,90,16.4,0,0,17.9,91,10,118,0.2,20.883978634590905
Year 1 Jan 02 01:00,23.44,86.07,90,16.2,0,0,17.7,91,10,141,0.3,20.54303477814409
Year 1 Jan 02 02:00,23.44,86.07,90,16,0,0,17.5,91,7.4,145,0.4,20.12295444274569
Year 1 Jan 02 03:00,23.44,86.07,90,15.8,0,0,16.9,93,4.8,132,0.3,19.602061585373336
Year 1 Jan 02 04:00,23.44,86.07,90,15.1,0,0,15.9,95,2.2,108,0.3,18.947345320749134
Year 1 Jan 02 05:00,23.44,86.07,90,14.8,0,0,15.3,97,2.5,84,0.3,18.427932406059914
