Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.47,69.79,270,6,0,0,20,40,0,40,2.5,20.418024001095707
Year 1 Jan 01 02:00,23.47,69.79,270,5.8,0,0,19.4,41,0,38,2.5,20.01645289518649
Year 1 Jan 01 03:00,23.47,69.79,270,5.4,0,0,18.9,41,0,38,2.5,19.51850154107258
Year 1 Jan 01 04:00,23.47,69.79,270,5.4,0,0,18.5,42,0,42,2.6,19.05272111441161
Year 1 Jan 01 05:00,23.47,69.79,270,4.3,0,0,18.1,40,0,46,2.8,18.617186896631475
Year 1 Jan 01 06:00,23.47,69.79,270,3.3,0,0,17.8,38,0,49,2.9,18.21959002507596
Year 1 Jan 01 07:00,23.47,69.79,270,2.6,0,0,17.4,37,0,52,3,17.820704250624865
Year 1 Jan 01 08:00,23.47,69.79,270,2.7,6,9,17.5,37,0,55,3.1,17.827712434042149
Year 1 Jan 01 09:00,23.47,69.79,270,3.2,85,159,19.9,33,0,55,3.4,19.529972246813427
Year 1 Jan 01 10:00,23.47,69.79,270,2.8,159,371,22.2,28,0,57,4.4,21.82297714402264
Year 1 Jan 01 11:00,23.47,69.79,270,3,203,495,23.6,26,0,54,4.1,23.746025833879263
Year 1 Jan 01 12:00,23.47,69.79,270,3.3,229,559,25.3,24,0,51,3.8,25.405888804543975
Year 1 Jan 01 13:00,23.47,69.79,270,3.7,239,594,27.3,22,0,48,3.7,27.028674537010966
Year 1 Jan 01 14:00,23.47,69.79,270,4.7,236,595,28.5,22,0,48,3.8,31.42050750347917
Year 1 Jan 01 15:00,23.47,69.79,270,5.1,222,561,28.9,22,0,41,3.7,36.32173976993258
Year 1 Jan 01 16:00,23.47,69.79,270,6.4,192,495,29,24,0,35,3.7,39.37999137156199
Year 1 Jan 01 17:00,23.47,69.79,270,7.1,145,363,28.5,26,0,30,3.4,38.51604849610159
Year 1 Jan 01 18:00,23.47,69.79,270,6.7,66,140,26.1,29,0,23,2.3,33.69879822048559
Year 1 Jan 01 19:00,23.47,69.79,270,6.8,1,1,23.6,34,0,17,2.1,27.16215136706954
Year 1 Jan 01 20:00,23.47,69.79,270,6.6,0,0,22.4,36,0,19,2.3,24.96136427998374
Year 1 Jan 01 21:00,23.47,69.79,270,6.3,0,0,21.6,37,0,23,2.5,23.533997165504606
Year 1 Jan 01 22:00,23.47,69.79,270,5.9,0,0,20.7,38,0,27,2.5,22.423679239085403
Year 1 Jan 01 23:00,23.47,69.79,270,5.6,0,0,20,39,0,31,2.4,21.514614280954605
Year 1 Jan 02 00:00,23.47,69.79,270,5.1,0,0,19.4,39,0,35,2.4,20.75067416119923
Year 1 Jan 02 01:00,23.47,69.79,270,4.6,0,0,18.8,39,0,40,2.5,20.052152085732776
Year 1 Jan 02 02:00,23.47,69.79,270,3.9,0,0,18.5,38,0,44,2.7,19.47297394390827
Year 1 Jan 02 03:00,23.47,69.79,270,3.1,0,0,18,37,0,46,2.8,18.936258966277003
Year 1 Jan 02 04:00,23.47,69.79,270,2.8,0,0,17.7,37,0,49,2.9,18.45808957739581
Year 1 Jan 02 05:00,23.47,69.79,270,2.5,0,0,17.3,37,0,51,2.9,18.012081583625297
Year 1 Jan 02 06:00,23.47,69.79,270,2.1,0,0,16.9,37,0,53,2.9,17.581185611130999
Year 1 Jan 02 07:00,23.47,69.79,270,2.1,0,0,16.5,38,0,55,2.9,17.156939030754868
Year 1 Jan 02 08:00,23.47,69.79,270,2.9,6,9,16.5,40,0,57,2.9,17.138895140593819
Year 1 Jan 02 09:00,23.47,69.79,270,4.1,85,159,19.1,37,0,60,3.2,18.87898561845455
Year 1 Jan 02 10:00,23.47,69.79,270,5.5,160,363,21.6,35,0,66,4.2,21.259894907678743
Year 1 Jan 02 11:00,23.47,69.79,270,6.8,206,479,23.1,35,0,68,3.8,23.288725804008707
Year 1 Jan 02 12:00,23.47,69.79,270,8.7,234,541,24.8,36,0,67,3.4,25.01636023319935
Year 1 Jan 02 13:00,23.47,69.79,270,10,245,574,26.7,35,0,63,3,26.661907400890539
Year 1 Jan 02 14:00,23.47,69.79,270,11.1,243,573,28,35,0,63,2.8,31.169425306429248
Year 1 Jan 02 15:00,23.47,69.79,270,11.6,229,538,28.5,35,0,56,2.6,36.294373438840697
Year 1 Jan 02 16:00,23.47,69.79,270,11.5,198,472,28.9,34,0,44,2.5,39.40617452
Year 1 Jan 02 17:00,23.47,69.79,270,10.8,148,346,28.6,33,0,37,2.5,38.79678593308414
Year 1 Jan 02 18:00,23.47,69.79,270,10.5,67,136,26.3,37,0,30,1.8,34.03119407216433
Year 1 Jan 02 19:00,23.47,69.79,270,9.6,1,1,23.6,41,0,21,1.6,27.42754789791682
Year 1 Jan 02 20:00,23.47,69.79,270,9.2,0,0,22.4,43,0,18,1.7,25.213720781180336
Year 1 Jan 02 21:00,23.47,69.79,270,8.7,0,0,21.5,44,0,17,1.8,23.754432232474288
Year 1 Jan 02 22:00,23.47,69.79,270,8.2,0,0,20.5,45,0,19,1.8,22.601407636577009
Year 1 Jan 02 23:00,23.47,69.79,270,7.4,0,0,19.6,45,0,25,1.7,21.617992165981293
