Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,77.93,90,12.6,0,0,13.2,96,0,31,1.5,12.857591074624875
Year 1 Jan 01 02:00,23.31,77.93,90,12.1,0,0,12.6,97,0,28,1.5,12.883338273874726
Year 1 Jan 01 03:00,23.31,77.93,90,11.4,0,0,11.9,97,0,27,1.4,12.503962398425117
Year 1 Jan 01 04:00,23.31,77.93,90,10.9,0,0,11.2,98,0,27,1.3,12.04941232308686
Year 1 Jan 01 05:00,23.31,77.93,90,10.4,0,0,10.7,98,0,30,1.2,11.608612650809058
Year 1 Jan 01 06:00,23.31,77.93,90,9.8,0,0,10.1,98,0,32,1.2,11.157601009647369
Year 1 Jan 01 07:00,23.31,77.93,90,9.4,0,0,9.7,98,0,35,1.1,10.73575371871478
Year 1 Jan 01 08:00,23.31,77.93,90,10.1,44,70,10.7,96,0,38,1.1,17.085376326335657
Year 1 Jan 01 09:00,23.31,77.93,90,12.3,126,336,13.7,91,0,40,1.5,25.924622462187757
Year 1 Jan 01 10:00,23.31,77.93,90,13.6,172,514,16.1,85,0,37,1.8,30.61439107191778
Year 1 Jan 01 11:00,23.31,77.93,90,14.5,196,616,18.2,79,0,29,1.6,31.324139706931889
Year 1 Jan 01 12:00,23.31,77.93,90,14.3,208,665,20.4,68,0,19,1.9,28.766316868956367
Year 1 Jan 01 13:00,23.31,77.93,90,13.2,209,684,21.5,59,0,7,2,25.539456333191958
Year 1 Jan 01 14:00,23.31,77.93,90,12,201,670,22,53,0,358,1.9,25.068988335003284
Year 1 Jan 01 15:00,23.31,77.93,90,10.4,183,620,21.9,48,0,353,1.9,24.3502782
Year 1 Jan 01 16:00,23.31,77.93,90,8.7,152,523,21.4,44,0,350,1.9,23.25451926427329
Year 1 Jan 01 17:00,23.31,77.93,90,6.7,102,324,20.4,41,0,350,1.8,21.439965887820237
Year 1 Jan 01 18:00,23.31,77.93,90,5.2,20,31,17.9,43,0,349,1.2,18.968208571985107
Year 1 Jan 01 19:00,23.31,77.93,90,4.1,0,0,15.7,46,0,348,1.2,17.244223909671015
Year 1 Jan 01 20:00,23.31,77.93,90,3.4,0,0,14.3,48,0,349,1.2,15.963215839188113
Year 1 Jan 01 21:00,23.31,77.93,90,3.6,0,0,13.2,52,0,353,1.2,14.947446340659033
Year 1 Jan 01 22:00,23.31,77.93,90,4.3,0,0,12.1,59,0,1,1.1,14.01853574202265
Year 1 Jan 01 23:00,23.31,77.93,90,5.5,0,0,11.2,68,0,13,1,13.22457354723022
Year 1 Jan 02 00:00,23.31,77.93,90,6.4,0,0,10.3,77,0,26,0.9,12.525266575261697
Year 1 Jan 02 01:00,23.31,77.93,90,6.9,0,0,9.5,84,0,35,0.8,11.88415878779642
Year 1 Jan 02 02:00,23.31,77.93,90,7.2,0,0,8.9,89,0,37,0.7,11.308275505872784
Year 1 Jan 02 03:00,23.31,77.93,90,6.9,0,0,8.1,92,0,36,0.6,10.73934362937095
Year 1 Jan 02 04:00,23.31,77.93,90,6.6,0,0,7.5,94,0,40,0.5,10.209098193115603
Year 1 Jan 02 05:00,23.31,77.93,90,6.4,0,0,7,96,0,56,0.5,9.710716315790107
Year 1 Jan 02 06:00,23.31,77.93,90,6,0,0,6.4,97,0,76,0.5,9.201523680374708
Year 1 Jan 02 07:00,23.31,77.93,90,5.7,0,0,6,98,0,98,0.5,8.733998729380416
Year 1 Jan 02 08:00,23.31,77.93,90,7.1,45,77,7.5,97,0,125,0.4,15.754137963868607
Year 1 Jan 02 09:00,23.31,77.93,90,9.9,122,371,11.1,92,0,169,0.3,25.80125878725822
Year 1 Jan 02 10:00,23.31,77.93,90,12.4,165,547,15.5,82,0,121,0.3,31.09201446987982
Year 1 Jan 02 11:00,23.31,77.93,90,12.5,189,643,17.6,72,0,63,0.4,31.951431682888189
Year 1 Jan 02 12:00,23.31,77.93,90,11.4,201,690,19.4,60,0,23,0.7,28.986192926518819
Year 1 Jan 02 13:00,23.31,77.93,90,10.2,203,705,20.7,51,0,10,1,25.384168758548456
Year 1 Jan 02 14:00,23.31,77.93,90,8.8,197,685,21.6,44,0,4,1.3,24.829746346817168
Year 1 Jan 02 15:00,23.31,77.93,90,7.9,182,627,21.7,41,0,2,1.4,24.111838549194454
Year 1 Jan 02 16:00,23.31,77.93,90,7.3,153,522,21.4,40,0,360,1.4,23.067247074583265
Year 1 Jan 02 17:00,23.31,77.93,90,6.4,103,323,20.4,40,0,359,1.3,21.286103415230515
Year 1 Jan 02 18:00,23.31,77.93,90,4.9,21,32,17.6,43,0,356,0.9,18.79316421437653
Year 1 Jan 02 19:00,23.31,77.93,90,3.9,0,0,15.1,47,0,354,0.8,17.060210293136885
Year 1 Jan 02 20:00,23.31,77.93,90,2.7,0,0,13.5,48,0,354,0.8,15.765307241931778
Year 1 Jan 02 21:00,23.31,77.93,90,1.7,0,0,12.1,49,0,353,0.8,14.655230740321752
Year 1 Jan 02 22:00,23.31,77.93,90,1.1,0,0,11.1,50,0,350,0.8,13.696691674431236
Year 1 Jan 02 23:00,23.31,77.93,90,0.5,0,0,10.2,51,0,348,0.8,12.78752340622453
Year 1 Jan 03 00:00,23.31,77.93,90,0.3,0,0,9.4,53,0,345,0.7,12.01667258203195
Year 1 Jan 03 01:00,23.31,77.93,90,0,0,0,8.5,55,0,343,0.7,11.27282099093111
Year 1 Jan 03 02:00,23.31,77.93,90,0.1,0,0,7.8,58,0,344,0.6,10.604316382835224
Year 1 Jan 03 03:00,23.31,77.93,90,0,0,0,7,61,0,350,0.5,10.013001355387566
Year 1 Jan 03 04:00,23.31,77.93,90,0,0,0,6.3,64,0,4,0.4,9.464431812443804
Year 1 Jan 03 05:00,23.31,77.93,90,0.1,0,0,5.7,67,0,30,0.3,8.945276692926126
Year 1 Jan 03 06:00,23.31,77.93,90,-0.1,0,0,5.3,68,0,56,0.4,8.469640954358232
Year 1 Jan 03 07:00,23.31,77.93,90,0.4,0,0,5.2,71,0,76,0.4,8.092137888
Year 1 Jan 03 08:00,23.31,77.93,90,1.7,44,71,7,69,0,92,0.5,14.911223450398757
Year 1 Jan 03 09:00,23.31,77.93,90,3.7,125,344,11.4,59,0,104,0.6,24.49640785468828
Year 1 Jan 03 10:00,23.31,77.93,90,5.9,173,506,16.3,50,0,86,0.8,30.060612221464749
Year 1 Jan 03 11:00,23.31,77.93,90,6.5,201,596,18.7,45,0,80,1,30.992212632614714
Year 1 Jan 03 12:00,23.31,77.93,90,6.7,216,643,20.4,41,0,66,0.9,28.64349963136761
Year 1 Jan 03 13:00,23.31,77.93,90,6.6,217,660,21.5,38,0,51,0.8,25.452186030566403
Year 1 Jan 03 14:00,23.31,77.93,90,6.2,211,638,22.4,35,0,37,0.8,25.066121669063127
Year 1 Jan 03 15:00,23.31,77.93,90,5.9,196,576,22.5,34,0,25,0.9,24.52441052629384
Year 1 Jan 03 16:00,23.31,77.93,90,5.9,163,473,22.5,34,0,22,1,23.59691098363556
Year 1 Jan 03 17:00,23.31,77.93,90,5.7,107,290,21.4,36,0,22,1.1,21.844418487925098
Year 1 Jan 03 18:00,23.31,77.93,90,4.8,21,30,18.7,40,0,23,0.9,19.395016787715706
Year 1 Jan 03 19:00,23.31,77.93,90,4.1,0,0,16.4,44,0,22,0.9,17.768908750995949
Year 1 Jan 03 20:00,23.31,77.93,90,4,0,0,14.9,48,0,20,0.9,16.568135605048576
Year 1 Jan 03 21:00,23.31,77.93,90,3.5,0,0,13.7,50,0,14,0.9,15.568154883493598
Year 1 Jan 03 22:00,23.31,77.93,90,3.1,0,0,12.7,52,0,11,0.8,14.707831180972417
Year 1 Jan 03 23:00,23.31,77.93,90,2.7,0,0,11.7,54,0,12,0.7,13.932596470122676
Year 1 Jan 04 00:00,23.31,77.93,90,2.2,0,0,10.6,56,0,14,0.5,13.194409807396655
Year 1 Jan 04 01:00,23.31,77.93,90,2.3,0,0,9.4,61,0,37,0.2,12.466803149316455
Year 1 Jan 04 02:00,23.31,77.93,90,1.6,0,0,8.9,60,0,135,0.2,11.836455456984382
Year 1 Jan 04 03:00,23.31,77.93,90,1.2,0,0,8.3,61,0,162,0.3,11.260844704383186
Year 1 Jan 04 04:00,23.31,77.93,90,1,0,0,7.6,63,0,173,0.3,10.684210319831014
Year 1 Jan 04 05:00,23.31,77.93,90,0.7,0,0,7.3,63,0,154,0.4,10.183973143654234
Year 1 Jan 04 06:00,23.31,77.93,90,0.6,0,0,7.2,63,0,149,0.6,9.763893895896175
Year 1 Jan 04 07:00,23.31,77.93,90,2.3,0,0,6.8,73,0,160,0.4,9.372711805813374
Year 1 Jan 04 08:00,23.31,77.93,90,6.2,44,73,8.2,87,0,145,0.3,16.257740660444349
Year 1 Jan 04 09:00,23.31,77.93,90,5.5,123,357,13.3,59,0,125,0.4,26.181847101360149
Year 1 Jan 04 10:00,23.31,77.93,90,4.6,169,528,18,41,0,118,0.4,31.96707365189419
Year 1 Jan 04 11:00,23.31,77.93,90,4.8,196,618,20.4,36,0,100,0.4,33.007146598002339
Year 1 Jan 04 12:00,23.31,77.93,90,5.2,212,657,21.7,34,0,54,0.3,30.380748095306218
Year 1 Jan 04 13:00,23.31,77.93,90,5.7,216,665,22.8,33,0,35,0.3,26.985142798042543
Year 1 Jan 04 14:00,23.31,77.93,90,7.2,213,635,23.5,35,0,15,0.4,26.498690396681128
Year 1 Jan 04 15:00,23.31,77.93,90,7.3,200,563,23.7,35,0,17,0.4,25.92586362765154
Year 1 Jan 04 16:00,23.31,77.93,90,7.7,167,454,23.6,36,0,21,0.4,24.92090758
Year 1 Jan 04 17:00,23.31,77.93,90,8.1,109,276,22.8,39,0,25,0.4,23.16445197992965
Year 1 Jan 04 18:00,23.31,77.93,90,7.1,22,30,19.7,44,0,28,0.5,20.635307595125988
Year 1 Jan 04 19:00,23.31,77.93,90,6.4,0,0,17.2,49,0,34,0.6,18.927073606021819
Year 1 Jan 04 20:00,23.31,77.93,90,6.2,0,0,15.7,53,0,40,0.6,17.698402912986894
Year 1 Jan 04 21:00,23.31,77.93,90,5.8,0,0,14.5,56,0,40,0.7,16.678685793844474
Year 1 Jan 04 22:00,23.31,77.93,90,5.4,0,0,13.5,58,0,32,0.7,15.792927061731224
Year 1 Jan 04 23:00,23.31,77.93,90,5.3,0,0,12.6,61,0,25,0.6,15.009779068798205
Year 1 Jan 05 00:00,23.31,77.93,90,4.9,0,0,11.7,63,0,24,0.5,14.273083014050919
Year 1 Jan 05 01:00,23.31,77.93,90,4.6,0,0,10.7,66,0,30,0.4,13.553122071127913
Year 1 Jan 05 02:00,23.31,77.93,90,4.4,0,0,10,68,0,41,0.3,12.900048903151657
