Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.47,69.79,90,6,0,0,20,40,0,40,2.5,19.82419184
Year 1 Jan 01 02:00,23.47,69.79,90,5.8,0,0,19.4,41,0,38,2.5,19.50234018
Year 1 Jan 01 03:00,23.47,69.79,90,5.4,0,0,18.9,41,0,38,2.5,19.06833218
Year 1 Jan 01 04:00,23.47,69.79,90,5.4,0,0,18.5,42,0,42,2.6,18.65688084
Year 1 Jan 01 05:00,23.47,69.79,90,4.3,0,0,18.1,40,0,46,2.8,18.26882798
Year 1 Jan 01 06:00,23.47,69.79,90,3.3,0,0,17.8,38,0,49,2.9,17.91121394
Year 1 Jan 01 07:00,23.47,69.79,90,2.6,0,0,17.4,37,0,52,3,17.54588305
Year 1 Jan 01 08:00,23.47,69.79,90,2.7,6,9,17.5,37,0,55,3.1,19.37363555
Year 1 Jan 01 09:00,23.47,69.79,90,3.2,85,159,19.9,33,0,55,3.4,25.8906045
Year 1 Jan 01 10:00,23.47,69.79,90,2.8,159,371,22.2,28,0,57,4.4,31.61045858
Year 1 Jan 01 11:00,23.47,69.79,90,3,203,495,23.6,26,0,54,4.1,33.92477749
Year 1 Jan 01 12:00,23.47,69.79,90,3.3,229,559,25.3,24,0,51,3.8,33.41477167
Year 1 Jan 01 13:00,23.47,69.79,90,3.7,239,594,27.3,22,0,48,3.7,30.94613706
Year 1 Jan 01 14:00,23.47,69.79,90,4.7,236,595,28.5,22,0,48,3.8,30.19416477
Year 1 Jan 01 15:00,23.47,69.79,90,5.1,222,561,28.9,22,0,41,3.7,30.13711495
Year 1 Jan 01 16:00,23.47,69.79,90,6.4,192,495,29,24,0,35,3.7,29.7312538
Year 1 Jan 01 17:00,23.47,69.79,90,7.1,145,363,28.5,26,0,30,3.4,28.64868952
Year 1 Jan 01 18:00,23.47,69.79,90,6.7,66,140,26.1,29,0,23,2.3,26.54011827
Year 1 Jan 01 19:00,23.47,69.79,90,6.8,1,1,23.6,34,0,17,2.1,24.39620669
Year 1 Jan 01 20:00,23.47,69.79,90,6.6,0,0,22.4,36,0,19,2.3,23.14314696
