Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,77.93,0,12.6,0,0,13.2,96,0,31,1.5,11.385073500588164
Year 1 Jan 01 02:00,23.31,77.93,0,12.1,0,0,12.6,97,0,28,1.5,11.518369235089974
Year 1 Jan 01 03:00,23.31,77.93,0,11.4,0,0,11.9,97,0,27,1.4,11.205941773759126
Year 1 Jan 01 04:00,23.31,77.93,0,10.9,0,0,11.2,98,0,27,1.3,10.803726446578278
Year 1 Jan 01 05:00,23.31,77.93,0,10.4,0,0,10.7,98,0,30,1.2,10.40652160340806
Year 1 Jan 01 06:00,23.31,77.93,0,9.8,0,0,10.1,98,0,32,1.2,10.00123322707131
Year 1 Jan 01 07:00,23.31,77.93,0,9.4,0,0,9.7,98,0,35,1.1,9.616411948045887
Year 1 Jan 01 08:00,23.31,77.93,0,10.1,44,70,10.7,96,0,38,1.1,10.59014261556947
Year 1 Jan 01 09:00,23.31,77.93,0,12.3,126,336,13.7,91,0,40,1.5,12.868623535159767
Year 1 Jan 01 10:00,23.31,77.93,0,13.6,172,514,16.1,85,0,37,1.8,15.18267935899376
Year 1 Jan 01 11:00,23.31,77.93,0,14.5,196,616,18.2,79,0,29,1.6,17.233458027181464
Year 1 Jan 01 12:00,23.31,77.93,0,14.3,208,665,20.4,68,0,19,1.9,19.052682790745434
Year 1 Jan 01 13:00,23.31,77.93,0,13.2,209,684,21.5,59,0,7,2,20.35665397327885
Year 1 Jan 01 14:00,23.31,77.93,0,12,201,670,22,53,0,358,1.9,21.073768110142756
Year 1 Jan 01 15:00,23.31,77.93,0,10.4,183,620,21.9,48,0,353,1.9,21.047318188193665
Year 1 Jan 01 16:00,23.31,77.93,0,8.7,152,523,21.4,44,0,350,1.9,20.412521530522818
Year 1 Jan 01 17:00,23.31,77.93,0,6.7,102,324,20.4,41,0,350,1.8,18.91082257094488
Year 1 Jan 01 18:00,23.31,77.93,0,5.2,20,31,17.9,43,0,349,1.2,16.602027344392256
Year 1 Jan 01 19:00,23.31,77.93,0,4.1,0,0,15.7,46,0,348,1.2,15.048361748918179
Year 1 Jan 01 20:00,23.31,77.93,0,3.4,0,0,14.3,48,0,349,1.2,13.943507017755897
Year 1 Jan 01 21:00,23.31,77.93,0,3.6,0,0,13.2,52,0,353,1.2,13.038344068627183
Year 1 Jan 01 22:00,23.31,77.93,0,4.3,0,0,12.1,59,0,1,1.1,12.219426317320878
Year 1 Jan 01 23:00,23.31,77.93,0,5.5,0,0,11.2,68,0,13,1,11.520104246986698
Year 1 Jan 02 00:00,23.31,77.93,0,6.4,0,0,10.3,77,0,26,0.9,10.905964040608382
Year 1 Jan 02 01:00,23.31,77.93,0,6.9,0,0,9.5,84,0,35,0.8,10.340912793397808
Year 1 Jan 02 02:00,23.31,77.93,0,7.2,0,0,8.9,89,0,37,0.7,9.831061523132533
Year 1 Jan 02 03:00,23.31,77.93,0,6.9,0,0,8.1,92,0,36,0.6,9.323327927743945
Year 1 Jan 02 04:00,23.31,77.93,0,6.6,0,0,7.5,94,0,40,0.5,8.847803758816573
Year 1 Jan 02 05:00,23.31,77.93,0,6.4,0,0,7,96,0,56,0.5,8.401846433635522
Year 1 Jan 02 06:00,23.31,77.93,0,6,0,0,6.4,97,0,76,0.5,7.943089015
Year 1 Jan 02 07:00,23.31,77.93,0,5.7,0,0,6,98,0,98,0.5,7.520620534766568
Year 1 Jan 02 08:00,23.31,77.93,0,7.1,45,77,7.5,97,0,125,0.4,8.533915981694137
Year 1 Jan 02 09:00,23.31,77.93,0,9.9,122,371,11.1,92,0,169,0.3,10.915790741986698
Year 1 Jan 02 10:00,23.31,77.93,0,12.4,165,547,15.5,82,0,121,0.3,13.515016692570974
Year 1 Jan 02 11:00,23.31,77.93,0,12.5,189,643,17.6,72,0,63,0.4,15.834815960300326
Year 1 Jan 02 12:00,23.31,77.93,0,11.4,201,690,19.4,60,0,23,0.7,17.60528191373684
Year 1 Jan 02 13:00,23.31,77.93,0,10.2,203,705,20.7,51,0,10,1,18.97229406062582
Year 1 Jan 02 14:00,23.31,77.93,0,8.8,197,685,21.6,44,0,4,1.3,19.890485332879089
Year 1 Jan 02 15:00,23.31,77.93,0,7.9,182,627,21.7,41,0,2,1.4,20.057087098305077
Year 1 Jan 02 16:00,23.31,77.93,0,7.3,153,522,21.4,40,0,360,1.4,19.58007691710001
Year 1 Jan 02 17:00,23.31,77.93,0,6.4,103,323,20.4,40,0,359,1.3,18.180636174336788
Year 1 Jan 02 18:00,23.31,77.93,0,4.9,21,32,17.6,43,0,356,0.9,15.905986712613864
Year 1 Jan 02 19:00,23.31,77.93,0,3.9,0,0,15.1,47,0,354,0.8,14.358851762702141
Year 1 Jan 02 20:00,23.31,77.93,0,2.7,0,0,13.5,48,0,354,0.8,13.257775445889905
Year 1 Jan 02 21:00,23.31,77.93,0,1.7,0,0,12.1,49,0,353,0.8,12.330678949286277
Year 1 Jan 02 22:00,23.31,77.93,0,1.1,0,0,11.1,50,0,350,0.8,11.53226873166737
Year 1 Jan 02 23:00,23.31,77.93,0,0.5,0,0,10.2,51,0,348,0.8,10.829402031420134
Year 1 Jan 03 00:00,23.31,77.93,0,0.3,0,0,9.4,53,0,345,0.7,10.191378155976718
Year 1 Jan 03 01:00,23.31,77.93,0,0,0,0,8.5,55,0,343,0.7,9.567835442
Year 1 Jan 03 02:00,23.31,77.93,0,0.1,0,0,7.8,58,0,344,0.6,8.997350784
Year 1 Jan 03 03:00,23.31,77.93,0,0,0,0,7,61,0,350,0.5,8.460439215183652
Year 1 Jan 03 04:00,23.31,77.93,0,0,0,0,6.3,64,0,4,0.4,7.943652332904377
Year 1 Jan 03 05:00,23.31,77.93,0,0.1,0,0,5.7,67,0,30,0.3,7.478927135243031
Year 1 Jan 03 06:00,23.31,77.93,0,-0.1,0,0,5.3,68,0,56,0.4,7.059782466457729
Year 1 Jan 03 07:00,23.31,77.93,0,0.4,0,0,5.2,71,0,76,0.4,6.731748054291835
Year 1 Jan 03 08:00,23.31,77.93,0,1.7,44,71,7,69,0,92,0.5,7.888187266848652
Year 1 Jan 03 09:00,23.31,77.93,0,3.7,125,344,11.4,59,0,104,0.6,10.455347147471258
Year 1 Jan 03 10:00,23.31,77.93,0,5.9,173,506,16.3,50,0,86,0.8,13.404299969675855
Year 1 Jan 03 11:00,23.31,77.93,0,6.5,201,596,18.7,45,0,80,1,15.91451561160844
Year 1 Jan 03 12:00,23.31,77.93,0,6.7,216,643,20.4,41,0,66,0.9,17.902131117503339
Year 1 Jan 03 13:00,23.31,77.93,0,6.6,217,660,21.5,38,0,51,0.8,19.27210710708676
Year 1 Jan 03 14:00,23.31,77.93,0,6.2,211,638,22.4,35,0,37,0.8,20.1509251
Year 1 Jan 03 15:00,23.31,77.93,0,5.9,196,576,22.5,34,0,25,0.9,20.39965703051982
Year 1 Jan 03 16:00,23.31,77.93,0,5.9,163,473,22.5,34,0,22,1,20.024923354227249
Year 1 Jan 03 17:00,23.31,77.93,0,5.7,107,290,21.4,36,0,22,1.1,18.685359797852415
Year 1 Jan 03 18:00,23.31,77.93,0,4.8,21,30,18.7,40,0,23,0.9,16.500254065169714
Year 1 Jan 03 19:00,23.31,77.93,0,4.1,0,0,16.4,44,0,22,0.9,15.086351596808547
Year 1 Jan 03 20:00,23.31,77.93,0,4,0,0,14.9,48,0,20,0.9,14.078793806016148
Year 1 Jan 03 21:00,23.31,77.93,0,3.5,0,0,13.7,50,0,14,0.9,13.251479203500225
Year 1 Jan 03 22:00,23.31,77.93,0,3.1,0,0,12.7,52,0,11,0.8,12.533412526877602
Year 1 Jan 03 23:00,23.31,77.93,0,2.7,0,0,11.7,54,0,12,0.7,11.88077173693842
Year 1 Jan 04 00:00,23.31,77.93,0,2.2,0,0,10.6,56,0,14,0.5,11.249025698200319
Year 1 Jan 04 01:00,23.31,77.93,0,2.3,0,0,9.4,61,0,37,0.2,10.615969454971497
Year 1 Jan 04 02:00,23.31,77.93,0,1.6,0,0,8.9,60,0,135,0.2,10.06694618791669
Year 1 Jan 04 03:00,23.31,77.93,0,1.2,0,0,8.3,61,0,162,0.3,9.561256501014308
Year 1 Jan 04 04:00,23.31,77.93,0,1,0,0,7.6,63,0,173,0.3,9.0548742
Year 1 Jan 04 05:00,23.31,77.93,0,0.7,0,0,7.3,63,0,154,0.4,8.616570475405588
Year 1 Jan 04 06:00,23.31,77.93,0,0.6,0,0,7.2,63,0,149,0.6,8.257371481353097
Year 1 Jan 04 07:00,23.31,77.93,0,2.3,0,0,6.8,73,0,160,0.4,7.916152618153184
Year 1 Jan 04 08:00,23.31,77.93,0,6.2,44,73,8.2,87,0,145,0.3,8.987210251888588
Year 1 Jan 04 09:00,23.31,77.93,0,5.5,123,357,13.3,59,0,125,0.4,11.639317419460266
Year 1 Jan 04 10:00,23.31,77.93,0,4.6,169,528,18,41,0,118,0.4,14.634982591176016
Year 1 Jan 04 11:00,23.31,77.93,0,4.8,196,618,20.4,36,0,100,0.4,17.146875091706457
Year 1 Jan 04 12:00,23.31,77.93,0,5.2,212,657,21.7,34,0,54,0.3,19.00393683472278
Year 1 Jan 04 13:00,23.31,77.93,0,5.7,216,665,22.8,33,0,35,0.3,20.343207645697555
Year 1 Jan 04 14:00,23.31,77.93,0,7.2,213,635,23.5,35,0,15,0.4,21.19729513857642
