Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,86.07,270,14.1,0,0,14.3,99,0,163,0.2,19.068860856448965
Year 1 Jan 01 02:00,23.44,86.07,270,13.7,0,0,13.9,99,0,160,0.2,18.06167950472276
Year 1 Jan 01 03:00,23.44,86.07,270,13.3,0,0,13.5,99,0,153,0.2,17.45091884168881
Year 1 Jan 01 04:00,23.44,86.07,270,12.8,0,0,13.1,98,0,142,0.2,16.924955577214626
Year 1 Jan 01 05:00,23.44,86.07,270,12.8,0,0,13.1,98,0.4,156,0.3,16.504688501772564
Year 1 Jan 01 06:00,23.44,86.07,270,12.7,0,0,13,98,0.8,170,0.3,16.17417413661687
Year 1 Jan 01 07:00,23.44,86.07,270,13.1,10,15,13.4,98,1.2,172,0.3,16.366306578113485
Year 1 Jan 01 08:00,23.44,86.07,270,14.4,95,155,15.4,94,1,172,0.4,18.18542800724279
Year 1 Jan 01 09:00,23.44,86.07,270,15.7,173,329,18.1,86,0.8,164,0.4,20.48654572560985
Year 1 Jan 01 10:00,23.44,86.07,270,15.6,216,458,20.2,75,0.6,165,0.6,22.59246315054009
Year 1 Jan 01 11:00,23.44,86.07,270,16.4,237,533,21.2,74,0.4,169,0.4,24.21692428317371
Year 1 Jan 01 12:00,23.44,86.07,270,17.4,249,556,22.5,73,0.2,160,0.3,25.845873925433169
Year 1 Jan 01 13:00,23.44,86.07,270,18.5,238,565,23.9,72,0,124,0.3,30.75387834889276
Year 1 Jan 01 14:00,23.44,86.07,270,19.2,253,403,25.1,70,3.3,55,0.3,34.499454114181329
Year 1 Jan 01 15:00,23.44,86.07,270,20,229,163,25,74,6.7,36,0.4,33.761751854795637
Year 1 Jan 01 16:00,23.44,86.07,270,21,128,51,24.3,82,10,64,0.4,30.431523766440337
Year 1 Jan 01 17:00,23.44,86.07,270,19.5,34,15,23.3,79,8.9,78,0.5,27.18358749429506
Year 1 Jan 01 18:00,23.44,86.07,270,18.8,0,0,22.2,81,7.7,82,0.5,24.877095763100735
Year 1 Jan 01 19:00,23.44,86.07,270,18.1,0,0,20.9,84,6.6,85,0.5,23.561149105655575
Year 1 Jan 01 20:00,23.44,86.07,270,17.7,0,0,20.1,86,7.7,94,0.5,22.619188396078365
Year 1 Jan 01 21:00,23.44,86.07,270,17.2,0,0,19.4,87,8.9,103,0.4,21.910488361016115
Year 1 Jan 01 22:00,23.44,86.07,270,16.8,0,0,18.8,88,10,111,0.3,21.332386827918385
Year 1 Jan 01 23:00,23.44,86.07,270,16.6,0,0,18.3,90,10,109,0.3,20.833407414812677
Year 1 Jan 02 00:00,23.44,86.07,270,16.4,0,0,17.9,91,10,118,0.2,20.422040620479256
Year 1 Jan 02 01:00,23.44,86.07,270,16.2,0,0,17.7,91,10,141,0.3,20.076625004743329
Year 1 Jan 02 02:00,23.44,86.07,270,16,0,0,17.5,91,7.4,145,0.4,19.65039243389544
Year 1 Jan 02 03:00,23.44,86.07,270,15.8,0,0,16.9,93,4.8,132,0.3,19.133104722919297
Year 1 Jan 02 04:00,23.44,86.07,270,15.1,0,0,15.9,95,2.2,108,0.3,18.482095249538106
Year 1 Jan 02 05:00,23.44,86.07,270,14.8,0,0,15.3,97,2.5,84,0.3,17.9642761
Year 1 Jan 02 06:00,23.44,86.07,270,14.6,0,0,15.1,97,2.8,78,0.4,17.611151916937879
Year 1 Jan 02 07:00,23.44,86.07,270,14.8,7,7,15.4,96,3.1,85,0.4,17.747219053699138
Year 1 Jan 02 08:00,23.44,86.07,270,15.6,82,57,16.4,95,2.1,99,0.4,19.15001676517837
Year 1 Jan 02 09:00,23.44,86.07,270,17.2,182,159,18.4,93,1,119,0.4,21.25754859471795
Year 1 Jan 02 10:00,23.44,86.07,270,16.9,228,377,20.5,80,0,117,0.7,23.20614086634206
Year 1 Jan 02 11:00,23.44,86.07,270,17.4,234,531,21.2,79,0,112,0.6,24.621798886717089
Year 1 Jan 02 12:00,23.44,86.07,270,18.1,250,552,22.5,76,0,107,0.6,26.124891653163887
Year 1 Jan 02 13:00,23.44,86.07,270,17.7,245,556,23.5,70,0,100,0.7,30.890122378662764
Year 1 Jan 02 14:00,23.44,86.07,270,17.7,234,502,24,68,0.3,89,0.9,35.749493865979477
Year 1 Jan 02 15:00,23.44,86.07,270,17.9,209,394,23.7,70,0.7,84,1,37.544328386484369
Year 1 Jan 02 16:00,23.44,86.07,270,17.9,150,259,22.8,74,1,81,1.2,35.77733718651287
Year 1 Jan 02 17:00,23.44,86.07,270,17.1,56,99,21.5,76,2.6,79,1.1,30.84873381
Year 1 Jan 02 18:00,23.44,86.07,270,16.5,0,0,20.5,78,4.2,80,1,25.62389885831987
Year 1 Jan 02 19:00,23.44,86.07,270,16.2,0,0,19.7,80,5.8,85,0.9,23.92009597794722
Year 1 Jan 02 20:00,23.44,86.07,270,16,0,0,19.1,82,4.2,93,0.9,22.73786956585598
Year 1 Jan 02 21:00,23.44,86.07,270,15.8,0,0,18.6,84,2.5,102,0.9,21.81333491780264
Year 1 Jan 02 22:00,23.44,86.07,270,15.7,0,0,18.1,86,0.9,113,0.9,21.02491079785943
Year 1 Jan 02 23:00,23.44,86.07,270,15.7,0,0,17.7,88,0.6,122,0.9,20.36192842054127
Year 1 Jan 03 00:00,23.44,86.07,270,15.4,0,0,17.2,89,0.3,129,0.8,19.77340757561761
Year 1 Jan 03 01:00,23.44,86.07,270,15.2,0,0,16.7,91,0,127,0.7,19.225492288728007
Year 1 Jan 03 02:00,23.44,86.07,270,15,0,0,16.1,93,1.8,122,0.6,18.72728045851899
Year 1 Jan 03 03:00,23.44,86.07,270,14.8,0,0,15.6,95,3.7,125,0.6,18.27088237740618
Year 1 Jan 03 04:00,23.44,86.07,270,14.7,0,0,15.2,97,5.5,130,0.5,17.876074457659759
Year 1 Jan 03 05:00,23.44,86.07,270,14.4,0,0,14.9,97,4.7,123,0.4,17.56310404
Year 1 Jan 03 06:00,23.44,86.07,270,14.4,0,0,14.7,98,4,96,0.4,17.304271651043423
Year 1 Jan 03 07:00,23.44,86.07,270,14.7,7,7,15,98,3.2,89,0.5,17.46549356693204
Year 1 Jan 03 08:00,23.44,86.07,270,15.8,82,56,16.4,96,2.2,109,0.5,18.956156334724036
Year 1 Jan 03 09:00,23.44,86.07,270,17.3,184,158,18.6,92,1.2,128,0.9,21.11140191293609
Year 1 Jan 03 10:00,23.44,86.07,270,18.1,229,383,20.1,88,0.2,132,1,23.004581235653256
Year 1 Jan 03 11:00,23.44,86.07,270,18.4,245,500,21.2,84,1.2,137,0.9,24.585707705093044
Year 1 Jan 03 12:00,23.44,86.07,270,18.6,284,440,22.6,78,2.1,144,0.9,26.277598449422734
Year 1 Jan 03 13:00,23.44,86.07,270,18.6,288,384,23.3,75,3.1,141,0.9,29.899713467439939
Year 1 Jan 03 14:00,23.44,86.07,270,19.1,284,209,23.8,75,5.4,129,1,31.48674094385165
Year 1 Jan 03 15:00,23.44,86.07,270,19.1,198,55,22.7,80,7.7,120,0.9,29.16901907953382
Year 1 Jan 03 16:00,23.44,86.07,270,19.1,80,11,21.4,87,10,113,1,25.857572714656198
Year 1 Jan 03 17:00,23.44,86.07,270,18.5,16,3,20.7,87,6.7,117,1.2,23.740908311205474
Year 1 Jan 03 18:00,23.44,86.07,270,18,0,0,19.9,89,3.3,121,1.1,22.355011761215786
Year 1 Jan 03 19:00,23.44,86.07,270,17.6,0,0,18.9,92,0,123,0.9,21.294213444586246
Year 1 Jan 03 20:00,23.44,86.07,270,17.3,0,0,18.3,94,0.8,125,0.8,20.547509583554864
Year 1 Jan 03 21:00,23.44,86.07,270,17.1,0,0,17.9,95,1.7,131,0.7,20.043764324619944
Year 1 Jan 03 22:00,23.44,86.07,270,17,0,0,17.6,96,2.5,136,0.7,19.644515441534766
Year 1 Jan 03 23:00,23.44,86.07,270,16.8,0,0,17.3,97,3.8,133,0.6,19.361477628156807
Year 1 Jan 04 00:00,23.44,86.07,270,16.9,0,0,17.4,97,5,127,0.6,19.222084628843818
Year 1 Jan 04 01:00,23.44,86.07,270,17.2,0,0,17.5,98,6.3,129,0.6,19.168780657657935
Year 1 Jan 04 02:00,23.44,86.07,270,17.1,0,0,17.4,98,5.5,131,0.6,19.018294249010624
Year 1 Jan 04 03:00,23.44,86.07,270,17,0,0,17.2,99,4.7,133,0.6,18.778091196549043
Year 1 Jan 04 04:00,23.44,86.07,270,16.8,0,0,17,99,3.9,142,0.6,18.519565138749038
Year 1 Jan 04 05:00,23.44,86.07,270,16.8,0,0,17,99,5.9,156,0.5,18.461722737422293
Year 1 Jan 04 06:00,23.44,86.07,270,17.2,0,0,17.4,99,8,174,0.4,18.61579245335029
Year 1 Jan 04 07:00,23.44,86.07,270,17.7,2,1,17.9,99,10,184,0.5,18.971830863496064
Year 1 Jan 04 08:00,23.44,86.07,270,18.3,23,3,18.5,99,10,194,0.7,19.598731531407457
Year 1 Jan 04 09:00,23.44,86.07,270,18.6,55,4,18.9,98,10,205,1,20.371417723550267
Year 1 Jan 04 10:00,23.44,86.07,270,18.9,86,5,19.6,96,10,210,0.9,21.409479542637706
Year 1 Jan 04 11:00,23.44,86.07,270,19.4,154,11,20.4,94,8.2,211,0.8,22.99696951975018
Year 1 Jan 04 12:00,23.44,86.07,270,20.1,254,38,22,89,6.4,212,0.7,25.102894553810459
Year 1 Jan 04 13:00,23.44,86.07,270,20.1,310,107,23.6,81,4.6,213,0.5,28.278735497301644
Year 1 Jan 04 14:00,23.44,86.07,270,19.7,293,193,24.6,74,3.1,213,0.3,32.18138371921692
Year 1 Jan 04 15:00,23.44,86.07,270,19.6,237,237,25.2,71,1.6,59,0.1,35.166059292135887
Year 1 Jan 04 16:00,23.44,86.07,270,20.5,157,243,24.8,77,0.1,50,0.4,35.84159770419673
Year 1 Jan 04 17:00,23.44,86.07,270,20.2,61,118,23.1,84,1,52,0.5,31.73774295556365
Year 1 Jan 04 18:00,23.44,86.07,270,19.2,0,1,21.3,88,1.8,50,0.5,25.96047919893721
Year 1 Jan 04 19:00,23.44,86.07,270,19,0,0,20.2,93,2.7,52,0.4,24.182128391907296
Year 1 Jan 04 20:00,23.44,86.07,270,18.7,0,0,19.4,96,1.8,80,0.4,22.94629489371583
Year 1 Jan 04 21:00,23.44,86.07,270,18.3,0,0,18.8,97,0.9,107,0.4,21.977550986201878
Year 1 Jan 04 22:00,23.44,86.07,270,17.7,0,0,18,98,0,125,0.3,21.12955828790531
Year 1 Jan 04 23:00,23.44,86.07,270,16.7,0,0,17,98,0,140,0.2,20.37211669889699
Year 1 Jan 05 00:00,23.44,86.07,270,16.1,0,0,16.3,99,0,138,0.1,19.742841281606766
Year 1 Jan 05 01:00,23.44,86.07,270,15.6,0,0,15.8,99,0,86,0,19.215312675911556
Year 1 Jan 05 02:00,23.44,86.07,270,15.4,0,0,15.6,99,0,37,0.1,18.74192063567905
Year 1 Jan 05 03:00,23.44,86.07,270,15,0,0,15.2,99,0,15,0.2,18.252182345590044
Year 1 Jan 05 04:00,23.44,86.07,270,14.5,0,0,14.7,99,0,351,0.2,17.790882724013558
Year 1 Jan 05 05:00,23.44,86.07,270,14.1,0,0,14.3,99,2.5,283,0.3,17.49259839781665
Year 1 Jan 05 06:00,23.44,86.07,270,14.9,0,0,15.1,99,5.1,265,0.6,17.501116200699327
Year 1 Jan 05 07:00,23.44,86.07,270,15.4,6,4,15.4,100,7.6,265,0.6,17.897324598801008
Year 1 Jan 05 08:00,23.44,86.07,270,15.5,68,30,15.5,100,8,266,0.4,19.14154538706101
Year 1 Jan 05 09:00,23.44,86.07,270,16.9,158,62,17.2,98,8.5,257,0.4,21.066877552593778
Year 1 Jan 05 10:00,23.44,86.07,270,19.3,241,99,20.8,91,8.9,253,0.4,23.576817971834399
Year 1 Jan 05 11:00,23.44,86.07,270,19.6,303,173,23.9,77,5.9,276,0.8,25.916902385681789
Year 1 Jan 05 12:00,23.44,86.07,270,18.3,311,321,26.2,62,3,301,1,27.823712620544926
Year 1 Jan 05 13:00,23.44,86.07,270,18.3,258,509,27.6,57,0,313,1.3,32.54642172444133
Year 1 Jan 05 14:00,23.44,86.07,270,18.1,218,569,28,55,0,319,1.5,38.11460429763433
Year 1 Jan 05 15:00,23.44,86.07,270,18.3,200,468,27,59,0,327,1.3,40.834592199596908
Year 1 Jan 05 16:00,23.44,86.07,270,19.4,149,333,25.5,69,0,338,1,39.65425540725626
Year 1 Jan 05 17:00,23.44,86.07,270,18.8,62,133,23.5,75,0,349,0.7,34.39740389880801
Year 1 Jan 05 18:00,23.44,86.07,270,17.6,1,1,21.6,78,0,356,0.5,27.678740692712244
Year 1 Jan 05 19:00,23.44,86.07,270,17.6,0,0,20,86,0,2,0.4,25.392554636181595
Year 1 Jan 05 20:00,23.44,86.07,270,17.3,0,0,18.8,91,0,5,0.3,23.803096209292428
Year 1 Jan 05 21:00,23.44,86.07,270,16.9,0,0,17.5,96,0,348,0.2,22.51054633590823
Year 1 Jan 05 22:00,23.44,86.07,270,16.4,0,0,16.7,98,0,312,0.3,21.451053195230089
Year 1 Jan 05 23:00,23.44,86.07,270,16,0,0,16.3,98,0.2,300,0.4,20.609503632205106
Year 1 Jan 06 00:00,23.44,86.07,270,15.6,0,0,15.9,98,0.3,292,0.5,19.888526556492957
Year 1 Jan 06 01:00,23.44,86.07,270,15.2,0,0,15.5,98,0.5,281,0.5,19.245847979312729
Year 1 Jan 06 02:00,23.44,86.07,270,14.7,0,0,15,98,1.7,266,0.6,18.68466401799236
Year 1 Jan 06 03:00,23.44,86.07,270,14.4,0,0,14.7,98,2.8,256,0.6,18.230218076750064
Year 1 Jan 06 04:00,23.44,86.07,270,14.1,0,0,14.3,99,4,255,0.6,17.82651728187939
Year 1 Jan 06 05:00,23.44,86.07,270,13.6,0,0,13.8,99,5,254,0.6,17.442416664833659
Year 1 Jan 06 06:00,23.44,86.07,270,13.2,0,0,13.4,99,6.1,251,0.6,17.098356375444526
Year 1 Jan 06 07:00,23.44,86.07,270,12.9,6,6,13.1,99,7.1,248,0.6,17.091314321243453
Year 1 Jan 06 08:00,23.44,86.07,270,13.6,75,44,13.8,99,6.7,243,0.6,18.262950758258464
Year 1 Jan 06 09:00,23.44,86.07,270,15.8,174,108,16.6,95,6.4,242,0.6,20.47596832716122
Year 1 Jan 06 10:00,23.44,86.07,270,18.7,251,218,20.9,87,6,247,0.6,23.172083674968545
Year 1 Jan 06 11:00,23.44,86.07,270,18.5,282,345,24.1,71,4,259,0.8,25.48874303687122
Year 1 Jan 06 12:00,23.44,86.07,270,17.4,277,461,26,59,2,271,0.8,27.35179702354133
Year 1 Jan 06 13:00,23.44,86.07,270,16.2,241,573,27.6,50,0,291,1,32.50983978913972
Year 1 Jan 06 14:00,23.44,86.07,270,15,214,590,28.4,44,0,302,1.1,38.48760255783336
Year 1 Jan 06 15:00,23.44,86.07,270,16.5,194,498,27.9,50,0,312,0.9,41.97381191866299
Year 1 Jan 06 16:00,23.44,86.07,270,20.3,146,363,26.4,69,0,332,0.5,40.899702165048349
