Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.39,87.51,0,-1,0,0,10.1,46,0,319,0.6,10.74768186
Year 1 Jan 01 02:00,23.39,87.51,0,-1.7,0,0,9.7,45,0,315,0.7,10.36866358
Year 1 Jan 01 03:00,23.39,87.51,0,-1.9,0,0,9.1,46,0,312,0.7,9.913862597908619
Year 1 Jan 01 04:00,23.39,87.51,0,-2,0,0,8.4,48,0,304,0.6,9.432034364
Year 1 Jan 01 05:00,23.39,87.51,0,-1.9,0,0,7.9,50,0,301,0.6,8.981494671340567
Year 1 Jan 01 06:00,23.39,87.51,0,-1.6,0,0,7.3,53,0,305,0.6,8.536237523937326
Year 1 Jan 01 07:00,23.39,87.51,0,0.8,16,22,7.4,63,0,305,0.7,8.811953216001168
Year 1 Jan 01 08:00,23.39,87.51,0,2.3,101,283,9,63,0,305,0.7,10.565534687894634
Year 1 Jan 01 09:00,23.39,87.51,0,5.9,155,503,12.8,63,0,307,0.6,12.924161464883526
Year 1 Jan 01 10:00,23.39,87.51,0,7.1,185,620,18.3,48,0,321,1,15.655690880132282
Year 1 Jan 01 11:00,23.39,87.51,0,4.7,199,685,20.2,36,0,325,1.2,17.902551838437029
Year 1 Jan 01 12:00,23.39,87.51,0,5.6,204,710,21.3,36,0,327,0.9,19.37289099424366
Year 1 Jan 01 13:00,23.39,87.51,0,5,202,702,22.5,32,0,331,0.8,20.46774417063267
Year 1 Jan 01 14:00,23.39,87.51,0,3.6,193,653,23.1,28,0,335,0.7,21.035991257555243
Year 1 Jan 01 15:00,23.39,87.51,0,4.1,172,557,23.1,29,0,342,0.5,20.85718683386181
Year 1 Jan 01 16:00,23.39,87.51,0,12.3,129,395,22.3,53,0,334,0.1,19.78091630743422
Year 1 Jan 01 17:00,23.39,87.51,0,10.6,47,165,19.3,57,0,200,0.1,17.60687311701114
Year 1 Jan 01 18:00,23.39,87.51,0,2.6,0,0,16.2,40,0,175,0.2,15.70742306854736
Year 1 Jan 01 19:00,23.39,87.51,0,2.1,0,0,14.5,43,0,163,0.3,14.570256848163407
Year 1 Jan 01 20:00,23.39,87.51,0,2,0,0,13.4,46,0.2,162,0.4,13.708681561663078
Year 1 Jan 01 21:00,23.39,87.51,0,2.3,0,0,12.4,50,0.4,169,0.4,12.960604748615275
Year 1 Jan 01 22:00,23.39,87.51,0,2.3,0,0,11.5,53,0.6,186,0.4,12.287091712266694
Year 1 Jan 01 23:00,23.39,87.51,0,2.6,0,0,10.8,57,3.5,206,0.4,11.678456540684174
Year 1 Jan 02 00:00,23.39,87.51,0,2.7,0,0,9.9,61,6.3,242,0.4,11.069372368953179
Year 1 Jan 02 01:00,23.39,87.51,0,2.4,0,0,9.3,62,9.2,285,0.6,10.51885491274799
Year 1 Jan 02 02:00,23.39,87.51,0,1.4,0,0,8.7,60,6.1,302,0.7,9.973643969239737
Year 1 Jan 02 03:00,23.39,87.51,0,0.2,0,0,7.9,58,3.1,306,0.6,9.410385759941818
Year 1 Jan 02 04:00,23.39,87.51,0,-0.7,0,0,7.2,57,0,302,0.6,8.847128768477518
Year 1 Jan 02 05:00,23.39,87.51,0,-1.6,0,0,6.8,55,0,296,0.6,8.370337246190143
Year 1 Jan 02 06:00,23.39,87.51,0,-1.7,0,0,6.4,56,0,295,0.6,7.9495772210700939
Year 1 Jan 02 07:00,23.39,87.51,0,1.2,15,22,7.1,66,0,293,0.6,8.342290973584046
Year 1 Jan 02 08:00,23.39,87.51,0,2.4,101,283,10,59,0,294,0.6,10.421506688678408
Year 1 Jan 02 09:00,23.39,87.51,0,5.2,155,500,13.3,58,0,298,0.5,12.880995511018356
Year 1 Jan 02 10:00,23.39,87.51,0,8.3,188,608,18,53,0,322,0.5,15.471934588681539
Year 1 Jan 02 11:00,23.39,87.51,0,4.9,204,669,20,37,0,345,0.6,17.69961124451005
Year 1 Jan 02 12:00,23.39,87.51,0,6.2,209,695,21.1,38,0,344,0.6,19.225431577088739
Year 1 Jan 02 13:00,23.39,87.51,0,6.8,207,687,22.2,37,0,336,0.5,20.33884286
Year 1 Jan 02 14:00,23.39,87.51,0,5.5,197,641,23.1,32,0,317,0.5,20.89976583863145
Year 1 Jan 02 15:00,23.39,87.51,0,6.1,174,551,23.2,33,0,305,0.5,20.847553304675036
Year 1 Jan 02 16:00,23.39,87.51,0,12.6,130,395,22.4,54,0,303,0.2,19.833469308038717
Year 1 Jan 02 17:00,23.39,87.51,0,10.5,48,166,19.5,56,0,247,0.1,17.704742753774239
Year 1 Jan 02 18:00,23.39,87.51,0,4.2,0,0,16.8,43,0,188,0.3,15.90240046613211
Year 1 Jan 02 19:00,23.39,87.51,0,4,0,0,15.6,46,0,179,0.5,14.926690404049659
Year 1 Jan 02 20:00,23.39,87.51,0,4.1,0,0,14.7,49,0.2,181,0.6,14.229679431290727
Year 1 Jan 02 21:00,23.39,87.51,0,3.9,0,0,13.9,51,0.4,185,0.7,13.64512945
Year 1 Jan 02 22:00,23.39,87.51,0,4,0,0,13.1,54,0.6,192,0.6,13.117173269346538
Year 1 Jan 02 23:00,23.39,87.51,0,4.2,0,0,12.2,58,2,212,0.5,12.556160972971421
Year 1 Jan 03 00:00,23.39,87.51,0,4.3,0,0,11.3,62,3.3,249,0.5,11.979479284778844
Year 1 Jan 03 01:00,23.39,87.51,0,3.9,0,0,10.6,63,4.7,293,0.6,11.440596653560562
Year 1 Jan 03 02:00,23.39,87.51,0,3.1,0,0,10,62,3.3,312,0.7,10.948247620465804
Year 1 Jan 03 03:00,23.39,87.51,0,2,0,0,9.6,59,1.8,321,0.6,10.520287948695748
Year 1 Jan 03 04:00,23.39,87.51,0,0.8,0,0,9.1,56,0.4,327,0.6,10.115579004561515
Year 1 Jan 03 05:00,23.39,87.51,0,-0.3,0,0,8.7,53,0.3,324,0.5,9.762478527068982
Year 1 Jan 03 06:00,23.39,87.51,0,-1.2,0,0,8.3,51,0.1,311,0.5,9.442125756707603
Year 1 Jan 03 07:00,23.39,87.51,0,2.3,14,18,8.7,64,0,292,0.5,9.841861550605924
Year 1 Jan 03 08:00,23.39,87.51,0,2.4,103,208,10.6,57,0,275,0.5,11.783132088584074
Year 1 Jan 03 09:00,23.39,87.51,0,6.3,173,390,13.7,61,0.1,274,0.4,14.254269178339694
Year 1 Jan 03 10:00,23.39,87.51,0,11.6,211,508,18.8,63,0.1,287,0.4,16.924402535614676
Year 1 Jan 03 11:00,23.39,87.51,0,6.1,230,578,21.8,36,0.1,285,0.5,19.312172023991715
Year 1 Jan 03 12:00,23.39,87.51,0,7.5,237,605,22.9,37,0,284,0.5,20.998244761829118
Year 1 Jan 03 13:00,23.39,87.51,0,7.9,233,601,23.9,36,0,285,0.4,22.13964495331616
Year 1 Jan 03 14:00,23.39,87.51,0,6.4,219,561,24.6,31,0,288,0.4,22.74065979140508
Year 1 Jan 03 15:00,23.39,87.51,0,7,190,478,24.8,32,0,285,0.4,22.668436428529114
Year 1 Jan 03 16:00,23.39,87.51,0,14.4,137,340,24,55,0,266,0.2,21.55967345799145
Year 1 Jan 03 17:00,23.39,87.51,0,13,49,141,21.3,59,0,204,0.1,19.46765508566911
Year 1 Jan 03 18:00,23.39,87.51,0,6.2,0,0,18.7,44,0,156,0.2,17.669245197405489
Year 1 Jan 03 19:00,23.39,87.51,0,5.8,0,0,17.5,46,0,151,0.4,16.700300856179319
Year 1 Jan 03 20:00,23.39,87.51,0,6.1,0,0,16.6,50,0.9,154,0.5,15.982570938225364
Year 1 Jan 03 21:00,23.39,87.51,0,6.5,0,0,15.5,55,1.9,169,0.4,15.309751301167199
Year 1 Jan 03 22:00,23.39,87.51,0,6.5,0,0,13.9,61,2.8,228,0.2,14.569936070433528
Year 1 Jan 03 23:00,23.39,87.51,0,6.2,0,0,13.3,62,1.9,301,0.4,13.941249995368782
Year 1 Jan 04 00:00,23.39,87.51,0,4.9,0,0,13,58,0.9,320,0.6,13.444364169800906
Year 1 Jan 04 01:00,23.39,87.51,0,3.5,0,0,12.3,55,0,326,0.6,12.93928774720607
Year 1 Jan 04 02:00,23.39,87.51,0,2.4,0,0,11.6,53,0,330,0.5,12.427597499294345
Year 1 Jan 04 03:00,23.39,87.51,0,1.8,0,0,11,53,0,335,0.6,11.933496668734819
Year 1 Jan 04 04:00,23.39,87.51,0,1.5,0,0,10.4,54,0,345,0.6,11.45183232
Year 1 Jan 04 05:00,23.39,87.51,0,1.9,0,0,10,57,0,355,0.7,11.015799285000274
Year 1 Jan 04 06:00,23.39,87.51,0,2.5,0,0,9.6,61,0,2,0.8,10.619663837982895
Year 1 Jan 04 07:00,23.39,87.51,0,5.1,14,17,9.9,72,0,8,0.8,10.918739701360782
Year 1 Jan 04 08:00,23.39,87.51,0,6.8,103,195,11.9,71,0,14,0.7,12.799835310242685
Year 1 Jan 04 09:00,23.39,87.51,0,9.8,176,370,15.2,70,0,13,0.4,15.287600980747543
Year 1 Jan 04 10:00,23.39,87.51,0,11.4,216,489,19.9,58,0,50,0.5,17.920466449418656
Year 1 Jan 04 11:00,23.39,87.51,0,10.3,235,561,21.5,49,0.5,59,0.7,20.01384412442809
Year 1 Jan 04 12:00,23.39,87.51,0,11.2,243,587,22.4,49,0.9,55,0.6,21.48372644648972
Year 1 Jan 04 13:00,23.39,87.51,0,11.2,238,585,23.5,46,1.4,58,0.5,22.537743995335434
Year 1 Jan 04 14:00,23.39,87.51,0,9,224,542,24.2,38,3.5,39,0.3,23.09597085286069
Year 1 Jan 04 15:00,23.39,87.51,0,9.1,196,454,24.3,38,5.6,10,0.2,22.92914159679777
Year 1 Jan 04 16:00,23.39,87.51,0,13.5,140,317,23.9,52,7.7,53,0.1,21.866284490956987
Year 1 Jan 04 17:00,23.39,87.51,0,13.7,50,130,21.3,62,7.8,149,0.2,19.837469023508889
Year 1 Jan 04 18:00,23.39,87.51,0,8.6,0,0,19,51,7.8,156,0.4,18.117123639134435
Year 1 Jan 04 19:00,23.39,87.51,0,8.8,0,0,18,55,7.9,159,0.7,17.231152666498237
Year 1 Jan 04 20:00,23.39,87.51,0,9,0,0,17.3,58,5.3,164,0.7,16.56226663706686
Year 1 Jan 04 21:00,23.39,87.51,0,9.3,0,0,16.3,63,2.6,175,0.6,15.91263370538839
Year 1 Jan 04 22:00,23.39,87.51,0,9.6,0,0,15,70,0,194,0.4,15.219570298740484
Year 1 Jan 04 23:00,23.39,87.51,0,9.9,0,0,13.9,77,0,243,0.4,14.545194509144853
