Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.47,69.79,180,6,0,0,20,40,0,40,2.5,21.960225291187706
Year 1 Jan 01 02:00,23.47,69.79,180,5.8,0,0,19.4,41,0,38,2.5,21.456351680113828
Year 1 Jan 01 03:00,23.47,69.79,180,5.4,0,0,18.9,41,0,38,2.5,20.870989059531128
Year 1 Jan 01 04:00,23.47,69.79,180,5.4,0,0,18.5,42,0,42,2.6,20.323356652328536
Year 1 Jan 01 05:00,23.47,69.79,180,4.3,0,0,18.1,40,0,46,2.8,19.807671714633274
Year 1 Jan 01 06:00,23.47,69.79,180,3.3,0,0,17.8,38,0,49,2.9,19.33931219
Year 1 Jan 01 07:00,23.47,69.79,180,2.6,0,0,17.4,37,0,52,3,18.878482311202565
Year 1 Jan 01 08:00,23.47,69.79,180,2.7,6,9,17.5,37,0,55,3.1,19.754674385178747
Year 1 Jan 01 09:00,23.47,69.79,180,3.2,85,159,19.9,33,0,55,3.4,24.62062753216764
Year 1 Jan 01 10:00,23.47,69.79,180,2.8,159,371,22.2,28,0,57,4.4,31.177304883032574
Year 1 Jan 01 11:00,23.47,69.79,180,3,203,495,23.6,26,0,54,4.1,37.02973959
Year 1 Jan 01 12:00,23.47,69.79,180,3.3,229,559,25.3,24,0,51,3.8,41.782565956982057
Year 1 Jan 01 13:00,23.47,69.79,180,3.7,239,594,27.3,22,0,48,3.7,45.327441825963337
Year 1 Jan 01 14:00,23.47,69.79,180,4.7,236,595,28.5,22,0,48,3.8,47.02433898418175
Year 1 Jan 01 15:00,23.47,69.79,180,5.1,222,561,28.9,22,0,41,3.7,46.826416108796198
Year 1 Jan 01 16:00,23.47,69.79,180,6.4,192,495,29,24,0,35,3.7,44.74728692464777
Year 1 Jan 01 17:00,23.47,69.79,180,7.1,145,363,28.5,26,0,30,3.4,40.33843363949106
Year 1 Jan 01 18:00,23.47,69.79,180,6.7,66,140,26.1,29,0,23,2.3,34.664403375261077
Year 1 Jan 01 19:00,23.47,69.79,180,6.8,1,1,23.6,34,0,17,2.1,29.468896453386493
Year 1 Jan 01 20:00,23.47,69.79,180,6.6,0,0,22.4,36,0,19,2.3,27.20406102888544
Year 1 Jan 01 21:00,23.47,69.79,180,6.3,0,0,21.6,37,0,23,2.5,25.61848397829954
