Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,74.1,90,10.9,0,0,19.6,57,0,49,1.8,20.50417708
Year 1 Jan 01 02:00,23.44,74.1,90,11.3,0,0,19,61,0,51,1.7,19.89099716
Year 1 Jan 01 03:00,23.44,74.1,90,11.6,0,0,18.5,64,0,52,1.6,19.36262957
Year 1 Jan 01 04:00,23.44,74.1,90,11.8,0,0,18,67,0,51,1.6,18.87085281
Year 1 Jan 01 05:00,23.44,74.1,90,11.9,0,0,17.7,69,0,49,1.6,18.4410314
Year 1 Jan 01 06:00,23.44,74.1,90,12.2,0,0,17.3,72,0,46,1.6,18.03283681
Year 1 Jan 01 07:00,23.44,74.1,90,12.1,0,0,16.8,74,0,43,1.5,17.61596718
Year 1 Jan 01 08:00,23.44,74.1,90,12.8,20,20,17.3,75,0,42,1.5,21.11407158
Year 1 Jan 01 09:00,23.44,74.1,90,15,109,240,20.4,71,0,45,1.6,29.57380358
Year 1 Jan 01 10:00,23.44,74.1,90,16.8,170,425,23.8,65,0,54,2.2,35.37928156
Year 1 Jan 01 11:00,23.44,74.1,90,17.5,207,531,25.9,60,0,50,2.1,37.10115149
Year 1 Jan 01 12:00,23.44,74.1,90,17.4,228,583,28.5,51,0,47,2.2,35.82960213
Year 1 Jan 01 13:00,23.44,74.1,90,15.8,232,609,30.1,42,0,50,2.2,33.01475514
Year 1 Jan 01 14:00,23.44,74.1,90,15.3,227,599,30.9,39,0,52,2,32.52622649
Year 1 Jan 01 15:00,23.44,74.1,90,15.3,211,551,30.8,39,0,50,1.7,32.18630229
Year 1 Jan 01 16:00,23.44,74.1,90,15.4,177,469,30.5,40,0,46,1.7,31.39964174
Year 1 Jan 01 17:00,23.44,74.1,90,15.2,122,328,29.5,42,0,42,1.6,29.82761815
Year 1 Jan 01 18:00,23.44,74.1,90,14.6,42,60,26.9,47,0,34,1.2,27.38611608
Year 1 Jan 01 19:00,23.44,74.1,90,14.4,0,0,24.6,53,0,33,1.3,25.59840189
Year 1 Jan 01 20:00,23.44,74.1,90,14.5,0,0,23.2,58,0,39,1.4,24.37319214
Year 1 Jan 01 21:00,23.44,74.1,90,14.8,0,0,22.2,63,0,45,1.5,23.3796211
Year 1 Jan 01 22:00,23.44,74.1,90,15,0,0,21.4,67,0,49,1.6,22.54161677
Year 1 Jan 01 23:00,23.44,74.1,90,15.1,0,0,20.8,70,0,53,1.6,21.83095792
Year 1 Jan 02 00:00,23.44,74.1,90,15.2,0,0,20.2,73,0,54,1.7,21.19354537
Year 1 Jan 02 01:00,23.44,74.1,90,15.2,0,0,19.8,75,0,53,1.7,20.64292272
Year 1 Jan 02 02:00,23.44,74.1,90,15.3,0,0,19.4,77,0,49,1.8,20.1536251
Year 1 Jan 02 03:00,23.44,74.1,90,15.2,0,0,18.9,79,0,49,1.9,19.6656975
Year 1 Jan 02 04:00,23.44,74.1,90,15.1,0,0,18.6,80,0,51,1.9,19.23797365
Year 1 Jan 02 05:00,23.44,74.1,90,14.6,0,0,18.1,80,0,53,1.8,18.81568382
Year 1 Jan 02 06:00,23.44,74.1,90,14.4,0,0,17.7,81,0,55,1.8,18.4072172
Year 1 Jan 02 07:00,23.44,74.1,90,14.1,0,0,17.2,82,0,57,1.7,17.99948269
Year 1 Jan 02 08:00,23.44,74.1,90,14.3,19,19,17.6,81,0,59,1.7,21.05774685
Year 1 Jan 02 09:00,23.44,74.1,90,15.7,109,225,20.1,76,0,64,2,29.08166445
Year 1 Jan 02 10:00,23.44,74.1,90,16.9,175,397,22.6,70,0,65,2.1,34.39809562
Year 1 Jan 02 11:00,23.44,74.1,90,18,216,494,24.8,66,0,59,1.9,36.41696389
Year 1 Jan 02 12:00,23.44,74.1,90,18.9,240,543,27.3,60,0,59,1.9,35.32239829
Year 1 Jan 02 13:00,23.44,74.1,90,19.1,246,565,29.4,54,0,71,1.9,32.75389837
Year 1 Jan 02 14:00,23.44,74.1,90,19.7,241,552,30.3,53,0,73,1.7,32.4071175
Year 1 Jan 02 15:00,23.44,74.1,90,19.8,224,502,30.5,53,0,69,1.4,32.20578694
Year 1 Jan 02 16:00,23.44,74.1,90,19.7,187,422,30.3,53,0,61,1.2,31.48966353
Year 1 Jan 02 17:00,23.44,74.1,90,19.3,126,293,29.6,54,0,51,1.1,30.00988152
Year 1 Jan 02 18:00,23.44,74.1,90,18.1,42,56,27.1,58,0,35,0.9,27.6219914
Year 1 Jan 02 19:00,23.44,74.1,90,16.9,0,0,24.7,62,0,29,1,25.85715216
Year 1 Jan 02 20:00,23.44,74.1,90,16.3,0,0,23.2,65,0,33,1.2,24.61735886
Year 1 Jan 02 21:00,23.44,74.1,90,15.8,0,0,22.2,67,0,40,1.4,23.60350813
Year 1 Jan 02 22:00,23.44,74.1,90,15.1,0,0,21.5,67,0,46,1.6,22.75680942
Year 1 Jan 02 23:00,23.44,74.1,90,14.7,0,0,21.1,67,0,49,1.7,22.07559488
Year 1 Jan 03 00:00,23.44,74.1,90,14.3,0,0,20.6,67,0,50,1.8,21.46503181
Year 1 Jan 03 01:00,23.44,74.1,90,13.5,0,0,20,66,0,53,1.8,20.87503612
Year 1 Jan 03 02:00,23.44,74.1,90,13,0,0,19.5,66,0,56,1.7,20.32926197
Year 1 Jan 03 03:00,23.44,74.1,90,12.2,0,0,18.9,65,0,57,1.7,19.78882737
Year 1 Jan 03 04:00,23.44,74.1,90,11.6,0,0,18.5,64,0,59,1.6,19.306114
Year 1 Jan 03 05:00,23.44,74.1,90,10.9,0,0,18,63,0,63,1.5,18.84577386
Year 1 Jan 03 06:00,23.44,74.1,90,10.2,0,0,17.6,62,0,66,1.5,18.40762236
Year 1 Jan 03 07:00,23.44,74.1,90,10.1,0,0,17.2,63,0,66,1.5,17.99888073
Year 1 Jan 03 08:00,23.44,74.1,90,10.3,19,20,17.7,62,0,63,1.5,21.47777586
Year 1 Jan 03 09:00,23.44,74.1,90,11.7,108,245,20.8,56,0,64,1.6,30.03168058
Year 1 Jan 03 10:00,23.44,74.1,90,12.6,169,429,24,49,0,74,2.2,35.78072343
Year 1 Jan 03 11:00,23.44,74.1,90,13.5,206,533,26,46,0,71,1.8,37.59134341
Year 1 Jan 03 12:00,23.44,74.1,90,14.5,227,588,28.3,43,0,70,1.6,36.37822182
Year 1 Jan 03 13:00,23.44,74.1,90,16,231,615,29.9,43,0,77,1.5,33.41927379
Year 1 Jan 03 14:00,23.44,74.1,90,16.7,226,607,30.7,43,0,71,1.2,32.87061226
Year 1 Jan 03 15:00,23.44,74.1,90,17.2,209,562,30.9,44,0,59,1,32.5497972
Year 1 Jan 03 16:00,23.44,74.1,90,16.8,176,483,30.8,43,0,47,0.9,31.81290903
Year 1 Jan 03 17:00,23.44,74.1,90,16.4,123,342,30,44,0,43,0.9,30.27682331
Year 1 Jan 03 18:00,23.44,74.1,90,15.2,45,67,27.2,48,0,40,0.7,27.79213519
