Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,86.07,180,14.1,0,0,14.3,99,0,163,0.2,21.693644339160067
Year 1 Jan 01 02:00,23.44,86.07,180,13.7,0,0,13.9,99,0,160,0.2,20.54612189417496
Year 1 Jan 01 03:00,23.44,86.07,180,13.3,0,0,13.5,99,0,153,0.2,19.81507011147048
Year 1 Jan 01 04:00,23.44,86.07,180,12.8,0,0,13.1,98,0,142,0.2,19.182241326902156
Year 1 Jan 01 05:00,23.44,86.07,180,12.8,0,0,13.1,98,0.4,156,0.3,18.677257560614458
Year 1 Jan 01 06:00,23.44,86.07,180,12.7,0,0,13,98,0.8,170,0.3,18.248017389484855
Year 1 Jan 01 07:00,23.44,86.07,180,13.1,10,15,13.4,98,1.2,172,0.3,19.43854729200595
Year 1 Jan 01 08:00,23.44,86.07,180,14.4,95,155,15.4,94,1,172,0.4,24.93517745325297
Year 1 Jan 01 09:00,23.44,86.07,180,15.7,173,329,18.1,86,0.8,164,0.4,32.058271504472937
Year 1 Jan 01 10:00,23.44,86.07,180,15.6,216,458,20.2,75,0.6,165,0.6,39.058034283762527
Year 1 Jan 01 11:00,23.44,86.07,180,16.4,237,533,21.2,74,0.4,169,0.4,44.23854347506867
Year 1 Jan 01 12:00,23.44,86.07,180,17.4,249,556,22.5,73,0.2,160,0.3,47.702963435677428
Year 1 Jan 01 13:00,23.44,86.07,180,18.5,238,565,23.9,72,0,124,0.3,49.03737903487172
Year 1 Jan 01 14:00,23.44,86.07,180,19.2,253,403,25.1,70,3.3,55,0.3,46.22543326102722
Year 1 Jan 01 15:00,23.44,86.07,180,20,229,163,25,74,6.7,36,0.4,40.83835097966052
Year 1 Jan 01 16:00,23.44,86.07,180,21,128,51,24.3,82,10,64,0.4,35.65449869019879
Year 1 Jan 01 17:00,23.44,86.07,180,19.5,34,15,23.3,79,8.9,78,0.5,31.74735862384469
Year 1 Jan 01 18:00,23.44,86.07,180,18.8,0,0,22.2,81,7.7,82,0.5,29.271718974795819
Year 1 Jan 01 19:00,23.44,86.07,180,18.1,0,0,20.9,84,6.6,85,0.5,27.601748576966519
Year 1 Jan 01 20:00,23.44,86.07,180,17.7,0,0,20.1,86,7.7,94,0.5,26.35031291
Year 1 Jan 01 21:00,23.44,86.07,180,17.2,0,0,19.4,87,8.9,103,0.4,25.37591911330758
Year 1 Jan 01 22:00,23.44,86.07,180,16.8,0,0,18.8,88,10,111,0.3,24.56493473
Year 1 Jan 01 23:00,23.44,86.07,180,16.6,0,0,18.3,90,10,109,0.3,23.861323624714538
Year 1 Jan 02 00:00,23.44,86.07,180,16.4,0,0,17.9,91,10,118,0.2,23.267404505096317
Year 1 Jan 02 01:00,23.44,86.07,180,16.2,0,0,17.7,91,10,141,0.3,22.76734689903024
Year 1 Jan 02 02:00,23.44,86.07,180,16,0,0,17.5,91,7.4,145,0.4,22.207486233622836
Year 1 Jan 02 03:00,23.44,86.07,180,15.8,0,0,16.9,93,4.8,132,0.3,21.568211845218245
Year 1 Jan 02 04:00,23.44,86.07,180,15.1,0,0,15.9,95,2.2,108,0.3,20.804512798707159
Year 1 Jan 02 05:00,23.44,86.07,180,14.8,0,0,15.3,97,2.5,84,0.3,20.188200032492888
Year 1 Jan 02 06:00,23.44,86.07,180,14.6,0,0,15.1,97,2.8,78,0.4,19.718122426763597
Year 1 Jan 02 07:00,23.44,86.07,180,14.8,7,7,15.4,96,3.1,85,0.4,20.30402657034858
Year 1 Jan 02 08:00,23.44,86.07,180,15.6,82,57,16.4,95,2.1,99,0.4,23.581307514243244
Year 1 Jan 02 09:00,23.44,86.07,180,17.2,182,159,18.4,93,1,119,0.4,29.636858841990987
Year 1 Jan 02 10:00,23.44,86.07,180,16.9,228,377,20.5,80,0,117,0.7,37.409408779548289
Year 1 Jan 02 11:00,23.44,86.07,180,17.4,234,531,21.2,79,0,112,0.6,43.62408976817812
Year 1 Jan 02 12:00,23.44,86.07,180,18.1,250,552,22.5,76,0,107,0.6,47.183794026854688
Year 1 Jan 02 13:00,23.44,86.07,180,17.7,245,556,23.5,70,0,100,0.7,48.79924965882708
Year 1 Jan 02 14:00,23.44,86.07,180,17.7,234,502,24,68,0.3,89,0.9,47.97338545886997
Year 1 Jan 02 15:00,23.44,86.07,180,17.9,209,394,23.7,70,0.7,84,1,44.434229128804677
Year 1 Jan 02 16:00,23.44,86.07,180,17.9,150,259,22.8,74,1,81,1.2,39.341663979517438
Year 1 Jan 02 17:00,23.44,86.07,180,17.1,56,99,21.5,76,2.6,79,1.1,33.45981650911032
Year 1 Jan 02 18:00,23.44,86.07,180,16.5,0,0,20.5,78,4.2,80,1,29.09912486050489
Year 1 Jan 02 19:00,23.44,86.07,180,16.2,0,0,19.7,80,5.8,85,0.9,27.340718791707095
Year 1 Jan 02 20:00,23.44,86.07,180,16,0,0,19.1,82,4.2,93,0.9,25.97160552863117
Year 1 Jan 02 21:00,23.44,86.07,180,15.8,0,0,18.6,84,2.5,102,0.9,24.856024868436785
Year 1 Jan 02 22:00,23.44,86.07,180,15.7,0,0,18.1,86,0.9,113,0.9,23.889279097336183
Year 1 Jan 02 23:00,23.44,86.07,180,15.7,0,0,17.7,88,0.6,122,0.9,23.064904394428284
Year 1 Jan 03 00:00,23.44,86.07,180,15.4,0,0,17.2,89,0.3,129,0.8,22.339387353089493
Year 1 Jan 03 01:00,23.44,86.07,180,15.2,0,0,16.7,91,0,127,0.7,21.673066575317578
Year 1 Jan 03 02:00,23.44,86.07,180,15,0,0,16.1,93,1.8,122,0.6,21.06908330731345
Year 1 Jan 03 03:00,23.44,86.07,180,14.8,0,0,15.6,95,3.7,125,0.6,20.514486662411554
Year 1 Jan 03 04:00,23.44,86.07,180,14.7,0,0,15.2,97,5.5,130,0.5,20.031657910589119
Year 1 Jan 03 05:00,23.44,86.07,180,14.4,0,0,14.9,97,4.7,123,0.4,19.637254241667415
Year 1 Jan 03 06:00,23.44,86.07,180,14.4,0,0,14.7,98,4,96,0.4,19.30375641528955
Year 1 Jan 03 07:00,23.44,86.07,180,14.7,7,7,15,98,3.2,89,0.5,19.90402267954385
Year 1 Jan 03 08:00,23.44,86.07,180,15.8,82,56,16.4,96,2.2,109,0.5,23.27173581031069
Year 1 Jan 03 09:00,23.44,86.07,180,17.3,184,158,18.6,92,1.2,128,0.9,29.344815710424478
Year 1 Jan 03 10:00,23.44,86.07,180,18.1,229,383,20.1,88,0.2,132,1,36.92179032797075
Year 1 Jan 03 11:00,23.44,86.07,180,18.4,245,500,21.2,84,1.2,137,0.9,42.52943198965424
Year 1 Jan 03 12:00,23.44,86.07,180,18.6,284,440,22.6,78,2.1,144,0.9,44.625447762391377
Year 1 Jan 03 13:00,23.44,86.07,180,18.6,288,384,23.3,75,3.1,141,0.9,44.395671045126189
Year 1 Jan 03 14:00,23.44,86.07,180,19.1,284,209,23.8,75,5.4,129,1,40.679535774191339
Year 1 Jan 03 15:00,23.44,86.07,180,19.1,198,55,22.7,80,7.7,120,0.9,35.23829445952296
Year 1 Jan 03 16:00,23.44,86.07,180,19.1,80,11,21.4,87,10,113,1,30.804104479434139
Year 1 Jan 03 17:00,23.44,86.07,180,18.5,16,3,20.7,87,6.7,117,1.2,28.030647083574175
Year 1 Jan 03 18:00,23.44,86.07,180,18,0,0,19.9,89,3.3,121,1.1,26.20508933094292
Year 1 Jan 03 19:00,23.44,86.07,180,17.6,0,0,18.9,92,0,123,0.9,24.82384507305961
Year 1 Jan 03 20:00,23.44,86.07,180,17.3,0,0,18.3,94,0.8,125,0.8,23.81994920375221
Year 1 Jan 03 21:00,23.44,86.07,180,17.1,0,0,17.9,95,1.7,131,0.7,23.09811681
Year 1 Jan 03 22:00,23.44,86.07,180,17,0,0,17.6,96,2.5,136,0.7,22.505494840984637
Year 1 Jan 03 23:00,23.44,86.07,180,16.8,0,0,17.3,97,3.8,133,0.6,22.057502458076454
Year 1 Jan 04 00:00,23.44,86.07,180,16.9,0,0,17.4,97,5,127,0.6,21.771619255563466
Year 1 Jan 04 01:00,23.44,86.07,180,17.2,0,0,17.5,98,6.3,129,0.6,21.586453782545179
Year 1 Jan 04 02:00,23.44,86.07,180,17.1,0,0,17.4,98,5.5,131,0.6,21.317126751997809
Year 1 Jan 04 03:00,23.44,86.07,180,17,0,0,17.2,99,4.7,133,0.6,20.971372011077578
Year 1 Jan 04 04:00,23.44,86.07,180,16.8,0,0,17,99,3.9,142,0.6,20.61862745501154
Year 1 Jan 04 05:00,23.44,86.07,180,16.8,0,0,17,99,5.9,156,0.5,20.480968243099146
Year 1 Jan 04 06:00,23.44,86.07,180,17.2,0,0,17.4,99,8,174,0.4,20.55024230268952
Year 1 Jan 04 07:00,23.44,86.07,180,17.7,2,1,17.9,99,10,184,0.5,20.82717015556863
Year 1 Jan 04 08:00,23.44,86.07,180,18.3,23,3,18.5,99,10,194,0.7,21.407972627654485
Year 1 Jan 04 09:00,23.44,86.07,180,18.6,55,4,18.9,98,10,205,1,22.115164207345236
Year 1 Jan 04 10:00,23.44,86.07,180,18.9,86,5,19.6,96,10,210,0.9,23.17187238
Year 1 Jan 04 11:00,23.44,86.07,180,19.4,154,11,20.4,94,8.2,211,0.8,25.45691676895426
Year 1 Jan 04 12:00,23.44,86.07,180,20.1,254,38,22,89,6.4,212,0.7,29.449456802212774
Year 1 Jan 04 13:00,23.44,86.07,180,20.1,310,107,23.6,81,4.6,213,0.5,33.92535173284631
Year 1 Jan 04 14:00,23.44,86.07,180,19.7,293,193,24.6,74,3.1,213,0.3,37.081683097021819
Year 1 Jan 04 15:00,23.44,86.07,180,19.6,237,237,25.2,71,1.6,59,0.1,37.66837938791457
Year 1 Jan 04 16:00,23.44,86.07,180,20.5,157,243,24.8,77,0.1,50,0.4,35.81893183492351
Year 1 Jan 04 17:00,23.44,86.07,180,20.2,61,118,23.1,84,1,52,0.5,31.14588743037649
Year 1 Jan 04 18:00,23.44,86.07,180,19.2,0,1,21.3,88,1.8,50,0.5,26.87617784112158
Year 1 Jan 04 19:00,23.44,86.07,180,19,0,0,20.2,93,2.7,52,0.4,25.272499798212026
Year 1 Jan 04 20:00,23.44,86.07,180,18.7,0,0,19.4,96,1.8,80,0.4,24.12411539608089
Year 1 Jan 04 21:00,23.44,86.07,180,18.3,0,0,18.8,97,0.9,107,0.4,23.212616308276684
Year 1 Jan 04 22:00,23.44,86.07,180,17.7,0,0,18,98,0,125,0.3,22.363151923540849
Year 1 Jan 04 23:00,23.44,86.07,180,16.7,0,0,17,98,0,140,0.2,21.584788879869003
Year 1 Jan 05 00:00,23.44,86.07,180,16.1,0,0,16.3,99,0,138,0.1,20.923029181546135
Year 1 Jan 05 01:00,23.44,86.07,180,15.6,0,0,15.8,99,0,86,0,20.35715632041732
Year 1 Jan 05 02:00,23.44,86.07,180,15.4,0,0,15.6,99,0,37,0.1,19.852989102086064
Year 1 Jan 05 03:00,23.44,86.07,180,15,0,0,15.2,99,0,15,0.2,19.33432097765321
Year 1 Jan 05 04:00,23.44,86.07,180,14.5,0,0,14.7,99,0,351,0.2,18.818677654472379
Year 1 Jan 05 05:00,23.44,86.07,180,14.1,0,0,14.3,99,2.5,283,0.3,18.473290702607025
Year 1 Jan 05 06:00,23.44,86.07,180,14.9,0,0,15.1,99,5.1,265,0.6,18.49552530162795
Year 1 Jan 05 07:00,23.44,86.07,180,15.4,6,4,15.4,100,7.6,265,0.6,19.15977305453668
Year 1 Jan 05 08:00,23.44,86.07,180,15.5,68,30,15.5,100,8,266,0.4,21.33524967944188
Year 1 Jan 05 09:00,23.44,86.07,180,16.9,158,62,17.2,98,8.5,257,0.4,24.780431783967207
Year 1 Jan 05 10:00,23.44,86.07,180,19.3,241,99,20.8,91,8.9,253,0.4,29.62472566814025
Year 1 Jan 05 11:00,23.44,86.07,180,19.6,303,173,23.9,77,5.9,276,0.8,35.67312869854881
