Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,86.07,0,14.1,0,0,14.3,99,0,163,0.2,18.09429673
Year 1 Jan 01 02:00,23.44,86.07,0,13.7,0,0,13.9,99,0,160,0.2,17.15755759
Year 1 Jan 01 03:00,23.44,86.07,0,13.3,0,0,13.5,99,0,153,0.2,16.60474545
Year 1 Jan 01 04:00,23.44,86.07,0,12.8,0,0,13.1,98,0,142,0.2,16.12955216
Year 1 Jan 01 05:00,23.44,86.07,0,12.8,0,0,13.1,98,0.4,156,0.3,15.75536197
Year 1 Jan 01 06:00,23.44,86.07,0,12.7,0,0,13,98,0.8,170,0.3,15.44462312
Year 1 Jan 01 07:00,23.44,86.07,0,13.1,10,15,13.4,98,1.2,172,0.3,15.63967485
Year 1 Jan 01 08:00,23.44,86.07,0,14.4,95,155,15.4,94,1,172,0.4,17.47103403
Year 1 Jan 01 09:00,23.44,86.07,0,15.7,173,329,18.1,86,0.8,164,0.4,19.85542001
Year 1 Jan 01 10:00,23.44,86.07,0,15.6,216,458,20.2,75,0.6,165,0.6,22.00571195
Year 1 Jan 01 11:00,23.44,86.07,0,16.4,237,533,21.2,74,0.4,169,0.4,23.66276161
Year 1 Jan 01 12:00,23.44,86.07,0,17.4,249,556,22.5,73,0.2,160,0.3,25.00236944
Year 1 Jan 01 13:00,23.44,86.07,0,18.5,238,565,23.9,72,0,124,0.3,26.00992008
Year 1 Jan 01 14:00,23.44,86.07,0,19.2,253,403,25.1,70,3.3,55,0.3,26.84185099
Year 1 Jan 01 15:00,23.44,86.07,0,20,229,163,25,74,6.7,36,0.4,26.68972366
Year 1 Jan 01 16:00,23.44,86.07,0,21,128,51,24.3,82,10,64,0.4,25.48830216
Year 1 Jan 01 17:00,23.44,86.07,0,19.5,34,15,23.3,79,8.9,78,0.5,23.83627596
Year 1 Jan 01 18:00,23.44,86.07,0,18.8,0,0,22.2,81,7.7,82,0.5,22.58469844
Year 1 Jan 01 19:00,23.44,86.07,0,18.1,0,0,20.9,84,6.6,85,0.5,21.70148596
Year 1 Jan 01 20:00,23.44,86.07,0,17.7,0,0,20.1,86,7.7,94,0.5,21.03862696
Year 1 Jan 01 21:00,23.44,86.07,0,17.2,0,0,19.4,87,8.9,103,0.4,20.50963
Year 1 Jan 01 22:00,23.44,86.07,0,16.8,0,0,18.8,88,10,111,0.3,20.05406131
Year 1 Jan 01 23:00,23.44,86.07,0,16.6,0,0,18.3,90,10,109,0.3,19.66416856
Year 1 Jan 02 00:00,23.44,86.07,0,16.4,0,0,17.9,91,10,118,0.2,19.34052098
Year 1 Jan 02 01:00,23.44,86.07,0,16.2,0,0,17.7,91,10,141,0.3,19.07504123
Year 1 Jan 02 02:00,23.44,86.07,0,16,0,0,17.5,91,7.4,145,0.4,18.72153567
Year 1 Jan 02 03:00,23.44,86.07,0,15.8,0,0,16.9,93,4.8,132,0.3,18.26177331
Year 1 Jan 02 04:00,23.44,86.07,0,15.1,0,0,15.9,95,2.2,108,0.3,17.66393423
