Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,77.93,180,12.6,0,0,13.2,96,0,31,1.5,15.803638364950166
Year 1 Jan 01 02:00,23.31,77.93,180,12.1,0,0,12.6,97,0,28,1.5,15.589225768354606
Year 1 Jan 01 03:00,23.31,77.93,180,11.4,0,0,11.9,97,0,27,1.4,15.019411770380355
Year 1 Jan 01 04:00,23.31,77.93,180,10.9,0,0,11.2,98,0,27,1.3,14.40657985560415
Year 1 Jan 01 05:00,23.31,77.93,180,10.4,0,0,10.7,98,0,30,1.2,13.833743838430369
Year 1 Jan 01 06:00,23.31,77.93,180,9.8,0,0,10.1,98,0,32,1.2,13.257851075375513
Year 1 Jan 01 07:00,23.31,77.93,180,9.4,0,0,9.7,98,0,35,1.1,12.733134240284498
Year 1 Jan 01 08:00,23.31,77.93,180,10.1,44,70,10.7,96,0,38,1.1,16.499359633610866
Year 1 Jan 01 09:00,23.31,77.93,180,12.3,126,336,13.7,91,0,40,1.5,24.082161995880253
Year 1 Jan 01 10:00,23.31,77.93,180,13.6,172,514,16.1,85,0,37,1.8,31.46063841064408
Year 1 Jan 01 11:00,23.31,77.93,180,14.5,196,616,18.2,79,0,29,1.6,37.76760352929284
Year 1 Jan 01 12:00,23.31,77.93,180,14.3,208,665,20.4,68,0,19,1.9,42.41740793927113
Year 1 Jan 01 13:00,23.31,77.93,180,13.2,209,684,21.5,59,0,7,2,45.05618237506147
Year 1 Jan 01 14:00,23.31,77.93,180,12,201,670,22,53,0,358,1.9,45.75902072071666
Year 1 Jan 01 15:00,23.31,77.93,180,10.4,183,620,21.9,48,0,353,1.9,44.122233351898419
Year 1 Jan 01 16:00,23.31,77.93,180,8.7,152,523,21.4,44,0,350,1.9,40.443905131274608
Year 1 Jan 01 17:00,23.31,77.93,180,6.7,102,324,20.4,41,0,350,1.8,34.090398615205817
Year 1 Jan 01 18:00,23.31,77.93,180,5.2,20,31,17.9,43,0,349,1.2,26.671304754409279
Year 1 Jan 01 19:00,23.31,77.93,180,4.1,0,0,15.7,46,0,348,1.2,23.22340896862344
Year 1 Jan 01 20:00,23.31,77.93,180,3.4,0,0,14.3,48,0,349,1.2,21.01106205976636
Year 1 Jan 01 21:00,23.31,77.93,180,3.6,0,0,13.2,52,0,353,1.2,19.315543127929737
Year 1 Jan 01 22:00,23.31,77.93,180,4.3,0,0,12.1,59,0,1,1.1,17.913040909665179
Year 1 Jan 01 23:00,23.31,77.93,180,5.5,0,0,11.2,68,0,13,1,16.758443727221129
Year 1 Jan 02 00:00,23.31,77.93,180,6.4,0,0,10.3,77,0,26,0.9,15.766860765840035
Year 1 Jan 02 01:00,23.31,77.93,180,6.9,0,0,9.5,84,0,35,0.8,14.883871215480822
Year 1 Jan 02 02:00,23.31,77.93,180,7.2,0,0,8.9,89,0,37,0.7,14.108905961081855
Year 1 Jan 02 03:00,23.31,77.93,180,6.9,0,0,8.1,92,0,36,0.6,13.368470787283265
Year 1 Jan 02 04:00,23.31,77.93,180,6.6,0,0,7.5,94,0,40,0.5,12.694261232577964
Year 1 Jan 02 05:00,23.31,77.93,180,6.4,0,0,7,96,0,56,0.5,12.061395281874419
Year 1 Jan 02 06:00,23.31,77.93,180,6,0,0,6.4,97,0,76,0.5,11.425286427374328
Year 1 Jan 02 07:00,23.31,77.93,180,5.7,0,0,6,98,0,98,0.5,10.935651847808562
Year 1 Jan 02 08:00,23.31,77.93,180,7.1,45,77,7.5,97,0,125,0.4,15.19398754326673
Year 1 Jan 02 09:00,23.31,77.93,180,9.9,122,371,11.1,92,0,169,0.3,23.949080476938677
Year 1 Jan 02 10:00,23.31,77.93,180,12.4,165,547,15.5,82,0,121,0.3,32.35158671477271
Year 1 Jan 02 11:00,23.31,77.93,180,12.5,189,643,17.6,72,0,63,0.4,39.23731548618919
Year 1 Jan 02 12:00,23.31,77.93,180,11.4,201,690,19.4,60,0,23,0.7,43.81033012824749
Year 1 Jan 02 13:00,23.31,77.93,180,10.2,203,705,20.7,51,0,10,1,46.37337445047179
Year 1 Jan 02 14:00,23.31,77.93,180,8.8,197,685,21.6,44,0,4,1.3,46.773974958288459
Year 1 Jan 02 15:00,23.31,77.93,180,7.9,182,627,21.7,41,0,2,1.4,44.875443810804899
Year 1 Jan 02 16:00,23.31,77.93,180,7.3,153,522,21.4,40,0,360,1.4,41.084563106619409
Year 1 Jan 02 17:00,23.31,77.93,180,6.4,103,323,20.4,40,0,359,1.3,34.67108062592365
Year 1 Jan 02 18:00,23.31,77.93,180,4.9,21,32,17.6,43,0,356,0.9,27.06108270057924
Year 1 Jan 02 19:00,23.31,77.93,180,3.9,0,0,15.1,47,0,354,0.8,23.487407222366778
Year 1 Jan 02 20:00,23.31,77.93,180,2.7,0,0,13.5,48,0,354,0.8,21.187576483174376
Year 1 Jan 02 21:00,23.31,77.93,180,1.7,0,0,12.1,49,0,353,0.8,19.377136113247269
Year 1 Jan 02 22:00,23.31,77.93,180,1.1,0,0,11.1,50,0,350,0.8,17.899581683230254
Year 1 Jan 02 23:00,23.31,77.93,180,0.5,0,0,10.2,51,0,348,0.8,16.648904646709604
Year 1 Jan 03 00:00,23.31,77.93,180,0.3,0,0,9.4,53,0,345,0.7,15.579371770567814
Year 1 Jan 03 01:00,23.31,77.93,180,0,0,0,8.5,55,0,343,0.7,14.575235329017833
Year 1 Jan 03 02:00,23.31,77.93,180,0.1,0,0,7.8,58,0,344,0.6,13.692218553162519
Year 1 Jan 03 03:00,23.31,77.93,180,0,0,0,7,61,0,350,0.5,12.892446548415827
Year 1 Jan 03 04:00,23.31,77.93,180,0,0,0,6.3,64,0,4,0.4,12.151085483319278
Year 1 Jan 03 05:00,23.31,77.93,180,0.1,0,0,5.7,67,0,30,0.3,11.49550979095575
Year 1 Jan 03 06:00,23.31,77.93,180,-0.1,0,0,5.3,68,0,56,0.4,10.874685189379545
Year 1 Jan 03 07:00,23.31,77.93,180,0.4,0,0,5.2,71,0,76,0.4,10.372547736777542
Year 1 Jan 03 08:00,23.31,77.93,180,1.7,44,71,7,69,0,92,0.5,14.59783229472988
Year 1 Jan 03 09:00,23.31,77.93,180,3.7,125,344,11.4,59,0,104,0.6,23.00475159678349
Year 1 Jan 03 10:00,23.31,77.93,180,5.9,173,506,16.3,50,0,86,0.8,31.432897613865256
Year 1 Jan 03 11:00,23.31,77.93,180,6.5,201,596,18.7,45,0,80,1,38.05171007723281
Year 1 Jan 03 12:00,23.31,77.93,180,6.7,216,643,20.4,41,0,66,0.9,42.79243391
Year 1 Jan 03 13:00,23.31,77.93,180,6.6,217,660,21.5,38,0,51,0.8,45.76007695021727
Year 1 Jan 03 14:00,23.31,77.93,180,6.2,211,638,22.4,35,0,37,0.8,46.47149190846464
Year 1 Jan 03 15:00,23.31,77.93,180,5.9,196,576,22.5,34,0,25,0.9,44.88114554125495
Year 1 Jan 03 16:00,23.31,77.93,180,5.9,163,473,22.5,34,0,22,1,41.23339821290811
Year 1 Jan 03 17:00,23.31,77.93,180,5.7,107,290,21.4,36,0,22,1.1,34.97735289946458
Year 1 Jan 03 18:00,23.31,77.93,180,4.8,21,30,18.7,40,0,23,0.9,27.58010604681083
Year 1 Jan 03 19:00,23.31,77.93,180,4.1,0,0,16.4,44,0,22,0.9,24.123281193199209
Year 1 Jan 03 20:00,23.31,77.93,180,4,0,0,14.9,48,0,20,0.9,21.92910409546061
Year 1 Jan 03 21:00,23.31,77.93,180,3.5,0,0,13.7,50,0,14,0.9,20.245412586646539
Year 1 Jan 03 22:00,23.31,77.93,180,3.1,0,0,12.7,52,0,11,0.8,18.893899503198008
Year 1 Jan 03 23:00,23.31,77.93,180,2.7,0,0,11.7,54,0,12,0.7,17.741409435739344
Year 1 Jan 04 00:00,23.31,77.93,180,2.2,0,0,10.6,56,0,14,0.5,16.71321489425452
Year 1 Jan 04 01:00,23.31,77.93,180,2.3,0,0,9.4,61,0,37,0.2,15.778861052741054
Year 1 Jan 04 02:00,23.31,77.93,180,1.6,0,0,8.9,60,0,135,0.2,15.001095332198485
Year 1 Jan 04 03:00,23.31,77.93,180,1.2,0,0,8.3,61,0,162,0.3,14.245228225957974
Year 1 Jan 04 04:00,23.31,77.93,180,1,0,0,7.6,63,0,173,0.3,13.503087328884272
Year 1 Jan 04 05:00,23.31,77.93,180,0.7,0,0,7.3,63,0,154,0.4,12.854982123310265
Year 1 Jan 04 06:00,23.31,77.93,180,0.6,0,0,7.2,63,0,149,0.6,12.295945495226924
Year 1 Jan 04 07:00,23.31,77.93,180,2.3,0,0,6.8,73,0,160,0.4,11.795062345317679
Year 1 Jan 04 08:00,23.31,77.93,180,6.2,44,73,8.2,87,0,145,0.3,15.943977373571446
Year 1 Jan 04 09:00,23.31,77.93,180,5.5,123,357,13.3,59,0,125,0.4,24.632938095776497
Year 1 Jan 04 10:00,23.31,77.93,180,4.6,169,528,18,41,0,118,0.4,33.360692980235757
Year 1 Jan 04 11:00,23.31,77.93,180,4.8,196,618,20.4,36,0,100,0.4,40.31607392248128
Year 1 Jan 04 12:00,23.31,77.93,180,5.2,212,657,21.7,34,0,54,0.3,45.08307935005058
Year 1 Jan 04 13:00,23.31,77.93,180,5.7,216,665,22.8,33,0,35,0.3,47.86468659000414
Year 1 Jan 04 14:00,23.31,77.93,180,7.2,213,635,23.5,35,0,15,0.4,48.29465195075308
Year 1 Jan 04 15:00,23.31,77.93,180,7.3,200,563,23.7,35,0,17,0.4,46.56814789484661
Year 1 Jan 04 16:00,23.31,77.93,180,7.7,167,454,23.6,36,0,21,0.4,42.67179367456515
Year 1 Jan 04 17:00,23.31,77.93,180,8.1,109,276,22.8,39,0,25,0.4,36.677264882910197
