Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.39,87.51,270,-1,0,0,10.1,46,0,319,0.6,13.519632442410428
Year 1 Jan 01 02:00,23.39,87.51,270,-1.7,0,0,9.7,45,0,315,0.7,12.932826238086559
Year 1 Jan 01 03:00,23.39,87.51,270,-1.9,0,0,9.1,46,0,312,0.7,12.301280785009674
Year 1 Jan 01 04:00,23.39,87.51,270,-2,0,0,8.4,48,0,304,0.6,11.67469943931671
Year 1 Jan 01 05:00,23.39,87.51,270,-1.9,0,0,7.9,50,0,301,0.6,11.096543624253496
Year 1 Jan 01 06:00,23.39,87.51,270,-1.6,0,0,7.3,53,0,305,0.6,10.534784168459364
Year 1 Jan 01 07:00,23.39,87.51,270,0.8,16,22,7.4,63,0,305,0.7,10.697157262538023
Year 1 Jan 01 08:00,23.39,87.51,270,2.3,101,283,9,63,0,305,0.7,12.33999545950734
Year 1 Jan 01 09:00,23.39,87.51,270,5.9,155,503,12.8,63,0,307,0.6,14.635811417289105
Year 1 Jan 01 10:00,23.39,87.51,270,7.1,185,620,18.3,48,0,321,1,17.26860220046359
Year 1 Jan 01 11:00,23.39,87.51,270,4.7,199,685,20.2,36,0,325,1.2,19.391464521863456
Year 1 Jan 01 12:00,23.39,87.51,270,5.6,204,710,21.3,36,0,327,0.9,21.437890601801536
Year 1 Jan 01 13:00,23.39,87.51,270,5,202,702,22.5,32,0,331,0.8,27.76441568883774
Year 1 Jan 01 14:00,23.39,87.51,270,3.6,193,653,23.1,28,0,335,0.7,34.16556037773558
Year 1 Jan 01 15:00,23.39,87.51,270,4.1,172,557,23.1,29,0,342,0.5,37.868050503548108
Year 1 Jan 01 16:00,23.39,87.51,270,12.3,129,395,22.3,53,0,334,0.1,36.83512707244424
Year 1 Jan 01 17:00,23.39,87.51,270,10.6,47,165,19.3,57,0,200,0.1,30.390648226353176
Year 1 Jan 01 18:00,23.39,87.51,270,2.6,0,0,16.2,40,0,175,0.2,22.840472901548354
Year 1 Jan 01 19:00,23.39,87.51,270,2.1,0,0,14.5,43,0,163,0.3,20.143002486285036
Year 1 Jan 01 20:00,23.39,87.51,270,2,0,0,13.4,46,0.2,162,0.4,18.349884479087387
Year 1 Jan 01 21:00,23.39,87.51,270,2.3,0,0,12.4,50,0.4,169,0.4,16.98654207344948
Year 1 Jan 01 22:00,23.39,87.51,270,2.3,0,0,11.5,53,0.6,186,0.4,15.937000527251318
Year 1 Jan 01 23:00,23.39,87.51,270,2.6,0,0,10.8,57,3.5,206,0.4,15.00419829331338
Year 1 Jan 02 00:00,23.39,87.51,270,2.7,0,0,9.9,61,6.3,242,0.4,14.127383800578047
Year 1 Jan 02 01:00,23.39,87.51,270,2.4,0,0,9.3,62,9.2,285,0.6,13.314264394574318
Year 1 Jan 02 02:00,23.39,87.51,270,1.4,0,0,8.7,60,6.1,302,0.7,12.55310873
Year 1 Jan 02 03:00,23.39,87.51,270,0.2,0,0,7.9,58,3.1,306,0.6,11.817682013561113
Year 1 Jan 02 04:00,23.39,87.51,270,-0.7,0,0,7.2,57,0,302,0.6,11.105522584869029
Year 1 Jan 02 05:00,23.39,87.51,270,-1.6,0,0,6.8,55,0,296,0.6,10.499698419271774
Year 1 Jan 02 06:00,23.39,87.51,270,-1.7,0,0,6.4,56,0,295,0.6,9.965526891173532
Year 1 Jan 02 07:00,23.39,87.51,270,1.2,15,22,7.1,66,0,293,0.6,10.260867997453503
Year 1 Jan 02 08:00,23.39,87.51,270,2.4,101,283,10,59,0,294,0.6,12.256265600739728
Year 1 Jan 02 09:00,23.39,87.51,270,5.2,155,500,13.3,58,0,298,0.5,14.672004078011364
Year 1 Jan 02 10:00,23.39,87.51,270,8.3,188,608,18,53,0,322,0.5,17.174691095670718
Year 1 Jan 02 11:00,23.39,87.51,270,4.9,204,669,20,37,0,345,0.6,19.30096383803733
Year 1 Jan 02 12:00,23.39,87.51,270,6.2,209,695,21.1,38,0,344,0.6,21.394900798137344
Year 1 Jan 02 13:00,23.39,87.51,270,6.8,207,687,22.2,37,0,336,0.5,27.74566109075479
Year 1 Jan 02 14:00,23.39,87.51,270,5.5,197,641,23.1,32,0,317,0.5,34.08748294
Year 1 Jan 02 15:00,23.39,87.51,270,6.1,174,551,23.2,33,0,305,0.5,37.87746318
Year 1 Jan 02 16:00,23.39,87.51,270,12.6,130,395,22.4,54,0,303,0.2,36.91444711319244
Year 1 Jan 02 17:00,23.39,87.51,270,10.5,48,166,19.5,56,0,247,0.1,30.551551175170276
Year 1 Jan 02 18:00,23.39,87.51,270,4.2,0,0,16.8,43,0,188,0.3,23.06978504669863
Year 1 Jan 02 19:00,23.39,87.51,270,4,0,0,15.6,46,0,179,0.5,20.57399817741407
Year 1 Jan 02 20:00,23.39,87.51,270,4.1,0,0,14.7,49,0.2,181,0.6,18.961768671611894
Year 1 Jan 02 21:00,23.39,87.51,270,3.9,0,0,13.9,51,0.4,185,0.7,17.754195006820667
Year 1 Jan 02 22:00,23.39,87.51,270,4,0,0,13.1,54,0.6,192,0.6,16.79491174603118
Year 1 Jan 02 23:00,23.39,87.51,270,4.2,0,0,12.2,58,2,212,0.5,15.912059985949476
Year 1 Jan 03 00:00,23.39,87.51,270,4.3,0,0,11.3,62,3.3,249,0.5,15.06633181236915
Year 1 Jan 03 01:00,23.39,87.51,270,3.9,0,0,10.6,63,4.7,293,0.6,14.27303015094721
Year 1 Jan 03 02:00,23.39,87.51,270,3.1,0,0,10,62,3.3,312,0.7,13.56479101885297
Year 1 Jan 03 03:00,23.39,87.51,270,2,0,0,9.6,59,1.8,321,0.6,12.968723373879549
Year 1 Jan 03 04:00,23.39,87.51,270,0.8,0,0,9.1,56,0.4,327,0.6,12.417236278111153
Year 1 Jan 03 05:00,23.39,87.51,270,-0.3,0,0,8.7,53,0.3,324,0.5,11.939853626932168
Year 1 Jan 03 06:00,23.39,87.51,270,-1.2,0,0,8.3,51,0.1,311,0.5,11.506154319233627
Year 1 Jan 03 07:00,23.39,87.51,270,2.3,14,18,8.7,64,0,292,0.5,11.801866020936164
Year 1 Jan 03 08:00,23.39,87.51,270,2.4,103,208,10.6,57,0,275,0.5,13.63572319746245
Year 1 Jan 03 09:00,23.39,87.51,270,6.3,173,390,13.7,61,0.1,274,0.4,16.02300741514754
Year 1 Jan 03 10:00,23.39,87.51,270,11.6,211,508,18.8,63,0.1,287,0.4,18.665917908934746
Year 1 Jan 03 11:00,23.39,87.51,270,6.1,230,578,21.8,36,0.1,285,0.5,20.941639275214919
Year 1 Jan 03 12:00,23.39,87.51,270,7.5,237,605,22.9,37,0,284,0.5,23.131812839802725
Year 1 Jan 03 13:00,23.39,87.51,270,7.9,233,601,23.9,36,0,285,0.4,29.030748957290208
Year 1 Jan 03 14:00,23.39,87.51,270,6.4,219,561,24.6,31,0,288,0.4,34.930990290035669
Year 1 Jan 03 15:00,23.39,87.51,270,7,190,478,24.8,32,0,285,0.4,38.308957637003768
Year 1 Jan 03 16:00,23.39,87.51,270,14.4,137,340,24,55,0,266,0.2,37.02178690300124
Year 1 Jan 03 17:00,23.39,87.51,270,13,49,141,21.3,59,0,204,0.1,31.235072293165766
Year 1 Jan 03 18:00,23.39,87.51,270,6.2,0,0,18.7,44,0,156,0.2,24.30032108114053
Year 1 Jan 03 19:00,23.39,87.51,270,5.8,0,0,17.5,46,0,151,0.4,21.911454372963303
Year 1 Jan 03 20:00,23.39,87.51,270,6.1,0,0,16.6,50,0.9,154,0.5,20.338602276255054
Year 1 Jan 03 21:00,23.39,87.51,270,6.5,0,0,15.5,55,1.9,169,0.4,19.120808539899316
Year 1 Jan 03 22:00,23.39,87.51,270,6.5,0,0,13.9,61,2.8,228,0.2,18.037231302725954
Year 1 Jan 03 23:00,23.39,87.51,270,6.2,0,0,13.3,62,1.9,301,0.4,17.09045627766615
Year 1 Jan 04 00:00,23.39,87.51,270,4.9,0,0,13,58,0.9,320,0.6,16.32860965
Year 1 Jan 04 01:00,23.39,87.51,270,3.5,0,0,12.3,55,0,326,0.6,15.602487312625988
Year 1 Jan 04 02:00,23.39,87.51,270,2.4,0,0,11.6,53,0,330,0.5,14.913062061553453
Year 1 Jan 04 03:00,23.39,87.51,270,1.8,0,0,11,53,0,335,0.6,14.255574121291883
Year 1 Jan 04 04:00,23.39,87.51,270,1.5,0,0,10.4,54,0,345,0.6,13.630642683735293
Year 1 Jan 04 05:00,23.39,87.51,270,1.9,0,0,10,57,0,355,0.7,13.065575834781106
Year 1 Jan 04 06:00,23.39,87.51,270,2.5,0,0,9.6,61,0,2,0.8,12.549973377669155
Year 1 Jan 04 07:00,23.39,87.51,270,5.1,14,17,9.9,72,0,8,0.8,12.747330895821659
Year 1 Jan 04 08:00,23.39,87.51,270,6.8,103,195,11.9,71,0,14,0.7,14.452421356254435
Year 1 Jan 04 09:00,23.39,87.51,270,9.8,176,370,15.2,70,0,13,0.4,16.89837277167318
Year 1 Jan 04 10:00,23.39,87.51,270,11.4,216,489,19.9,58,0,50,0.5,19.508618975582693
Year 1 Jan 04 11:00,23.39,87.51,270,10.3,235,561,21.5,49,0.5,59,0.7,21.524107564882259
Year 1 Jan 04 12:00,23.39,87.51,270,11.2,243,587,22.4,49,0.9,55,0.6,23.474700198390854
Year 1 Jan 04 13:00,23.39,87.51,270,11.2,238,585,23.5,46,1.4,58,0.5,29.031126401046146
Year 1 Jan 04 14:00,23.39,87.51,270,9,224,542,24.2,38,3.5,39,0.3,34.742962731538579
Year 1 Jan 04 15:00,23.39,87.51,270,9.1,196,454,24.3,38,5.6,10,0.2,37.74651196788179
Year 1 Jan 04 16:00,23.39,87.51,270,13.5,140,317,23.9,52,7.7,53,0.1,36.57977364940809
Year 1 Jan 04 17:00,23.39,87.51,270,13.7,50,130,21.3,62,7.8,149,0.2,30.99409365049003
Year 1 Jan 04 18:00,23.39,87.51,270,8.6,0,0,19,51,7.8,156,0.4,24.329065860351166
Year 1 Jan 04 19:00,23.39,87.51,270,8.8,0,0,18,55,7.9,159,0.7,22.061511750577617
Year 1 Jan 04 20:00,23.39,87.51,270,9,0,0,17.3,58,5.3,164,0.7,20.594611522467809
Year 1 Jan 04 21:00,23.39,87.51,270,9.3,0,0,16.3,63,2.6,175,0.6,19.475119777561767
Year 1 Jan 04 22:00,23.39,87.51,270,9.6,0,0,15,70,0,194,0.4,18.47771864573415
Year 1 Jan 04 23:00,23.39,87.51,270,9.9,0,0,13.9,77,0,243,0.4,17.527645193220726
Year 1 Jan 05 00:00,23.39,87.51,270,9.7,0,0,13.3,79,0,279,0.5,16.713511015052498
Year 1 Jan 05 01:00,23.39,87.51,270,9.3,0,0,13,78,0,290,0.6,16.050602783401759
Year 1 Jan 05 02:00,23.39,87.51,270,8.7,0,0,12.8,76,0,299,0.6,15.533987665573198
Year 1 Jan 05 03:00,23.39,87.51,270,8,0,0,12.5,74,0,322,0.6,15.085624391327015
Year 1 Jan 05 04:00,23.39,87.51,270,6.7,0,0,12,70,0,340,0.5,14.65929325688057
Year 1 Jan 05 05:00,23.39,87.51,270,5.2,0,0,11.3,66,0,341,0.4,14.178312739869324
Year 1 Jan 05 06:00,23.39,87.51,270,4,0,0,10.5,64,0,335,0.4,13.640875567437054
Year 1 Jan 05 07:00,23.39,87.51,270,5.8,13,16,10.8,71,0,337,0.4,13.821814015430123
Year 1 Jan 05 08:00,23.39,87.51,270,5.1,104,184,12.2,62,0,347,0.4,15.493088827455108
Year 1 Jan 05 09:00,23.39,87.51,270,9,178,353,15.1,67,0,4,0.3,17.78142885340634
Year 1 Jan 05 10:00,23.39,87.51,270,12.9,219,473,19.9,64,0,22,0.3,20.333247794117143
Year 1 Jan 05 11:00,23.39,87.51,270,10.9,246,521,22.1,49,0.4,37,0.5,22.503816742361754
Year 1 Jan 05 12:00,23.39,87.51,270,12.1,269,501,23.1,50,0.7,26,0.4,24.59628502953558
Year 1 Jan 05 13:00,23.39,87.51,270,12.7,278,453,24.1,49,1.1,25,0.5,29.56496479275528
Year 1 Jan 05 14:00,23.39,87.51,270,12.3,257,415,24.7,46,0.7,24,0.5,34.032203134287957
Year 1 Jan 05 15:00,23.39,87.51,270,12.1,210,381,24.8,45,0.4,35,0.4,36.917320750081938
Year 1 Jan 05 16:00,23.39,87.51,270,14.6,144,290,24.2,55,0,73,0.3,36.30302466869659
Year 1 Jan 05 17:00,23.39,87.51,270,14,51,125,22.1,60,0,111,0.3,31.31140132965708
Year 1 Jan 05 18:00,23.39,87.51,270,11,0,0,19.7,57,0,124,0.4,24.79266637654654
Year 1 Jan 05 19:00,23.39,87.51,270,10.9,0,0,18.3,62,0,130,0.5,22.521978869886426
Year 1 Jan 05 20:00,23.39,87.51,270,11,0,0,17.4,66,0,142,0.5,21.040156459064769
Year 1 Jan 05 21:00,23.39,87.51,270,11.3,0,0,16.6,71,0,167,0.6,19.91186627462285
Year 1 Jan 05 22:00,23.39,87.51,270,12.1,0,0,15.7,79,0,197,0.5,19.032954201904145
Year 1 Jan 05 23:00,23.39,87.51,270,12.7,0,0,15,86,0.6,251,0.6,18.202274941872667
Year 1 Jan 06 00:00,23.39,87.51,270,12.5,0,0,14.5,88,1.3,283,0.7,17.47218709
Year 1 Jan 06 01:00,23.39,87.51,270,11.7,0,0,13.8,87,1.9,302,0.7,16.77524836633448
Year 1 Jan 06 02:00,23.39,87.51,270,10,0,0,13.2,81,3,317,0.7,16.261401454571677
Year 1 Jan 06 03:00,23.39,87.51,270,7.9,0,0,13.3,70,4.2,325,0.7,16.019801188925287
Year 1 Jan 06 04:00,23.39,87.51,270,5.6,0,0,13.4,59,5.3,322,0.7,15.930564159697493
Year 1 Jan 06 05:00,23.39,87.51,270,3.1,0,0,13.3,50,6.5,316,0.6,15.755850835975492
Year 1 Jan 06 06:00,23.39,87.51,270,1.4,0,0,13,45,7.6,322,0.5,15.501842168660023
Year 1 Jan 06 07:00,23.39,87.51,270,3.9,10,8,13,54,8.8,357,0.5,15.718656242620162
Year 1 Jan 06 08:00,23.39,87.51,270,4.4,93,67,13.5,54,5.9,3,0.6,17.027128658605478
Year 1 Jan 06 09:00,23.39,87.51,270,8.2,193,171,15.9,60,3,1,0.4,19.151629145611957
Year 1 Jan 06 10:00,23.39,87.51,270,12.5,233,391,20.3,61,0.1,4,0.3,21.570143221458069
Year 1 Jan 06 11:00,23.39,87.51,270,10.1,247,505,23,44,0.7,14,0.6,23.709824935800009
Year 1 Jan 06 12:00,23.39,87.51,270,11.8,284,452,23.8,47,1.2,358,0.4,25.84377539
Year 1 Jan 06 13:00,23.39,87.51,270,13.1,297,385,24.5,49,1.8,308,0.3,30.329883743381655
Year 1 Jan 06 14:00,23.39,87.51,270,14,273,354,25.1,50,1.2,278,0.4,34.63386114930495
Year 1 Jan 06 15:00,23.39,87.51,270,14.2,216,349,25.4,50,0.6,265,0.3,37.567588799288248
Year 1 Jan 06 16:00,23.39,87.51,270,16,146,284,25.1,57,0,228,0.2,37.27384478469439
Year 1 Jan 06 17:00,23.39,87.51,270,16.4,53,127,23.1,66,0,182,0.3,32.49084940034046
Year 1 Jan 06 18:00,23.39,87.51,270,14.6,0,0,21.2,66,0,167,0.6,25.950669575030916
Year 1 Jan 06 19:00,23.39,87.51,270,15.1,0,0,19.9,74,0,171,0.8,23.742622827121687
Year 1 Jan 06 20:00,23.39,87.51,270,15.8,0,0,18.9,82,0,182,0.8,22.293361776120109
Year 1 Jan 06 21:00,23.39,87.51,270,16.4,0,0,17.9,91,0,207,0.7,21.146932545531514
Year 1 Jan 06 22:00,23.39,87.51,270,16.2,0,0,17,95,0,242,0.6,20.188529671118375
Year 1 Jan 06 23:00,23.39,87.51,270,15.9,0,0,16.5,96,0.9,270,0.7,19.43705958438222
Year 1 Jan 07 00:00,23.39,87.51,270,15,0,0,16,94,1.7,296,0.7,18.82636302614339
Year 1 Jan 07 01:00,23.39,87.51,270,13.4,0,0,15.2,89,2.6,308,0.7,18.233240905724963
Year 1 Jan 07 02:00,23.39,87.51,270,11.1,0,0,14.3,81,2.1,306,0.6,17.546727396076727
Year 1 Jan 07 03:00,23.39,87.51,270,9.2,0,0,13.5,75,1.5,306,0.5,16.82111824141806
Year 1 Jan 07 04:00,23.39,87.51,270,7.2,0,0,12.7,69,1,303,0.5,16.07949646549864
Year 1 Jan 07 05:00,23.39,87.51,270,5.1,0,0,12.2,62,3.9,302,0.6,15.431707163185394
Year 1 Jan 07 06:00,23.39,87.51,270,3.6,0,0,11.8,57,6.9,308,0.6,14.878705026003395
Year 1 Jan 07 07:00,23.39,87.51,270,5.3,13,15,11.9,64,9.8,308,0.6,14.983718311823003
Year 1 Jan 07 08:00,23.39,87.51,270,5.9,100,199,13.5,60,9.3,296,0.7,16.783586647670224
Year 1 Jan 07 09:00,23.39,87.51,270,8.8,184,167,15.3,65,8.7,278,0.6,18.81065830704504
Year 1 Jan 07 10:00,23.39,87.51,270,11.6,188,23,17.1,70,8.2,267,0.5,20.241112070489295
Year 1 Jan 07 11:00,23.39,87.51,270,13.4,205,18,19.2,69,6.5,287,0.6,21.80168514432875
Year 1 Jan 07 12:00,23.39,87.51,270,11.6,311,94,22.2,51,4.7,296,0.8,24.319871997776759
Year 1 Jan 07 13:00,23.39,87.51,270,8,308,299,24,36,3,290,0.8,28.865547046266355
Year 1 Jan 07 14:00,23.39,87.51,270,9.4,248,449,24.7,38,2,276,0.8,34.43933442161469
Year 1 Jan 07 15:00,23.39,87.51,270,10.6,214,397,24.7,41,1,262,0.7,37.40114288087615
