Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,74.1,180,10.9,0,0,19.6,57,0,49,1.8,22.957331333284125
Year 1 Jan 01 02:00,23.44,74.1,180,11.3,0,0,19,61,0,51,1.7,22.153209677890936
Year 1 Jan 01 03:00,23.44,74.1,180,11.6,0,0,18.5,64,0,52,1.6,21.47104015252799
Year 1 Jan 01 04:00,23.44,74.1,180,11.8,0,0,18,67,0,51,1.6,20.84105651122138
Year 1 Jan 01 05:00,23.44,74.1,180,11.9,0,0,17.7,69,0,49,1.6,20.29036977171242
Year 1 Jan 01 06:00,23.44,74.1,180,12.2,0,0,17.3,72,0,46,1.6,19.775103190019096
Year 1 Jan 01 07:00,23.44,74.1,180,12.1,0,0,16.8,74,0,43,1.5,19.267929842387895
Year 1 Jan 01 08:00,23.44,74.1,180,12.8,20,20,17.3,75,0,42,1.5,21.213039876059545
Year 1 Jan 01 09:00,23.44,74.1,180,15,109,240,20.4,71,0,45,1.6,27.799676235744025
Year 1 Jan 01 10:00,23.44,74.1,180,16.8,170,425,23.8,65,0,54,2.2,35.236043166624757
Year 1 Jan 01 11:00,23.44,74.1,180,17.5,207,531,25.9,60,0,50,2.1,41.45933571018678
Year 1 Jan 01 12:00,23.44,74.1,180,17.4,228,583,28.5,51,0,47,2.2,46.352171315983458
Year 1 Jan 01 13:00,23.44,74.1,180,15.8,232,609,30.1,42,0,50,2.2,49.58768111938882
Year 1 Jan 01 14:00,23.44,74.1,180,15.3,227,599,30.9,39,0,52,2,50.93322833228602
Year 1 Jan 01 15:00,23.44,74.1,180,15.3,211,551,30.8,39,0,50,1.7,50.26645213071167
Year 1 Jan 01 16:00,23.44,74.1,180,15.4,177,469,30.5,40,0,46,1.7,47.48099304408766
Year 1 Jan 01 17:00,23.44,74.1,180,15.2,122,328,29.5,42,0,42,1.6,42.127345014856448
Year 1 Jan 01 18:00,23.44,74.1,180,14.6,42,60,26.9,47,0,34,1.2,34.993755708443057
Year 1 Jan 01 19:00,23.44,74.1,180,14.4,0,0,24.6,53,0,33,1.3,31.056553082129633
Year 1 Jan 01 20:00,23.44,74.1,180,14.5,0,0,23.2,58,0,39,1.4,28.862567912298205
Year 1 Jan 01 21:00,23.44,74.1,180,14.8,0,0,22.2,63,0,45,1.5,27.220731121461065
Year 1 Jan 01 22:00,23.44,74.1,180,15,0,0,21.4,67,0,49,1.6,25.90850836333088
Year 1 Jan 01 23:00,23.44,74.1,180,15.1,0,0,20.8,70,0,53,1.6,24.84310046505177
Year 1 Jan 02 00:00,23.44,74.1,180,15.2,0,0,20.2,73,0,54,1.7,23.914377971471397
Year 1 Jan 02 01:00,23.44,74.1,180,15.2,0,0,19.8,75,0,53,1.7,23.129088054379687
Year 1 Jan 02 02:00,23.44,74.1,180,15.3,0,0,19.4,77,0,49,1.8,22.437053405472346
Year 1 Jan 02 03:00,23.44,74.1,180,15.2,0,0,18.9,79,0,49,1.9,21.769365607790428
Year 1 Jan 02 04:00,23.44,74.1,180,15.1,0,0,18.6,80,0,51,1.9,21.194124669018426
Year 1 Jan 02 05:00,23.44,74.1,180,14.6,0,0,18.1,80,0,53,1.8,20.652462765530417
Year 1 Jan 02 06:00,23.44,74.1,180,14.4,0,0,17.7,81,0,55,1.8,20.137683875976309
Year 1 Jan 02 07:00,23.44,74.1,180,14.1,0,0,17.2,82,0,57,1.7,19.639124702103424
Year 1 Jan 02 08:00,23.44,74.1,180,14.3,19,19,17.6,81,0,59,1.7,21.325974338955626
Year 1 Jan 02 09:00,23.44,74.1,180,15.7,109,225,20.1,76,0,64,2,27.544126536488876
Year 1 Jan 02 10:00,23.44,74.1,180,16.9,175,397,22.6,70,0,65,2.1,34.37669823501811
Year 1 Jan 02 11:00,23.44,74.1,180,18,216,494,24.8,66,0,59,1.9,40.65478042645823
Year 1 Jan 02 12:00,23.44,74.1,180,18.9,240,543,27.3,60,0,59,1.9,45.52294010410401
Year 1 Jan 02 13:00,23.44,74.1,180,19.1,246,565,29.4,54,0,71,1.9,48.821691427464937
Year 1 Jan 02 14:00,23.44,74.1,180,19.7,241,552,30.3,53,0,73,1.7,50.21191922307075
Year 1 Jan 02 15:00,23.44,74.1,180,19.8,224,502,30.5,53,0,69,1.4,49.63444897324665
Year 1 Jan 02 16:00,23.44,74.1,180,19.7,187,422,30.3,53,0,61,1.2,46.90543563750926
Year 1 Jan 02 17:00,23.44,74.1,180,19.3,126,293,29.6,54,0,51,1.1,42.01813030604295
Year 1 Jan 02 18:00,23.44,74.1,180,18.1,42,56,27.1,58,0,35,0.9,35.15382101049382
Year 1 Jan 02 19:00,23.44,74.1,180,16.9,0,0,24.7,62,0,29,1,31.294494856234274
Year 1 Jan 02 20:00,23.44,74.1,180,16.3,0,0,23.2,65,0,33,1.2,29.084756685346677
Year 1 Jan 02 21:00,23.44,74.1,180,15.8,0,0,22.2,67,0,40,1.4,27.410526846218496
Year 1 Jan 02 22:00,23.44,74.1,180,15.1,0,0,21.5,67,0,46,1.6,26.079246795708899
Year 1 Jan 02 23:00,23.44,74.1,180,14.7,0,0,21.1,67,0,49,1.7,25.03498437312959
Year 1 Jan 03 00:00,23.44,74.1,180,14.3,0,0,20.6,67,0,50,1.8,24.134627818666347
Year 1 Jan 03 01:00,23.44,74.1,180,13.5,0,0,20,66,0,53,1.8,23.311180711143224
Year 1 Jan 03 02:00,23.44,74.1,180,13,0,0,19.5,66,0,56,1.7,22.582418755928378
Year 1 Jan 03 03:00,23.44,74.1,180,12.2,0,0,18.9,65,0,57,1.7,21.88243005630143
Year 1 Jan 03 04:00,23.44,74.1,180,11.6,0,0,18.5,64,0,59,1.6,21.268971852981538
Year 1 Jan 03 05:00,23.44,74.1,180,10.9,0,0,18,63,0,63,1.5,20.698899524079367
Year 1 Jan 03 06:00,23.44,74.1,180,10.2,0,0,17.6,62,0,66,1.5,20.159741468819058
Year 1 Jan 03 07:00,23.44,74.1,180,10.1,0,0,17.2,63,0,66,1.5,19.658556002313398
Year 1 Jan 03 08:00,23.44,74.1,180,10.3,19,20,17.7,62,0,63,1.5,21.579601625558526
Year 1 Jan 03 09:00,23.44,74.1,180,11.7,108,245,20.8,56,0,64,1.6,28.21481146
Year 1 Jan 03 10:00,23.44,74.1,180,12.6,169,429,24,49,0,74,2.2,35.604020184465259
Year 1 Jan 03 11:00,23.44,74.1,180,13.5,206,533,26,46,0,71,1.8,41.93413935427345
Year 1 Jan 03 12:00,23.44,74.1,180,14.5,227,588,28.3,43,0,70,1.6,47.08634205
Year 1 Jan 03 13:00,23.44,74.1,180,16,231,615,29.9,43,0,77,1.5,50.53128431
Year 1 Jan 03 14:00,23.44,74.1,180,16.7,226,607,30.7,43,0,71,1.2,52.099832956821888
Year 1 Jan 03 15:00,23.44,74.1,180,17.2,209,562,30.9,44,0,59,1,51.569192519483198
Year 1 Jan 03 16:00,23.44,74.1,180,16.8,176,483,30.8,43,0,47,0.9,48.94636092994704
Year 1 Jan 03 17:00,23.44,74.1,180,16.4,123,342,30,44,0,43,0.9,43.559822283212259
Year 1 Jan 03 18:00,23.44,74.1,180,15.2,45,67,27.2,48,0,40,0.7,36.10641795500078
Year 1 Jan 03 19:00,23.44,74.1,180,13.9,0,0,24.4,52,0,41,0.8,31.835694868079899
Year 1 Jan 03 20:00,23.44,74.1,180,13.4,0,0,22.9,55,0,48,0.9,29.465316202265258
Year 1 Jan 03 21:00,23.44,74.1,180,12.5,0,0,21.7,56,0,55,1.1,27.65415701849691
Year 1 Jan 03 22:00,23.44,74.1,180,11.8,0,0,20.6,57,0,62,1.1,26.179257646056948
Year 1 Jan 03 23:00,23.44,74.1,180,11,0,0,19.7,57,0,68,1.2,24.90511137983281
Year 1 Jan 04 00:00,23.44,74.1,180,10.2,0,0,18.9,57,0,70,1.1,23.821563165416646
Year 1 Jan 04 01:00,23.44,74.1,180,9.5,0,0,18.1,57,0,70,1,22.85818649428674
Year 1 Jan 04 02:00,23.44,74.1,180,8.9,0,0,17.5,57,0,69,1,22.0127029
Year 1 Jan 04 03:00,23.44,74.1,180,8.5,0,0,16.8,58,0,60,0.9,21.249011566860394
