Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.39,87.51,180,-1,0,0,10.1,46,0,319,0.6,16.064704481588195
Year 1 Jan 01 02:00,23.39,87.51,180,-1.7,0,0,9.7,45,0,315,0.7,15.300557498314383
Year 1 Jan 01 03:00,23.39,87.51,180,-1.9,0,0,9.1,46,0,312,0.7,14.527194839302267
Year 1 Jan 01 04:00,23.39,87.51,180,-2,0,0,8.4,48,0,304,0.6,13.792068500828624
Year 1 Jan 01 05:00,23.39,87.51,180,-1.9,0,0,7.9,50,0,301,0.6,13.116908345485513
Year 1 Jan 01 06:00,23.39,87.51,180,-1.6,0,0,7.3,53,0,305,0.6,12.463337099300011
Year 1 Jan 01 07:00,23.39,87.51,180,0.8,16,22,7.4,63,0,305,0.7,14.408034349280968
Year 1 Jan 01 08:00,23.39,87.51,180,2.3,101,283,9,63,0,305,0.7,21.39211734066088
Year 1 Jan 01 09:00,23.39,87.51,180,5.9,155,503,12.8,63,0,307,0.6,29.68542783239426
Year 1 Jan 01 10:00,23.39,87.51,180,7.1,185,620,18.3,48,0,321,1,37.18644535494589
Year 1 Jan 01 11:00,23.39,87.51,180,4.7,199,685,20.2,36,0,325,1.2,42.76074783194352
Year 1 Jan 01 12:00,23.39,87.51,180,5.6,204,710,21.3,36,0,327,0.9,46.45203756192167
Year 1 Jan 01 13:00,23.39,87.51,180,5,202,702,22.5,32,0,331,0.8,48.22315513911198
Year 1 Jan 01 14:00,23.39,87.51,180,3.6,193,653,23.1,28,0,335,0.7,47.677602736821267
Year 1 Jan 01 15:00,23.39,87.51,180,4.1,172,557,23.1,29,0,342,0.5,44.89483013769561
Year 1 Jan 01 16:00,23.39,87.51,180,12.3,129,395,22.3,53,0,334,0.1,39.73851265853083
Year 1 Jan 01 17:00,23.39,87.51,180,10.6,47,165,19.3,57,0,200,0.1,32.607927681069167
Year 1 Jan 01 18:00,23.39,87.51,180,2.6,0,0,16.2,40,0,175,0.2,26.671687899235157
Year 1 Jan 01 19:00,23.39,87.51,180,2.1,0,0,14.5,43,0,163,0.3,23.946625435614729
