Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Feb 04 12:00,23.39,87.51,90,13.6,259,604,23.7,53,0.2,259,0.5,31.92956708016657
Year 1 Feb 04 13:00,23.39,87.51,90,13.1,251,620,24.5,49,0,241,0.6,30.522675050965277
Year 1 Feb 04 14:00,23.39,87.51,90,13.2,239,590,25,48,0,239,0.8,30.08442771827748
Year 1 Feb 04 15:00,23.39,87.51,90,13.4,217,513,24.8,49,0,242,1,29.337180577505419
Year 1 Feb 04 16:00,23.39,87.51,90,15.3,170,399,23.8,59,0,241,0.9,27.88540884248634
Year 1 Feb 04 17:00,23.39,87.51,90,15.6,95,198,22,67,0,239,0.7,25.657095769008977
Year 1 Feb 04 18:00,23.39,87.51,90,13.9,9,13,20.2,67,0,242,0.5,23.24644132968804
Year 1 Feb 04 19:00,23.39,87.51,90,13.6,0,0,18.8,72,0,251,0.5,21.935521779962558
Year 1 Feb 04 20:00,23.39,87.51,90,13.5,0,0,17.8,76,0,258,0.4,20.899634883931048
Year 1 Feb 04 21:00,23.39,87.51,90,13,0,0,16.9,78,0,260,0.4,20.013148554816334
Year 1 Feb 04 22:00,23.39,87.51,90,12.8,0,0,16.1,81,0,252,0.4,19.209488313458779
Year 1 Feb 04 23:00,23.39,87.51,90,12.5,0,0,15.6,82,0,236,0.4,18.521465633747238
Year 1 Feb 05 00:00,23.39,87.51,90,12.2,0,0,15.2,82,0,226,0.5,17.910531612312977
Year 1 Feb 05 01:00,23.39,87.51,90,11.9,0,0,14.9,82,0,228,0.6,17.360171632745169
Year 1 Feb 05 02:00,23.39,87.51,90,11.6,0,0,14.5,83,0,234,0.6,16.856114858188734
Year 1 Feb 05 03:00,23.39,87.51,90,11.7,0,0,14,86,0,241,0.5,16.36534757006659
Year 1 Feb 05 04:00,23.39,87.51,90,11.6,0,0,13.7,87,0,246,0.7,15.883822009263632
Year 1 Feb 05 05:00,23.39,87.51,90,11.7,0,0,13.6,88,0,249,0.7,15.509601031072468
Year 1 Feb 05 06:00,23.39,87.51,90,11.8,0,0,13.4,90,0,257,0.6,15.19927818977284
Year 1 Feb 05 07:00,23.39,87.51,90,12.4,19,22,14.4,88,0,264,0.6,19.21445740329427
Year 1 Feb 05 08:00,23.39,87.51,90,13.5,114,237,16.4,83,0,260,0.6,28.284365855234158
Year 1 Feb 05 09:00,23.39,87.51,90,16.1,185,411,19.6,80,0,249,0.5,34.782529989648029
Year 1 Feb 05 10:00,23.39,87.51,90,14.3,222,536,23,58,0,250,0.9,37.578320784529598
Year 1 Feb 05 11:00,23.39,87.51,90,13.9,238,616,24.1,53,0,246,1,36.2808649
Year 1 Feb 05 12:00,23.39,87.51,90,13.3,243,654,25.1,48,0,242,1,32.36950662274864
Year 1 Feb 05 13:00,23.39,87.51,90,10.7,238,664,25.7,39,0,247,1,30.895689631138816
Year 1 Feb 05 14:00,23.39,87.51,90,10.5,227,635,25.9,38,0,254,0.9,30.437739465457399
Year 1 Feb 05 15:00,23.39,87.51,90,11.7,206,564,25.5,42,0,252,0.8,29.639757108859294
Year 1 Feb 05 16:00,23.39,87.51,90,15.4,163,450,24.2,58,0,239,0.7,28.151468240452297
Year 1 Feb 05 17:00,23.39,87.51,90,15.1,96,229,22.2,64,0,227,0.7,25.812570949064019
Year 1 Feb 05 18:00,23.39,87.51,90,12.3,9,15,20.3,60,0,222,0.7,23.25173191149288
Year 1 Feb 05 19:00,23.39,87.51,90,11.6,0,0,19,62,0,221,0.8,21.883898206259198
Year 1 Feb 05 20:00,23.39,87.51,90,11,0,0,18.1,63,0,223,0.8,20.800318518937659
Year 1 Feb 05 21:00,23.39,87.51,90,10.6,0,0,17.2,65,0,228,0.8,19.855511117369326
Year 1 Feb 05 22:00,23.39,87.51,90,10.2,0,0,16.3,67,0,232,0.8,18.981078792466385
Year 1 Feb 05 23:00,23.39,87.51,90,9.7,0,0,15.6,68,0,235,0.7,18.22108821
Year 1 Feb 06 00:00,23.39,87.51,90,9.5,0,0,14.9,70,0,240,0.7,17.52138724438441
Year 1 Feb 06 01:00,23.39,87.51,90,9.2,0,0,14.2,72,0,246,0.7,16.858347025107478
Year 1 Feb 06 02:00,23.39,87.51,90,9.2,0,0,13.7,74,0,252,0.7,16.263217288030437
Year 1 Feb 06 03:00,23.39,87.51,90,9,0,0,13.1,76,0,257,0.7,15.683427277648093
Year 1 Feb 06 04:00,23.39,87.51,90,9,0,0,12.7,78,0,260,0.7,15.157860314843252
Year 1 Feb 06 05:00,23.39,87.51,90,8.9,0,0,12.4,79,0,259,0.7,14.704726951916303
Year 1 Feb 06 06:00,23.39,87.51,90,9,0,0,12.2,81,0,257,0.7,14.312017969119527
Year 1 Feb 06 07:00,23.39,87.51,90,10.1,20,24,13.1,82,0,254,0.7,18.683772056523247
Year 1 Feb 06 08:00,23.39,87.51,90,11.2,113,265,15.4,76,0,251,0.7,28.054612642969219
Year 1 Feb 06 09:00,23.39,87.51,90,13.8,180,448,19.2,71,0,250,0.6,35.02761949692911
Year 1 Feb 06 10:00,23.39,87.51,90,13.2,215,567,23.6,52,0,270,0.8,37.80276622586218
Year 1 Feb 06 11:00,23.39,87.51,90,10,230,643,25.3,38,0,284,1,36.66777985352488
Year 1 Feb 06 12:00,23.39,87.51,90,10.7,235,679,26.1,38,0,281,0.9,32.65131400204234
Year 1 Feb 06 13:00,23.39,87.51,90,10.6,231,686,26.9,36,0,268,0.9,31.210264587502615
Year 1 Feb 06 14:00,23.39,87.51,90,9.5,222,654,27.1,33,0,262,1,30.800645069142939
Year 1 Feb 06 15:00,23.39,87.51,90,12.1,203,578,26.4,41,0,258,0.9,29.998343918173405
Year 1 Feb 06 16:00,23.39,87.51,90,17,162,460,25,61,0,242,0.7,28.53547632848306
Year 1 Feb 06 17:00,23.39,87.51,90,16,97,236,22.9,65,0,224,0.6,26.24366178104447
Year 1 Feb 06 18:00,23.39,87.51,90,12.9,10,17,20.7,61,0,215,0.6,23.64562151
Year 1 Feb 06 19:00,23.39,87.51,90,12.3,0,0,19.3,64,0,217,0.6,22.25968160385959
Year 1 Feb 06 20:00,23.39,87.51,90,11.8,0,0,18.3,66,0,221,0.6,21.18348711007198
Year 1 Feb 06 21:00,23.39,87.51,90,11,0,0,17.4,66,0,219,0.6,20.266694727084884
Year 1 Feb 06 22:00,23.39,87.51,90,10.7,0,0,16.9,67,0,221,0.7,19.495948838996179
Year 1 Feb 06 23:00,23.39,87.51,90,10.4,0,0,16.3,68,0,223,0.7,18.80829990941813
Year 1 Feb 07 00:00,23.39,87.51,90,10.2,0,0,15.6,70,0,226,0.7,18.142641184952688
Year 1 Feb 07 01:00,23.39,87.51,90,10.1,0,0,14.9,73,0,232,0.8,17.479953411902956
