Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Nov 23 05:00,0,0,9.75,18.15,-30.18348711,100.7389997,0,1.1,25.33335916,0,23.0225,72.5714
Year 1 Nov 23 06:00,0,0,9.475,17.875,-16.74233356,105.303387,37.5,1.025,25.25417124,0,23.0225,72.5714
Year 1 Nov 23 07:00,0,0,9.55,18.025,-3.611496962,110.460984,50,1.525,25.16177063,0,23.0225,72.5714
Year 1 Nov 23 08:00,60,62,9.75,18.25,9.038574525,116.6497205,50,2.225,25.05862694,0,23.0225,72.5714
Year 1 Nov 23 09:00,145.25,292,9.95,18.525,20.92642141,124.4693719,12.5,2.925,24.94743735,0,23.0225,72.5714
Year 1 Nov 23 10:00,183,487,10.3,20.775,31.56989376,134.7705446,0,3.625,24.83107119,0,23.0225,72.5714
Year 1 Nov 23 11:00,211.75,574.75,10.7,23.6,40.15427154,148.5755045,0,4.25,24.72247087,0,23.0225,72.5714
Year 1 Nov 23 12:00,250.5,561.75,11.025,26.475,45.47399524,166.3588354,67.5,4.925,24.63362915,0,23.0225,72.5714
Year 1 Nov 23 13:00,308.75,410.75,10.05,27.65,46.33693797,186.5281388,90,4.875,24.57092545,0,23.0225,72.5714
Year 1 Nov 23 14:00,329,216.75,8.575,28.25,42.50426383,205.4930112,90,4.5,24.53586846,0,23.0225,72.5714
Year 1 Nov 23 15:00,266.25,86,6.925,28.85,34.93440748,220.7404087,75,4.175,24.52787119,0,23.0225,72.5714
Year 1 Nov 23 16:00,187.75,45.5,6.275,28.325,24.91293914,232.1810611,70,4.1,24.54940031,0,23.0225,72.5714
Year 1 Nov 23 17:00,87.5,10.5,5.9,27.5,13.40086677,240.7770746,70,4.1,24.59513328,0,23.0225,72.5714
Year 1 Nov 23 18:00,7,0,5.5,26.625,0.98325335,247.4689785,85,4.1,24.65709504,0,23.0225,72.5714
Year 1 Nov 23 19:00,0,0,5.7,25.575,-11.99946815,252.9392426,90,3.35,24.72836873,0,23.0225,72.5714
Year 1 Nov 23 20:00,0,0,6.1,24.55,-25.34457313,257.6711917,90,2.275,24.79952229,0,23.0225,72.5714
Year 1 Nov 23 21:00,0,0,6.425,23.475,-38.92437352,262.0600478,60,1.25,24.86401917,0,23.0225,72.5714
Year 1 Nov 23 22:00,0,0,7.1,22.225,-52.64990494,266.5802221,50,1.15,24.91729409,0,23.0225,72.5714
Year 1 Nov 23 23:00,0,0,7.825,21,-66.43914581,272.3491527,50,1.275,24.95612143,0,23.0225,72.5714
Year 1 Nov 24 00:00,0,0,8.525,19.725,-80.0485596,287.212573,50,1.45,24.97645885,0,23.0225,72.5714
Year 1 Nov 24 01:00,0,0,8.625,19.025,-84.41988613,46.10529844,50,1.35,24.9762518,0,23.0225,72.5714
Year 1 Nov 24 02:00,0,0,8.525,18.6,-71.47189393,85.18575109,50,1.225,24.9562855,0,23.0225,72.5714
Year 1 Nov 24 03:00,0,0,8.35,18.125,-57.68760506,91.97421646,27.5,1.05,24.91838823,0,23.0225,72.5714
Year 1 Nov 24 04:00,0,0,8.375,17.475,-43.93392947,96.63616218,20,1,24.86312878,0,23.0225,72.5714
Year 1 Nov 24 05:00,0,0,8.475,16.85,-30.3014193,100.9542748,20,1,24.79104248,0,23.0225,72.5714
Year 1 Nov 24 06:00,0,0,8.575,16.175,-16.87106904,105.4897712,20,1,24.70357184,0,23.0225,72.5714
Year 1 Nov 24 07:00,0,0,8.6,16.45,-3.753261805,110.6294273,20,1.15,24.60139104,0,23.0225,72.5714
Year 1 Nov 24 08:00,46.5,5.25,8.6,17.05,8.881314765,116.8051565,20,1.275,24.48857788,0,23.0225,72.5714
Year 1 Nov 24 09:00,146.75,33.25,8.525,17.65,20.75106428,124.6108779,42.5,1.45,24.3689768,0,23.0225,72.5714
Year 1 Nov 24 10:00,234.75,79,8.5,19.975,31.37467787,134.8879874,50,1.65,24.24489555,0,23.0225,72.5714
Year 1 Nov 24 11:00,297.25,107.5,8.425,22.8,39.94139393,148.6435533,50,1.85,24.12839713,0,23.0225,72.5714
Year 1 Nov 24 12:00,341.75,139.75,8.325,25.675,45.2554386,166.339389,50,2.05,24.03159239,0,23.0225,72.5714
Year 1 Nov 24 13:00,352.25,256.75,8.15,26.55,46.13578053,186.4034731,50,2.025,23.9614998,0,23.0225,72.5714
Year 1 Nov 24 14:00,295.25,381,8.025,26.675,42.34081172,205.2955029,50,1.925,23.92020351,0,23.0225,72.5714
