Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Oct 03 16:00,279.75,109.25,23.175,29.475,37.62306839,245.8735661,336.75,4.325,37.61788637,180,23.242,69.6669
Year 1 Oct 03 17:00,191,103.5,23.375,28.775,24.58458434,254.5296635,320.25,3.75,35.79015108,180,23.242,69.6669
Year 1 Oct 03 18:00,98.25,84.75,23.175,28.45,11.03980305,261.2584924,291.75,3.675,33.75387857,180,23.242,69.6669
Year 1 Oct 03 19:00,9,3,22.725,27.95,-2.740802812,267.1436667,272,3.775,30.97091657,180,23.242,69.6669
Year 1 Oct 03 20:00,0,0,22.15,27.2,-16.59174564,272.9283031,269.5,4.1,29.69973081,180,23.242,69.6669
Year 1 Oct 03 21:00,0,0,21.775,25.95,-30.36298344,279.3677009,284.25,3.975,28.79305802,180,23.242,69.6669
Year 1 Oct 03 22:00,0,0,21.7,24.7,-43.83313799,287.6459974,293.5,3.6,27.52673763,180,23.242,69.6669
Year 1 Oct 03 23:00,0,0,21.925,23.65,-56.50523402,300.336026,276.25,2.75,26.57167389,180,23.242,69.6669
Year 1 Oct 04 00:00,0,0,22.15,23.325,-66.88221425,323.7611149,216,1.825,26.2011833,180,23.242,69.6669
Year 1 Oct 04 01:00,0,0,22.125,23.45,-71.18780431,11.63912938,123.75,0.85,26.32578351,180,23.242,69.6669
Year 1 Oct 04 02:00,0,0,21.8,23.875,-65.46271643,42.77832757,24.75,0.15,26.14364417,180,23.242,69.6669
Year 1 Oct 04 03:00,0,0,21.55,23.925,-54.32682459,63.29248942,0,0,26.25342438,180,23.242,69.6669
Year 1 Oct 04 04:00,0,0,21.5,23.675,-41.38500366,74.68733453,0,0,25.92081174,180,23.242,69.6669
Year 1 Oct 04 05:00,0,0,21.275,22.25,-27.80870338,82.40527081,0,0,25.11826374,180,23.242,69.6669
Year 1 Oct 04 06:00,0,0,21.275,22.025,-14.00045579,88.61068988,43.5,0.3,24.79835045,180,23.242,69.6669
Year 1 Oct 04 07:00,0,0,22.5,23,-0.154011963,94.34855768,113.5,1,24.83790995,180,23.242,69.6669
Year 1 Oct 04 08:00,24.5,79.75,23.35,24.275,13.58406986,100.3420642,168,1.575,26.09721545,180,23.242,69.6669
Year 1 Oct 04 09:00,122.75,276.75,23.575,26.1,27.03451277,107.3694,216,2.3,30.29605865,180,23.242,69.6669
Year 1 Oct 04 10:00,188.25,278.25,23.45,27.875,39.88507971,116.6335525,242.25,3.025,33.60316363,180,23.242,69.6669
Year 1 Oct 04 11:00,215.25,543.25,23.25,29.575,51.46274315,130.3686076,264.25,3.95,38.94581581,180,23.242,69.6669
Year 1 Oct 04 12:00,337,308.75,23.2,30.675,60.18990403,152.2940534,272.25,4.725,39.85125132,180,23.242,69.6669
Year 1 Oct 04 13:00,265.5,540.25,23.425,31.425,63.16913275,183.3352264,285.75,5.5,43.14594387,180,23.242,69.6669
Year 1 Oct 04 14:00,391.25,166,23.95,31.6,58.77650027,212.9975652,292.25,6,40.99893251,180,23.242,69.6669
Year 1 Oct 04 15:00,370.5,304.5,24.55,31.6,49.27258098,232.9444855,303.5,6.325,42.06481069,180,23.242,69.6669
Year 1 Oct 04 16:00,299.75,218.25,24.85,31,37.34970811,245.5141363,300.25,6.1,39.76633088,180,23.242,69.6669
Year 1 Oct 04 17:00,193,135.5,24.9,30.2,24.33989688,254.188634,294.25,5.475,36.82181483,180,23.242,69.6669
Year 1 Oct 04 18:00,68.25,21.75,24.675,28.95,10.81218658,260.9293364,274.25,4.4,33.12893198,180,23.242,69.6669
Year 1 Oct 04 19:00,0,0,24.3,27.85,-2.960230617,266.8144162,268,3.425,30.78426159,180,23.242,69.6669
Year 1 Oct 04 20:00,0,0,23.975,26.85,-16.81100913,272.5847664,269.5,2.675,29.8608069,180,23.242,69.6669
Year 1 Oct 04 21:00,0,0,23.75,26.45,-30.59121925,278.9928789,289.5,2.5,29.2537493,180,23.242,69.6669
Year 1 Oct 04 22:00,0,0,23.625,26.175,-44.08341636,287.2204632,293.75,2.5,28.66905063,180,23.242,69.6669
Year 1 Oct 04 23:00,0,0,23.525,26.025,-56.79910379,299.8566363,275.75,2.5,28.14513138,180,23.242,69.6669
Year 1 Oct 05 00:00,0,0,23.2,25.4,-67.24566555,323.3931233,209.25,1.975,27.42423221,180,23.242,69.6669
Year 1 Oct 05 01:00,0,0,22.5,24.525,-71.56021464,11.85812117,120.75,1.2,26.97283251,180,23.242,69.6669
Year 1 Oct 05 02:00,0,0,21.775,23.325,-65.71212313,43.50933243,24.5,0.25,26.43722284,180,23.242,69.6669
Year 1 Oct 05 03:00,0,0,21.075,22.475,-54.47912945,63.91910889,0,0,26.08904165,180,23.242,69.6669
Year 1 Oct 05 04:00,0,0,20.9,21.775,-41.48944154,75.19569465,0,0,25.22163745,180,23.242,69.6669
Year 1 Oct 05 05:00,0,0,21.125,21.9,-27.89112681,82.84191512,0,0,24.90875582,180,23.242,69.6669
Year 1 Oct 05 06:00,0,0,21.5,22.3,-14.07536239,89.0099673,66.75,0.3,24.72688452,180,23.242,69.6669
Year 1 Oct 05 07:00,0,0,22.425,23.15,-0.231650992,94.73527692,159.5,1.3,24.6110612,180,23.242,69.6669
Year 1 Oct 05 08:00,25,50.25,23.375,24.6,13.49413765,100.7371003,231.75,2.275,25.8817218,180,23.242,69.6669
Year 1 Oct 05 09:00,123.75,215,23.6,26.2,26.92073452,107.7932757,271.25,3.625,29.24238067,180,23.242,69.6669
