Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Jan 01 01:00,0,0,13.05,15.325,-86.46476311,104.954399,66,0.825,18.64770232,270,23.242,69.6669
Year 1 Jan 01 02:00,0,0,10.075,12.875,-78.06437399,95.76011553,22,0.275,17.20232365,270,23.242,69.6669
Year 1 Jan 01 03:00,0,0,7.95,12.05,-64.28105784,96.88660872,0,0,16.46979972,270,23.242,69.6669
Year 1 Jan 01 04:00,0,0,6.9,10.875,-50.56211008,99.53046163,0,0,15.83996122,270,23.242,69.6669
Year 1 Jan 01 05:00,0,0,11.125,12.825,-36.96261864,102.7226557,0,0,15.87025663,270,23.242,69.6669
Year 1 Jan 01 06:00,0,0,12.075,13.15,-23.54922492,106.4466255,0,0,15.66671537,270,23.242,69.6669
Year 1 Jan 01 07:00,0,0,12.425,13.6,-10.41659821,110.8590427,0,0.375,15.52795393,270,23.242,69.6669
Year 1 Jan 01 08:00,1,0,12.9,14.7,2.291253818,116.2407011,0,1.175,15.91217154,270,23.242,69.6669
Year 1 Jan 01 09:00,16.25,177,14.725,17.475,14.34374937,123.0300963,63,2.6,17.37838794,270,23.242,69.6669
Year 1 Jan 01 10:00,53.5,754.75,16.65,20.7,25.35832978,131.8773533,160.5,3.825,20.31766803,270,23.242,69.6669
Year 1 Jan 01 11:00,60.5,894.25,18.675,24.125,34.69871552,143.6300628,249,4.775,23.2373569,270,23.242,69.6669
Year 1 Jan 01 12:00,90,861,19.2,26.05,41.38508597,158.9709566,300,4.925,25.31065297,270,23.242,69.6669
Year 1 Jan 01 13:00,172,655,18.975,27,44.24838343,177.3528708,304.75,4.675,27.14490326,270,23.242,69.6669
Year 1 Jan 01 14:00,298,284.75,17.925,26.45,42.60220862,196.1885431,278.25,4.075,30.11055924,270,23.242,69.6669
Year 1 Jan 01 15:00,269.75,164.25,17.75,25.9,36.85749154,212.508632,249,3.825,31.15244984,270,23.242,69.6669
Year 1 Jan 01 16:00,199.25,95.25,17.8,24.9,28.13653626,225.2094395,242,3.725,30.47507143,270,23.242,69.6669
Year 1 Jan 01 17:00,135.5,102.5,18.85,24.3,17.50650462,234.7687346,263,3.85,30.35304915,270,23.242,69.6669
Year 1 Jan 01 18:00,44.25,17.25,19.5,23.15,5.693419198,242.0507578,294.75,3.525,26.65347972,270,23.242,69.6669
Year 1 Jan 01 19:00,0,0,20.125,22.425,-6.861676851,247.7688291,308.25,2.95,24.06042159,270,23.242,69.6669
Year 1 Jan 01 20:00,0,0,19.925,21.325,-19.89434924,252.4147506,280,1.975,22.88339603,270,23.242,69.6669
Year 1 Jan 01 21:00,0,0,19.8,20.775,-33.24137518,256.3078424,207,1.1,22.41617888,270,23.242,69.6669
Year 1 Jan 01 22:00,0,0,18.825,19.725,-46.79709703,259.6384231,109.5,0.3,21.62494393,270,23.242,69.6669
Year 1 Jan 01 23:00,0,0,17.675,18.8,-60.48873172,262.4542625,21,0.025,20.77293303,270,23.242,69.6669
Year 1 Jan 02 00:00,0,0,15.6,17.1,-74.26033397,264.3112601,0,0,19.83255895,270,23.242,69.6669
Year 1 Jan 02 01:00,0,0,14.1,15.775,-86.4796996,103.779007,0,0,19.1024709,270,23.242,69.6669
Year 1 Jan 02 02:00,0,0,12.675,14.375,-78.17195796,95.33373591,0,0,18.17929484,270,23.242,69.6669
Year 1 Jan 02 03:00,0,0,12.45,14,-64.38157928,96.67576015,21,0.15,17.35994471,270,23.242,69.6669
Year 1 Jan 02 04:00,0,0,12.125,13.55,-50.656718,99.37804181,28,0.05,16.83537238,270,23.242,69.6669
Year 1 Jan 02 05:00,0,0,12.15,13.25,-37.05086476,102.5945087,7,0,16.43407704,270,23.242,69.6669
Year 1 Jan 02 06:00,0,0,11.3,12.3,-23.63010364,106.3286033,36.75,0,15.6377445,270,23.242,69.6669
Year 1 Jan 02 07:00,0,0,11.675,12.3,-10.48852696,110.7428408,12.25,0,15.22168978,270,23.242,69.6669
Year 1 Jan 02 08:00,5.75,7,11.9,12.85,2.230664936,116.1199425,0,0,15.44728661,270,23.242,69.6669
Year 1 Jan 02 09:00,30.5,197,11.825,15.4,14.29809976,122.8989489,0,0.675,16.55136826,270,23.242,69.6669
Year 1 Jan 02 10:00,54.75,744.75,12.175,18.45,25.33297052,131.7306456,0,2.025,19.00723183,270,23.242,69.6669
Year 1 Jan 02 11:00,66.75,863,12.6,22.05,34.701047,143.4660784,17.25,3.525,21.87261066,270,23.242,69.6669
Year 1 Jan 02 12:00,78.75,896,13.3,24.275,41.42310299,158.7988833,261.5,4.875,24.16833414,270,23.242,69.6669
Year 1 Jan 02 13:00,70.75,976.5,13.425,25.9,44.32527532,177.198862,269.75,5.725,25.69190695,270,23.242,69.6669
Year 1 Jan 02 14:00,125.25,791.5,13.4,26.075,42.71077697,196.080397,161.5,6.05,29.8758752,270,23.242,69.6669
Year 1 Jan 02 15:00,163,592,12.725,26.3,36.98421438,212.4514463,253.5,5.875,33.80492504,270,23.242,69.6669
Year 1 Jan 02 16:00,210.75,256,12.125,25.65,28.27030275,225.1908024,169.25,5.5,33.7609755,270,23.242,69.6669
Year 1 Jan 02 17:00,114.5,358.75,11.475,25.1,17.64116725,234.7754387,72,5.1,36.29909137,270,23.242,69.6669
Year 1 Jan 02 18:00,53.25,34.5,11.375,23.575,5.826160224,242.0746659,129.75,4.775,29.31407766,270,23.242,69.6669
Year 1 Jan 02 19:00,0,0,10.95,22.5,-6.732043188,247.8063963,207.5,4.25,25.00823813,270,23.242,69.6669
Year 1 Jan 02 20:00,0,0,10.725,21.175,-19.76830605,252.4659642,146,3.5,23.27914902,270,23.242,69.6669
Year 1 Jan 02 21:00,0,0,10.025,20.875,-33.11914191,256.3763123,297,2.475,22.50576491,270,23.242,69.6669
Year 1 Jan 02 22:00,0,0,9.65,20.3,-46.67885148,259.7338616,220.5,1.3,21.81934155,270,23.242,69.6669
Year 1 Jan 02 23:00,0,0,9.675,20.025,-60.37480389,262.6029383,140.5,0.25,21.33906718,270,23.242,69.6669
Year 1 Jan 03 00:00,0,0,10.9,18.65,-74.15188987,264.6224005,0,0,20.45934285,270,23.242,69.6669
Year 1 Jan 03 01:00,0,0,12.5,17.3,-86.49479469,102.3053843,0,0,19.70775751,270,23.242,69.6669
Year 1 Jan 03 02:00,0,0,13.95,15.5,-78.27785636,94.85784473,0,0,18.82637433,270,23.242,69.6669
Year 1 Jan 03 03:00,0,0,14.375,14.7,-64.48014348,96.44586536,0,0.225,18.13194266,270,23.242,69.6669
Year 1 Jan 03 04:00,0,0,12.9,13.7,-50.74901942,99.21343468,40.5,0.3,17.33778618,270,23.242,69.6669
Year 1 Jan 03 05:00,0,0,7.375,10.85,-37.13641175,102.4571016,98.25,2.175,15.36004358,270,23.242,69.6669
Year 1 Jan 03 06:00,0,0,5.1,8.575,-23.70784546,106.2028586,137,2.5,13.68001107,270,23.242,69.6669
Year 1 Jan 03 07:00,0,0,5.125,8.325,-10.55682425,110.6198044,91,1.65,13.12432791,270,23.242,69.6669
Year 1 Jan 03 08:00,7.5,25.5,6.25,10.2,2.174275095,115.992902,18.25,0.35,13.90675444,270,23.242,69.6669
Year 1 Jan 03 09:00,42.25,199.5,8.775,14.175,14.25730644,122.7619372,0,0,15.72397237,270,23.242,69.6669
Year 1 Jan 03 10:00,65.75,636.75,11.6,18.825,25.31321869,131.5785809,0,0,18.95275968,270,23.242,69.6669
Year 1 Jan 03 11:00,32,1055.5,13.8,23,34.70978571,143.2976928,0,0,21.60730992,270,23.242,69.6669
Year 1 Jan 03 12:00,60,982,14.075,25.425,41.46820376,158.6243206,227.25,0.75,24.06437776,270,23.242,69.6669
Year 1 Jan 03 13:00,124.25,798.5,12.725,26.275,44.4094612,177.0454243,271.5,1.9,26.04032089,270,23.242,69.6669
Year 1 Jan 03 14:00,242,439.5,9.75,25.95,42.82611288,195.9760875,165.25,2.65,29.95704272,270,23.242,69.6669
Year 1 Jan 03 15:00,274.75,276.25,6.875,25.575,37.11662398,212.4002413,285,3.025,32.57183777,270,23.242,69.6669
Year 1 Jan 03 16:00,218,262.5,5.525,25.2,28.40854697,225.1790322,172.25,2.95,34.23801742,270,23.242,69.6669
Year 1 Jan 03 17:00,139.25,294.25,6.35,25.025,17.77922505,234.7892485,53,2.825,36.38534362,270,23.242,69.6669
Year 1 Jan 03 18:00,62.25,207.75,8.35,24.175,5.961397924,242.1057667,44,2.575,35.00806992,270,23.242,69.6669
Year 1 Jan 03 19:00,0,0,10.55,22.625,-6.60064951,247.8513559,120.75,2.65,26.33598815,270,23.242,69.6669
Year 1 Jan 03 20:00,0,0,11.85,20.1,-19.64111455,252.5250487,272.25,2.775,23.52007233,270,23.242,69.6669
Year 1 Jan 03 21:00,0,0,12.25,17.45,-32.99627854,256.4536047,194.25,2.95,21.20758153,270,23.242,69.6669
Year 1 Jan 03 22:00,0,0,11.625,15.225,-46.5604218,259.8399337,47.5,2.55,19.51424625,270,23.242,69.6669
Year 1 Jan 03 23:00,0,0,10.725,14.175,-60.26107144,262.7659659,322.75,1.875,18.7334628,270,23.242,69.6669
Year 1 Jan 04 00:00,0,0,9.6,14.075,-74.04389253,264.9576264,203,0.8,18.47190735,270,23.242,69.6669
Year 1 Jan 04 01:00,0,0,8.925,14.7,-86.50928363,100.4505418,68,0.125,18.0683548,270,23.242,69.6669
Year 1 Jan 04 02:00,0,0,8.275,14.975,-78.38176726,94.33122367,8.25,0,17.91608683,270,23.242,69.6669
Year 1 Jan 04 03:00,0,0,7.725,14.55,-64.57657318,96.19686231,0,0.75,17.3523479,270,23.242,69.6669
Year 1 Jan 04 04:00,0,0,6.85,12.825,-50.83887429,99.03667028,57,1.75,16.03302201,270,23.242,69.6669
Year 1 Jan 04 05:00,0,0,7.65,11.025,-37.21914132,102.3104872,86.5,1.775,14.90019158,270,23.242,69.6669
Year 1 Jan 04 06:00,0,0,8.45,9.7,-23.7823491,106.069454,124.5,1.775,13.98389404,270,23.242,69.6669
Year 1 Jan 04 07:00,0,0,8.9,9.775,-10.62140464,110.4900026,168.25,1.875,13.41898535,270,23.242,69.6669
Year 1 Jan 04 08:00,7.75,37.5,8.85,11.025,2.122153397,115.8596542,129.5,1.75,13.52992091,270,23.242,69.6669
Year 1 Jan 04 09:00,30,347.25,7.9,14.325,14.22142051,122.6191411,85.25,2,15.29529225,270,23.242,69.6669
Year 1 Jan 04 10:00,29.5,954.5,6.625,18.15,25.29910525,131.4212417,24.25,2.55,17.92615999,270,23.242,69.6669
Year 1 Jan 04 11:00,32.5,1025.75,4.95,22.025,34.72494121,143.1249856,35.5,3.6,20.96968412,270,23.242,69.6669
Year 1 Jan 04 12:00,18,1100,4.2,24.2,41.5203776,158.4473429,82.5,4.5,22.75099693,270,23.242,69.6669
Year 1 Jan 04 13:00,40.25,1032.5,4.025,25.275,44.50091139,176.8926389,210.5,5.15,24.44726546,270,23.242,69.6669
Year 1 Jan 04 14:00,124.25,796.5,4.975,24.975,42.94816449,195.8757124,152.25,5.075,29.0141928,270,23.242,69.6669
Year 1 Jan 04 15:00,171.25,585.75,5.825,24.875,37.25464491,212.3551124,87,4.625,33.59978912,270,23.242,69.6669
Year 1 Jan 04 16:00,206.25,332,6.825,24.675,28.55117606,225.1742007,91.25,3.675,35.0403853,270,23.242,69.6669
Year 1 Jan 04 17:00,103.75,498,7.55,24.9,17.9205764,234.8102069,20.75,2.95,39.82209207,270,23.242,69.6669
Year 1 Jan 04 18:00,61.5,227.25,8.375,24.4,6.099028613,242.1440774,129.75,2.35,36.27216287,270,23.242,69.6669
Year 1 Jan 04 19:00,0,0,8.975,23.525,-6.467596965,247.9037026,97.25,2.425,27.49386982,270,23.242,69.6669
Year 1 Jan 04 20:00,0,0,9.85,21.575,-19.51286991,252.5919759,35.25,2.725,24.77796306,270,23.242,69.6669
Year 1 Jan 04 21:00,0,0,10.325,19.575,-32.87287072,256.5396633,104,3.25,22.6107692,270,23.242,69.6669
Year 1 Jan 04 22:00,0,0,10.85,17.15,-46.44187906,259.956537,200.75,3.325,20.54375761,270,23.242,69.6669
Year 1 Jan 04 23:00,0,0,10.85,15.375,-60.14757991,262.9431407,292.25,2.925,18.99482926,270,23.242,69.6669
Year 1 Jan 05 00:00,0,0,10.725,13.65,-73.93632351,265.3163363,264.75,1.9,18.0448297,270,23.242,69.6669
Year 1 Jan 05 01:00,0,0,10.325,12.825,-86.52205451,98.09957164,176,0.925,17.36066011,270,23.242,69.6669
Year 1 Jan 05 02:00,0,0,9.675,12.175,-78.48336721,93.75272119,38,0.175,16.67256069,270,23.242,69.6669
Year 1 Jan 05 03:00,0,0,8.675,12.075,-64.67068597,95.92870999,0,0.225,16.07806584,270,23.242,69.6669
Year 1 Jan 05 04:00,0,0,8.1,11.425,-50.92614084,98.84778953,0,0.75,15.60165596,270,23.242,69.6669
Year 1 Jan 05 05:00,0,0,7.25,10.6,-37.29893516,102.1547252,118.5,1.875,14.38866717,270,23.242,69.6669
Year 1 Jan 05 06:00,0,0,6.925,9.5,-23.85351436,105.9284567,150.5,1.3,13.60595592,270,23.242,69.6669
Year 1 Jan 05 07:00,0,0,6.825,9.275,-10.68218453,110.3535078,124.75,0.7,13.31738798,270,23.242,69.6669
Year 1 Jan 05 08:00,1.25,0,7.4,10.275,2.074366434,115.7202765,96.75,0.975,13.47052334,270,23.242,69.6669
Year 1 Jan 05 09:00,12.5,217,8.35,13.075,14.19049005,122.4706419,54.75,2.15,14.61511634,270,23.242,69.6669
Year 1 Jan 05 10:00,27.75,926,10.1,16.825,25.29065787,131.2587107,33.25,3.625,17.319104,270,23.242,69.6669
Year 1 Jan 05 11:00,10.25,1100,11.8,20.95,34.74651974,142.9480358,41.25,4.75,19.8945151,270,23.242,69.6669
Year 1 Jan 05 12:00,21.5,1100,13.175,24.025,41.57961066,158.2680233,108.75,5,22.66696996,270,23.242,69.6669
Year 1 Jan 05 13:00,41,1035.5,13.275,26.125,44.59959327,176.7405864,211,4.625,24.91245369,270,23.242,69.6669
Year 1 Jan 05 14:00,155,713.5,12.375,26.75,43.07687698,195.7793703,149.5,3.825,30.13042624,270,23.242,69.6669
Year 1 Jan 05 15:00,271.25,294.5,10.6,26.8,37.3981987,212.3161552,48.75,3.3,33.27581676,270,23.242,69.6669
Year 1 Jan 05 16:00,223.75,194,9.125,26.125,28.69809461,225.176378,72.5,3.125,33.79221432,270,23.242,69.6669
Year 1 Jan 05 17:00,146.5,161,8.65,25.225,18.06511786,234.8383543,18.75,3.25,33.09540239,270,23.242,69.6669
Year 1 Jan 05 18:00,59.25,46.5,9.725,23.65,6.238947731,242.1896122,279.75,3.3,29.03761258,270,23.242,69.6669
Year 1 Jan 05 19:00,0,0,11.075,21.925,-6.332986621,247.9634275,152.5,2.925,24.40990258,270,23.242,69.6669
Year 1 Jan 05 20:00,0,0,12.3,19.775,-19.38366621,252.6667143,47,1.975,22.45742607,270,23.242,69.6669
Year 1 Jan 05 21:00,0,0,12.6,17.85,-32.74900203,256.6344277,5.75,0.875,21.23548466,270,23.242,69.6669
Year 1 Jan 05 22:00,0,0,12.075,15.975,-46.32329105,260.0835658,0,0.15,20.11553126,270,23.242,69.6669
Year 1 Jan 05 23:00,0,0,10.925,14.675,-60.03436999,263.1342562,0,0,18.92414987,270,23.242,69.6669
Year 1 Jan 06 00:00,0,0,9.925,13.575,-73.8291568,265.6979399,57,0.6,17.7913542,270,23.242,69.6669
Year 1 Jan 06 01:00,0,0,9.025,13.075,-86.53146141,95.09722052,118.75,1.925,16.83036408,270,23.242,69.6669
Year 1 Jan 06 02:00,0,0,8.725,12.55,-78.58231106,93.12127817,168.25,3.05,15.72223329,270,23.242,69.6669
Year 1 Jan 06 03:00,0,0,8.25,12.25,-64.76229455,95.64138999,181.5,3.675,14.86859951,270,23.242,69.6669
Year 1 Jan 06 04:00,0,0,7.8,11.525,-51.01067584,98.64684456,181.25,3.425,14.16459864,270,23.242,69.6669
Year 1 Jan 06 05:00,0,0,7.625,11.075,-37.37567508,101.9898824,135.25,0.825,14.30653602,270,23.242,69.6669
Year 1 Jan 06 06:00,0,0,7.975,10.4,-23.92124224,105.7799389,64.5,0.375,14.01131302,270,23.242,69.6669
Year 1 Jan 06 07:00,0,0,9.15,10.65,-10.73908232,110.2103959,107,1.55,13.34083665,270,23.242,69.6669
Year 1 Jan 06 08:00,7,15,10.85,12,2.030978205,115.5748483,113.25,2.575,13.697245,270,23.242,69.6669
Year 1 Jan 06 09:00,34.25,220.5,13.025,15.025,14.16456011,122.3165222,63.5,3.925,15.36049915,270,23.242,69.6669
Year 1 Jan 06 10:00,43.25,801.5,15.25,18.75,25.28790091,131.0910709,25.25,4.6,18.21066275,270,23.242,69.6669
Year 1 Jan 06 11:00,18.25,1099.5,17.15,22.625,34.7745242,142.7669214,21.75,4.925,21.05242101,270,23.242,69.6669
Year 1 Jan 06 12:00,57.5,1010,18.125,25.25,41.645886,158.0864338,100.25,4.25,23.82656479,270,23.242,69.6669
Year 1 Jan 06 13:00,163,673.25,18.375,26.7,44.70547133,176.5893476,213,3.475,26.25261252,270,23.242,69.6669
Year 1 Jan 06 14:00,253.75,407.5,17.875,26.7,43.21219253,195.6871604,150.5,2.475,30.204326,270,23.242,69.6669
Year 1 Jan 06 15:00,277,229.5,17.55,26.15,37.54720391,212.2834653,16.5,2.35,32.58256297,270,23.242,69.6669
Year 1 Jan 06 16:00,204.25,100,17.425,25.175,28.84920464,225.1856332,183.25,2.325,31.38204388,270,23.242,69.6669
