1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 11:00","131.5","754.5","18.5","15.584362952832","18.7194086096713","-80.3455023277565"
"Year 1 Jan 03 12:00","121","839.25","20.825","15.7339610108204","20.6668484138743","-68.8933273815559"
"Year 1 Jan 03 13:00","111.75","871","22.525","16.0045941112135","22.128863248233","-49.0468851199859"
"Year 1 Jan 03 14:00","109.5","853.75","23.95","16.3646294393524","23.3213526118265","-21.8395114273703"
"Year 1 Jan 03 15:00","106.25","787","25.425","16.7870672907823","24.2719995177344","7.88868736178267"
"Year 1 Jan 03 16:00","107","628.25","25.35","17.2442049119166","24.3203406176045","37.8130448616504"
"Year 1 Jan 03 17:00","83.25","355.75","24.75","17.7004038235133","23.440423982865","65.8818233650418"
"Year 1 Jan 03 18:00","29.25","57","24.225","18.0984956621472","21.9747152370796","90.3903399601842"
"Year 1 Jan 03 19:00","0","0","22.6","18.3940758211457","20.5469611710084","106.459841031316"
"Year 1 Jan 03 20:00","0","0","20.525","18.5630335845113","19.3631686783826","113.811955789366"
"Year 1 Jan 03 21:00","0","0","18.5","18.6163261843667","18.2747113819861","112.380553438095"
"Year 1 Jan 03 22:00","0","0","17.325","18.5759694011367","17.4557149066361","104.034117797772"
"Year 1 Jan 03 23:00","0","0","16.5","18.470257368005","16.7873389406223","90.0965065270555"
"Year 1 Jan 04 00:00","0","0","15.625","18.3188317921049","16.1270270496267","74.0318472480329"
"Year 1 Jan 04 01:00","0","0","15.025","18.136209984359","15.5618977313213","57.3826893475475"
"Year 1 Jan 04 02:00","0","0","14.6","17.9355210488268","15.09614172786","40.0457779555338"
"Year 1 Jan 04 03:00","0","0","14.125","17.7236704365026","14.6530970271659","23.2336336424075"
"Year 1 Jan 04 04:00","0","0","13.625","17.5068775353679","14.2084965744963","7.32276526294578"
"Year 1 Jan 04 05:00","0","0","13.2","17.2874128950147","13.7969840749454","-7.48489564221292"
"Year 1 Jan 04 06:00","0","0","12.725","17.0660490138963","13.3891578532646","-21.1747514671879"
"Year 1 Jan 04 07:00","0","0","12.675","16.8426122823783","13.1211513842595","-33.6083141967878"
"Year 1 Jan 04 08:00","34.5","54.25","12.85","16.6223389070234","13.4787450964236","-45.4696529716418"
"Year 1 Jan 04 09:00","107","297.75","12.975","16.4230490307155","14.9072308371997","-56.289433478437"
"Year 1 Jan 04 10:00","128.25","585","15.175","16.2827373252359","16.8747172088385","-62.7572061113168"
"Year 1 Jan 04 11:00","139.25","695.5","18.15","16.2552932964893","19.0248129719015","-64.5445598738733"
"Year 1 Jan 04 12:00","205","619.25","21.075","16.3618329841604","21.6693429849202","-57.8782288839561"
"Year 1 Jan 04 13:00","227","610.5","22.85","16.6118652791953","23.4882810860388","-41.2660401293401"
"Year 1 Jan 04 14:00","214.25","603.5","24.25","16.979383217198","24.6610640023835","-13.4213611536117"
"Year 1 Jan 04 15:00","174.25","603.5","25.65","17.4301403232133","25.3633805966904","18.208467276499"
"Year 1 Jan 04 16:00","111","601.75","25.85","17.9179754760825","25.043615801091","49.6315367545504"
"Year 1 Jan 04 17:00","84.25","358","25.65","18.3907000711534","24.2538535199515","78.1093542132971"
"Year 1 Jan 04 18:00","30","66","25.45","18.7897611785243","22.9622664836437","102.263850772388"
"Year 1 Jan 04 19:00","0","0","24.275","19.0889504152205","21.8323319772412","117.233749645372"
"Year 1 Jan 04 20:00","0","0","22.7","19.273354894892","20.9445984405015","123.942644576685"
"Year 1 Jan 04 21:00","0","0","21.175","19.3595129824857","20.0547973288058","122.945539455519"
"Year 1 Jan 04 22:00","0","0","19.825","19.3673245543643","19.2009006827931","116.281679568088"
"Year 1 Jan 04 23:00","0","0","18.6","19.3125998244866","18.3806526523189","105.443137068029"
"Year 1 Jan 05 00:00","0","0","17.325","19.2070022520405","17.5296676904721","91.8155900675353"
"Year 1 Jan 05 01:00","0","0","16.475","19.0580285248523","16.8491168947337","76.4776774861409"
"Year 1 Jan 05 02:00","0","0","15.85","18.8768083951595","16.3086703285943","59.3782854349036"
"Year 1 Jan 05 03:00","0","0","15.175","18.6746131789383","15.8071719842078","41.8791531958013"
"Year 1 Jan 05 04:00","0","0","14.85","18.4594840171871","15.3743297466488","25.0816594133761"
"Year 1 Jan 05 05:00","0","0","14.65","18.2416898808831","14.993153326213","8.39408070772163"
"Year 1 Jan 05 06:00","0","0","14.45","18.0232744517462","14.6620517691277","-6.98305256338602"
"Year 1 Jan 05 07:00","0","0","15.6","17.8081673267417","14.9251607142237","-21.0952699416665"
"Year 1 Jan 05 08:00","34.5","55.75","17.2","17.6137579352824","15.9830890166949","-34.5164448483373"
"Year 1 Jan 05 09:00","108","303.75","18.8","17.4749289032189","18.0882066207473","-45.4172160706939"
"Year 1 Jan 05 10:00","134.25","594.25","20.4","17.4336529900896","20.1459205924824","-49.0767441147638"
"Year 1 Jan 05 11:00","129","764.75","22","17.5204151204767","21.8242455290774","-43.2516914930167"
"Year 1 Jan 05 12:00","117.25","852.5","23.6","17.7260571922654","23.3312080890958","-27.8630409832743"
"Year 1 Jan 05 13:00","108.75","881.25","24.375","18.0269878134291","24.3750031338007","-6.09852873491784"
"Year 1 Jan 05 14:00","106.5","862.75","24.8","18.3903687173806","24.9091742330248","19.8261717720784"
"Year 1 Jan 05 15:00","103.25","799.5","25.275","18.7857995216071","25.2626784251539","45.3870550750032"
"Year 1 Jan 05 16:00","106.5","634","25.25","19.1817810737503","25.1360313152089","68.9192218968457"
"Year 1 Jan 05 17:00","89","336.75","25.05","19.5429311124891","24.4227657090743","91.2141417233055"
"Year 1 Jan 05 18:00","30.75","42.75","24.85","19.8495051591137","23.190359628375","107.898490091204"
"Year 1 Jan 05 19:00","0","0","23.6","20.0725576554696","21.9699612074223","117.243287359923"
"Year 1 Jan 05 20:00","0","0","22","20.1938333268426","20.9602208571215","119.747351430496"
"Year 1 Jan 05 21:00","0","0","20.4","20.2227437752453","19.9698497343612","115.226041942065"
"Year 1 Jan 05 22:00","0","0","19.475","20.1755525568305","19.2342792202247","105.30517078489"
"Year 1 Jan 05 23:00","0","0","18.85","20.0740773240183","18.6552187242301","90.8794575340814"
"Year 1 Jan 06 00:00","0","0","18.175","19.9353652940485","18.0924100974612","74.8100285740809"
"Year 1 Jan 06 01:00","0","0","17.475","19.7717363427027","17.5363219762017","58.669546163927"
"Year 1 Jan 06 02:00","0","0","16.85","19.590845888312","17.0244229161711","42.7383748484431"
"Year 1 Jan 06 03:00","0","0","16.175","19.397519266435","16.5083200923016","27.1782093488018"
"Year 1 Jan 06 04:00","0","0","15.025","19.1936306096898","15.8498792051152","12.3372053935074"
"Year 1 Jan 06 05:00","0","0","13.65","18.9760834461867","15.1341629296993","-1.56523587238792"
"Year 1 Jan 06 06:00","0","0","12.325","18.7407793086154","14.4365956378645","-15.2687607189179"
"Year 1 Jan 06 07:00","0","0","12.375","18.4879852330514","14.071591240625","-29.5561589389512"
"Year 1 Jan 06 08:00","34.25","54.25","12.8","18.2273443785347","14.4500144456996","-44.4760186156906"
"Year 1 Jan 06 09:00","107.75","296.25","13.275","17.9814066442661","16.0541112308348","-57.8869405977776"
"Year 1 Jan 06 10:00","136.5","582.75","15.725","17.8036280089572","18.0604072767069","-67.1626575761327"
"Year 1 Jan 06 11:00","132","755","18.75","17.7488065227841","19.9351934637878","-70.5138082376451"
"Year 1 Jan 06 12:00","120.75","842.75","21.825","17.8290594810462","21.9730212427666","-64.6597369960187"
"Year 1 Jan 06 13:00","122","853.5","23.2","18.0384592653182","23.3599264445486","-50.5261180317866"
"Year 1 Jan 06 14:00","158","747.75","24","18.3387819114848","24.4823534562659","-26.1894959576016"
"Year 1 Jan 06 15:00","185.75","577.25","24.8","18.7043235780114","25.3669890702515","1.25883315732098"
"Year 1 Jan 06 16:00","149","478.25","24.775","19.1072455977621","25.1389414421526","29.2700989081115"
"Year 1 Jan 06 17:00","95.25","284.75","24.4","19.5083493251284","24.0799604556775","54.8564192139676"
"Year 1 Jan 06 18:00","31.5","46.5","24.075","19.8459521334523","22.6694961994475","76.2735930251207"
"Year 1 Jan 06 19:00","0","0","22.95","20.0816466887656","21.45348355841","88.8202010671677"
"Year 1 Jan 06 20:00","0","0","21.475","20.2025009949146","20.5579146088287","93.036550897515"
"Year 1 Jan 06 21:00","0","0","20.05","20.2260844220049","19.7128863657568","89.9213911189257"
"Year 1 Jan 06 22:00","0","0","18.65","20.1761691025424","18.9376890338921","81.6661093350918"
"Year 1 Jan 06 23:00","0","0","17.175","20.0693121956937","18.1455064914897","70.418135714164"
"Year 1 Jan 07 00:00","0","0","15.75","19.9160967529058","17.3399803864939","57.6304562896354"
"Year 1 Jan 07 01:00","0","0","15.175","19.7274041178698","16.7500146391638","42.8735330654012"
"Year 1 Jan 07 02:00","0","0","14.8","19.5181994589894","16.2294611189466","25.6342205989125"
"Year 1 Jan 07 03:00","0","0","14.475","19.2940746685172","15.7150436219636","8.76447548666659"
"Year 1 Jan 07 04:00","0","0","14.025","19.0615785994406","15.2441913596716","-7.44726876997544"
"Year 1 Jan 07 05:00","0","0","13.45","18.8222535274198","14.7850927634707","-22.3781621814868"
"Year 1 Jan 07 06:00","0","0","12.925","18.578464820875","14.3449706173382","-36.1716676146574"
"Year 1 Jan 07 07:00","0","0","13.1","18.3314847404014","14.213865293087","-48.8564023171775"
"Year 1 Jan 07 08:00","33.75","49","13.5","18.0944606116368","14.7607194698138","-61.8787622764578"
"Year 1 Jan 07 09:00","109.5","276.5","13.9","17.8859622202204","16.5374621047639","-72.5694949137803"
"Year 1 Jan 07 10:00","136.25","574.75","16.1","17.7507100200021","18.634258567962","-77.8389079156184"
"Year 1 Jan 07 11:00","120.5","767","18.9","17.7409568011718","20.4290329195773","-76.6810043240404"
"Year 1 Jan 07 12:00","116","840","21.7","17.8625287388156","22.197632179666","-66.7163285052451"
"Year 1 Jan 07 13:00","115.5","859.5","23.075","18.1019671192794","23.4687730772613","-49.4766210298449"
"Year 1 Jan 07 14:00","112","845.75","23.9","18.4196343511982","24.2967778240444","-24.1620302103881"
"Year 1 Jan 07 15:00","103.75","794","24.775","18.7862211736064","24.8340902938842","3.14830392899602"
"Year 1 Jan 07 16:00","95.25","665.5","24.85","19.171327534457","24.6800307384866","29.3787933865178"
"Year 1 Jan 07 17:00","78.75","392.5","24.65","19.5427057633242","24.058173963763","52.4786886440061"
"Year 1 Jan 07 18:00","33.75","61.5","24.45","19.8595126671654","22.8676968170662","71.7970835176764"
"Year 1 Jan 07 19:00","0","0","23.2","20.0921084044842","21.5852481353127","84.12021121779"
"Year 1 Jan 07 20:00","0","0","21.6","20.2202214022619","20.5630279857831","89.4256014064023"
"Year 1 Jan 07 21:00","0","0","20","20.2511341763071","19.6316309667253","87.3410719117155"
"Year 1 Jan 07 22:00","0","0","19","20.2030745258997","18.9141873165791","79.5314704337596"
"Year 1 Jan 07 23:00","0","0","18.2","20.0990627211878","18.2812623782718","67.3111992674082"
"Year 1 Jan 08 00:00","0","0","17.4","19.9546488532225","17.6534753158111","53.4397300242199"
"Year 1 Jan 08 01:00","0","0","16.75","19.782216593448","17.1108317102401","38.717529613696"
"Year 1 Jan 08 02:00","0","0","16.15","19.590842740532","16.6353812513589","23.5083366631582"
"Year 1 Jan 08 03:00","0","0","15.55","19.3877056613433","16.1936057493991","8.43455941003261"
"Year 1 Jan 08 04:00","0","0","14.5","19.1766158166471","15.600405322552","-5.78545020288354"
"Year 1 Jan 08 05:00","0","0","13.3","18.9551919601674","14.8657103873683","-18.7102423867588"
"Year 1 Jan 08 06:00","0","0","12.1","18.7186588591482","14.0507570922087","-31.4409769443601"
"Year 1 Jan 08 07:00","0","0","13.075","18.4624363090158","13.970332939704","-44.8141091759697"
