Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 Nov 20 03:00,22.28524391,0,0,18.775,16.31914479,28.44708233
Year 1 Nov 20 04:00,21.36953245,0,0,17.95,-12.56924277,28.06428665
Year 1 Nov 20 05:00,20.66976001,0,0,16.425,-39.37509418,27.66101825
Year 1 Nov 20 06:00,20.43573393,0,0,16.075,-64.12154119,27.24429349
Year 1 Nov 20 07:00,20.46620109,0,0,17.3,-87.09650671,26.8348723
Year 1 Nov 20 08:00,21.54486749,12.75,110.5,19.575,-109.4808262,26.46678987
Year 1 Nov 20 09:00,23.7758074,47.75,565,22.75,-127.9671748,26.16907716
Year 1 Nov 20 10:00,26.01281506,35.5,974.5,25.775,-137.7247841,25.99091015
Year 1 Nov 20 11:00,28.06268342,36.5,1070.5,28.375,-134.7834295,25.95882189
Year 1 Nov 20 12:00,30.07536848,74,962.75,29.975,-119.9193056,26.06983214
Year 1 Nov 20 13:00,32.51369154,121.75,835,30.975,-94.87846528,26.30216385
Year 1 Nov 20 14:00,38.27076554,168,686.75,31.35,-61.5242954,26.6432781
Year 1 Nov 20 15:00,42.94748962,191.25,546.25,31.55,-15.90744128,27.14902763
Year 1 Nov 20 16:00,46.81629369,153.75,513.75,31.15,44.0553745,27.88671788
Year 1 Nov 20 17:00,45.53428609,111.5,333.75,30.25,121.3459015,28.81229461
Year 1 Nov 20 18:00,37.66183984,44.25,29.25,28.5,203.5894144,29.77537208
Year 1 Nov 20 19:00,32.05411269,0,0,26.5,260.0057924,30.49518473
Year 1 Nov 20 20:00,29.87140132,0,0,24.5,274.4402563,30.81779299
Year 1 Nov 20 21:00,28.5457231,0,0,23.25,255.5632543,30.79898693
Year 1 Nov 20 22:00,27.46683119,0,0,22.625,219.459291,30.58288833
Year 1 Nov 20 23:00,26.4625176,0,0,22.575,177.8012872,30.27396934
Year 1 Nov 21 00:00,25.84582835,0,0,22.3,135.590341,29.92798066
Year 1 Nov 21 01:00,25.23887498,0,0,21.75,97.35268491,29.56431136
Year 1 Nov 21 02:00,24.25480048,0,0,20.4,63.51493845,29.20179281
Year 1 Nov 21 03:00,23.18681587,0,0,18.8,33.93726237,28.83773543
Year 1 Nov 21 04:00,22.42118802,0,0,17.125,6.259190621,28.46251545
Year 1 Nov 21 05:00,21.9521403,0,0,17.225,-20.31910133,28.07473481
Year 1 Nov 21 06:00,21.19059989,0,0,17.025,-46.46322918,27.69225097
