1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 11:00","17.0172091261739","15.725","15.9464337190702","817.5","84.25","-140.698129639791"
"Year 1 Jan 03 12:00","19.3615373391015","19","15.9817665175845","863.5","98.25","-133.754801278427"
"Year 1 Jan 03 13:00","22.9054371927906","21.75","16.1722490511943","551.25","202.5","-115.868824606909"
"Year 1 Jan 03 14:00","28.6427358772445","23.45","16.5210113894911","500.25","214.75","-86.5019528842442"
"Year 1 Jan 03 15:00","33.3948635607421","24.175","17.0772261066733","498","166.25","-40.3399767634978"
"Year 1 Jan 03 16:00","30.630538330512","23.85","17.8759036889615","121.5","179.25","23.1758807478226"
"Year 1 Jan 03 17:00","31.4556970325711","23.025","18.7660998629237","155.25","101.25","86.5982135487544"
"Year 1 Jan 03 18:00","24.4546820482832","21.75","19.5583087147323","0","0","148.067166110171"
"Year 1 Jan 03 19:00","22.6406673499878","20.5","20.1195757922545","0","0","186.510372061443"
"Year 1 Jan 03 20:00","21.2947174727004","19.15","20.3809497633946","0","0","196.352315059825"
"Year 1 Jan 03 21:00","20.1187245950782","17.9","20.4291959060753","0","0","187.878346199224"
"Year 1 Jan 03 22:00","18.9998984253384","16.625","20.3481433231323","0","0","169.704809159468"
"Year 1 Jan 03 23:00","17.9707127650523","15.325","20.1835706857562","0","0","147.126036679079"
"Year 1 Jan 04 00:00","16.9368971205765","13.95","19.9592692426322","0","0","122.964187507102"
"Year 1 Jan 04 01:00","16.2411453466998","12.775","19.6936509815402","0","0","97.5242812382956"
"Year 1 Jan 04 02:00","15.2837780217581","11.675","19.3990291482669","0","0","72.2070378627044"
"Year 1 Jan 04 03:00","14.579203236847","10.875","19.0883776687635","0","0","47.1434924893666"
"Year 1 Jan 04 04:00","13.845042002136","10.025","18.7638182740135","0","0","22.6687661491154"
"Year 1 Jan 04 05:00","13.6854559896464","11","18.4321421102442","0","0","-0.816867135762994"
"Year 1 Jan 04 06:00","13.6735227725021","11.55","18.1121502056078","0","0","-24.2082336133435"
"Year 1 Jan 04 07:00","13.7328025869455","12.725","17.8111650850932","0","0","-42.5777844714288"
"Year 1 Jan 04 08:00","14.5458830117725","14.525","17.5486315166538","70.5","14.5","-58.6623638179746"
"Year 1 Jan 04 09:00","16.8662563611441","17.475","17.3478121398719","314","71.75","-72.5504930212465"
"Year 1 Jan 04 10:00","19.8468979577736","20.55","17.256235881404","582.5","90.5","-80.521502897421"
