1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Mar 20 23:00","24.2285565729777","18.45","31.2717952990483","0","0","226.924313195334"
"Year 1 Mar 21 00:00","22.9490374343231","17.075","30.7253591265765","0","0","165.966984268474"
"Year 1 Mar 21 01:00","21.8903338024597","15.8","30.129251496727","0","0","107.6914728019"
"Year 1 Mar 21 02:00","21.0749264967994","14.375","29.5239310450589","0","0","53.4556151144255"
"Year 1 Mar 21 03:00","19.999218472937","13.475","28.9252129451795","0","0","5.6400100344054"
"Year 1 Mar 21 04:00","18.9830939783923","13","28.3432520335683","0","0","-37.0289589072281"
"Year 1 Mar 21 05:00","18.8028731289655","12.825","27.7699537116785","0","0","-74.8915682180907"
"Year 1 Mar 21 06:00","18.9297856617315","14.525","27.2132533968636","0","0","-107.292889487468"
"Year 1 Mar 21 07:00","19.6194083427986","17.725","26.7207750870989","64.5","8.25","-138.463431093229"
"Year 1 Mar 21 08:00","21.9072207065386","21.45","26.3174652420612","457.25","29.5","-164.731378020436"
"Year 1 Mar 21 09:00","24.5695756419367","24.8","26.0376123427517","1066.25","14.25","-180.960372656913"
"Year 1 Mar 21 10:00","26.4976798461713","27.25","25.9204176299835","1100","2","-182.038183333236"
"Year 1 Mar 21 11:00","28.4073841605505","28.7","25.9613444411984","1089.25","22.5","-168.356481286604"
"Year 1 Mar 21 12:00","30.4456209527061","29.6","26.1293820448237","864.25","161.5","-143.634367471252"
"Year 1 Mar 21 13:00","33.781891519125","30.325","26.4050143667272","365.75","404.5","-111.452347871523"
"Year 1 Mar 21 14:00","39.6615488274235","31.175","26.7985224224555","637","254.25","-71.8507630783352"
"Year 1 Mar 21 15:00","47.868626711533","32","27.3767302605719","754","178.75","-19.9220529477792"
"Year 1 Mar 21 16:00","54.8878248772464","32.275","28.2573036081836","768.5","132.5","51.2618274869424"
"Year 1 Mar 21 17:00","54.7270922245648","31.625","29.4628719015814","512","138.75","153.294128708044"
"Year 1 Mar 21 18:00","45.2048397128587","29.975","30.814803674007","134.25","101.25","272.045112799097"
"Year 1 Mar 21 19:00","35.6226852700894","27.55","31.9362518587336","0","0","364.485972298551"
"Year 1 Mar 21 20:00","32.0558149235244","25.025","32.5186573308335","0","0","397.925060237438"
"Year 1 Mar 21 21:00","29.5887101357528","22.9","32.5881360299171","0","0","377.868726833319"
"Year 1 Mar 21 22:00","27.953678324627","21.35","32.334389133841","0","0","328.751148504687"
"Year 1 Mar 21 23:00","26.5752067359411","20.25","31.9101743224678","0","0","269.389043478881"
"Year 1 Mar 22 00:00","25.2478375117254","19.1","31.413430247053","0","0","208.285116539109"
"Year 1 Mar 22 01:00","23.8107827037689","17.525","30.8810083146762","0","0","151.770171986055"
"Year 1 Mar 22 02:00","22.2107392296952","15.525","30.327473896991","0","0","99.9531573082739"
"Year 1 Mar 22 03:00","20.7105698315921","13.575","29.7551141853971","0","0","51.392185756203"
"Year 1 Mar 22 04:00","19.8655342846683","12.35","29.1610610996694","0","0","5.21814118418838"
"Year 1 Mar 22 05:00","20.1176749145086","14.725","28.5633484866541","0","0","-39.2251855747851"
"Year 1 Mar 22 06:00","20.4650790328461","17.325","28.004577864486","0","0","-79.9451817388708"
"Year 1 Mar 22 07:00","21.2734105386851","20.375","27.5151078692765","67.75","9.75","-112.096160870838"
"Year 1 Mar 22 08:00","23.677906612767","23.9","27.1330713966134","403.75","41.5","-139.073870408038"
"Year 1 Mar 22 09:00","26.6893586104574","27.125","26.8843967662959","870.5","44.5","-154.788937798361"
"Year 1 Mar 22 10:00","28.953916074664","29.55","26.8093452514783","1082","24.5","-154.59210691717"
"Year 1 Mar 22 11:00","30.7463830221422","31.075","26.908310992959","1009","51.5","-138.547575744741"
"Year 1 Mar 22 12:00","32.7435138980053","32","27.1426711922746","791.75","172","-111.388228456347"
"Year 1 Mar 22 13:00","34.4406626218884","32.8","27.4804360674427","994.25","98.25","-76.7120253338164"
"Year 1 Mar 22 14:00","39.7151888914387","33.6","27.9005137394922","961.5","105","-38.5397253194963"
"Year 1 Mar 22 15:00","44.1398545475806","34.175","28.4459534534321","625.75","235.5","7.78787535025367"
"Year 1 Mar 22 16:00","49.9711258477999","34.075","29.1878806351148","795","123","65.379408137062"
"Year 1 Mar 22 17:00","50.2640255562565","32.95","30.1303200499192","518.25","143.5","143.856956225935"
"Year 1 Mar 22 18:00","45.4073858839459","30.725","31.1760997586858","238.5","93","233.798495347179"
"Year 1 Mar 22 19:00","35.0909666089727","27.925","32.0951815141455","0","0","309.849499078538"
"Year 1 Mar 22 20:00","32.1470801896821","25.1","32.607980789954","0","0","341.668035393227"
"Year 1 Mar 22 21:00","29.639824172362","22.9","32.6692462189854","0","0","326.756386695701"
"Year 1 Mar 22 22:00","28.0319117117165","21.5","32.4370926937858","0","0","285.132960868007"
"Year 1 Mar 22 23:00","26.7795372651107","20.75","32.0442934476494","0","0","231.890760576654"
"Year 1 Mar 23 00:00","25.736990701323","20","31.580567467372","0","0","176.358962091684"
"Year 1 Mar 23 01:00","24.8065051249747","18.975","31.0848935946311","0","0","125.056961894738"
"Year 1 Mar 23 02:00","23.586884967196","17.425","30.5851422320037","0","0","78.048863637074"
"Year 1 Mar 23 03:00","22.1572175364657","15.875","30.0821422647126","0","0","36.2418640576775"
"Year 1 Mar 23 04:00","21.1099508156445","14.975","29.5690986240001","0","0","-2.9693664315279"
"Year 1 Mar 23 05:00","20.5711161317704","15.4","29.0449230293753","0","0","-40.8277027750444"
"Year 1 Mar 23 06:00","20.5841746044691","16.875","28.5260890372817","0","0","-76.1366932319397"
"Year 1 Mar 23 07:00","21.4890752404228","19.625","28.0371732839163","87","9","-106.60115239405"
"Year 1 Mar 23 08:00","23.544004623828","22.8","27.6346066978182","536","28.5","-134.711796771242"
"Year 1 Mar 23 09:00","25.8150942494483","26.15","27.3542721756703","1100","8.5","-152.243931349289"
"Year 1 Mar 23 10:00","28.0326574835525","28.8","27.2291501908931","1100","15.5","-156.525778957823"
"Year 1 Mar 23 11:00","30.2466954617724","31.05","27.2597373854418","1100","17.5","-146.546675884655"
"Year 1 Mar 23 12:00","32.2535170293921","32.575","27.432389083901","1055","54","-125.391710051905"
"Year 1 Mar 23 13:00","35.3876862614829","34.025","27.7242005189786","958.5","116.5","-94.9411860672972"
"Year 1 Mar 23 14:00","43.5097302911415","35.15","28.1352448678461","1010.5","92.5","-57.1583746411854"
"Year 1 Mar 23 15:00","50.0320482542326","36.075","28.7628933395141","794.75","161.25","-1.97373372004744"
"Year 1 Mar 23 16:00","53.8461230866613","35.85","29.7198676650068","619.5","180.5","74.0646712415987"
"Year 1 Mar 23 17:00","50.0959537909556","34.575","30.9093608428574","273.25","203.5","176.149308044204"
"Year 1 Mar 23 18:00","44.6688367977048","32.025","32.0862841765803","100","105.75","277.193150803748"
"Year 1 Mar 23 19:00","37.2329455729108","29.275","32.9821276768504","5","12","348.196914826558"
"Year 1 Mar 23 20:00","33.3912781983572","26.8","33.4577924753303","0","0","372.343123458716"
"Year 1 Mar 23 21:00","30.854086916813","25.6","33.5179051125565","0","0","352.909930103926"
"Year 1 Mar 23 22:00","29.0015950392949","25.1","33.3008775103193","0","0","306.202336508824"
"Year 1 Mar 23 23:00","27.8649118044907","25","32.9232514077253","0","0","248.663392659944"
"Year 1 Mar 24 00:00","26.8291240490115","24.025","32.4672396824929","0","0","189.856056752074"
"Year 1 Mar 24 01:00","25.9095998831611","22.275","31.9786764955697","0","0","136.452075872036"
"Year 1 Mar 24 02:00","24.74779499534","19.55","31.4773021856673","0","0","90.0806061022995"
"Year 1 Mar 24 03:00","23.4573858058314","17.075","30.9729432056447","0","0","48.683427854536"
"Year 1 Mar 24 04:00","22.1279026214329","15.45","30.4640196082377","0","0","9.80865419417948"
"Year 1 Mar 24 05:00","22.0915723102041","18.025","29.9480681475765","0","0","-28.5712763183917"
"Year 1 Mar 24 06:00","22.2255646886033","19.6","29.4508913618926","0","0","-66.6478162127911"
"Year 1 Mar 24 07:00","22.8433268111116","21.675","28.9885457322645","39.75","9.25","-95.8071223023951"
"Year 1 Mar 24 08:00","24.8624292004591","24.325","28.6120646146551","365","34.75","-122.129040531206"
"Year 1 Mar 24 09:00","27.2300035749846","27.775","28.348308854637","1012.25","24.25","-138.79169136248"
"Year 1 Mar 24 10:00","29.5714872911273","30.725","28.2403121367564","1054.25","33.25","-143.29145960782"
"Year 1 Mar 24 11:00","32.5957990972576","33.2","28.2896382655374","962.75","78.25","-133.571880930723"
"Year 1 Mar 24 12:00","33.9201169497089","34.4","28.4996206709998","1100","35","-110.94356712666"
"Year 1 Mar 24 13:00","36.6039783558849","35.2","28.8319823368399","897","149.25","-76.856172133202"
"Year 1 Mar 24 14:00","42.5022052464479","35.4","29.2573570058595","480.75","359","-37.497069308429"
"Year 1 Mar 24 15:00","48.7084705670893","35.85","29.8424848992562","1024.5","75","13.8161020713018"
"Year 1 Mar 24 16:00","51.7161626000308","35.625","30.6877915371788","911.75","91","80.7967298793583"
"Year 1 Mar 24 17:00","51.076863646093","34.825","31.7208477825625","684.75","88.5","168.689756878142"
"Year 1 Mar 24 18:00","40.9033760674333","32.575","32.7874714250534","68.75","101.25","259.369019968533"
"Year 1 Mar 24 19:00","35.5159381005157","29.725","33.5697365861513","7","13.5","320.220005773812"
"Year 1 Mar 24 20:00","31.7811944087382","26.45","33.8974441038412","0","0","332.339691118296"
"Year 1 Mar 24 21:00","29.1769109906703","24.175","33.8262275657289","0","0","305.903878109716"
"Year 1 Mar 24 22:00","27.022348385075","22.575","33.4967497196482","0","0","256.550309437284"
"Year 1 Mar 24 23:00","25.6554492510793","22.05","33.0149035070049","0","0","197.155890579206"
"Year 1 Mar 25 00:00","24.7861844768019","21.4","32.4586755017173","0","0","135.089746011657"
"Year 1 Mar 25 01:00","24.0912554523373","20.9","31.8758227936292","0","0","77.9245174926126"
"Year 1 Mar 25 02:00","23.8021461842668","19.9","31.3077392762848","0","0","26.7548521334164"
"Year 1 Mar 25 03:00","23.4314757369984","19.225","30.7671547576984","0","0","-15.7933210485057"
"Year 1 Mar 25 04:00","22.9602930558225","18.575","30.26977433248","0","0","-50.9565642037481"
"Year 1 Mar 25 05:00","21.6936457880443","17.35","29.8059162634744","0","0","-78.9495338827502"
"Year 1 Mar 25 06:00","20.8385245074427","17.675","29.3542887660883","0","0","-102.592266004946"
"Year 1 Mar 25 07:00","21.1388879006424","19.325","28.9115383840564","85.25","7.75","-129.054748228692"
"Year 1 Mar 25 08:00","23.0373475242078","21.9","28.4963920742692","470.5","34.25","-154.677623852563"
"Year 1 Mar 25 09:00","25.7941271437454","25.075","28.1678267588476","919.25","35","-173.985710901074"
"Year 1 Mar 25 10:00","28.1568557204908","28.3","27.9899921547581","1100","6.5","-180.602096888509"
"Year 1 Mar 25 11:00","30.3980375222147","31.125","27.9843634910863","1100","3.75","-172.442377217286"
"Year 1 Mar 25 12:00","32.4565631905821","33.15","28.1343493623883","1100","11.5","-151.339366718542"
"Year 1 Mar 25 13:00","35.1054477457816","34.425","28.411754385466","1100","17.5","-120.554832321882"
"Year 1 Mar 25 14:00","40.5170939807156","34.925","28.7963346289719","1048.75","42.5","-81.4069020097952"
"Year 1 Mar 25 15:00","44.9632057951619","34.925","29.339979349523","870.5","132.75","-30.4288227885835"
"Year 1 Mar 25 16:00","48.1015165438874","34.45","30.0910696928447","807.25","125.25","34.4053138951458"
"Year 1 Mar 25 17:00","50.1448607225256","33.625","31.0151957678743","771","88","109.781831060591"
"Year 1 Mar 25 18:00","46.0493330882495","32.35","32.0015302508611","467.75","79.75","195.312808335189"
"Year 1 Mar 25 19:00","37.2070355037852","30.65","32.8999293215807","80.5","23","269.156022527122"
"Year 1 Mar 25 20:00","31.7892929145631","28.55","33.4613236350298","0","0","306.0571471664"
"Year 1 Mar 25 21:00","29.6995290317397","26.35","33.5598960170913","0","0","295.13775991989"
"Year 1 Mar 25 22:00","28.1385899316527","24.225","33.3211749736094","0","0","253.823863823286"
"Year 1 Mar 25 23:00","27.2056567281042","22.425","32.9042523165107","0","0","201.99381322204"
"Year 1 Mar 26 00:00","25.741003071643","20.95","32.4164961295579","0","0","148.312104936429"
"Year 1 Mar 26 01:00","24.2653082157109","19.7","31.9030187095056","0","0","97.9365425711892"
"Year 1 Mar 26 02:00","22.629358801014","18.65","31.3715682290508","0","0","49.7021919740817"
"Year 1 Mar 26 03:00","21.3321662788757","17.725","30.8170556792409","0","0","3.79432106849264"
"Year 1 Mar 26 04:00","20.3838189346657","17.125","30.2384773522148","0","0","-39.8976358173336"
"Year 1 Mar 26 05:00","21.608581197785","20","29.6507068428633","0","0","-80.4266858923516"
"Year 1 Mar 26 06:00","22.4125825584652","21.525","29.1180503028764","0","0","-118.52102388699"
"Year 1 Mar 26 07:00","22.8882717803229","22.45","28.6881568959564","58.75","9.5","-145.100865083876"
"Year 1 Mar 26 08:00","24.2265902577278","23.675","28.3605124444354","272.75","56.75","-161.936514179597"
"Year 1 Mar 26 09:00","26.1167143663481","25.05","28.1305494278225","548","95","-169.874415543912"
"Year 1 Mar 26 10:00","27.4611850552686","26.375","28.0132957851266","1017.5","50.75","-167.840101217046"
"Year 1 Mar 26 11:00","28.7348210227606","27.675","28.0082806593583","1001","71.75","-156.405283533994"
"Year 1 Mar 26 12:00","30.0452551078311","28.975","28.0962645706128","1087","55.25","-138.401758602707"
"Year 1 Mar 26 13:00","32.3740095896719","30.2","28.2579787844556","961.75","118.25","-115.924106791608"
"Year 1 Mar 26 14:00","37.6190152123607","31.325","28.4991209189497","743.5","210.5","-88.7682975287613"
"Year 1 Mar 26 15:00","43.0980516080064","31.975","28.8928448129218","923.75","117.5","-50.6286233611442"
"Year 1 Mar 26 16:00","46.8700307195057","31.95","29.5163966717483","1000.25","61.25","4.92470595167029"
"Year 1 Mar 26 17:00","45.8646565246893","31.075","30.3743760355781","685.25","111.5","74.8200669749922"
"Year 1 Mar 26 18:00","43.2464176922943","29.375","31.2733040210748","506.5","71.25","155.459020643281"
"Year 1 Mar 26 19:00","33.4567035141773","27.1","32.0519124167961","56","22.5","221.548189336972"
"Year 1 Mar 26 20:00","28.4364375589053","24.775","32.4879000657996","0","0","251.74802507285"
"Year 1 Mar 26 21:00","26.4072497944727","22.775","32.4646948426394","0","0","235.425093744853"
"Year 1 Mar 26 22:00","25.1270824910484","21.475","32.1181441253823","0","0","190.647001394484"
"Year 1 Mar 26 23:00","24.4319141139819","20.9","31.6209468257526","0","0","135.174517118943"
"Year 1 Mar 27 00:00","24.1742578360797","20.8","31.0787587918683","0","0","80.0510968756148"
"Year 1 Mar 27 01:00","24.1828102555404","20.95","30.5516718194166","0","0","30.9677636348869"
"Year 1 Mar 27 02:00","24.2077062082165","21","30.0699347702834","0","0","-9.3163684297802"
"Year 1 Mar 27 03:00","23.8605797594212","20.925","29.6444680270111","0","0","-40.3665366764561"
"Year 1 Mar 27 04:00","23.3441167518539","20.825","29.2665434043858","0","0","-63.8029430885013"
"Year 1 Mar 27 05:00","22.1378567704058","18.25","28.9154002393145","0","0","-82.3424276979826"
"Year 1 Mar 27 06:00","21.0695584204964","17.7","28.5608905668578","0","0","-97.9301363922064"
"Year 1 Mar 27 07:00","20.8704027102983","18.85","28.1967438216836","37.5","10","-117.61801596664"
"Year 1 Mar 27 08:00","22.100357647269","20.55","27.8305581507636","285","47.25","-138.616185178418"
"Year 1 Mar 27 09:00","24.1717720377751","22.725","27.5104850659583","792.5","55","-156.196324091431"
"Year 1 Mar 27 10:00","25.7750246114768","24.875","27.2967134830217","1100","10.75","-164.834871535106"
"Year 1 Mar 27 11:00","27.4763258629363","26.9","27.2115717433953","1100","7.5","-162.03166042567"
"Year 1 Mar 27 12:00","29.2524177351066","28.45","27.2462410894006","1070.75","40.25","-149.462408041731"
"Year 1 Mar 27 13:00","32.5672546900812","29.85","27.3865087094823","997.75","101","-128.439588298564"
"Year 1 Mar 27 14:00","41.1778280437747","30.95","27.6480337162125","1019","89.5","-98.8627198749344"
"Year 1 Mar 27 15:00","49.0258622320899","31.8","28.1541096485871","932","109.75","-49.8742407298461"
"Year 1 Mar 27 16:00","53.6561392017679","32.075","29.0349550214504","787.75","126.75","26.8001376762578"
"Year 1 Mar 27 17:00","50.1049362866769","31.575","30.2429686154877","416.25","161.75","127.689530352652"
"Year 1 Mar 27 18:00","42.3778995728703","30.05","31.4745682930114","97","110.25","236.805252832884"
"Year 1 Mar 27 19:00","36.432071250624","27.875","32.4007723522164","23","19.5","311.512850655951"
"Year 1 Mar 27 20:00","31.3632914325047","25.425","32.8782333937811","0","0","338.094698223156"
"Year 1 Mar 27 21:00","29.2228248273704","23.375","32.9144525896101","0","0","319.994049821795"
"Year 1 Mar 27 22:00","27.2822863745324","21.925","32.645279048947","0","0","274.8117652077"
"Year 1 Mar 27 23:00","25.6631420151644","21.15","32.2131098783457","0","0","218.563012433751"
"Year 1 Mar 28 00:00","24.423118553411","20.625","31.700820862307","0","0","159.078210009446"
"Year 1 Mar 28 01:00","23.6826646194184","20.125","31.1478994820874","0","0","102.485268595415"
"Year 1 Mar 28 02:00","23.113173824194","19.4","30.5916187337222","0","0","50.3026577887826"
"Year 1 Mar 28 03:00","22.5965580184087","18.6","30.0527542929412","0","0","5.37630855254251"
"Year 1 Mar 28 04:00","22.1173050850283","17.8","29.5424255497931","0","0","-32.537689919324"
"Year 1 Mar 28 05:00","21.0930142964401","15.2","29.0590026968785","0","0","-63.5040441879557"
"Year 1 Mar 28 06:00","20.7172730719647","16.275","28.5869255654125","0","0","-88.5762360303233"
"Year 1 Mar 28 07:00","20.8107373628522","18.475","28.1408691140118","109.25","9","-115.319619824834"
"Year 1 Mar 28 08:00","22.2925387192796","20.5","27.7385303735892","496.75","45","-140.261636289232"
"Year 1 Mar 28 09:00","23.6870731440611","21.15","27.4096240525012","667.75","87.5","-157.85661200602"
"Year 1 Mar 28 10:00","25.527731958348","21.725","27.1819193652579","609.75","160","-163.42834626654"
"Year 1 Mar 28 11:00","27.6820417394328","22.425","27.0717459946749","459","282","-159.003026716761"
"Year 1 Mar 28 12:00","30.0781793129822","24.85","27.0905317603296","504.5","317","-144.529076063002"
"Year 1 Mar 28 13:00","31.7540424295588","28.075","27.2530122323089","1100","20.25","-122.715547815836"
"Year 1 Mar 28 14:00","39.9122309373852","31.825","27.5338877674375","1100","4.25","-94.5473900336869"
"Year 1 Mar 28 15:00","47.6932967447356","34","28.0292637381703","1100","8.75","-52.4135203284948"
"Year 1 Mar 28 16:00","52.3418653634531","34.625","28.8597302267203","971","46.75","19.0358561075061"
"Year 1 Mar 28 17:00","49.5070368604903","32.975","30.0157283441521","478","150.25","112.585703980367"
"Year 1 Mar 28 18:00","42.2000978847516","30.525","31.1991378065569","123.5","111.25","219.298750248717"
"Year 1 Mar 28 19:00","34.9877392526534","27.425","32.1093806692967","7","14","294.490039190942"
"Year 1 Mar 28 20:00","31.4636913853409","25.1","32.5620711958326","0","0","321.434701388258"
"Year 1 Mar 28 21:00","29.6063953393856","23.025","32.5899488438727","0","0","303.325014847024"
"Year 1 Mar 28 22:00","28.159609956664","21.975","32.3438269076363","0","0","262.321220186168"
"Year 1 Mar 28 23:00","26.7107883293376","20.9","31.9641754020281","0","0","211.609139844188"
"Year 1 Mar 29 00:00","25.456662126013","20.15","31.5171208136892","0","0","160.511545958682"
"Year 1 Mar 29 01:00","24.2776572179958","18.5","31.0347137169168","0","0","111.31266890371"
"Year 1 Mar 29 02:00","23.0630435686918","16.8","30.5289388983518","0","0","66.342503567731"
"Year 1 Mar 29 03:00","21.8323202476622","14.75","30.0115589028545","0","0","24.3824899050812"
"Year 1 Mar 29 04:00","20.9057330358709","13.975","29.480114505421","0","0","-14.2380328910372"
"Year 1 Mar 29 05:00","20.3467811226303","14.275","28.9475008164112","0","0","-51.7123424637869"
"Year 1 Mar 29 06:00","20.2867413103887","16.125","28.4234792544317","0","0","-85.5174976590476"
"Year 1 Mar 29 07:00","21.5205972466822","19.7","27.936008818322","168","6.25","-116.308016034439"
"Year 1 Mar 29 08:00","23.9641271099791","23.925","27.5416360365598","779","18.75","-144.710804898418"
"Year 1 Mar 29 09:00","26.2442543509754","27.775","27.287678532816","1100","0","-161.539864519704"
"Year 1 Mar 29 10:00","28.8973973640637","30.425","27.1992448402641","1003","41.75","-163.226045971086"
"Year 1 Mar 29 11:00","31.9127971802474","31.9","27.2721720574467","777.5","150.25","-149.341850034506"
"Year 1 Mar 29 12:00","33.1589091130804","32.575","27.5065918109412","950","113.5","-121.093933137912"
"Year 1 Mar 29 13:00","35.600792338842","33.225","27.8640366027856","894.5","146.75","-83.1042521079513"
"Year 1 Mar 29 14:00","43.1486713420229","34.15","28.3102125907974","900.25","140","-41.7943986867708"
"Year 1 Mar 29 15:00","49.9811807111063","35.3","28.9379967552628","811.75","161.5","11.700276660005"
"Year 1 Mar 29 16:00","56.6063744328284","35.75","29.8706843055373","900.5","93.75","84.9008998179089"
"Year 1 Mar 29 17:00","56.8455856730065","35.05","31.0852835054193","619.75","110.75","188.018788575689"
"Year 1 Mar 29 18:00","46.7590491781916","32.925","32.4318123715116","105.25","110.75","305.108362248945"
"Year 1 Mar 29 19:00","39.3956495725643","29.975","33.5341497629575","11","16","394.985280920838"
"Year 1 Mar 29 20:00","34.4320037576319","27.1","34.1382623990194","0","0","429.393058575956"
"Year 1 Mar 29 21:00","31.8038115989965","25.275","34.2504465968224","0","0","411.041295767363"
"Year 1 Mar 29 22:00","29.7420956387471","24.525","34.0309864469079","0","0","360.034148655575"
"Year 1 Mar 29 23:00","28.0937374492642","24.4","33.6297637667094","0","0","295.473377605555"
"Year 1 Mar 30 00:00","26.828451580568","23.875","33.1346210143869","0","0","228.738364842337"
"Year 1 Mar 30 01:00","25.7375180454275","22.35","32.5951163721278","0","0","165.864108393803"
"Year 1 Mar 30 02:00","24.4330243212371","19.725","32.0336468895838","0","0","110.791056241073"
"Year 1 Mar 30 03:00","23.0156134035682","16.825","31.4613833148632","0","0","62.1743065642828"
"Year 1 Mar 30 04:00","21.621559684443","14.675","30.8825902965894","0","0","17.1450427210648"
"Year 1 Mar 30 05:00","20.9199661599719","16.15","30.2969708888392","0","0","-26.6500158348074"
"Year 1 Mar 30 06:00","21.4205480189137","18.675","29.7248057337126","0","0","-70.1491062120262"
"Year 1 Mar 30 07:00","22.7346631195199","22.075","29.1887110620973","188","5.25","-106.385380516837"
"Year 1 Mar 30 08:00","24.9840603356034","25.4","28.7669619087188","839","16.25","-138.015518487307"
"Year 1 Mar 30 09:00","27.4121294236548","28.525","28.4905832801947","1091","10.5","-155.651636095588"
"Year 1 Mar 30 10:00","29.8367361190977","30.575","28.3821374751501","1071.5","38.25","-157.994254886362"
"Year 1 Mar 30 11:00","31.9843209471517","32.05","28.4377192445468","1077.75","53.75","-144.316942560474"
"Year 1 Mar 30 12:00","33.4846054448304","32.85","28.6371756702961","980","103.75","-118.989288245549"
"Year 1 Mar 30 13:00","36.3020921674057","33.9","28.9443036361407","827.5","177.5","-85.7155141902326"
"Year 1 Mar 30 14:00","44.1829922074986","34.95","29.3478573710158","809.75","181.25","-47.9620895205512"
"Year 1 Mar 30 15:00","51.601296070753","36.175","29.9514071475178","851.75","146.5","4.50273611610077"
"Year 1 Mar 30 16:00","58.7464864709572","36.575","30.8898324659","971.5","74.25","79.3902440347923"
"Year 1 Mar 30 17:00","58.5970124917442","36","32.1385288293206","817.75","77.25","186.876635787242"
"Year 1 Mar 30 18:00","51.2451981896751","34","33.5322485058795","397.25","86.5","309.369330132871"
"Year 1 Mar 30 19:00","39.2140446770428","31.525","34.7280913000329","23.5","20","409.036041215283"
"Year 1 Mar 30 20:00","33.8310218949289","29.025","35.4016336809181","0","0","448.363945600116"
"Year 1 Mar 30 21:00","31.0955550675591","27.5","35.4804569228561","0","0","423.200292521463"
"Year 1 Mar 30 22:00","29.5405360303705","26.45","35.1727583207432","0","0","360.340707148729"
"Year 1 Mar 30 23:00","28.5211691791428","25.6","34.6719729541687","0","0","285.869236329529"
"Year 1 Mar 31 00:00","27.3792750170474","23.825","34.0994790365854","0","0","214.224552447778"
"Year 1 Mar 31 01:00","26.120829361433","21.5","33.5101852380028","0","0","150.951680500116"
"Year 1 Mar 31 02:00","24.930155256937","18.575","32.9171043595024","0","0","96.2512983048551"
"Year 1 Mar 31 03:00","23.1804941141642","16.45","32.3260050472234","0","0","46.7781233802067"
"Year 1 Mar 31 04:00","21.5257688902945","15.475","31.7331406911059","0","0","0.00496324551810901"
"Year 1 Mar 31 05:00","21.4723740924617","16.125","31.1230079941363","0","0","-45.6486386323952"
"Year 1 Mar 31 06:00","21.5196207078663","17.375","30.5146771857217","0","0","-88.049675481454"
"Year 1 Mar 31 07:00","22.091852460664","20.175","29.9528038507637","121.25","9.25","-123.565778988974"
"Year 1 Mar 31 08:00","24.8866274729351","24.45","29.4905484804014","638.75","28.25","-156.321348317453"
"Year 1 Mar 31 09:00","28.0484707782132","28.75","29.169508210757","1100","5","-178.212404244277"
"Year 1 Mar 31 10:00","30.9930173988184","32.2","29.0420497644461","1100","10.5","-182.363317915119"
"Year 1 Mar 31 11:00","32.8744695555096","34.05","29.1162848163228","1100","7.5","-167.55790646264"
"Year 1 Mar 31 12:00","34.6184482771746","34.775","29.3494621918333","981","91","-137.750746926151"
"Year 1 Mar 31 13:00","37.1319392781059","34.825","29.6885819850654","597.25","287","-99.5011567298068"
"Year 1 Mar 31 14:00","42.8878605941146","34.95","30.114666181476","510","321.75","-56.1202517639831"
"Year 1 Mar 31 15:00","48.0595315179403","35.225","30.6953701957573","474.5","300.25","-3.48840278543135"
"Year 1 Mar 31 16:00","50.4128353505537","35.45","31.5046369956756","372","267","62.3975476357704"
"Year 1 Mar 31 17:00","48.5729053937838","35.125","32.4738631958699","199.75","219.5","144.416416177065"
"Year 1 Mar 31 18:00","47.6509526342141","34.025","33.4258230485503","182.5","116.5","224.190981531189"
"Year 1 Mar 31 19:00","41.5195901824401","31.975","34.2388378003493","44","23","288.10960856733"
"Year 1 Mar 31 20:00","35.847253952879","29.6","34.807207163355","0","0","325.837802660808"
"Year 1 Mar 31 21:00","33.3448125988286","27.5","35.0009999986041","0","0","323.722558514876"
"Year 1 Mar 31 22:00","31.6737484145192","26.325","34.885409511739","0","0","291.258649506454"
"Year 1 Mar 31 23:00","30.7807864532056","25.875","34.5892267426319","0","0","243.691657650774"
"Year 1 Apr 01 00:00","29.4834816655022","25.8","34.2101263998059","0","0","192.224828251839"
"Year 1 Apr 01 01:00","27.8903077878498","24.075","33.7992640347143","0","0","143.077634454267"
"Year 1 Apr 01 02:00","27.5635406787213","25.075","33.3515333017774","0","0","98.7359124964886"
"Year 1 Apr 01 03:00","27.569466440067","25.975","32.9138798310412","0","0","51.7407080500454"
"Year 1 Apr 01 04:00","27.6390744688461","26.175","32.4994769587003","0","0","13.727144684731"
"Year 1 Apr 01 05:00","25.4974524751068","21.55","32.1237012230173","0","0","-14.9986827671671"
"Year 1 Apr 01 06:00","23.8647688125137","19.85","31.7401390825093","0","0","-34.9807542456549"
"Year 1 Apr 01 07:00","23.8473564373036","20.25","31.3284224215003","19.75","11","-62.1040559051677"
"Year 1 Apr 01 08:00","24.7153140048925","21.3","30.8898386470172","186","58.5","-88.8012720227146"
