1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 02:00","0","0","10","16.5167610038821","2.11273668414759","12.3937463661755","-5.91326409449407"
"Year 1 Jan 03 03:00","0","0","9.35","16.2392353616685","1.82481397971866","11.6899340890941","-22.781220540427"
"Year 1 Jan 03 04:00","0","0","8.525","15.9638256974581","1.86406229564612","11.2208992945671","-38.0106079324133"
"Year 1 Jan 03 05:00","0","0","8.825","15.6825327202458","1.72502158169544","11.0839471972602","-51.9613055604747"
"Year 1 Jan 03 06:00","0","0","8.325","15.4087718300489","1.81394803214626","10.5672887457622","-65.7728510198448"
"Year 1 Jan 03 07:00","0","0","7.95","15.1430653790864","1.75922066638482","10.3248785497398","-77.5184645927431"
"Year 1 Jan 03 08:00","4.75","0.5","8.275","14.8853876905183","1.63786881122946","10.1286910093652","-89.0169545625866"
"Year 1 Jan 03 09:00","44.25","20.5","9.825","14.6440110768536","1.06805512416344","11.2710467350495","-100.197991562945"
"Year 1 Jan 03 10:00","112.5","249.75","12.4","14.4486662309957","1.96474318763389","13.9957781033238","-110.119618560487"
"Year 1 Jan 03 11:00","84.25","817.5","15.725","14.3668294787695","3.78073596752842","16.4420764434606","-113.18153594316"
"Year 1 Jan 03 12:00","98.25","863.5","19","14.4446053512481","6.01647820688867","18.8340907397936","-105.787952917411"
"Year 1 Jan 03 13:00","202.5","551.25","21.75","14.6810465100957","7.16189626062891","21.6121999208921","-88.0101238846871"
"Year 1 Jan 03 14:00","214.75","500.25","23.45","15.060564347615","7.40832762023088","23.4260992017685","-59.1674690613939"
"Year 1 Jan 03 15:00","166.25","498","24.175","15.5509876517281","6.15874720144885","23.7049049235442","-21.0817366784932"
