1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 03 11:00","19.5956650786552","754.5","131.5","-120.663720084667","18.4617214447124","18.5"
"Year 1 Jan 03 12:00","21.4542325216209","839.25","121","-112.162704509226","18.5075255866351","20.825"
"Year 1 Jan 03 13:00","23.4108932388173","871","111.75","-94.9294942329084","18.6775471319036","22.525"
"Year 1 Jan 03 14:00","29.1838411059284","853.75","109.5","-70.0313011235222","18.9563959362941","23.95"
"Year 1 Jan 03 15:00","35.5973347732138","787","106.25","-33.7645935197554","19.3985410623633","25.425"
"Year 1 Jan 03 16:00","39.3215115790068","628.25","107","21.822974958913","20.1042930230702","25.35"
"Year 1 Jan 03 17:00","37.6208141836012","355.75","83.25","93.618998886863","21.0737746130601","24.75"
"Year 1 Jan 03 18:00","30.2131682417177","57","29.25","175.876863269377","22.0805818156239","24.225"
"Year 1 Jan 03 19:00","25.6012947223855","0","0","232.303553992815","22.8568569033408","22.6"
"Year 1 Jan 03 20:00","23.4888372499079","0","0","251.957812695351","23.2400545093923","20.525"
"Year 1 Jan 03 21:00","21.8616900246616","0","0","241.411025129127","23.2974980304967","18.5"
"Year 1 Jan 03 22:00","20.6085538495508","0","0","214.538618258976","23.1517020424556","17.325"
"Year 1 Jan 03 23:00","19.5468605957034","0","0","179.710152032733","22.8952258309729","16.5"
"Year 1 Jan 04 00:00","18.4598164890216","0","0","143.463813812218","22.5767565149657","15.625"
"Year 1 Jan 04 01:00","17.6352269159813","0","0","107.62427229951","22.2247007086153","15.025"
"Year 1 Jan 04 02:00","16.9816908721736","0","0","73.3846152521611","21.8539802533802","14.6"
"Year 1 Jan 04 03:00","16.383485849029","0","0","41.2928914347326","21.4800703644065","14.125"
"Year 1 Jan 04 04:00","15.8070698453094","0","0","12.4728365728176","21.1105094869991","13.625"
"Year 1 Jan 04 05:00","15.2834099462183","0","0","-13.2211572102347","20.7489795455469","13.2"
"Year 1 Jan 04 06:00","14.8012155007259","0","0","-35.9389008442131","20.3957906579186","12.725"
"Year 1 Jan 04 07:00","14.4854329991006","0","0","-55.5609819125309","20.0495665237568","12.675"
"Year 1 Jan 04 08:00","14.7772724090101","54.25","34.5","-73.5530229998354","19.7177166463856","12.85"
"Year 1 Jan 04 09:00","16.1314241791882","297.75","107","-89.5586389175004","19.4179892424724","12.975"
"Year 1 Jan 04 10:00","18.0382354646286","585","128.25","-100.120336419562","19.1849751461889","15.175"
"Year 1 Jan 04 11:00","20.139769762401","695.5","139.25","-104.980650614746","19.0700986496503","18.15"
