1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Feb 04 21:00","27.1668574507718","0","0","286.169291967461","29.808461661772","22.5"
"Year 1 Feb 04 22:00","25.4344517314189","0","0","251.420599406749","29.6196716801174","20.5"
"Year 1 Feb 04 23:00","23.9568230052686","0","0","207.069006292344","29.2634310610068","18.5"
"Year 1 Feb 05 00:00","22.5423310813542","0","0","159.353759418673","28.818978808123","16.5"
"Year 1 Feb 05 01:00","21.648782761544","0","0","111.944096441174","28.3264375212485","16.225"
"Year 1 Feb 05 02:00","21.1207053971578","0","0","63.7573185353675","27.8268383964927","16.6"
"Year 1 Feb 05 03:00","20.7200008199278","0","0","20.7492430713532","27.335994592368","16.925"
"Year 1 Feb 05 04:00","20.2251403770071","0","0","-15.9072975705486","26.8697754677683","16.625"
"Year 1 Feb 05 05:00","19.6644596133479","0","0","-45.8450933217611","26.4292571129037","16.05"
"Year 1 Feb 05 06:00","19.1198231392526","0","0","-70.6727125176949","26.0093703988166","15.525"
"Year 1 Feb 05 07:00","18.9176367931771","0","0","-92.1793514009833","25.6053927021094","16.375"
"Year 1 Feb 05 08:00","19.5437569794505","51.5","39.75","-114.319088882033","25.2362762011842","17.75"
"Year 1 Feb 05 09:00","21.2888154004593","264.25","124","-132.209299268145","24.9127656249006","19.075"
"Year 1 Feb 05 10:00","23.6078661232963","449.25","177.75","-142.458791548281","24.6776756710853","21.275"
"Year 1 Feb 05 11:00","26.1821110392623","456","246.75","-142.899625175217","24.576400871455","23.7"
"Year 1 Feb 05 12:00","28.8807605352687","385.75","328.25","-130.911846972038","24.6298574229365","26.175"
"Year 1 Feb 05 13:00","30.6986318737347","396.25","345","-106.775113340248","24.8404447763468","27.25"
"Year 1 Feb 05 14:00","34.5697177743646","411.5","320","-71.7825079059308","25.1782116316361","27.85"
"Year 1 Feb 05 15:00","39.5549218575012","437.75","267.75","-29.3313135680077","25.6438195286345","28.45"
"Year 1 Feb 05 16:00","44.4675072908095","502","189","23.7572696427774","26.2916023365384","28.45"
"Year 1 Feb 05 17:00","45.28055529567","396.75","133.25","92.9233766027355","27.1507010342018","28.25"
"Year 1 Feb 05 18:00","40.3064711176364","189","57.25","174.342082881131","28.1165771777172","28.05"
"Year 1 Feb 05 19:00","31.7614032772687","0","0","241.95687301942","28.9738389175907","26.5"
"Year 1 Feb 05 20:00","29.1026767198844","0","0","272.923076039745","29.4611214557334","24.575"
"Year 1 Feb 05 21:00","27.1604438745177","0","0","263.475741108905","29.5477117697039","22.6"
"Year 1 Feb 05 22:00","25.5018820904644","0","0","231.850679185772","29.3694996294001","20.6"
"Year 1 Feb 05 23:00","24.0288376662232","0","0","191.437279003922","29.0388260785997","18.675"
"Year 1 Feb 06 00:00","22.5940852088516","0","0","147.792517374163","28.6238415919999","16.7"
"Year 1 Feb 06 01:00","21.7175665150961","0","0","103.615743191646","28.1596139156558","16.425"
"Year 1 Feb 06 02:00","21.1629948323525","0","0","58.1976237188685","27.684120158361","16.65"
"Year 1 Feb 06 03:00","20.7493048796185","0","0","17.5544437953102","27.2123528116724","16.925"
"Year 1 Feb 06 04:00","20.2112513635644","0","0","-17.5042935616285","26.7615218585747","16.475"
"Year 1 Feb 06 05:00","19.6156380692289","0","0","-46.2012980993469","26.3318018798576","15.85"
"Year 1 Feb 06 06:00","19.0113985204589","0","0","-70.4056059142421","25.9190367669163","15.175"
"Year 1 Feb 06 07:00","18.6933546468999","0","0","-90.9812980191918","25.5153006046652","15.075"
"Year 1 Feb 06 08:00","19.1334580413716","61","38.25","-111.725836179364","25.1360651594574","15.25"
"Year 1 Feb 06 09:00","20.6765784133163","317.5","113","-128.446056359343","24.7904615088941","15.375"
"Year 1 Feb 06 10:00","22.9899280468301","584.25","148","-138.790803833124","24.5224854725467","18.325"
"Year 1 Feb 06 11:00","25.3074200126761","752","150.5","-142.676764561382","24.3927063567471","22.15"
"Year 1 Feb 06 12:00","27.5112684201969","853.25","135.5","-134.74143017822","24.418086115288","26.025"
"Year 1 Feb 06 13:00","29.3984625232126","896.5","121.25","-115.948628552416","24.5915496446853","27.75"
"Year 1 Feb 06 14:00","35.6818594307923","891","117.5","-85.9869275848065","24.8806358930456","28.75"
"Year 1 Feb 06 15:00","43.3039912075174","848.5","113","-43.8183725042962","25.3375003712169","29.75"
"Year 1 Feb 06 16:00","48.7316789076258","734.75","113.75","19.4855170774718","26.0907362136628","29.85"
"Year 1 Feb 06 17:00","49.1427453283005","510","105.25","105.26869980039","27.1639396059445","29.65"
"Year 1 Feb 06 18:00","43.2738201825036","209.25","56.75","208.327579795603","28.3634249627359","29.45"
"Year 1 Feb 06 19:00","33.6376245904495","0","0","292.721194333373","29.4169972409031","27.525"
"Year 1 Feb 06 20:00","30.598888601725","0","0","332.705028254242","30.0275734854558","25.1"
"Year 1 Feb 06 21:00","28.2933767265178","0","0","324.745372591444","30.1733708691209","22.625"
"Year 1 Feb 06 22:00","26.5990755808442","0","0","289.713189507016","30.0137424925161","21.175"
"Year 1 Feb 06 23:00","25.2382208219205","0","0","241.978550392901","29.6875749992862","20"
"Year 1 Feb 07 00:00","24.0365675234584","0","0","191.628722632394","29.2732286869286","18.875"
"Year 1 Feb 07 01:00","23.1778920944167","0","0","142.467678677426","28.8180351343882","18.15"
"Year 1 Feb 07 02:00","22.4470820903857","0","0","96.4569726267938","28.3491381529962","17.55"
"Year 1 Feb 07 03:00","21.7892166639359","0","0","54.6319991182232","27.8870906587657","16.95"
"Year 1 Feb 07 04:00","21.284216480489","0","0","17.7056644962493","27.4393584579764","16.8"
"Year 1 Feb 07 05:00","20.8484267875746","0","0","-14.9295150778927","27.0125008429805","16.8"
"Year 1 Feb 07 06:00","20.478611143117","0","0","-42.7243217281662","26.6072826888367","16.8"
"Year 1 Feb 07 07:00","20.2610363009413","0","0","-65.9076050174854","26.2233039284123","17.325"
"Year 1 Feb 07 08:00","20.748827717504","74","37.5","-85.9990246362999","25.8663591991311","17.95"
"Year 1 Feb 07 09:00","22.3114591348627","369.25","105","-103.149998450424","25.5553535230818","18.625"
"Year 1 Feb 07 10:00","24.3698439026882","610.75","131","-113.512261939849","25.3251362088876","20.825"
"Year 1 Feb 07 11:00","26.686909350069","671","168.5","-115.915935753037","25.2204492702133","23.45"
"Year 1 Feb 07 12:00","29.0094491618985","662.25","211.25","-107.150597406885","25.2581690865245","26.125"
"Year 1 Feb 07 13:00","30.9495461195232","681.5","217","-87.6523243523792","25.4400064564895","27.85"
"Year 1 Feb 07 14:00","36.9140188237557","676.75","210.25","-58.6112606274733","25.745904538248","29.25"
"Year 1 Feb 07 15:00","43.8647557320139","671.25","181.75","-18.1108059109126","26.2196865438649","30.65"
"Year 1 Feb 07 16:00","49.1282261724712","680","124.75","41.8436660483392","26.9710113012845","30.775"
"Year 1 Feb 07 17:00","49.3452109839463","504.5","101","126.503625305398","28.0039509703997","30.4"
"Year 1 Feb 07 18:00","42.6489568484758","192.75","59.75","224.38725071","29.1553980326577","30.075"
"Year 1 Feb 07 19:00","33.9970386243975","0","0","301.80746033602","30.1428881698477","28.725"
"Year 1 Feb 07 20:00","31.422394617864","0","0","333.897746799471","30.6963892355954","26.95"
"Year 1 Feb 07 21:00","29.5849824986403","0","0","321.735893056283","30.8184868197652","25.225"
"Year 1 Feb 07 22:00","28.2334337514693","0","0","285.746238801871","30.6732166543313","24.275"
"Year 1 Feb 07 23:00","27.1556063457656","0","0","239.895057010237","30.3918947460082","23.5"
"Year 1 Feb 08 00:00","26.2358355586153","0","0","193.485132644785","30.0428868650471","22.775"
"Year 1 Feb 08 01:00","25.3779918135604","0","0","149.172523737824","29.6667783196258","22.075"
"Year 1 Feb 08 02:00","24.4913464121155","0","0","108.463319468988","29.2823578901144","21.3"
"Year 1 Feb 08 03:00","23.6191455370445","0","0","71.9896563773799","28.8931973501321","20.575"
"Year 1 Feb 08 04:00","22.8849734051105","0","0","37.9577054163245","28.5046375511018","19.875"
"Year 1 Feb 08 05:00","22.2426663764077","0","0","6.90132870942741","28.1159033811983","19.25"
"Year 1 Feb 08 06:00","21.626212120368","0","0","-21.1563629706617","27.7303105115125","18.575"
"Year 1 Feb 08 07:00","21.3525895807518","0","0","-46.2236300726543","27.3502412262565","18.85"
"Year 1 Feb 08 08:00","21.8627720124001","45.25","36","-68.4144043017626","26.9830327510051","19.45"
"Year 1 Feb 08 09:00","23.575618119266","223","121.25","-87.6901686352786","26.6554019998773","20.05"
"Year 1 Feb 08 10:00","25.9899579730768","390.75","196.25","-100.149239491649","26.4136167511199","22.375"
"Year 1 Feb 08 11:00","28.1294251698681","545.75","222","-103.679435329968","26.3121235074992","25.2"
"Year 1 Feb 08 12:00","30.0827962221137","646.25","223.75","-95.0532688768709","26.363842453121","28.075"
"Year 1 Feb 08 13:00","31.7521846038445","680.5","219","-76.4750118347843","26.553689647371","29.625"
"Year 1 Feb 08 14:00","36.978963357497","676.25","212","-48.9480123986455","26.8495868729217","30.8"
"Year 1 Feb 08 15:00","43.1660925028697","644.75","192.75","-11.7633448754316","27.287929743616","31.925"
"Year 1 Feb 08 16:00","47.4338902827475","570.25","161.75","42.5199331625871","27.9664950129281","31.975"
"Year 1 Feb 08 17:00","47.8866710450401","406.5","120.75","117.341374514265","28.8868141053402","31.75"
"Year 1 Feb 08 18:00","42.3597763083128","150.75","62.75","202.776624248303","29.9051601649525","31.475"
"Year 1 Feb 08 19:00","34.4572356764929","0","0","271.474570780035","30.7870534573722","29.825"
"Year 1 Feb 08 20:00","31.8293995251321","0","0","301.762474216158","31.2908774952131","27.65"
"Year 1 Feb 08 21:00","29.8762906026039","0","0","292.174303742372","31.4021682505087","25.525"
"Year 1 Feb 08 22:00","28.2113521909257","0","0","260.140044510266","31.2561534356332","23.575"
"Year 1 Feb 08 23:00","26.7107655110849","0","0","218.913886941143","30.9608726007465","21.75"
"Year 1 Feb 09 00:00","25.2766931698407","0","0","174.578169002394","30.5789590943874","19.875"
"Year 1 Feb 09 01:00","24.4041328699905","0","0","129.736106007769","30.1455938720738","19.775"
"Year 1 Feb 09 02:00","23.8322282949871","0","0","83.5805785611395","29.6983206549909","20.2"
"Year 1 Feb 09 03:00","23.3956331922238","0","0","41.7049827700908","29.2551521435381","20.675"
"Year 1 Feb 09 04:00","23.0822333141557","0","0","5.21167696905537","28.8321391810843","20.95"
"Year 1 Feb 09 05:00","22.8357819564807","0","0","-25.2860651925701","28.4356506607192","21.15"
"Year 1 Feb 09 06:00","22.6120595728373","0","0","-50.1376886662952","28.0681557131836","21.35"
"Year 1 Feb 09 07:00","22.2881632227493","0","0","-70.1028387767209","27.7285499913331","20.95"
"Year 1 Feb 09 08:00","22.5262171916165","75","38.75","-87.2390349902369","27.4181955161626","20.35"
"Year 1 Feb 09 09:00","23.8996054839888","364","114.75","-100.654864159453","27.1356180118754","19.75"
"Year 1 Feb 09 10:00","25.8715655137873","618.75","144.75","-108.735528599937","26.9147765777931","21.775"
"Year 1 Feb 09 11:00","27.4951309181687","820.5","114","-111.300191018526","26.8102519721018","24.6"
"Year 1 Feb 09 12:00","29.3261947611501","872.5","120","-104.456239622924","26.829318414984","27.475"
"Year 1 Feb 09 13:00","31.259915815273","907.5","110.25","-89.4575392330933","26.9646690021578","29.625"
"Year 1 Feb 09 14:00","37.7793449096483","898.25","109.75","-66.5900145953321","27.2081134581869","31.45"
"Year 1 Feb 09 15:00","46.1737749569117","849","112.5","-30.6526652865191","27.6259462763698","33.325"
"Year 1 Feb 09 16:00","52.2070094073267","751","106","30.2136424413284","28.3607479626805","33.875"
"Year 1 Feb 09 17:00","52.8952668489267","525.75","101.5","117.590453974944","29.4539706775853","33.9"
"Year 1 Feb 09 18:00","46.6719850122878","204.75","61.5","225.339639454913","30.703917574188","33.975"
"Year 1 Feb 09 19:00","37.1515616080358","0","0","314.496669831771","31.8159259938528","32.2"
"Year 1 Feb 09 20:00","34.139083951676","0","0","357.656587809518","32.4810980304526","29.8"
"Year 1 Feb 09 21:00","31.9005908378463","0","0","351.4738964088","32.6797991738218","27.4"
"Year 1 Feb 09 22:00","30.2588633177131","0","0","317.182293633843","32.5736788085161","25.975"
"Year 1 Feb 09 23:00","28.9347110027891","0","0","269.604966654436","32.3024817442087","24.8"
"Year 1 Feb 10 00:00","27.7755179003632","0","0","219.85020791197","31.9411910991087","23.675"
"Year 1 Feb 10 01:00","26.7178186023697","0","0","171.275353986169","31.5362009759693","22.575"
"Year 1 Feb 10 02:00","25.7000332452173","0","0","125.804054544157","31.1109460515965","21.4"
"Year 1 Feb 10 03:00","24.7285956413094","0","0","84.4590170648453","30.6732822380246","20.275"
"Year 1 Feb 10 04:00","23.8602573498157","0","0","45.6921324779748","30.2333088939111","19.4"
"Year 1 Feb 10 05:00","23.0572141650768","0","0","10.0340097319477","29.7928484736004","18.6"
"Year 1 Feb 10 06:00","22.2871001484422","0","0","-22.2225371869032","29.3532989759177","17.8"
"Year 1 Feb 10 07:00","21.8949008207531","0","0","-51.4490836900261","28.9168875363844","18.125"
"Year 1 Feb 10 08:00","22.3672684792055","83","39","-77.4741333013671","28.4907486769391","18.75"
"Year 1 Feb 10 09:00","24.0641314833771","391.25","112.75","-100.16232573687","28.1033329417554","19.425"
"Year 1 Feb 10 10:00","26.2537547667769","631.25","142.5","-115.91407151364","27.8069425290497","22.15"
"Year 1 Feb 10 11:00","28.1362080275061","832.25","110.5","-122.822276686246","27.6536596914326","25.55"
"Year 1 Feb 10 12:00","30.2721651687053","885.75","115","-118.093422564005","27.6496009412635","28.95"
"Year 1 Feb 10 13:00","31.963447239111","917.75","105.75","-102.668088989043","27.7823465628267","30.325"
"Year 1 Feb 10 14:00","38.0449046689767","905.25","107.25","-76.1535639279631","28.0242630818912","30.95"
"Year 1 Feb 10 15:00","45.4377809391976","853.75","111.5","-37.6048336397619","28.4267490780121","31.625"
"Year 1 Feb 10 16:00","50.7774807157527","752.25","107.75","21.7396750661196","29.1186228871383","31.875"
"Year 1 Feb 10 17:00","51.2207500327124","518.75","108.5","104.33417315305","30.121888697296","31.9"
"Year 1 Feb 10 18:00","45.4914673700628","219.75","60","203.092847805675","31.2576433732756","31.975"
"Year 1 Feb 10 19:00","35.9704706882348","0","0","283.91598581258","32.25923556906","30.35"
"Year 1 Feb 10 20:00","33.0727371592916","0","0","320.944762895875","32.8333588934778","28.225"
"Year 1 Feb 10 21:00","30.9225842562662","0","0","310.95230769535","32.9584575423409","26.05"
"Year 1 Feb 10 22:00","29.1046825990486","0","0","275.339208069294","32.7909085342884","23.85"
"Year 1 Feb 10 23:00","27.4243648526645","0","0","229.737939826461","32.4548652954363","21.725"
"Year 1 Feb 11 00:00","25.8360210846075","0","0","180.470025838355","32.0239719347627","19.55"
"Year 1 Feb 11 01:00","24.6470459725137","0","0","131.328945380097","31.5332647802946","18.55"
"Year 1 Feb 11 02:00","23.7100281764142","0","0","81.1916750645427","31.0195983646547","17.95"
"Year 1 Feb 11 03:00","22.8610261935834","0","0","35.0737719861058","30.496615042086","17.35"
"Year 1 Feb 11 04:00","22.5101061275793","0","0","-6.62723175040019","29.979424465226","17.725"
"Year 1 Feb 11 05:00","22.433143233266","0","0","-43.9764236965013","29.4848780439903","18.5"
"Year 1 Feb 11 06:00","22.4542155155739","0","0","-74.1665792689689","29.024430892552","19.225"
"Year 1 Feb 11 07:00","22.4897955844255","0","0","-98.5548383456729","28.6127292871095","20"
"Year 1 Feb 11 08:00","23.1945359665342","59.5","45.25","-118.843722370532","28.2600893794231","20.8"
"Year 1 Feb 11 09:00","25.0019832182713","326.5","127.75","-133.141649387308","27.9674161116919","21.6"
"Year 1 Feb 11 10:00","26.4804957544347","650.5","127","-138.944672813821","27.7657618569845","22.55"
"Year 1 Feb 11 11:00","27.5143339499216","823","101.5","-135.116618218166","27.6760826860575","23.625"
"Year 1 Feb 11 12:00","28.9713302185526","794.5","147.75","-123.699544603428","27.683819551533","24.65"
"Year 1 Feb 11 13:00","30.5461502994391","699.75","208.5","-106.456024291273","27.7732861228408","25.65"
"Year 1 Feb 11 14:00","35.6166514476896","534.5","273.75","-84.0649685689972","27.9433685648844","26.725"
"Year 1 Feb 11 15:00","40.396948931749","411","291.5","-52.3137797177857","28.2481737203994","27.75"
"Year 1 Feb 11 16:00","45.8846956024797","552","182.75","-5.58012714615385","28.7726244028502","28.075"
"Year 1 Feb 11 17:00","47.7306984762259","494.25","111","60.3667192694977","29.5415161601326","28.25"
"Year 1 Feb 11 18:00","42.4916144565925","220.5","60.75","141.11551426684","30.4737605104582","28.375"
"Year 1 Feb 11 19:00","33.2639794231052","0","0","211.638991022672","31.3355779879704","27.2"
"Year 1 Feb 11 20:00","30.7523485565836","0","0","245.055338228311","31.8194974350925","25.6"
"Year 1 Feb 11 21:00","29.0003918161949","0","0","236.021042660069","31.8904859093847","24"
"Year 1 Feb 11 22:00","27.5736469529697","0","0","204.441319494241","31.6979658084432","23.075"
"Year 1 Feb 11 23:00","26.1818433985283","0","0","162.637828247444","31.3719803705233","22.3"
"Year 1 Feb 12 00:00","24.9088932770016","0","0","118.962326905225","30.974021285597","21.575"
"Year 1 Feb 12 01:00","23.9324451960072","0","0","75.7071557919344","30.5350872579992","20.8"
"Year 1 Feb 12 02:00","23.1039502311672","0","0","34.530663349259","30.0747445977523","20"
"Year 1 Feb 12 03:00","22.3495547222479","0","0","-3.15151250205501","29.6077708046811","19.2"
"Year 1 Feb 12 04:00","21.5845822714438","0","0","-36.8375905080504","29.1431979249096","18.475"
"Year 1 Feb 12 05:00","20.8574528460108","0","0","-66.5274168572364","28.683511497405","17.85"
"Year 1 Feb 12 06:00","20.1256118678526","0","0","-92.3204998250973","28.2260130860114","17.175"
"Year 1 Feb 12 07:00","19.5863544521758","0","0","-117.358452318432","27.7801542821921","16.7"
"Year 1 Feb 12 08:00","19.8239078306009","70.25","44.25","-140.443910400817","27.3458929335915","16.3"
"Year 1 Feb 12 09:00","21.1525097522165","362","123.25","-159.842072770956","26.9366702837922","15.9"
"Year 1 Feb 12 10:00","23.0106764445497","656.75","136.25","-172.891180046718","26.5960427721249","17.975"
"Year 1 Feb 12 11:00","24.8578931299697","824.25","123.5","-179.313934076789","26.3782479190973","20.8"
"Year 1 Feb 12 12:00","26.8185756260636","873","133.25","-174.738937730089","26.293295620584","23.675"
"Year 1 Feb 12 13:00","28.4383347733659","907.75","122","-160.054316175366","26.339120047835","25.225"
"Year 1 Feb 12 14:00","34.4773039934834","896.25","120.75","-135.278090023157","26.4936385087529","26.25"
"Year 1 Feb 12 15:00","41.7373813359542","860.25","112.5","-98.3354989551447","26.8106542350212","27.325"
"Year 1 Feb 12 16:00","47.3502094024685","770.5","103.25","-39.6284977059593","27.4162837180869","27.525"
"Year 1 Feb 12 17:00","48.4785224637641","540","106.25","40.2789939976681","28.3484559989005","27.35"
"Year 1 Feb 12 18:00","42.9300651392972","234","60.25","137.414218251337","29.4480890352249","27.225"
"Year 1 Feb 12 19:00","32.758101012971","0","0","220.246733390681","30.4402368206885","25.55"
"Year 1 Feb 12 20:00","29.7317792010745","0","0","261.506484067861","31.0002270961046","23.35"
"Year 1 Feb 12 21:00","27.4939728225023","0","0","254.814938742","31.090400170629","21.15"
"Year 1 Feb 12 22:00","25.8695742211533","0","0","221.729634096347","30.8711979049189","19.925"
"Year 1 Feb 12 23:00","24.5552189396872","0","0","174.82067347934","30.4940976835925","19.1"
"Year 1 Feb 13 00:00","23.2981672640521","0","0","125.791614821723","30.0355075718125","18.225"
"Year 1 Feb 13 01:00","22.1392379635587","0","0","77.9613950656939","29.5403870030803","17.4"
"Year 1 Feb 13 02:00","21.1482092150605","0","0","33.0107781429534","29.0270337331887","16.6"
"Year 1 Feb 13 03:00","20.311734788762","0","0","-8.17010707496664","28.5058424785968","15.8"
"Year 1 Feb 13 04:00","19.4332157491734","0","0","-44.9803874934571","27.9843741672757","14.55"
"Year 1 Feb 13 05:00","18.5739851353543","0","0","-76.9697075087773","27.4636035348836","13.15"
"Year 1 Feb 13 06:00","17.6813149804357","0","0","-104.478601633711","26.9411170096568","11.75"
"Year 1 Feb 13 07:00","17.4570593115929","0","0","-131.344503646707","26.4261943535586","12.375"
"Year 1 Feb 13 08:00","18.3344398215948","54.25","46","-158.768547056587","25.9403795983058","13.75"
"Year 1 Feb 13 09:00","20.4709278229432","282.25","133","-180.798059073078","25.5094069723139","15.075"
"Year 1 Feb 13 10:00","22.977544371067","511.5","175.25","-193.027505344939","25.1895968970532","17.875"
"Year 1 Feb 13 11:00","25.5019412269085","626.75","199","-193.919589796916","25.0329626858808","21.25"
"Year 1 Feb 13 12:00","27.8575950404036","638.75","240.25","-181.170586131058","25.0484463159447","24.575"
"Year 1 Feb 13 13:00","29.9335719929199","526.5","322.5","-156.224477281551","25.2203897495934","25.7"
"Year 1 Feb 13 14:00","34.2398611499166","456","331","-119.240303185881","25.5133311169885","26.1"
"Year 1 Feb 13 15:00","38.7619273927959","431.75","294","-73.8121955593546","25.9431371757106","26.5"
"Year 1 Feb 13 16:00","44.577154518309","581.25","179.25","-17.1787492866314","26.5607813775805","26.6"
"Year 1 Feb 13 17:00","46.939949916228","526.75","105.25","52.6219340361377","27.4126030136089","26.6"
"Year 1 Feb 13 18:00","41.7112703730344","230.25","61.75","140.347126482841","28.4183781609926","26.6"
"Year 1 Feb 13 19:00","31.8411380111484","0","5","217.859593947225","29.3572342035469","24.275"
"Year 1 Feb 13 20:00","28.3996004461522","0","0","259.175831245828","29.8922662137288","21.175"
"Year 1 Feb 13 21:00","26.4884022627978","0","0","253.324868352379","29.9709827568293","20.4"
"Year 1 Feb 13 22:00","25.1538307574282","0","0","216.667324206722","29.7615223554354","19.8"
"Year 1 Feb 13 23:00","24.0129826890961","0","0","171.240616232522","29.3968233100771","19"
"Year 1 Feb 14 00:00","23.0046277034328","0","0","124.904502498405","28.9617027722086","18.2"
"Year 1 Feb 14 01:00","22.0488233533396","0","0","80.3254295456574","28.5012735947798","17.25"
"Year 1 Feb 14 02:00","21.1304259509687","0","0","39.6126399643928","28.031610638577","16.25"
"Year 1 Feb 14 03:00","20.2442974868854","0","0","2.689931094225","27.5600100857261","15.25"
"Year 1 Feb 14 04:00","19.5364660319651","0","0","-30.7403867496713","27.0888316214103","14.775"
"Year 1 Feb 14 05:00","18.9367576885458","0","0","-61.145072379184","26.6222651243116","14.4"
"Year 1 Feb 14 06:00","18.3927080957578","0","0","-87.1319778131471","26.1606055651159","14.075"
"Year 1 Feb 14 07:00","18.2732068905821","0","0","-111.309396131786","25.7158328515182","14.675"
"Year 1 Feb 14 08:00","19.0572203150565","54.75","46.25","-134.286411971024","25.3047604877908","15.5"
"Year 1 Feb 14 09:00","21.0971531470815","303.5","130.5","-151.939706082257","24.9453731538161","16.375"
"Year 1 Feb 14 10:00","23.2524268342057","605","155.5","-160.8741656783","24.6866437825209","18.475"
"Year 1 Feb 14 11:00","25.1345236887496","778.25","147.5","-159.624914658607","24.5720495319351","21.05"
"Year 1 Feb 14 12:00","26.6671349378003","875.25","125.25","-147.307017156041","24.6010061693222","23.575"
"Year 1 Feb 14 13:00","28.2774375434581","875.75","133.5","-126.41087764518","24.7482505463486","25.025"
"Year 1 Feb 14 14:00","34.3793671973968","745.75","200","-98.3447473504191","24.9849198907902","26.05"
"Year 1 Feb 14 15:00","40.690435946715","628.75","223","-59.8974565168961","25.372441725112","27.125"
"Year 1 Feb 14 16:00","46.1334711815472","686.75","131.75","-2.81375278777077","26.028283419704","27.175"
"Year 1 Feb 14 17:00","46.9818089757483","529.5","103.5","74.4324365572233","26.9754783690517","26.8"
"Year 1 Feb 14 18:00","40.9567824344483","213.75","65.75","168.690447348596","28.0572713491739","26.475"
"Year 1 Feb 14 19:00","31.6980890060019","0","5.5","246.411786636238","29.0127791238476","25.2"
"Year 1 Feb 14 20:00","28.9659629341921","0","0","281.249920865006","29.5474600307541","23.6"
"Year 1 Feb 14 21:00","27.1296621659088","0","0","271.266115470233","29.6405418664105","22"
"Year 1 Feb 14 22:00","25.8644506636917","0","0","237.090337316053","29.4560139900154","21.225"
"Year 1 Feb 14 23:00","24.802012720831","0","0","192.95684407783","29.1328817602527","20.65"
"Year 1 Feb 15 00:00","23.8347169673837","0","0","147.550797057243","28.7479117399213","20.125"
"Year 1 Feb 15 01:00","23.1868195227843","0","0","104.703174376118","28.3371774675237","19.625"
"Year 1 Feb 15 02:00","22.6907840251235","0","0","65.5240341205737","27.921945321173","19.05"
"Year 1 Feb 15 03:00","22.2308638335568","0","0","30.7993311526122","27.5189022026968","18.525"
"Year 1 Feb 15 04:00","21.636017822194","0","0","0.862212851832723","27.1348198656321","17.875"
"Year 1 Feb 15 05:00","20.9636259425648","0","0","-24.6619990852061","26.7667893992943","17.1"
"Year 1 Feb 15 06:00","20.2576569338268","0","0","-46.9709290290286","26.4069066041245","16.375"
"Year 1 Feb 15 07:00","19.8325570991717","0","0","-67.092251903141","26.0481190510715","16.425"
"Year 1 Feb 15 08:00","20.3719257882408","72","46.75","-85.9308568495839","25.6932127222224","16.8"
"Year 1 Feb 15 09:00","22.0735376992073","367.75","127","-103.184949520068","25.370949867645","17.125"
"Year 1 Feb 15 10:00","23.9762480642245","656.5","139.75","-113.542383066696","25.1277501147889","19.375"
"Year 1 Feb 15 11:00","25.6338921095634","822.5","124.25","-116.438070070495","25.0136206826616","22.35"
"Year 1 Feb 15 12:00","27.3654938857041","881.25","125.75","-109.669542877961","25.0298288403103","25.275"
"Year 1 Feb 15 13:00","28.9394184655724","891.5","131.5","-94.183717130453","25.1609187172077","26.375"
"Year 1 Feb 15 14:00","34.8920505961895","805.75","167.5","-69.5110355218794","25.383285227708","26.8"
"Year 1 Feb 15 15:00","41.4943050687266","620","229.25","-34.0841276618512","25.7563877986763","27.275"
"Year 1 Feb 15 16:00","45.7997814760382","570.25","176.75","19.8505635350294","26.4055629015541","27.175"
"Year 1 Feb 15 17:00","45.6493103840413","407.75","135.5","96.8100305538672","27.3224583350267","26.95"
"Year 1 Feb 15 18:00","39.9522908033117","174.75","67.25","183.509024122002","28.3390030950635","26.675"
"Year 1 Feb 15 19:00","31.6031172013643","0","5.5","252.008074000168","29.203668696754","25.475"
"Year 1 Feb 15 20:00","28.8645314905237","0","0","279.867891599185","29.6718493779689","24.05"
"Year 1 Feb 15 21:00","26.9589497475142","0","0","266.502504507093","29.7316123537621","22.575"
"Year 1 Feb 15 22:00","25.5126862872569","0","0","230.87267862495","29.529671261388","21.675"
"Year 1 Feb 15 23:00","24.3776636157101","0","0","186.044809400411","29.1900832043661","21.05"
"Year 1 Feb 16 00:00","23.352664369778","0","0","139.384002712154","28.7857102528584","20.375"
"Year 1 Feb 16 01:00","22.317435192742","0","0","95.6821646432392","28.3500780834253","19.225"
"Year 1 Feb 16 02:00","21.2006603178532","0","0","55.7021759147379","27.8988595313204","17.85"
"Year 1 Feb 16 03:00","20.0853665694492","0","0","18.5214615537305","27.4386878029858","16.525"
"Year 1 Feb 16 04:00","19.1111630251172","0","0","-16.1460202979964","26.9671821172006","15.375"
"Year 1 Feb 16 05:00","18.2160904408316","0","0","-48.4741778767334","26.4847482014066","14.35"
"Year 1 Feb 16 06:00","17.3483436593153","0","0","-77.9183502727848","25.9936773138378","13.275"
