1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","16.225","20.8982232924459","16.6146533229392","-7.01651652831089"
"Year 1 Jan 01 02:00","0","0","17.7","20.5598855911035","17.1554472333791","-34.7120247162967"
"Year 1 Jan 01 03:00","0","0","17.5","20.2913452528017","17.1089041292355","-52.1570491809559"
"Year 1 Jan 01 04:00","0","0","16.65","20.0846252291769","16.75527500415","-62.888590784821"
"Year 1 Jan 01 05:00","0","0","11.9","19.9009466397594","14.6825930233375","-68.5461378387478"
"Year 1 Jan 01 06:00","0","0","9.8","19.6766184226068","13.4673113255034","-71.2436028195532"
"Year 1 Jan 01 07:00","0","0","9.825","19.39577863372","13.3717081400744","-83.2536425428951"
"Year 1 Jan 01 08:00","11.75","86.5","11.025","19.0824594082304","16.434217531486","-98.8327087311874"
"Year 1 Jan 01 09:00","52.75","431","13.05","18.8307261578784","27.1533026746389","-111.067254958001"
"Year 1 Jan 01 10:00","62.5","767.75","15.475","18.8938407687021","34.0008835567181","-97.9272660534723"
"Year 1 Jan 01 11:00","45.5","1003.25","17.675","19.4240399580889","34.7065552553786","-48.4107549660839"
"Year 1 Jan 01 12:00","75","937.25","19.475","20.2824944340276","31.3675163771049","19.7327842137369"
"Year 1 Jan 01 13:00","126","789.25","20.725","21.1374782682225","27.5621483465567","86.6754816795959"
"Year 1 Jan 01 14:00","166","646.75","21.6","21.7745236081046","27.5457503411874","130.673310922995"
"Year 1 Jan 01 15:00","185.75","461.5","22.025","22.1833009337632","27.4143168673842","154.072266508472"
"Year 1 Jan 01 16:00","189","155","21.95","22.4627921007984","26.8231045573091","165.587415877141"
"Year 1 Jan 01 17:00","106.25","90","21.225","22.6618440583626","25.0167359717286","170.822329455873"
"Year 1 Jan 01 18:00","19","10.5","19.725","22.7723802840159","22.6617529294954","169.962563775807"
"Year 1 Jan 01 19:00","0","0","17.575","22.7597291792863","20.6770244392721","160.800018834227"
"Year 1 Jan 01 20:00","0","0","15.2","22.6104816221068","19.4688032585269","143.283330863975"
"Year 1 Jan 01 21:00","0","0","13.1","22.3530376034626","17.9929070400424","119.35426199206"
"Year 1 Jan 01 22:00","0","0","11.925","22.0283567644302","16.844471192824","90.9129623843849"
"Year 1 Jan 01 23:00","0","0","11.775","21.6598914682972","15.885465020649","58.7754214517881"
"Year 1 Jan 02 00:00","0","0","12.475","21.2672303650206","15.6560433613316","25.7477366496357"
"Year 1 Jan 02 01:00","0","0","13.45","20.8743762462015","15.5050316799412","-5.71991919174523"
"Year 1 Jan 02 02:00","0","0","13.925","20.5044471213371","15.3736582316702","-32.3825249635268"
"Year 1 Jan 02 03:00","0","0","13.475","20.1613328502075","14.9618685986917","-52.7503543076424"
"Year 1 Jan 02 04:00","0","0","12.25","19.8444957232429","14.1311452452116","-69.4045547864988"
"Year 1 Jan 02 05:00","0","0","8.825","19.5325838270893","13.0586690455651","-83.1901081715639"
"Year 1 Jan 02 06:00","0","0","7.575","19.1948867779216","12.2218293205263","-94.8923454953753"
"Year 1 Jan 02 07:00","0","0","8.175","18.8440093715929","12.085509809026","-110.972394948698"
"Year 1 Jan 02 08:00","14","45.75","9.6","18.4928304221959","14.0481656668948","-128.243608678495"
"Year 1 Jan 02 09:00","75.25","175.75","12.025","18.1999947551202","20.4473478236373","-141.920134126995"
"Year 1 Jan 02 10:00","131.5","267.75","14.65","18.1204771109409","24.0990225967851","-139.375167495257"
"Year 1 Jan 02 11:00","124.75","648.25","17.325","18.3167500248397","29.4816529960723","-114.855042464165"
