1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 11:00","131.5","754.5","18.5","-174.037827509984","23.2610201474189","36.1280657231635"
"Year 1 Jan 03 12:00","121","839.25","20.825","-116.350792773449","23.7711753259326","40.5846416354842"
"Year 1 Jan 03 13:00","111.75","871","22.525","-37.6611078101299","24.6130396071376","43.8558253675801"
"Year 1 Jan 03 14:00","109.5","853.75","23.95","49.7340068208756","25.6780149364613","45.72079064768"
"Year 1 Jan 03 15:00","106.25","787","25.425","145.736556389062","26.8075873675111","46.0937461888771"
"Year 1 Jan 03 16:00","107","628.25","25.35","233.356520972253","27.9188046593998","44.1066773561397"
"Year 1 Jan 03 17:00","83.25","355.75","24.75","308.238931178561","28.8818114788114","39.1518539628541"
"Year 1 Jan 03 18:00","29.25","57","24.225","353.858074711708","29.5878192746341","32.5176177226112"
"Year 1 Jan 03 19:00","0","0","22.6","360.300799838596","29.9236194183337","28.791599388933"
"Year 1 Jan 03 20:00","0","0","20.525","333.722538224854","29.890326722651","26.6764393612925"
"Year 1 Jan 03 21:00","0","0","18.5","287.394760136474","29.6041184170588","24.8710075723546"
"Year 1 Jan 03 22:00","0","0","17.325","233.585055522714","29.1735931903277","23.3792397572446"
"Year 1 Jan 03 23:00","0","0","16.5","176.7266968912","28.6765657336362","22.0435000590153"
"Year 1 Jan 04 00:00","0","0","15.625","123.051789315015","28.1414729568935","20.7912293990359"
"Year 1 Jan 04 01:00","0","0","15.025","72.2182127133907","27.5925650829176","19.8089618185367"
"Year 1 Jan 04 02:00","0","0","14.6","25.2859619881319","27.0419974199272","19.030855427535"
"Year 1 Jan 04 03:00","0","0","14.125","-16.5767765761579","26.4996281085266","18.3236623742575"
"Year 1 Jan 04 04:00","0","0","13.625","-52.9053437958938","25.9716464384442","17.65120532592"
"Year 1 Jan 04 05:00","0","0","13.2","-83.7056541733495","25.4582314913589","17.0427312652227"
"Year 1 Jan 04 06:00","0","0","12.725","-110.699858131006","24.9620470141497","16.459694616234"
"Year 1 Jan 04 07:00","0","0","12.675","-136.126349899298","24.4920390718599","16.046410697335"
"Year 1 Jan 04 08:00","34.5","54.25","12.85","-158.833701033959","24.0461898269918","17.3835465752731"
"Year 1 Jan 04 09:00","107","297.75","12.975","-175.954475020456","23.6524043024183","23.6153617859761"
"Year 1 Jan 04 10:00","128.25","585","15.175","-176.119580645679","23.4463259911605","32.2784168296616"
"Year 1 Jan 04 11:00","139.25","695.5","18.15","-147.162603303383","23.6179689449882","39.3861316871761"
"Year 1 Jan 04 12:00","205","619.25","21.075","-83.3268661729211","24.2338715413013","43.6645745804206"
"Year 1 Jan 04 13:00","227","610.5","22.85","0.603669353819319","25.2192072728357","46.5379758082676"
"Year 1 Jan 04 14:00","214.25","603.5","24.25","101.813904463404","26.3860720538365","47.8131803732062"
"Year 1 Jan 04 15:00","174.25","603.5","25.65","199.768129088369","27.6071579771431","47.8523733124815"
"Year 1 Jan 04 16:00","111","601.75","25.85","291.082174807943","28.7531940636778","46.4720772522107"
"Year 1 Jan 04 17:00","84.25","358","25.65","365.520802191","29.7465403182683","41.1837741920298"
