1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Mar 18 03:00","0","0","25.375","-15.9461077813178","34.1111927360088","27.9819983150103"
"Year 1 Mar 18 04:00","0","0","24.525","-41.5471975449192","33.7460368509025","27.2066505047782"
"Year 1 Mar 18 05:00","0","0","23.7","-65.0292448545288","33.371241990539","26.4674589988083"
"Year 1 Mar 18 06:00","0","0","22.825","-86.4441231269167","32.9865895485026","25.6901248311593"
"Year 1 Mar 18 07:00","13.25","11.25","22.975","-108.080101327753","32.601334116787","25.5148853042858"
"Year 1 Mar 18 08:00","80","78.75","23.4","-129.321675797447","32.2279103687043","26.6858072139181"
"Year 1 Mar 18 09:00","171.5","270.75","23.875","-145.241540755717","31.9007763917088","29.8605097980933"
"Year 1 Mar 18 10:00","187.25","597.5","25.275","-149.608620653412","31.6953954929844","35.3030095270677"
"Year 1 Mar 18 11:00","160.75","786.25","27.05","-134.911053195989","31.7147492257892","40.1834457378224"
"Year 1 Mar 18 12:00","132.25","878.75","28.775","-96.4049747261166","32.0154035139252","43.6881852104088"
"Year 1 Mar 18 13:00","105.5","925.25","30.325","-40.0608156370837","32.5691187038474","46.0642163702555"
"Year 1 Mar 18 14:00","109.5","910","31.9","23.7868202156178","33.3012677357752","47.3032905603399"
"Year 1 Mar 18 15:00","112.25","860.5","33.425","93.1463463345756","34.0916822368482","47.3769447608478"
"Year 1 Mar 18 16:00","148","711.25","33.8","155.0056393597","34.8716549425701","45.8791095627531"
"Year 1 Mar 18 17:00","130.75","518.25","33.8","207.598987281124","35.541806597569","42.7048251565912"
"Year 1 Mar 18 18:00","91.25","202.5","33.8","238.745590242207","36.0358882490121","38.7308741495806"
"Year 1 Mar 18 19:00","10","0","32.6","244.500563957843","36.289782783027","35.2137564576788"
"Year 1 Mar 18 20:00","0","0","31","227.421711626799","36.2860264449643","33.4042174268407"
"Year 1 Mar 18 21:00","0","0","29.4","193.801968237034","36.08426057335","31.9791360709294"
"Year 1 Mar 18 22:00","0","0","28.175","153.455323089919","35.7612727254953","30.8146285922995"
"Year 1 Mar 18 23:00","0","0","27.15","110.704992931862","35.3779111253717","29.8321757748834"
"Year 1 Mar 19 00:00","0","0","26.075","69.7488670740453","34.9638110528422","28.9054894221348"
"Year 1 Mar 19 01:00","0","0","24.975","31.4002536936284","34.5383259493096","27.9645130313303"
"Year 1 Mar 19 02:00","0","0","23.95","-3.70924417806178","34.1069389977311","27.0543508032127"
"Year 1 Mar 19 03:00","0","0","22.875","-35.8224054553788","33.6705136415226","26.1396332860071"
"Year 1 Mar 19 04:00","0","0","22.15","-65.0405647803256","33.2276974669316","25.3672919733425"
"Year 1 Mar 19 05:00","0","0","21.55","-91.3514362296914","32.7783040921534","24.6912305878462"
"Year 1 Mar 19 06:00","0","0","20.95","-116.895373340769","32.3347835354074","24.0499403085755"
"Year 1 Mar 19 07:00","15.5","17.25","21.325","-140.756898031944","31.9018324467669","24.151872174999"
"Year 1 Mar 19 08:00","86.5","138.75","21.95","-162.619305399727","31.4954914361434","26.2982968873411"
"Year 1 Mar 19 09:00","164.75","420","22.625","-176.25501213745","31.1654729553511","31.6308412489181"
"Year 1 Mar 19 10:00","177.5","661.5","24.3","-172.070503503178","31.024802693715","37.9503139625765"
"Year 1 Mar 19 11:00","195.5","761.75","26.225","-142.045439660524","31.189552508924","43.3261529312916"
"Year 1 Mar 19 12:00","169.5","853.75","28.2","-85.3409409759766","31.6847630079188","47.4482713752261"
"Year 1 Mar 19 13:00","139.25","907.5","30.2","-12.5440812221162","32.4650943013955","49.9735306638716"
"Year 1 Mar 19 14:00","155.75","879.25","32.125","71.6882380572433","33.4140395366605","51.6093733347647"
"Year 1 Mar 19 15:00","142","847","34.1","155.984081358181","34.4238356245429","51.5667060965809"
"Year 1 Mar 19 16:00","148.25","729.25","34.525","234.776998059742","35.393973602884","49.5055585277043"
"Year 1 Mar 19 17:00","139.25","519.25","34.35","297.721260571194","36.2268349814234","45.5782868997299"
"Year 1 Mar 19 18:00","87.5","225.75","34.225","334.217191467661","36.833170385992","40.7451464814435"
"Year 1 Mar 19 19:00","10","0","33","338.506176218629","37.1467349472383","36.6826788203931"
"Year 1 Mar 19 20:00","0","0","31.4","314.444949567151","37.1550329393376","34.7092675147602"
"Year 1 Mar 19 21:00","0","0","29.8","271.0440924344","36.936726583448","33.2501375021026"
"Year 1 Mar 19 22:00","0","0","28.425","220.82876500487","36.5870939011301","31.8763396104949"
"Year 1 Mar 19 23:00","0","0","27.05","169.688735043696","36.1717181909525","30.5299130821322"
"Year 1 Mar 20 00:00","0","0","25.725","120.755840956118","35.7191683760481","29.2358038271721"
"Year 1 Mar 20 01:00","0","0","24.425","74.5420582870657","35.2417026244663","28.1637988992217"
"Year 1 Mar 20 02:00","0","0","23.05","30.9404931571081","34.7512108323516","27.2323822326144"
"Year 1 Mar 20 03:00","0","0","21.725","-8.67633532270758","34.2543801690386","26.4137831704113"
"Year 1 Mar 20 04:00","0","0","21.025","-44.4029317498828","33.7594786989975","25.6881139731953"
"Year 1 Mar 20 05:00","0","0","20.45","-76.3623922968217","33.2724985289001","25.0039343232248"
"Year 1 Mar 20 06:00","0","0","19.925","-103.594293675729","32.7914097873288","24.364110073264"
"Year 1 Mar 20 07:00","16.5","16.75","21.225","-130.024725272671","32.3298325862833","24.3711579180985"
"Year 1 Mar 20 08:00","89.5","140.5","23.2","-155.677808289342","31.9066786298717","26.532732724766"
"Year 1 Mar 20 09:00","167","427.75","25.125","-173.395249618095","31.56685918561","31.2613800328548"
"Year 1 Mar 20 10:00","176.5","666.25","27.625","-173.755533596682","31.4120351817622","37.1664055025735"
"Year 1 Mar 20 11:00","168.25","798","30.4","-149.550274477305","31.5422167188812","42.8044989143134"
"Year 1 Mar 20 12:00","162.25","858.75","33.125","-98.8966696420301","31.9943079067609","47.454584186379"
"Year 1 Mar 20 13:00","152.75","884.25","34.325","-27.9325999932439","32.7373768012226","50.3014501880777"
"Year 1 Mar 20 14:00","154.5","866.75","35.1","53.0816075020745","33.6879084179994","52.2348762304943"
"Year 1 Mar 20 15:00","145.75","824.25","35.825","141.309155373749","34.7107547863147","52.290209689385"
"Year 1 Mar 20 16:00","147.25","715.75","35.85","224.582619509472","35.704460911031","50.4748437166103"
"Year 1 Mar 20 17:00","131.25","520.75","35.65","292.176394302233","36.5712162952516","46.8433023361124"
"Year 1 Mar 20 18:00","92.75","203.25","35.45","333.505222089186","37.2230313794192","42.1418405572141"
"Year 1 Mar 20 19:00","10","0","33.75","343.355154977302","37.5883840535541","37.8696229585001"
"Year 1 Mar 20 20:00","0","0","31.55","324.699766607659","37.6439976392233","35.5557633962414"
"Year 1 Mar 20 21:00","0","0","29.35","284.759153625427","37.456986819664","33.7155333245313"
"Year 1 Mar 20 22:00","0","0","27.9","235.459581357145","37.1158834067956","32.3203051851025"
"Year 1 Mar 20 23:00","0","0","26.7","182.35290746381","36.6948438942683","31.1938651790601"
"Year 1 Mar 21 00:00","0","0","25.5","131.428202774136","36.2342645285932","30.1676530899902"
"Year 1 Mar 21 01:00","0","0","24.675","84.2153233182398","35.7590311040354","29.2579647832573"
"Year 1 Mar 21 02:00","0","0","23.9","40.3839277580906","35.2867627220808","28.4139854286268"
"Year 1 Mar 21 03:00","0","0","23.175","1.37165581127085","34.8189694366597","27.6246113260269"
"Year 1 Mar 21 04:00","0","0","22.85","-33.4863464882561","34.3586142559618","26.8696796559632"
"Year 1 Mar 21 05:00","0","0","22.65","-64.6054038796164","33.9063239031112","26.1405597877247"
"Year 1 Mar 21 06:00","0","0","22.45","-91.4402046634219","33.4570939321254","25.49859273951"
"Year 1 Mar 21 07:00","16.5","20.5","23.075","-117.396897966863","33.0216644143193","25.6286389167112"
"Year 1 Mar 21 08:00","89.5","149.75","23.9","-141.308936492448","32.6175038037219","27.7538081280793"
"Year 1 Mar 21 09:00","168.25","421.75","24.775","-156.846149735235","32.2926974840776","32.5565082782314"
"Year 1 Mar 21 10:00","161.5","679.5","27.325","-155.450290974293","32.1509662432154","38.4517655672789"
"Year 1 Mar 21 11:00","119","850","30.5","-130.967827781745","32.3000594634302","43.5695742049017"
"Year 1 Mar 21 12:00","111.25","905.25","33.625","-81.1075298218486","32.7626785614439","47.422021000932"
"Year 1 Mar 21 13:00","108.75","922.75","35.075","-13.7585849022315","33.4910891480646","50.224403701502"
"Year 1 Mar 21 14:00","114","905","36.05","61.8553470347475","34.3960799878983","52.1338742942418"
"Year 1 Mar 21 15:00","109.75","863","36.975","144.864658984465","35.3616587416333","52.7183225225942"
"Year 1 Mar 21 16:00","138.75","699.75","34.65","224.595862512269","36.3089406495216","50.1793568706818"
"Year 1 Mar 21 17:00","164","345.25","31.25","294.024842937864","37.1164308524502","44.531128028236"
"Year 1 Mar 21 18:00","85","16.5","27.85","333.243267446953","37.6580804166276","37.8601452531995"
"Year 1 Mar 21 19:00","9.5","0","26.925","331.485114893717","37.8258953454425","34.7365919093051"
"Year 1 Mar 21 20:00","0","0","26.75","291.895134526657","37.6682398335885","33.205424245638"
"Year 1 Mar 21 21:00","0","0","26.625","236.540485191236","37.3074155117575","32.0930448925271"
"Year 1 Mar 21 22:00","0","0","26.525","178.16029480749","36.8588063144964","31.2567802007983"
"Year 1 Mar 21 23:00","0","0","26.35","123.916255497318","36.3839928975691","30.5442133465155"
"Year 1 Mar 22 00:00","0","0","26.225","75.4419586748675","35.9152870230065","29.9300077138372"
"Year 1 Mar 22 01:00","0","0","25.375","33.2062765351502","35.4657271544438","29.1684230326259"
"Year 1 Mar 22 02:00","0","0","24.35","-2.27326200045424","35.0305093578306","28.3482351996993"
"Year 1 Mar 22 03:00","0","0","23.275","-33.4888443461232","34.6050792988087","27.5061685562434"
"Year 1 Mar 22 04:00","0","0","23.15","-61.4228030992826","34.1821150028953","26.881374855248"
"Year 1 Mar 22 05:00","0","0","23.35","-86.7237863029313","33.7612141719501","26.4114257025211"
"Year 1 Mar 22 06:00","0","0","23.55","-110.902594993277","33.3546870956002","26.0389012828359"
"Year 1 Mar 22 07:00","17","21.25","24.2","-132.819287242784","32.9696098708005","26.1618911257361"
"Year 1 Mar 22 08:00","91.5","151.5","25","-151.714063090066","32.6165642892201","27.835901416219"
"Year 1 Mar 22 09:00","169.5","422","25.8","-163.50138343818","32.3317020897691","31.560509777632"
"Year 1 Mar 22 10:00","179","664","28.775","-162.035509746503","32.1941681926624","36.8178006612417"
"Year 1 Mar 22 11:00","190.75","773","32.4","-142.789335244888","32.3014452948325","42.0724004946529"
"Year 1 Mar 22 12:00","169","858.5","36.075","-100.023482901702","32.6957820677561","46.4489910947809"
"Year 1 Mar 22 13:00","131.75","917.25","37.525","-38.2834180630105","33.3609584776078","48.6223789876901"
"Year 1 Mar 22 14:00","132.5","903.75","38.15","35.3152578553811","34.2039616854309","49.3882260992253"
"Year 1 Mar 22 15:00","148.5","835","38.825","108.912779960637","35.1056761086528","49.1361474396167"
"Year 1 Mar 22 16:00","155","712.75","36.975","178.506067178712","35.9400357386799","46.7319684668449"
"Year 1 Mar 22 17:00","143.5","503.5","34.35","234.27531393148","36.6186907250255","42.708666186284"
"Year 1 Mar 22 18:00","93.75","205.5","31.675","264.328577522139","37.0646262665264","38.15351239307"
"Year 1 Mar 22 19:00","10.5","0","29.05","264.980784508089","37.2235040598502","34.2643209020984"
"Year 1 Mar 22 20:00","0","0","26.375","239.386560938929","37.0975027566498","31.8580608752286"
"Year 1 Mar 22 21:00","0","0","29.975","193.620484581085","36.7634651872599","32.2749056494091"
"Year 1 Mar 22 22:00","0","0","30.2","133.931730780888","36.3764307910255","32.0641074797038"
"Year 1 Mar 22 23:00","0","0","28.6","91.3886339030637","35.9692113544848","31.0714861143537"
"Year 1 Mar 23 00:00","0","0","27","55.2832008210123","35.57926753344","29.9551759652282"
"Year 1 Mar 23 01:00","0","0","26.375","22.0759085065332","35.1936042784899","29.1360157671154"
"Year 1 Mar 23 02:00","0","0","26.15","-9.86800909735964","34.8055305561196","28.5506798795253"
"Year 1 Mar 23 03:00","0","0","25.875","-38.8682361855743","34.4171287610148","28.0195908151371"
"Year 1 Mar 23 04:00","0","0","25.125","-64.0662077122997","34.0334790399493","27.3532330772693"
"Year 1 Mar 23 05:00","0","0","24.3","-85.4037134187921","33.652076869653","26.6386941027989"
"Year 1 Mar 23 06:00","0","0","23.425","-106.666568876857","33.2799789839396","25.8923385924363"
"Year 1 Mar 23 07:00","18","19","24.025","-126.53072134294","32.9073153537662","25.9439103318533"
"Year 1 Mar 23 08:00","94.75","147.25","25.2","-146.396590233231","32.5530640257818","27.7790124223564"
"Year 1 Mar 23 09:00","170.25","431","26.325","-159.758549319509","32.2631033794975","31.6920494716753"
"Year 1 Mar 23 10:00","167","683.75","29.375","-159.184549819749","32.1265121892741","37.0865314878195"
"Year 1 Mar 23 11:00","146.75","826.5","33","-139.657739633549","32.2436695984389","42.3968789653408"
"Year 1 Mar 23 12:00","149.75","875","36.675","-95.943933285001","32.6545942717061","47.0510091284005"
"Year 1 Mar 23 13:00","150","890.25","37.975","-32.6913124675687","33.3455318263157","49.6924554216522"
"Year 1 Mar 23 14:00","149.75","873.5","38.4","43.8958387685512","34.227190454258","50.8453694621132"
"Year 1 Mar 23 15:00","167.5","797.5","38.875","123.103112182686","35.1815639729002","50.8814783478846"
"Year 1 Mar 23 16:00","161.5","694.75","38.1","198.732033538699","36.0873376572344","48.9195551249989"
"Year 1 Mar 23 17:00","134","515.25","36.975","259.515322659001","36.8602364794148","45.4081596083272"
"Year 1 Mar 23 18:00","94.5","200.25","35.8","295.383248591071","37.4217548261564","41.3174265384384"
"Year 1 Mar 23 19:00","10.5","0","34.6","302.374363019232","37.718079591424","38.0256007685781"
"Year 1 Mar 23 20:00","0","0","33.475","283.136729925333","37.7545364542899","36.3786915712984"
"Year 1 Mar 23 21:00","0","0","32.3","247.306451569022","37.5994350574567","35.126969084102"
"Year 1 Mar 23 22:00","0","0","31.4","205.240468609179","37.3338362791788","34.0531193725204"
"Year 1 Mar 23 23:00","0","0","30.525","162.419212463399","37.012365707317","33.0523033425726"
"Year 1 Mar 24 00:00","0","0","29.7","121.161465557967","36.6637176388306","32.1256665204266"
"Year 1 Mar 24 01:00","0","0","28.9","82.9394302272439","36.2993794634586","31.2385884760073"
"Year 1 Mar 24 02:00","0","0","28.025","47.5358453112977","35.9265727740832","30.3646244631949"
"Year 1 Mar 24 03:00","0","0","27.2","14.7010132923879","35.5489461515","29.5312202994945"
"Year 1 Mar 24 04:00","0","0","26.325","-15.5361468517588","35.1662640061215","28.7417899700819"
"Year 1 Mar 24 05:00","0","0","25.5","-43.1344625479953","34.7784488729685","27.9884921355502"
"Year 1 Mar 24 06:00","0","0","24.625","-68.1731134587776","34.3855133088305","27.231725699981"
"Year 1 Mar 24 07:00","17.75","23","24.625","-90.8457425520567","33.9870635787315","27.0409556920642"
"Year 1 Mar 24 08:00","95.75","149","25","-113.973907079231","33.6065489667179","28.5099913884468"
"Year 1 Mar 24 09:00","184","371.5","25.325","-130.997021450307","33.279871907903","31.7793504099144"
"Year 1 Mar 24 10:00","240.5","506.25","27.425","-135.42119467829","33.0862031161699","36.187503127338"
"Year 1 Mar 24 11:00","355.25","427.25","30.05","-123.137066363414","33.1101509059833","40.3110862652756"
"Year 1 Mar 24 12:00","406.75","377","32.725","-90.2426162306398","33.3802923832764","43.38180051296"
"Year 1 Mar 24 13:00","405","402.5","34.225","-42.034311846553","33.8656971671661","45.5760700102745"
"Year 1 Mar 24 14:00","408.5","375.25","35.4","13.879375081989","34.5021858431221","46.6502601281028"
"Year 1 Mar 24 15:00","412","280.75","36.525","72.1154557463988","35.2053689040692","46.4330936214813"
"Year 1 Mar 24 16:00","333","181.75","36.95","127.336126983709","35.88266804592","44.5846961148324"
"Year 1 Mar 24 17:00","208.75","92.5","37.15","170.437807389916","36.4530711365455","41.972964941104"
"Year 1 Mar 24 18:00","90.5","5.25","37.35","194.070711237181","36.8562717883289","39.435942572119"
"Year 1 Mar 24 19:00","8.5","0","36.425","197.488526500953","37.0659538170124","37.3029611747173"
"Year 1 Mar 24 20:00","0","0","35.05","185.604224605154","37.0938242288608","35.874498979125"
"Year 1 Mar 24 21:00","0","0","33.725","162.658212921918","36.9852327355532","34.6957936398731"
"Year 1 Mar 24 22:00","0","0","32.425","134.198833777268","36.7865896100993","33.5921730962155"
"Year 1 Mar 24 23:00","0","0","31.05","104.079182023452","36.5283463569632","32.4894546147856"
"Year 1 Mar 25 00:00","0","0","29.725","73.5317347012327","36.2290032702305","31.378829417668"
"Year 1 Mar 25 01:00","0","0","28.65","42.929372187882","35.8981140326928","30.4439838373955"
"Year 1 Mar 25 02:00","0","0","27.65","12.3956193302583","35.5448014622682","29.6401031691916"
"Year 1 Mar 25 03:00","0","0","26.65","-16.467346363985","35.1757746772311","28.8900835161147"
"Year 1 Mar 25 04:00","0","0","25.575","-43.1403979956863","34.7978044920112","28.078517045723"
"Year 1 Mar 25 05:00","0","0","24.55","-67.3889192701436","34.4120489853643","27.2663962030389"
"Year 1 Mar 25 06:00","0","0","23.475","-89.4613211541117","34.0162327901302","26.4756957420822"
"Year 1 Mar 25 07:00","18.5","21.75","23.425","-111.803164332123","33.6186776584838","26.254286709261"
"Year 1 Mar 25 08:00","92.5","161","23.65","-133.614966983112","33.2314537159272","27.5585909760443"
"Year 1 Mar 25 09:00","154.5","452.25","23.925","-149.724111658823","32.8922652798105","30.7718800316258"
"Year 1 Mar 25 10:00","157.25","672","26.025","-153.990779872918","32.6799766505101","35.2490839139785"
"Year 1 Mar 25 11:00","211.75","686.75","28.65","-141.798251379818","32.6825268026863","39.7968937315033"
"Year 1 Mar 25 12:00","282","637.5","31.325","-108.12198209017","32.938952420955","43.6121000290616"
"Year 1 Mar 25 13:00","258.5","705.75","33.275","-56.7591735549654","33.4367439145968","46.1684326175295"
"Year 1 Mar 25 14:00","187.75","784","34.9","4.50280348829591","34.1172993268054","47.0153250243241"
"Year 1 Mar 25 15:00","161.25","769.25","36.575","67.1001117693461","34.8838630441213","46.9283317183325"
"Year 1 Mar 25 16:00","164","642.5","37","127.014591346204","35.6196587724766","45.5695502012012"
"Year 1 Mar 25 17:00","150.75","429.75","37","176.015705675646","36.248427307837","43.0320629450752"
"Year 1 Mar 25 18:00","95","157.5","37","205.866391537155","36.7164719861942","40.1065731883007"
"Year 1 Mar 25 19:00","10","0","35.5","214.605102929949","36.9831590799443","37.2543206964719"
"Year 1 Mar 25 20:00","0","0","33.5","205.386598736109","37.0366008521291","35.4407207538661"
"Year 1 Mar 25 21:00","0","0","31.5","181.545095893226","36.9174961210494","33.9292178363285"
"Year 1 Mar 25 22:00","0","0","29.8","150.247707591081","36.6781252428799","32.5346608710175"
"Year 1 Mar 25 23:00","0","0","28.2","114.843037749911","36.3625518871613","31.1876735376553"
"Year 1 Mar 26 00:00","0","0","26.6","78.4380975210342","35.9927779402766","29.8386133102493"
"Year 1 Mar 26 01:00","0","0","25.975","41.1519415704968","35.5855153745226","28.9602924628998"
"Year 1 Mar 26 02:00","0","0","25.75","3.76188701113936","35.1580158175108","28.3837480631597"
"Year 1 Mar 26 03:00","0","0","25.475","-30.3775825166722","34.7264874246804","27.88362989919"
"Year 1 Mar 26 04:00","0","0","24.425","-59.8009826445396","34.3034300477923","27.205186978992"
"Year 1 Mar 26 05:00","0","0","23.2","-83.7439090017212","33.8861482007972","26.4917494690532"
"Year 1 Mar 26 06:00","0","0","21.925","-106.306318680566","33.4782403409266","25.809991551855"
"Year 1 Mar 26 07:00","18.75","25","22.35","-127.366758265254","33.0764157641966","25.7285585637573"
"Year 1 Mar 26 08:00","93.5","172.5","23.35","-148.193013768362","32.6962642349337","27.2971839039302"
"Year 1 Mar 26 09:00","160","454","24.35","-162.77799829427","32.3760027763917","30.9294615021955"
"Year 1 Mar 26 10:00","158.5","687.75","26.55","-164.198193076622","32.197852909184","35.6136564297637"
"Year 1 Mar 26 11:00","133.25","830.5","29.15","-147.238970158882","32.2477565747221","40.0952998213471"
"Year 1 Mar 26 12:00","125.25","887","31.75","-108.791976537548","32.5567665959476","43.8516984238049"
"Year 1 Mar 26 13:00","129.5","891.75","32.925","-53.3413397202343","33.1013610783636","46.1196154171274"
"Year 1 Mar 26 14:00","153.25","840.75","33.55","10.2909098481161","33.816423069428","47.0463122520157"
"Year 1 Mar 26 15:00","195","719.25","34.225","78.1584987404702","34.5885216108671","46.8893633267843"
"Year 1 Mar 26 16:00","202","556.25","34.925","139.050149036134","35.3310967611438","45.1540907579629"
"Year 1 Mar 26 17:00","185","308","35.55","186.90108388365","35.9618741353388","42.3136858776211"
"Year 1 Mar 26 18:00","98.5","89.25","36.225","213.967533233425","36.4167305226012","39.4349827785651"
"Year 1 Mar 26 19:00","9.5","0","34.975","218.912565113577","36.6611972617887","36.8270003458367"
"Year 1 Mar 26 20:00","0","0","33.15","207.215008935561","36.69431428821","35.167068800809"
"Year 1 Mar 26 21:00","0","0","31.275","182.076074192778","36.5664060118675","33.8367473006949"
"Year 1 Mar 26 22:00","0","0","29.975","150.702511708134","36.3306111104909","32.7019000054528"
"Year 1 Mar 26 23:00","0","0","28.8","115.912557193649","36.0338368629753","31.6170085471958"
"Year 1 Mar 27 00:00","0","0","27.675","81.5787224234279","35.6967259047809","30.5880643945982"
"Year 1 Mar 27 01:00","0","0","26.8","47.5431763500456","35.3359531085826","29.7746958442482"
"Year 1 Mar 27 02:00","0","0","26","15.0237628817401","34.9610395009857","29.0899392749829"
"Year 1 Mar 27 03:00","0","0","25.2","-14.8179091655216","34.5807050370681","28.4627459840741"
"Year 1 Mar 27 04:00","0","0","24.325","-41.5729010587227","34.201171174551","27.7051704373731"
"Year 1 Mar 27 05:00","0","0","23.5","-65.3463093947516","33.8219454582541","26.8734624424389"
"Year 1 Mar 27 06:00","0","0","22.625","-86.612100736025","33.4358599858587","26.0196293096204"
"Year 1 Mar 27 07:00","19.25","26","22.925","-108.238506576207","33.0461050775416","25.8554312898071"
"Year 1 Mar 27 08:00","95","178.5","23.55","-130.035894500584","32.6673314130575","27.2897335928729"
"Year 1 Mar 27 09:00","155","472.5","24.225","-146.091791255466","32.3403327711318","30.7153944642929"
"Year 1 Mar 27 10:00","143.25","717.5","26.425","-149.744364034805","32.1476902333626","35.3318365999504"
"Year 1 Mar 27 11:00","132.5","834.5","29.2","-135.957881606507","32.1778402197012","39.9471091046408"
"Year 1 Mar 27 12:00","124.5","889.25","31.925","-100.521345109136","32.4688116636047","43.8498816173496"
"Year 1 Mar 27 13:00","122.75","903.25","33.725","-47.2321332674014","33.0038825535286","46.4251993671629"
"Year 1 Mar 27 14:00","122.75","887.75","35.15","15.7772257453579","33.7226161309671","47.7047018338254"
"Year 1 Mar 27 15:00","126.75","834.75","36.625","81.5114592253046","34.5294485033494","47.8031387953485"
"Year 1 Mar 27 16:00","130.5","729.25","37","145.691134891373","35.3132655450176","46.5114109511365"
"Year 1 Mar 27 17:00","122","533.5","37","198.782980764903","35.9982912095849","43.9050651814991"
"Year 1 Mar 27 18:00","87.75","221.25","37","232.358841199273","36.5206477058917","40.6994724088044"
"Year 1 Mar 27 19:00","10.5","0","35.5","243.296250385269","36.8309502848428","37.7076791472985"
"Year 1 Mar 27 20:00","0","0","33.5","234.456834019491","36.9131722532821","35.88904986273"
"Year 1 Mar 27 21:00","0","0","31.5","209.784483319043","36.8131414177601","34.4498244714045"
"Year 1 Mar 27 22:00","0","0","30.325","177.13531870727","36.5911030418038","33.2264098359366"
"Year 1 Mar 27 23:00","0","0","29.35","140.057124555821","36.2997294877166","32.0870052850865"
"Year 1 Mar 28 00:00","0","0","28.425","102.76281236575","35.9646743511947","31.0191592290892"
"Year 1 Mar 28 01:00","0","0","27","66.8370378899851","35.5992526019729","29.8868499208717"
"Year 1 Mar 28 02:00","0","0","25.4","32.7225408521264","35.209972421705","28.6945068553682"
"Year 1 Mar 28 03:00","0","0","23.8","-0.071336593801385","34.7978854605642","27.4918635268187"
"Year 1 Mar 28 04:00","0","0","23.325","-32.0004345867976","34.362796077812","26.6830390499618"
"Year 1 Mar 28 05:00","0","0","23.3","-63.3826568196855","33.9143950346425","26.1447761418115"
"Year 1 Mar 28 06:00","0","0","23.225","-91.1627589319113","33.4621309198661","25.6903478584645"
"Year 1 Mar 28 07:00","19.75","27.5","24.7","-117.840501999408","33.0313979956166","26.2132891721108"
"Year 1 Mar 28 08:00","100.75","173.5","26.775","-142.347303428614","32.650555470308","28.5279536524563"
"Year 1 Mar 28 09:00","178.75","432.25","28.8","-157.377085089615","32.3693415912404","32.8551868948628"
"Year 1 Mar 28 10:00","174","679.25","30.8","-155.089504030082","32.2708419109801","37.911906985113"
"Year 1 Mar 28 11:00","157.75","816","32.875","-130.067185678952","32.4272109876408","42.5758757137762"
"Year 1 Mar 28 12:00","166.5","858","34.9","-82.8767892817089","32.8569103856924","46.5860045182214"
"Year 1 Mar 28 13:00","148.5","894","35.85","-19.3899583070774","33.5284361319342","48.6541564218047"
"Year 1 Mar 28 14:00","148","880","36.45","51.1763831147352","34.3654794474949","49.6183405350859"
"Year 1 Mar 28 15:00","160.75","815.5","37.05","125.599387520817","35.2388851818739","49.334169890111"
"Year 1 Mar 28 16:00","160.75","706.5","37.65","192.467130271324","36.0610763095624","47.664713664777"
"Year 1 Mar 28 17:00","144.5","509.75","38.25","243.31169968227","36.7621708598747","44.8973119768476"
"Year 1 Mar 28 18:00","92.5","219.75","38.85","272.355756191169","37.2823370282565","41.6933841624882"
"Year 1 Mar 28 19:00","11","0","37.575","277.878397674421","37.5834240234901","38.8293722279281"
"Year 1 Mar 28 20:00","0","0","35.6","264.512906090424","37.6583563895293","37.0630278737997"
"Year 1 Mar 28 21:00","0","0","33.675","236.28953017092","37.5585338020313","35.7128294329706"
"Year 1 Mar 28 22:00","0","0","32.3","200.777233598666","37.3454957736955","34.5798820466545"
"Year 1 Mar 28 23:00","0","0","31.1","162.663634775816","37.0673120894431","33.5420046374634"
"Year 1 Mar 29 00:00","0","0","29.9","125.110226577455","36.7503382114499","32.5592772360978"
"Year 1 Mar 29 01:00","0","0","28.7","89.3597906305605","36.4091959857207","31.6107244022068"
"Year 1 Mar 29 02:00","0","0","27.5","55.6357406501993","36.0512062184112","30.6813837217613"
"Year 1 Mar 29 03:00","0","0","26.3","23.6124853888844","35.6822213953489","29.7639372946982"
"Year 1 Mar 29 04:00","0","0","26","-6.55311147407458","35.3030530833204","29.1158136647153"
"Year 1 Mar 29 05:00","0","0","25.925","-35.4529770236947","34.9220564919482","28.592996335488"
"Year 1 Mar 29 06:00","0","0","25.9","-61.0068787492554","34.5435671570117","28.1612041753974"
"Year 1 Mar 29 07:00","20.25","29","25.9","-82.9137974061977","34.1724115469883","28.0697191968541"
"Year 1 Mar 29 08:00","102.25","180","25.825","-103.494096186528","33.828999659875","29.4575634252054"
"Year 1 Mar 29 09:00","171.75","450.75","25.8","-117.420619282881","33.5403767438995","32.7609442878054"
"Year 1 Mar 29 10:00","153.75","716","28.425","-119.566120328205","33.3826227506507","37.6376404826166"
"Year 1 Mar 29 11:00","157.25","816","31.85","-105.930848911373","33.4516184295505","42.6549221532784"
"Year 1 Mar 29 12:00","162","859.75","35.325","-69.8155952121612","33.7925907225535","47.0433079964331"
