1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","15.325","21.3409580870199","18.0567500441379","46.478435502613"
"Year 1 Jan 01 02:00","0","0","12.875","21.1192873304686","16.6491917444996","31.0747381693405"
"Year 1 Jan 01 03:00","0","0","12.05","20.8496111168762","15.9148192971205","14.2234976678081"
"Year 1 Jan 01 04:00","0","0","10.875","20.5451959912476","15.3190494231672","-6.88621324690844"
"Year 1 Jan 01 05:00","0","0","12.825","20.2189643482124","15.3695292507559","-27.3520883172222"
"Year 1 Jan 01 06:00","0","0","13.15","19.9076233248588","15.1887014355335","-48.544823748201"
"Year 1 Jan 01 07:00","0","0","13.6","19.6127315658776","15.0727471403546","-63.9599332667137"
"Year 1 Jan 01 08:00","1","0","14.7","19.3527667653833","15.4945032113069","-78.9293985749183"
"Year 1 Jan 01 09:00","16.25","177","17.475","19.1339408542432","17.0290333779768","-91.5849721829436"
"Year 1 Jan 01 10:00","53.5","754.75","20.7","18.9953244425691","20.0117972649583","-101.340942896959"
"Year 1 Jan 01 11:00","60.5","894.25","24.125","18.9907020404952","22.9616937281658","-101.388050815595"
"Year 1 Jan 01 12:00","90","861","26.05","19.1599223479969","25.0831731401538","-89.0912693289381"
"Year 1 Jan 01 13:00","172","655","27","19.4766862912807","26.8315846334874","-61.5366661420401"
"Year 1 Jan 01 14:00","298","284.75","26.45","19.899210978283","27.9054726144271","-25.8901818084507"
"Year 1 Jan 01 15:00","269.75","164.25","25.9","20.3816297132678","27.6771654857428","13.4762034230056"
"Year 1 Jan 01 16:00","199.25","95.25","24.9","20.8741978232036","26.770518792008","48.1637564006316"
