1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","15.325","23.8686542775837","19.208338472888","32.6806478533993"
"Year 1 Jan 01 02:00","0","0","12.875","23.566491812512","17.744015950801","12.2856039904522"
"Year 1 Jan 01 03:00","0","0","12.05","23.2221207564316","16.9643733685723","-8.91107854362704"
"Year 1 Jan 01 04:00","0","0","10.875","22.8471200799869","16.3172014040803","-33.3324349757743"
"Year 1 Jan 01 05:00","0","0","12.825","22.4542719158778","16.3435283129225","-56.3432809032106"
"Year 1 Jan 01 06:00","0","0","13.15","22.0762250525565","16.1331557411536","-78.7347340787005"
"Year 1 Jan 01 07:00","0","0","13.6","21.7290587270206","15.9858390057182","-97.3451638635029"
"Year 1 Jan 01 08:00","1","0","14.7","21.4176168138921","16.3453391736222","-113.831012568926"
"Year 1 Jan 01 09:00","16.25","177","17.475","21.1499449305441","21.4418029946355","-127.6327362973"
"Year 1 Jan 01 10:00","53.5","754.75","20.7","21.0177321788807","34.7161977331577","-133.14733738413"
"Year 1 Jan 01 11:00","60.5","894.25","24.125","21.3099992618828","37.7062209735001","-102.422978646557"
"Year 1 Jan 01 12:00","90","861","26.05","22.0713339118818","35.81948721553","-36.0973217509273"
"Year 1 Jan 01 13:00","172","655","27","23.0116041676","32.2659419060417","37.6403408409038"
"Year 1 Jan 01 14:00","298","284.75","26.45","23.8289105730584","31.2084244022093","98.0458534655298"
"Year 1 Jan 01 15:00","269.75","164.25","25.9","24.4016676266465","30.2225598673759","140.570090293537"
"Year 1 Jan 01 16:00","199.25","95.25","24.9","24.7936445466315","28.8713210256923","163.805197635907"
"Year 1 Jan 01 17:00","135.5","102.5","24.3","25.0388072207532","27.4657372702705","174.214988827187"
"Year 1 Jan 01 18:00","44.25","17.25","23.15","25.163819288546","25.3524639646606","172.86045261735"
"Year 1 Jan 01 19:00","0","0","22.425","25.1649787160644","24.0746954258417","162.517145984967"
"Year 1 Jan 01 20:00","0","0","21.325","25.0583878663682","23.1258075697539","142.967973445481"
"Year 1 Jan 01 21:00","0","0","20.775","24.87429761199","22.783284206381","120.034706688177"
"Year 1 Jan 01 22:00","0","0","19.725","24.6543105348937","22.115716874283","95.3000065196088"
"Year 1 Jan 01 23:00","0","0","18.8","24.4180108082069","21.2783581818838","73.1985052997761"
"Year 1 Jan 02 00:00","0","0","17.1","24.1683799118354","20.3396122549974","51.8883219479094"
"Year 1 Jan 02 01:00","0","0","15.775","23.8957546182293","19.604607307381","31.7612435806349"
"Year 1 Jan 02 02:00","0","0","14.375","23.6041726040103","18.6724675331344","10.9547188905062"
"Year 1 Jan 02 03:00","0","0","14","23.2933770087497","17.8684903786626","-9.39927657232908"
"Year 1 Jan 02 04:00","0","0","13.55","22.9683693744697","17.3288204748475","-30.7880385182229"
"Year 1 Jan 02 05:00","0","0","13.25","22.6301974020219","16.9110191386699","-50.6555410028704"
"Year 1 Jan 02 06:00","0","0","12.3","22.2898545147414","16.1034853666322","-68.5514276815958"
"Year 1 Jan 02 07:00","0","0","12.3","21.947354102227","15.6803265289801","-84.5955893778113"
"Year 1 Jan 02 08:00","5.75","7","12.85","21.6126523453073","16.1413569260672","-102.237339598835"
"Year 1 Jan 02 09:00","30.5","197","15.4","21.3045660033745","22.2335903193535","-118.173779607011"
"Year 1 Jan 02 10:00","54.75","744.75","18.45","21.1499183710985","35.5546643956423","-124.636594517477"
"Year 1 Jan 02 11:00","66.75","863","22.05","21.4521965945201","37.2161132165222","-92.2209175049126"
"Year 1 Jan 02 12:00","78.75","896","24.275","22.2185029642357","35.2077108142981","-25.8948693736211"
"Year 1 Jan 02 13:00","70.75","976.5","25.9","23.1345939640289","31.1743563455514","43.2030391871278"
"Year 1 Jan 02 14:00","125.25","791.5","26.075","23.8958945941007","29.4340013635859","100.086630080161"
"Year 1 Jan 02 15:00","163","592","26.3","24.3939574555497","29.2846210585223","134.310389536766"
"Year 1 Jan 02 16:00","210.75","256","25.65","24.7087848832178","28.7255759788558","149.482427497357"
"Year 1 Jan 02 17:00","114.5","358.75","25.1","24.9125475799149","27.3827673499472","156.452530130965"
"Year 1 Jan 02 18:00","53.25","34.5","23.575","25.031030789396","25.4559922421434","155.677393408261"
"Year 1 Jan 02 19:00","0","0","22.5","25.0427305138964","23.8912108164145","148.357142104504"
"Year 1 Jan 02 20:00","0","0","21.175","24.9509450299383","22.7101821983457","131.786458254892"
"Year 1 Jan 02 21:00","0","0","20.875","24.7712552039376","22.1778753000016","110.398205709609"
"Year 1 Jan 02 22:00","0","0","20.3","24.5460585956892","21.611312005467","84.9124709245309"
"Year 1 Jan 02 23:00","0","0","20.025","24.2988172110229","21.2438689073534","61.1346253182861"
"Year 1 Jan 03 00:00","0","0","18.65","24.047631832074","20.4585126018213","38.9392316591467"
